dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AAPL,202.82,202.91,206.24,202.1,203.27,43603985,8884177207.4363,203.75,0.29,14935826000,14935830000.0,3029284378678.26,3029284000000.0
2025-06-04,AAPL,203.27,201.35,203.77,200.96,201.7,46381567,9404855274.7838,202.77,0.31,14935826000,14935830000.0,3036005500378.26,3036005000000.0
2025-06-03,AAPL,201.7,200.28,202.13,200.12,200.85,35423293,7126858368.9509,201.19,0.24,14935826000,14935830000.0,3012556104200.0,3012555000000.0
2025-05-31,AAPL,200.85,199.37,201.96,196.78,199.95,70819938,14147337832.5762,199.76,0.47,14935826000,14935830000.0,2999860801458.26,2999860000000.0
2025-05-30,AAPL,199.95,203.58,203.81,198.51,200.42,51477938,10313754679.0996,200.35,0.34,14935826000,14935830000.0,2986418408700.0,2986417000000.0
2025-05-29,AAPL,200.42,200.59,202.73,199.9,200.21,45339680,9106583996.6288,200.85,0.3,14935826000,14935830000.0,2993438246920.0,2993438000000.0
2025-05-28,AAPL,200.21,198.3,200.74,197.43,195.27,56288477,11230351020.7582,199.51,0.38,14935826000,14935830000.0,2990301872818.26,2990301000000.0
2025-05-24,AAPL,195.27,193.67,197.7,193.46,201.36,78432938,15368942828.7232,195.95,0.53,14935826000,14935830000.0,2916518892378.26,2916518000000.0
2025-05-23,AAPL,201.36,200.71,202.75,199.7,202.09,46742407,9413738941.8368,201.4,0.31,14935826000,14935830000.0,3007478072718.26,3007477000000.0
2025-05-22,AAPL,202.09,205.17,207.04,200.71,206.86,59211774,12048399931.1652,203.48,0.4,14935826000,14935830000.0,3018381076340.0,3018380000000.0
2025-05-21,AAPL,206.86,207.67,208.47,205.03,208.78,42496637,8797335066.9625,207.01,0.28,14935826000,14935830000.0,3089625115718.26,3089624000000.0
2025-05-20,AAPL,208.78,207.91,209.48,204.26,211.26,46140528,9574206161.9333,207.5,0.31,14935826000,14935830000.0,3118301752280.0,3118301000000.0
2025-05-17,AAPL,211.26,212.36,212.57,209.77,211.45,54737852,11563037334.1028,211.24,0.37,14935826000,14935830000.0,3155342600760.0,3155342000000.0
2025-05-16,AAPL,211.45,210.95,212.96,209.54,212.33,45029473,9514435403.6202,211.29,0.3,14935826000,14935830000.0,3158180407700.0,3158179000000.0
2025-05-15,AAPL,212.33,212.43,213.94,210.58,212.93,49325825,10470077187.47,212.26,0.33,14935826000,14935830000.0,3171324083938.26,3171323000000.0
2025-05-14,AAPL,212.93,210.43,213.4,209.0,210.79,51909333,10997807691.6714,211.87,0.35,14935826000,14935830000.0,3180285430180.0,3180285000000.0
2025-05-13,AAPL,210.79,210.97,211.27,206.75,198.27,63775813,13368354924.5905,209.61,0.43,14935826000,14935830000.0,3148322762540.0,3148322000000.0
2025-05-10,AAPL,198.53,199.0,200.54,197.54,197.49,36453922,7244473337.4912,198.73,0.24,14935826000,14935830000.0,2965209535780.0,2965209000000.0
2025-05-09,AAPL,197.49,197.72,200.05,194.68,196.25,50478872,9983333217.4087,197.77,0.34,14935826000,14935830000.0,2949676426098.26,2949675000000.0
2025-05-08,AAPL,196.25,199.17,199.44,193.25,198.51,68616938,13439362194.706,195.86,0.46,14935826000,14935830000.0,2931155852500.0,2931155000000.0
2025-05-07,AAPL,198.51,198.21,200.65,197.02,198.89,51216481,10184935532.0653,198.86,0.34,14935826000,14935830000.0,2964910819260.0,2964910000000.0
2025-05-06,AAPL,198.89,203.1,204.1,198.21,205.35,69018438,13784914584.864,199.73,0.46,14935826000,14935830000.0,2970586433140.0,2970586000000.0
