dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ABNB,133.51,132.28,134.86,131.64,132.9,4501383,602133348.7929,133.77,0.72,431602213,626603000.0,57623211457.63,83657750000.0
2025-06-04,ABNB,132.9,129.5,133.49,128.95,129.62,5809270,768840618.544,132.35,0.93,431602213,626603000.0,57359934107.7,83275500000.0
2025-06-03,ABNB,129.62,128.85,129.77,127.99,129.0,5223063,674153799.0675,129.07,0.83,431602213,626603000.0,55944278849.06,81220250000.0
2025-05-31,ABNB,129.0,125.5,129.25,125.0,128.36,9562945,1223805454.5465,127.97,1.53,431602213,626603000.0,55676685477.0,80831750000.0
2025-05-30,ABNB,128.36,130.0,130.0,126.96,128.67,4681055,600654768.2961,128.32,0.75,431602213,626603000.0,55400464376.7,80430750000.0
2025-05-29,ABNB,128.67,129.45,129.55,127.67,129.4,4752223,611235722.0052,128.62,0.76,431602213,626603000.0,55534256746.71,80624940000.0
2025-05-28,ABNB,129.4,128.68,130.4,128.35,126.72,7243762,939373229.2886,129.68,1.16,431602213,626603000.0,55849326362.2,81082375000.0
2025-05-24,ABNB,126.72,125.09,127.38,125.0,127.65,4371484,553803199.1336,126.69,0.7,431602213,626603000.0,54692636747.38,79403125000.0
2025-05-23,ABNB,127.65,126.79,128.33,125.94,127.52,6451797,821975776.9902,127.4,1.03,431602213,626603000.0,55094022489.45,79985810000.0
2025-05-22,ABNB,127.52,130.68,130.79,126.97,132.13,6687379,860854261.3878,128.73,1.07,431602213,626603000.0,55037918517.78,79904380000.0
2025-05-21,ABNB,132.13,133.76,134.6,131.39,136.6,6607934,875609470.8985,132.51,1.05,431602213,626603000.0,57027604719.71,82793000000.0
2025-05-20,ABNB,136.6,135.31,137.37,135.03,138.0,4904672,670409315.8688,136.69,0.78,431602213,626603000.0,58956866611.82,85593940000.0
2025-05-17,ABNB,138.0,137.55,138.45,136.21,136.79,3690187,508154617.7041,137.7,0.59,431602213,626603000.0,59561105394.0,86471190000.0
2025-05-16,ABNB,136.79,137.08,137.78,135.27,137.45,3463732,473505014.8457,136.7,0.55,431602213,626603000.0,59038866716.27,85713000000.0
2025-05-15,ABNB,137.45,138.35,139.84,137.1,138.05,6148711,850277636.4776,138.29,0.98,431602213,626603000.0,59323724176.85,86126563000.0
2025-05-14,ABNB,138.05,134.62,138.53,133.75,134.21,6890731,946417165.1257,137.35,1.1,431602213,626603000.0,59582689820.67,86502500000.0
2025-05-13,ABNB,134.21,133.16,134.85,132.14,127.04,7198289,961507206.1845,133.57,1.15,431602213,626603000.0,57925337322.75,84096310000.0
2025-05-10,ABNB,127.04,124.96,127.33,123.4,126.39,6145152,770989205.376,125.46,0.98,431602213,626603000.0,54830745139.52,79603630000.0
2025-05-09,ABNB,126.39,124.63,127.63,123.62,123.12,3819882,482826629.1994,126.4,0.61,431602213,626603000.0,54550203701.07,79196380000.0
2025-05-08,ABNB,123.12,121.34,123.65,120.41,121.67,3424249,419183927.1012,122.42,0.55,431602213,626603000.0,53138864464.56,77147310000.0
2025-05-07,ABNB,121.67,123.15,124.5,121.57,124.89,5229297,640573769.8317,122.5,0.83,431602213,626603000.0,52513041255.71,76238750000.0
2025-05-06,ABNB,124.89,123.36,127.59,122.3,125.26,6761723,850159614.4748,125.73,1.08,431602213,626603000.0,53902800381.57,78256438000.0
2025-05-03,ABNB,125.26,121.1,126.56,120.13,124.01,11301618,1401540885.0794,124.01,1.8,431602213,629603000.0,54062493200.38,78864063000.0
2025-05-02,ABNB,124.01,121.92,125.08,121.9,121.92,9431762,1170730757.0344,124.13,1.49,433034896,631036000.0,53700657452.96,78254688000.0
2025-05-01,ABNB,121.92,121.06,122.25,118.05,125.49,7534188,904079957.436,120.0,1.19,433034896,631036000.0,52795614520.32,76935810000.0
2025-04-30,ABNB,125.49,123.28,125.99,123.16,123.3,6525371,816275689.6083,125.09,1.03,433034896,631036000.0,54341553429.39,79188630000.0
