dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ADI,218.5,219.83,221.19,217.33,217.44,4199395,918588722.4184,218.74,0.85,496248196,496248000.0,103008719284.7,108430190000.0
2025-06-04,ADI,217.44,213.06,217.9,212.08,214.47,3515816,765356930.2952,216.7,0.71,496248196,496248000.0,102975718779.67,108395440000.0
2025-06-03,ADI,215.45,212.4,216.2,212.22,213.98,2233860,479956682.7966,214.86,0.45,496248196,496248000.0,101570840136.79,106916630000.0
2025-05-31,ADI,213.98,215.28,215.84,210.8,215.75,10923407,2336707916.9225,213.92,2.2,496248196,496248000.0,100877829531.08,106187100000.0
2025-05-30,ADI,215.75,218.06,218.5,214.0,215.62,3800393,818632015.0296,215.41,0.77,496248196,496248000.0,101712270872.65,107065500000.0
2025-05-29,ADI,215.62,217.61,218.19,215.46,216.89,3853917,835336933.6809,216.75,0.78,496248196,496248000.0,101650984220.44,107000940000.0
2025-05-28,ADI,216.89,215.15,217.87,212.73,210.47,5542336,1200435615.1168,216.59,1.12,496248196,496248000.0,102249707668.92,107631190000.0
2025-05-24,ADI,210.47,208.98,211.04,206.0,211.93,4848160,1015110164.88,209.38,0.98,496248196,496248000.0,99223094635.87,104445320000.0
2025-05-23,ADI,211.93,221.46,224.4,211.37,222.22,8968266,1926380039.1763,214.8,1.81,496248196,496248000.0,99911386169.37,105169800000.0
2025-05-22,ADI,222.22,222.6,227.39,221.33,224.49,5091059,1138805292.7613,223.69,1.03,495976483,495977000.0,104705104061.42,110215800000.0
2025-05-21,ADI,224.49,222.32,224.6,221.93,224.54,2619352,586009549.4312,223.72,0.53,495976483,495977000.0,105774677347.01,111341700000.0
2025-05-20,ADI,224.54,223.64,226.81,223.07,227.11,3974323,893974716.988,224.94,0.8,495976483,495977000.0,105798231518.18,111366500000.0
2025-05-17,ADI,227.11,227.16,227.8,225.53,227.12,3618204,820685047.4864,226.82,0.73,495976483,495977000.0,107009162813.2,112641190000.0
2025-05-16,ADI,227.12,224.43,228.8,224.01,226.82,3045249,690546479.6656,226.76,0.61,495976483,495977000.0,107013869878.01,112646130000.0
2025-05-15,ADI,226.82,227.64,228.34,224.01,226.68,4648602,1050891371.0782,226.07,0.94,495976483,495977000.0,106872521292.13,112497380000.0
2025-05-14,ADI,226.68,221.97,227.07,220.25,223.15,4373922,988320524.0542,225.96,0.88,495976483,495977000.0,106806551708.12,112427880000.0
2025-05-13,ADI,223.15,222.87,225.49,219.1,207.51,6358274,1415929823.0893,222.69,1.28,495976483,495977000.0,105143294572.38,110677100000.0
2025-05-10,ADI,207.51,207.24,210.14,206.29,202.78,3537650,736236296.3015,208.11,0.71,495976483,495977000.0,97774075987.96,102920070000.0
2025-05-09,ADI,202.78,202.26,206.04,200.96,199.86,3422453,696529420.6728,203.52,0.69,495976483,495977000.0,95545405661.6,100574070000.0
2025-05-08,ADI,199.86,196.63,200.72,195.69,195.6,2966391,589627492.2602,198.77,0.6,495976483,495977000.0,94169571609.54,99125810000.0
2025-05-07,ADI,195.6,194.89,197.4,194.26,197.72,2535541,496560628.3495,195.84,0.51,495976483,495977000.0,92162354782.84,97012938000.0
2025-05-06,ADI,197.72,196.16,199.72,195.59,198.59,2022742,400790549.9124,198.14,0.41,495976483,495977000.0,93161251419.6,98064438000.0
2025-05-03,ADI,198.59,197.86,199.71,197.15,193.74,3795868,753715141.816,198.56,0.77,495976483,495977000.0,93571171271.02,98495938000.0
2025-05-02,ADI,193.74,196.84,197.17,193.44,194.92,3439454,671216017.4571,195.15,0.69,495976483,495977000.0,91285964337.38,96090438000.0
2025-05-01,ADI,194.92,187.55,195.34,186.73,192.67,4415391,851494069.2527,192.85,0.89,495976483,495977000.0,91841949263.04,96675690000.0
2025-04-30,ADI,192.67,191.5,194.82,190.36,193.72,3939847,759827072.879,192.86,0.79,495976483,495977000.0,90781799530.63,95559750000.0
2025-04-29,ADI,193.72,193.36,196.37,189.95,194.59,3397835,655864756.3688,193.02,0.69,495976483,495977000.0,91276540784.2,96080500000.0
2025-04-26,ADI,194.59,192.95,196.37,191.69,195.23,3206797,622497372.7937,194.12,0.65,495976483,495977000.0,91686460635.62,96512000000.0
2025-04-25,ADI,195.23,192.73,197.52,191.05,183.11,5523106,1075612797.8979,194.75,1.11,495976483,495977000.0,91988014337.29,96829440000.0
2025-04-24,ADI,183.11,185.99,187.84,182.48,178.5,4185442,773083407.1578,184.71,,495976483,,86277345823.8,
2025-04-23,ADI,178.5,176.78,179.19,175.21,174.99,3735027,664502052.4446,177.91,0.75,495976483,495977000.0,84105212104.73,88531750000.0
2025-04-22,ADI,174.99,172.65,175.47,171.0,176.27,3650119,632985787.8981,173.42,0.74,495976483,495977000.0,82451383233.94,86790875000.0
2025-04-18,ADI,176.27,177.89,178.34,173.58,175.93,3341240,588608876.352,176.16,0.67,495976483,495977000.0,83054490637.27,87425750000.0
2025-04-17,ADI,175.93,173.67,177.36,170.39,179.54,4392828,768465560.0675,174.94,0.89,495976483,495977000.0,82894285521.48,87257130000.0
2025-04-16,ADI,179.54,178.6,182.47,178.07,178.6,3035881,546604939.823,180.05,0.61,495976483,495977000.0,84595236869.93,89047560000.0
2025-04-15,ADI,178.6,183.26,185.0,175.58,179.16,3912108,700497755.1612,179.06,0.79,495976483,495977000.0,84152334582.39,88581313000.0
2025-04-12,ADI,179.16,172.13,180.98,167.2,178.36,6528891,1149076981.3308,176.0,1.32,495976483,495977000.0,84416194071.34,88859060000.0
2025-04-11,ADI,178.36,189.63,189.63,170.93,196.63,8548020,1522755395.226,178.14,1.72,495976483,495977000.0,84039251944.26,88462310000.0
2025-04-10,ADI,196.63,166.05,198.46,164.58,166.09,10941563,2056122216.0311,187.92,2.21,495976483,495977000.0,92647667771.45,97523810000.0
2025-04-09,ADI,166.09,175.38,179.24,161.83,171.34,7640250,1294392894.8025,169.42,1.54,495976483,495977000.0,78257897358.4,82376688000.0
2025-04-08,ADI,171.34,163.2,183.31,158.65,164.6,10236504,1742880580.8602,170.26,2.06,495976483,495977000.0,80731580067.36,84980560000.0
2025-04-05,ADI,164.6,174.61,176.41,164.14,180.88,9634184,1614844445.1042,167.62,1.94,495976483,495977000.0,77555847358.49,81637690000.0
2025-04-04,ADI,180.88,191.82,193.2,180.4,199.59,6970781,1274527838.9466,182.84,1.41,495976483,495977000.0,85226619644.56,89712188000.0
2025-04-03,ADI,199.59,195.76,202.3,195.76,199.18,2437534,485755919.3278,199.28,0.49,495976483,495977000.0,94042348929.87,98991880000.0
2025-04-02,ADI,199.18,200.26,200.84,195.12,201.67,3383360,670622586.1536,198.21,0.68,495976483,495977000.0,93849166089.74,98788500000.0
2025-04-01,ADI,201.67,200.23,202.52,196.8,201.56,3803746,762724523.3353,200.52,0.77,495976483,495977000.0,95022398460.28,100023500000.0
2025-03-29,ADI,201.56,207.82,208.06,200.77,208.94,3521430,712654678.395,202.38,0.71,495976483,495977000.0,94970568917.81,99968938000.0
2025-03-28,ADI,208.94,208.68,211.0,205.88,210.53,2885111,602280192.7606,208.75,0.58,495976483,495977000.0,98447864751.9,103629250000.0
2025-03-27,ADI,210.53,213.15,214.9,209.69,213.58,2454565,518537926.3382,211.25,0.49,495976483,495977000.0,99197032517.69,104417880000.0
2025-03-26,ADI,213.58,210.98,214.63,210.98,212.34,2549646,544812946.6428,213.68,0.51,495976483,495977000.0,100634129088.96,105930630000.0
2025-03-25,ADI,212.34,210.0,214.08,209.74,204.4,3456682,734654190.718,212.53,0.7,495976483,495977000.0,100049864080.21,105315570000.0
2025-03-22,ADI,204.4,203.06,205.27,201.28,205.9,5070461,1034510946.447,204.03,1.02,495976483,495977000.0,96308713468.94,101377500000.0
2025-03-21,ADI,205.9,208.17,208.17,204.81,209.97,2775730,571813425.931,206.0,0.56,495976483,495977000.0,102121557849.7,102121500000.0
2025-03-20,ADI,209.97,209.19,213.03,208.09,209.16,2571926,540350850.5108,210.1,0.52,495976483,495977000.0,98933177740.51,104140130000.0
2025-03-19,ADI,209.16,210.58,210.75,207.69,211.68,2657324,555843621.8408,209.17,0.54,495976483,495977000.0,98551523836.84,103738380000.0
2025-03-18,ADI,211.68,207.75,213.37,207.37,208.75,2514464,529848859.8656,210.72,0.51,495976483,495977000.0,99738886825.37,104988250000.0
2025-03-15,ADI,208.75,207.36,209.85,206.23,203.8,2614297,545164346.7173,208.53,0.53,495976483,495977000.0,98358336284.94,103535070000.0
2025-03-14,ADI,203.8,206.0,208.16,202.59,206.62,2625568,538267695.68,205.01,0.53,495976483,495977000.0,96026011585.41,101079940000.0
2025-03-13,ADI,206.62,209.08,212.99,205.62,209.08,3731788,776424653.2339,208.06,0.75,495976483,495977000.0,97354727871.59,102478630000.0
2025-03-12,ADI,209.08,217.33,217.39,206.48,216.26,4225516,887014867.8044,209.92,0.85,495976483,495977000.0,98513829624.13,103698750000.0
2025-03-11,ADI,216.26,220.22,221.15,213.15,225.86,4946559,1072052397.7371,216.73,1.0,495976483,495977000.0,101896880502.9,107259820000.0
2025-03-08,ADI,225.86,223.59,226.66,219.74,222.77,3915513,877028317.3953,223.99,0.79,495976483,495977000.0,106420190739.64,112021190000.0
2025-03-07,ADI,222.77,225.68,228.87,222.05,229.47,4389567,982071284.4552,223.73,,495976483,,104964251773.79,
2025-03-06,ADI,229.47,227.18,229.86,222.7,226.18,3529092,803898960.1549,227.79,0.71,495976483,495977000.0,108121142088.09,113811690000.0
2025-03-05,ADI,226.18,230.46,231.44,223.9,227.54,4279078,971805186.8744,227.11,0.86,495976483,495977000.0,106570962878.69,112179880000.0
2025-03-04,ADI,227.54,230.84,232.81,224.69,229.06,4935754,1133939630.3846,228.74,1.0,495976483,495977000.0,107678230376.99,113345440000.0
2025-03-01,ADI,230.06,225.99,230.12,223.05,223.85,4481375,1024648961.2012,228.65,0.9,495976483,495977000.0,108399132195.03,114104320000.0
2025-02-28,ADI,223.85,234.23,234.23,223.5,233.73,4450590,1008787196.583,226.66,0.9,495976483,495977000.0,105473123645.35,111024320000.0
2025-02-27,ADI,233.73,235.04,236.38,231.83,235.3,2905552,679294551.6843,233.79,0.59,495976483,495977000.0,110128354203.01,115924500000.0
2025-02-26,ADI,235.3,238.33,238.33,234.38,236.99,3910525,922828018.5978,235.99,0.79,495976483,495977000.0,110868107839.18,116703190000.0
2025-02-25,ADI,236.99,240.28,240.64,236.18,238.91,4714434,1120989630.5388,237.78,0.95,495976483,495977000.0,111664398082.64,
2025-02-22,ADI,238.91,244.93,246.08,237.76,243.82,5665496,1362621473.6008,240.51,1.14,495976483,495977000.0,112569059187.63,
2025-02-21,ADI,243.82,243.54,247.1,242.55,241.66,5862102,1432357199.2948,244.34,1.18,495976483,495977000.0,114882541492.58,120928940000.0
2025-02-20,ADI,241.66,230.02,242.51,224.1,220.22,9737125,2295613879.1625,235.76,1.96,496107497,496108000.0,113894875551.79,119889250000.0
2025-02-19,ADI,220.22,217.27,220.51,215.77,214.61,7368270,1613556816.144,218.99,1.49,496107497,496108000.0,103790158052.89,109252750000.0
2025-02-15,ADI,214.61,211.24,215.15,210.63,209.34,3936935,841211633.6089,213.67,0.79,496107497,496108000.0,101146153147.63,106469570000.0
2025-02-14,ADI,209.34,204.99,209.65,204.99,205.13,3133787,652620857.4897,208.25,0.63,496107497,496108000.0,98662386250.88,103855130000.0
2025-02-13,ADI,205.13,201.01,205.4,200.8,203.46,2411265,491878046.5005,203.99,0.49,496107497,496108000.0,96678209029.65,101766500000.0
2025-02-12,ADI,203.46,202.93,206.62,202.64,204.86,2229676,455270206.806,204.19,0.45,496107497,496108000.0,95891134485.66,100938000000.0
2025-02-11,ADI,204.86,206.58,207.21,202.97,205.21,2803870,574421024.1027,204.87,0.57,496107497,496108000.0,96550957456.67,101632570000.0
2025-02-08,ADI,205.21,207.68,209.55,203.74,207.83,3146147,646475319.3952,205.48,0.63,496107497,496108000.0,96715913199.42,101806190000.0
2025-02-07,ADI,207.83,208.73,210.51,205.75,209.8,2712043,563115346.6297,207.64,0.55,496107497,496108000.0,97950724759.46,103105940000.0
2025-02-06,ADI,209.8,205.43,210.55,204.16,206.01,4434598,923934346.9324,208.35,0.89,496107497,496108000.0,98879189940.09,104083320000.0
2025-02-05,ADI,206.01,204.6,208.35,204.07,205.24,4647109,959793027.3406,206.54,0.94,496107497,496108000.0,97092950184.12,102203070000.0
2025-02-04,ADI,205.24,209.29,209.65,202.77,211.89,4475199,921860562.6468,205.99,0.9,496107497,496108000.0,96730052263.09,101821070000.0
2025-02-01,ADI,211.89,211.71,217.62,210.69,212.4,3486064,743806520.4654,213.37,0.7,496107497,496108000.0,99864206662.36,105120190000.0
2025-01-31,ADI,212.4,210.23,213.07,209.1,209.91,2871962,607624446.6944,211.57,0.58,496107497,496108000.0,100104570744.66,105373190000.0
2025-01-30,ADI,209.91,209.54,211.87,209.01,209.52,2195837,461905731.3024,210.36,0.44,496107497,496108000.0,98931033173.53,104137880000.0
2025-01-29,ADI,209.52,212.81,213.91,207.9,215.42,3709804,778734603.1304,209.91,0.75,496107497,496108000.0,98747225345.89,103944440000.0
2025-01-28,ADI,215.42,217.4,220.82,213.64,217.37,7070344,1532357846.9266,216.73,1.43,496107497,496108000.0,101527903153.55,106871400000.0
2025-01-25,ADI,217.37,224.62,226.04,217.13,228.35,3892328,852334200.784,218.98,0.78,496296854,496297000.0,102486044796.28,107879940000.0
2025-01-24,ADI,228.35,221.88,228.43,221.53,224.08,2530168,572695961.5977,226.35,0.51,496296854,496297000.0,107662921995.18,113329320000.0
2025-01-23,ADI,224.08,221.45,226.22,221.1,221.45,2650822,595036137.7388,224.47,0.53,496296854,496297000.0,105649693806.92,111210130000.0
2025-01-22,ADI,221.45,219.23,223.65,219.16,219.16,3699923,820804978.0274,221.84,0.75,496296854,496297000.0,104409691402.38,109904880000.0
2025-01-18,ADI,219.16,220.56,220.64,217.84,215.02,2856882,626460227.5302,219.28,0.58,496296854,496297000.0,103330002311.33,108768380000.0
2025-01-17,ADI,215.02,218.3,218.3,212.71,218.22,3078338,663775281.3798,215.63,0.62,496296854,496297000.0,101378066784.55,106713690000.0
2025-01-16,ADI,218.22,217.5,219.59,215.7,214.65,3264528,711779403.7632,218.03,0.66,496296854,496297000.0,102886809220.71,108301880000.0
2025-01-15,ADI,214.65,213.16,214.83,211.54,212.95,1609702,344062711.6532,213.74,0.32,496296854,496297000.0,101203613725.55,106530070000.0
2025-01-14,ADI,212.95,209.34,213.37,208.09,212.37,3574995,757795265.145,211.97,0.72,496296854,496297000.0,100402094306.34,105686380000.0
2025-01-11,ADI,212.37,217.54,219.37,211.79,220.44,4036967,862557746.6616,213.66,0.81,496296854,496297000.0,100128634739.78,105398500000.0
2025-01-09,ADI,220.44,215.4,221.16,212.63,215.87,3042822,666786395.1406,219.13,0.61,496296854,496297000.0,103933499285.79,109403630000.0
2025-01-08,ADI,215.87,219.79,220.28,214.3,218.0,3519415,764297981.773,217.17,0.71,496296854,496297000.0,101778821779.33,107135500000.0
2025-01-07,ADI,218.0,215.33,221.53,214.78,215.37,2461218,538855155.5834,218.94,,496296854,,102783078463.4,
2025-01-04,ADI,215.37,212.76,216.11,210.4,211.35,2324103,498490344.9816,214.49,0.47,496296854,496297000.0,101543080773.68,106887380000.0
2025-01-03,ADI,211.35,215.49,217.25,209.75,212.46,2357432,500561575.4031,212.33,0.48,496296854,496297000.0,99647727803.08,104892250000.0
2025-01-01,ADI,212.46,214.0,214.55,211.07,212.56,1593957,338626441.5123,212.44,0.32,496296854,496297000.0,100171072835.62,105443190000.0
2024-12-31,ADI,212.56,214.25,214.63,211.03,216.99,2555760,543349490.0376,212.6,0.51,496296854,496297000.0,100218216321.93,105492750000.0
2024-12-28,ADI,216.99,217.43,218.25,215.24,218.06,1922990,416877694.738,216.79,0.39,496296854,496297000.0,102306886346.81,107691380000.0
2024-12-27,ADI,218.06,215.39,219.07,215.39,218.09,1178277,257022051.2454,218.13,0.24,496296854,496297000.0,102811367384.08,108222440000.0
2024-12-25,ADI,218.09,215.94,218.21,213.67,214.89,1062917,230746950.8628,217.09,0.21,496296854,496297000.0,102825511844.42,108237320000.0
2024-12-24,ADI,214.89,211.93,215.58,211.55,211.78,2250563,481934232.9878,214.14,0.45,496296854,496297000.0,101316769408.26,106649190000.0
2024-12-21,ADI,211.78,206.28,213.36,205.83,207.78,6515379,1375390708.2127,211.1,1.31,496296854,496297000.0,99850460353.11,105105690000.0
2024-12-20,ADI,207.78,209.6,210.61,207.23,207.77,3931965,819942884.559,208.53,0.79,496296854,496297000.0,97964532307.91,103120500000.0
2024-12-19,ADI,207.77,215.16,218.95,207.26,213.82,3881541,820027199.5607,211.26,0.78,496296854,496297000.0,97959822202.62,103115570000.0
2024-12-18,ADI,213.82,215.89,217.93,212.36,216.31,3228936,691058820.0816,214.02,0.65,496296854,496297000.0,100812288370.99,106118130000.0
2024-12-17,ADI,216.31,214.92,217.79,213.66,216.61,3391813,733968660.6846,216.39,0.68,496296854,496297000.0,101986273864.3,107353940000.0
2024-12-14,ADI,216.61,215.41,217.97,213.75,217.72,2720734,589054147.1104,216.51,0.55,496296854,496297000.0,102127723182.51,107502820000.0
2024-12-13,ADI,217.72,215.15,218.73,214.64,217.12,2995032,650829438.696,217.3,0.6,496296854,496297000.0,102651068215.06,108053700000.0
2024-12-12,ADI,217.12,216.03,219.04,215.56,215.61,3616400,785662538.36,217.25,0.73,496296854,496297000.0,102368174293.46,107755880000.0
2024-12-11,ADI,215.61,219.04,219.67,214.5,219.04,2313904,499246307.3072,215.76,0.47,496296854,496297000.0,101656241171.21,107006500000.0
2024-12-10,ADI,219.04,215.97,223.55,215.16,217.28,2347417,515899345.8244,219.77,0.47,496296854,496297000.0,103273419755.15,108708820000.0
2024-12-07,ADI,218.2,214.73,218.59,213.73,214.55,3189058,693690306.1666,217.52,0.64,496296854,496297000.0,102877374865.66,108291880000.0
2024-12-06,ADI,214.55,217.23,219.39,213.86,218.3,2473910,532125201.4071,215.09,0.5,496296854,496297000.0,101156470239.24,106480440000.0
2024-12-05,ADI,218.3,223.11,223.21,217.86,221.54,2522740,552046678.4954,218.83,0.51,496296854,496297000.0,102924527781.61,108341570000.0
2024-12-04,ADI,221.54,221.58,223.33,219.95,223.12,2331987,517102049.8596,221.74,0.47,496296854,496297000.0,104452124783.4,109949570000.0
2024-12-03,ADI,223.12,218.13,224.79,217.01,218.05,3222548,716786517.818,222.43,0.65,496296854,496297000.0,105197066361.26,110733690000.0
2024-11-30,ADI,218.05,219.19,221.7,217.5,217.17,1992602,436094895.914,218.86,0.4,496296854,496297000.0,102806657278.79,108217500000.0
2024-11-28,ADI,217.17,219.32,219.4,213.9,219.05,2679862,580119937.4142,216.47,0.54,496296854,496297000.0,102391748394.02,107780750000.0
2024-11-27,ADI,219.05,232.15,233.55,216.01,223.58,6171535,1371690368.0433,222.26,1.24,496216960,496217000.0,103261513547.66,108696250000.0
2024-11-26,ADI,223.58,217.74,225.0,216.0,214.59,7213176,1601620090.8984,222.04,1.45,496216960,496217000.0,105396983235.02,110944130000.0
2024-11-23,ADI,214.59,211.54,214.75,211.54,213.96,2589485,554113019.313,213.99,0.52,496216960,496217000.0,101159037574.08,106483130000.0
2024-11-22,ADI,213.96,212.29,215.01,210.05,211.01,2518242,537544692.7926,213.46,0.51,496216960,496217000.0,100862056437.58,106170570000.0
2024-11-21,ADI,211.01,207.25,211.16,207.25,210.43,2990528,626651714.9293,209.55,0.6,496216960,496217000.0,99471403693.12,104706690000.0
2024-11-20,ADI,210.43,207.7,210.82,206.8,209.65,2884310,604386105.037,209.54,0.58,496216960,496217000.0,99197988148.16,104418880000.0
2024-11-19,ADI,209.65,206.52,209.89,206.11,206.35,3773740,788821136.1974,209.03,0.76,496216960,496217000.0,98830291380.8,104031820000.0
2024-11-16,ADI,206.35,208.77,210.38,205.4,212.24,3880543,802695752.3102,206.85,0.78,496216960,496217000.0,97274655925.26,102394320000.0
2024-11-15,ADI,212.24,213.44,215.04,211.46,212.84,3209385,682086453.9433,212.53,0.65,496216960,496217000.0,100051237924.94,105317070000.0
2024-11-14,ADI,212.84,216.77,217.68,212.44,219.55,4497246,961271941.3128,213.75,0.91,496216960,496217000.0,100334076878.08,105614750000.0
2024-11-13,ADI,219.55,220.49,220.85,215.9,220.47,2582665,564706443.0057,218.65,0.52,496216960,496217000.0,103497216603.66,108944380000.0
2024-11-12,ADI,220.47,223.85,225.01,218.42,225.8,3105278,684959457.5426,220.58,0.63,496216960,496217000.0,103930910226.7,109400880000.0
2024-11-09,ADI,225.8,226.56,228.12,224.76,227.77,3017184,681478677.9072,225.87,0.61,496216960,496217000.0,106443504803.66,112045750000.0
2024-11-08,ADI,227.77,229.63,230.27,225.72,226.25,2433887,554062449.5037,227.65,0.49,496216960,496217000.0,107372174844.3,113023250000.0
2024-11-07,ADI,226.25,223.68,228.09,221.94,217.6,3589880,811602619.2148,226.08,0.72,496216960,496217000.0,106655632840.0,112269070000.0
2024-11-06,ADI,217.6,219.31,219.31,215.32,224.19,3751124,815150754.6416,217.31,0.76,496216960,496217000.0,102577974685.26,107976750000.0
2024-11-05,ADI,224.19,225.0,226.78,223.44,225.48,1596566,359055559.4984,224.89,0.32,496216960,496217000.0,105684540963.34,111246820000.0
2024-11-02,ADI,225.48,223.87,226.6,223.0,223.11,2922814,658558542.1405,225.32,0.59,496216960,496217000.0,106292650133.76,111886940000.0
2024-11-01,ADI,223.11,230.16,230.2,220.83,230.12,4258086,950334110.9724,223.18,0.86,496216960,496217000.0,105175422362.38,110710940000.0
2024-10-31,ADI,230.12,230.78,232.99,229.88,235.23,2084447,481094557.3385,230.8,0.42,496216960,496217000.0,108479974493.44,114189380000.0
2024-10-30,ADI,235.23,229.7,235.86,229.01,230.14,2056224,481619086.9622,234.23,0.41,496216960,496217000.0,110888859725.76,116725070000.0
2024-10-29,ADI,230.14,229.13,231.95,228.6,230.17,3403740,784008281.502,230.34,0.69,496216960,496217000.0,108489402615.68,114199300000.0
2024-10-26,ADI,230.17,231.84,235.2,230.04,229.68,1733471,401967482.9589,231.89,0.35,496216960,496217000.0,108503544799.04,114214250000.0
2024-10-25,ADI,229.68,228.74,230.34,227.42,226.85,2376151,544472665.8306,229.14,0.48,496216960,496217000.0,108272555804.16,113971070000.0
2024-10-24,ADI,226.85,228.08,229.51,224.01,224.62,2492028,565157834.5367,226.79,0.5,496216960,496217000.0,106938481221.26,112566800000.0
2024-10-23,ADI,224.62,224.44,225.61,222.71,225.67,1833704,411740097.8674,224.54,0.37,496216960,496217000.0,105887240877.44,111460190000.0
2024-10-22,ADI,225.67,226.3,226.41,222.41,228.33,2212385,496783308.4025,224.55,0.45,496216960,496217000.0,106382217295.04,111981190000.0
2024-10-19,ADI,228.33,229.17,229.78,226.97,227.34,1763100,402528600.63,228.31,0.36,496216960,496217000.0,107636162267.02,113301190000.0
2024-10-18,ADI,227.34,232.52,233.56,227.17,227.49,3637854,831509781.9395,228.57,0.73,496216960,496217000.0,107169465502.08,112809940000.0
2024-10-17,ADI,227.49,228.85,230.34,225.96,225.87,1585728,361411054.4045,227.91,0.32,496216960,496217000.0,107240181132.94,112884300000.0
2024-10-16,ADI,225.87,236.01,236.76,224.08,236.43,4112176,935846135.5568,227.58,0.83,496216960,496217000.0,106476498517.44,112080440000.0
2024-10-15,ADI,236.43,233.8,237.03,232.7,232.86,1770326,417775709.7913,235.99,0.36,496216960,496217000.0,111454547060.16,117320500000.0
2024-10-12,ADI,232.86,229.32,234.0,229.32,230.7,1428915,332831898.2537,232.93,0.29,496216960,496217000.0,109771631954.38,115549000000.0
2024-10-11,ADI,230.7,229.7,231.83,228.67,233.24,1736384,400664704.2944,230.75,0.35,496216960,496217000.0,108753390038.4,114477200000.0
2024-10-10,ADI,233.24,230.4,233.58,229.29,229.4,2410856,560521850.2296,232.5,0.49,496216960,496217000.0,109950766276.94,115737600000.0
2024-10-09,ADI,229.4,226.74,230.51,224.31,226.51,2447430,560141590.899,228.87,0.49,496216960,496217000.0,108140562092.8,113832130000.0
2024-10-08,ADI,226.51,225.65,227.31,224.09,228.23,1564916,353666493.3928,226.0,0.32,496216960,496217000.0,106778198429.12,112398100000.0
2024-10-05,ADI,228.23,231.9,232.36,226.11,226.56,1895235,432422711.7808,228.16,0.38,496216960,496217000.0,107589016941.76,113251570000.0
2024-10-04,ADI,226.56,224.63,228.84,224.46,227.73,2087713,472840689.3162,226.49,0.42,496216960,496217000.0,106801768734.72,112422900000.0
2024-10-03,ADI,227.73,224.98,229.97,223.54,223.67,1857982,423391940.1884,227.88,0.37,496216960,496217000.0,107353313885.76,113003440000.0
2024-10-02,ADI,223.67,228.93,229.44,222.4,230.17,3121042,699944884.7992,224.27,0.63,496216960,496217000.0,105439405071.04,110988820000.0
2024-10-01,ADI,230.17,228.9,230.56,226.66,232.05,2711776,621785315.5786,229.29,0.55,496216960,496217000.0,108503544799.04,114214300000.0
2024-09-28,ADI,232.05,234.71,235.26,231.09,232.46,2277852,530063016.7345,232.7,0.46,496216960,496217000.0,109389793003.66,115147070000.0
2024-09-27,ADI,232.46,232.62,233.98,224.81,226.64,3883019,898024289.7526,231.27,0.78,496216960,496217000.0,109583069509.58,115350600000.0
2024-09-26,ADI,226.64,224.1,227.58,224.1,227.33,2042633,462268498.9196,226.31,0.41,496216960,496217000.0,106839481223.68,112462570000.0
2024-09-25,ADI,227.33,228.64,230.8,226.82,226.01,1984834,452694408.6161,228.08,0.4,496216960,496217000.0,107164756155.02,112804940000.0
2024-09-24,ADI,226.01,224.78,226.84,224.2,226.78,1357854,306505396.1412,225.73,0.27,496216960,496217000.0,106542495373.12,112149940000.0
2024-09-21,ADI,226.78,231.97,232.48,224.35,233.45,5009738,1138929367.1078,227.34,1.01,496216960,496217000.0,106905478079.36,112532070000.0
2024-09-20,ADI,233.45,230.0,235.76,227.87,222.64,6658832,1552287005.9323,233.12,1.34,496216960,496217000.0,110049756846.4,115841820000.0
2024-09-19,ADI,222.64,228.87,228.87,221.96,225.35,2527316,566670269.6244,224.22,0.51,496216960,496217000.0,104953856775.68,110477700000.0
2024-09-18,ADI,225.35,227.44,229.04,222.65,223.28,2524392,568494845.4744,225.2,0.51,496216960,496217000.0,106231372053.26,111822440000.0
2024-09-17,ADI,223.28,222.39,224.46,220.69,225.42,2124156,473329526.2024,222.83,0.43,496216960,496217000.0,105255556687.36,110795300000.0
2024-09-14,ADI,225.42,223.84,226.55,223.01,221.53,2032240,458026271.5224,225.38,0.41,496216960,496217000.0,106264365767.04,111857190000.0
