dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ADP,326.21,325.72,327.56,323.96,326.53,1229954,400931081.8687,325.97,0.3,405922749,405923000.0,124471084907.19,132416000000.0
2025-06-04,ADP,326.53,324.46,326.8,322.98,325.8,2155924,701942767.7196,325.59,0.53,405922749,405923000.0,124593209364.13,132545940000.0
2025-06-03,ADP,325.8,322.8,325.91,321.07,325.53,1502572,487648458.2843,324.54,0.37,405922749,405923000.0,124314672805.12,132249630000.0
2025-05-31,ADP,325.53,325.18,326.6,323.37,324.12,2925090,951746186.097,325.37,0.72,405922749,405923000.0,124211641980.07,132140000000.0
2025-05-30,ADP,324.12,324.2,325.07,321.27,324.14,921705,298349788.3788,323.69,0.23,405922749,405923000.0,123673666309.61,131567690000.0
2025-05-29,ADP,324.14,327.32,327.99,323.71,325.71,1158732,376517750.3647,324.94,0.29,405922749,405923000.0,123681213712.47,131575700000.0
2025-05-28,ADP,325.71,322.88,326.0,321.82,321.09,1745156,567148021.8258,324.98,0.43,405922749,405923000.0,124280301215.16,132213070000.0
2025-05-24,ADP,321.09,319.07,321.83,317.66,321.65,962536,308478927.4816,320.49,0.24,405922749,405923000.0,122517505688.89,130337750000.0
2025-05-23,ADP,321.65,322.6,323.21,320.15,322.63,1273688,409822487.724,321.76,0.31,405922749,405923000.0,122731114741.83,130564900000.0
2025-05-22,ADP,322.63,320.31,323.66,320.31,322.8,1892350,610026934.6625,322.36,0.47,405922749,405923000.0,123105043146.87,130962800000.0
2025-05-21,ADP,322.8,321.36,323.14,320.84,322.96,1015039,327210814.1492,322.36,0.25,405922749,405923000.0,123169970652.94,131031800000.0
2025-05-20,ADP,322.96,318.72,323.17,317.37,319.37,1530564,493107298.6048,322.17,0.38,405922749,405923000.0,123230990909.0,131096800000.0
2025-05-17,ADP,319.37,316.44,319.5,314.39,315.85,1489162,473878555.3897,318.22,0.37,405922749,405923000.0,121861221235.33,129639500000.0
2025-05-16,ADP,315.85,309.96,315.95,309.96,309.41,1696989,534855635.4288,315.18,0.42,405922749,405923000.0,120518096412.09,128210700000.0
2025-05-15,ADP,309.41,306.66,309.98,305.51,308.19,1163118,358632500.8649,308.34,0.29,405922749,405923000.0,118060733776.61,125596500000.0
2025-05-14,ADP,308.19,310.09,310.86,308.18,309.38,1215499,375690685.1665,309.08,0.3,405922749,405923000.0,117595233015.08,125101300000.0
2025-05-13,ADP,309.38,311.82,312.14,305.21,307.72,1682981,518550866.1543,308.11,0.41,405922749,405923000.0,118049275308.07,125584300000.0
2025-05-10,ADP,307.72,307.09,308.71,305.82,307.09,851726,261780779.7613,307.35,0.21,405922749,405923000.0,117415907791.6,124910500000.0
2025-05-09,ADP,307.09,306.9,309.67,305.19,305.18,1164272,358134735.9307,307.6,0.29,405922749,405923000.0,117175562312.05,124654800000.0
2025-05-08,ADP,305.18,303.41,306.2,302.38,303.33,2013032,613578655.6934,304.8,0.5,405922749,405923000.0,116446711373.39,123879400000.0
2025-05-07,ADP,303.33,303.23,304.19,300.93,303.96,1006759,305272635.2709,303.22,0.25,405922749,405923000.0,115740865132.31,123128500000.0
2025-05-06,ADP,303.96,303.3,305.75,301.45,303.57,1232849,375008230.7328,304.18,0.3,405922749,405923000.0,115981210611.86,123384190000.0
2025-05-03,ADP,303.57,301.02,305.06,300.09,298.69,1720851,522804291.0252,303.81,0.42,405922749,405923000.0,115832437488.81,123225940000.0
2025-05-02,ADP,298.69,299.21,300.32,293.73,300.6,1667514,497972774.0458,298.63,0.41,406300000,406300000.0,114076263083.9,121357690000.0
2025-05-01,ADP,300.6,290.74,301.36,288.34,295.77,3342317,996523745.6217,298.15,0.82,406870893,406871000.0,114967105255.52,122305400000.0
2025-04-30,ADP,295.77,292.4,296.02,292.37,293.57,1618330,477358767.7334,294.97,0.4,406870893,406871000.0,113119799430.43,120340200000.0
2025-04-29,ADP,293.57,291.65,294.21,290.4,291.76,1668975,488431091.4367,292.65,0.41,406870893,406871000.0,112278409546.63,119445070000.0
2025-04-26,ADP,291.76,293.09,294.2,288.75,294.55,1481993,431579095.3726,291.22,0.36,406870893,406871000.0,111586136461.77,118708600000.0
2025-04-25,ADP,294.55,293.03,294.86,288.96,293.54,1685890,495263534.4042,293.77,0.41,406870893,406871000.0,112653211364.09,119843800000.0
2025-04-24,ADP,293.54,294.35,297.6,291.73,292.89,1635620,481660141.7978,294.48,,406870893,,112266924313.69,
2025-04-23,ADP,292.89,288.32,295.51,286.76,284.85,1725162,504979690.7263,292.71,0.42,406870893,406871000.0,112018272653.86,119168320000.0
2025-04-22,ADP,284.85,290.77,293.24,280.34,293.28,2315588,660593839.125,285.28,0.57,406870893,406871000.0,108943381684.65,115897130000.0
2025-04-18,ADP,293.28,295.88,296.1,292.96,294.14,1667101,490750422.9075,294.37,0.41,406870893,406871000.0,112167481242.86,119327100000.0
2025-04-17,ADP,294.14,297.96,299.2,292.25,298.06,1406472,415211068.8912,295.21,0.35,406870893,406871000.0,112496345953.13,119676900000.0
2025-04-16,ADP,298.06,301.56,303.27,297.8,301.56,1763342,527806242.9867,299.32,0.43,406870893,406871000.0,113995645013.04,121271900000.0
2025-04-15,ADP,301.56,299.65,304.31,298.72,299.54,1806247,545774112.3975,302.16,0.44,406870893,406871000.0,115334250251.01,122695900000.0
2025-04-12,ADP,299.54,292.21,301.39,290.29,292.21,2188071,651661085.8974,297.82,0.54,406870893,406871000.0,114561676150.21,121874100000.0
2025-04-11,ADP,292.21,293.14,297.47,285.14,294.69,3284681,959135687.7919,292.0,0.81,406870893,406871000.0,111758227551.16,118891600000.0
2025-04-10,ADP,294.69,275.16,295.69,273.81,276.76,3469527,1003202386.6967,289.15,0.85,406870893,406871000.0,112706717327.75,119900700000.0
2025-04-09,ADP,276.76,282.8,286.43,273.54,281.22,3130236,878070200.7406,280.51,0.77,406870893,406871000.0,105849256870.47,112605500000.0
2025-04-08,ADP,281.22,284.09,288.53,272.62,286.13,3541600,992917309.44,280.36,0.87,406870893,406871000.0,107555010928.52,114420200000.0
2025-04-05,ADP,286.13,305.58,306.0,285.9,305.39,3769265,1101948693.5562,292.35,0.93,406870893,406871000.0,109432848426.79,116417900000.0
2025-04-04,ADP,305.39,304.69,309.5,303.48,307.23,1998842,612322020.156,306.34,0.49,406870893,406871000.0,116799005646.61,124254200000.0
2025-04-03,ADP,307.23,304.93,307.97,303.75,306.54,1089325,333538232.2068,306.19,0.27,406870893,406871000.0,117502763964.42,125002900000.0
2025-04-02,ADP,306.54,305.38,307.38,303.59,305.53,1199344,366777025.5568,305.81,0.29,406870893,406871000.0,117238886626.15,124722100000.0
2025-04-01,ADP,305.53,301.25,306.33,300.9,300.83,2492561,757985631.5719,304.1,0.61,406870893,406871000.0,116852599575.75,124311300000.0
2025-03-29,ADP,300.83,306.3,308.89,300.66,305.43,1785442,539713067.0012,302.29,0.44,406870893,406871000.0,115055063093.41,122398940000.0
2025-03-28,ADP,305.43,303.03,306.25,301.28,302.41,1373993,418552287.8667,304.62,0.34,406870893,406871000.0,116814319290.53,124270500000.0
2025-03-27,ADP,302.41,300.42,307.14,298.87,299.38,1851424,561894075.9181,303.49,0.46,406870893,406871000.0,115659286550.31,123041750000.0
2025-03-26,ADP,299.38,299.01,300.03,297.51,298.89,1474739,440957048.2148,299.01,0.36,406870893,406871000.0,114500425399.11,121808880000.0
2025-03-25,ADP,298.89,297.53,300.23,296.73,295.32,1708877,511116104.9182,299.09,0.42,406870893,406871000.0,114313024490.38,121609570000.0
2025-03-22,ADP,295.32,295.16,295.66,292.73,297.51,3951140,1165759952.603,295.04,0.97,406870893,406871000.0,112947712165.62,120157070000.0
2025-03-21,ADP,297.51,295.14,299.81,294.9,298.79,1602359,477095357.894,297.75,0.39,406870893,406871000.0,113785273638.43,121048100000.0
2025-03-20,ADP,298.79,295.93,300.27,295.93,295.93,1291728,385654927.3526,298.56,0.32,406870893,406871000.0,114274832170.65,121568940000.0
2025-03-19,ADP,295.93,295.85,296.48,293.0,296.58,1181010,348836801.5059,295.37,0.29,406870893,406871000.0,113180962216.04,120405190000.0
2025-03-18,ADP,296.58,292.08,297.9,291.22,291.76,1818393,538226580.4843,295.99,0.45,406870893,406871000.0,113429613875.87,120669750000.0
2025-03-15,ADP,291.76,289.2,292.56,289.2,289.01,1429311,416840972.6247,291.64,0.35,406870893,406871000.0,111586136461.77,118708630000.0
2025-03-14,ADP,289.01,292.57,292.63,287.92,292.62,2062513,600577509.1844,289.64,0.51,406870893,406871000.0,111123376806.41,118216320000.0
2025-03-13,ADP,294.18,292.78,294.78,290.1,292.44,1959450,575196175.2045,293.55,0.48,406870893,406871000.0,112511659597.06,119693190000.0
2025-03-12,ADP,292.44,304.11,304.48,292.03,302.99,2923478,861367535.5553,294.64,0.72,406870893,406871000.0,111846185389.05,118985250000.0
2025-03-11,ADP,302.99,306.2,309.34,301.58,306.45,2991382,912337916.7801,304.99,0.74,406870893,406871000.0,115881143157.87,123277750000.0
2025-03-08,ADP,306.45,302.46,307.29,302.46,302.46,2232788,680816648.5312,304.92,0.55,406870893,406871000.0,117204434751.91,124685500000.0
2025-03-07,ADP,302.46,308.5,309.46,299.24,310.43,2912482,883486065.9199,303.34,,406870893,,115678428605.21,
2025-03-06,ADP,310.43,311.38,313.9,309.39,313.44,3470871,1081269544.0951,311.53,0.85,406870893,406871000.0,118726612487.63,126304820000.0
2025-03-05,ADP,313.44,322.84,322.84,308.0,318.64,2167136,683546247.9002,315.41,0.53,406870893,406871000.0,119877816816.87,127529570000.0
2025-03-04,ADP,318.64,316.01,320.5,315.7,315.18,1514573,483002373.2281,318.9,0.37,406870893,406871000.0,121866582618.92,129645250000.0
2025-03-01,ADP,315.18,314.69,316.46,311.13,311.3,3264823,1025596021.959,314.14,0.8,406870893,406871000.0,120543291024.88,128237500000.0
2025-02-28,ADP,311.3,311.98,314.12,310.24,311.38,1489133,464268856.8263,311.77,0.37,406870893,406871000.0,119059393574.38,126658880000.0
2025-02-27,ADP,311.38,312.74,315.29,311.03,313.37,1441459,450374653.627,312.44,0.35,406870893,406871000.0,119089929072.15,126691320000.0
2025-02-26,ADP,313.37,312.99,314.7,310.44,312.2,1879015,588633561.1163,313.27,0.46,406870893,406871000.0,119851109730.08,127501130000.0
2025-02-25,ADP,312.2,310.62,314.06,310.12,310.76,1311289,409865537.7341,312.57,0.32,406870893,406871000.0,119403571928.58,
2025-02-22,ADP,310.76,311.78,312.36,307.32,311.97,1600322,497391887.9764,310.81,0.39,406870893,406871000.0,118852850610.75,
2025-02-21,ADP,311.97,311.97,312.89,309.76,313.22,1304426,406279665.6267,311.46,0.32,406870893,406871000.0,119315614090.68,126931440000.0
2025-02-20,ADP,313.22,310.7,313.72,309.5,309.95,1406993,439269672.6979,312.2,0.35,406870893,406871000.0,119793687389.96,127440070000.0
2025-02-19,ADP,309.95,310.28,311.47,307.77,308.15,1313098,407011335.7897,309.96,0.32,406870893,406871000.0,118543039989.88,126109570000.0
2025-02-15,ADP,308.15,310.0,311.59,308.13,310.22,1097621,339216082.0434,309.05,0.27,406870893,406871000.0,117854595316.0,125377190000.0
2025-02-14,ADP,310.22,306.0,310.58,305.0,306.65,1197633,369402533.4071,308.44,0.29,406870893,406871000.0,118646311471.7,126219440000.0
2025-02-13,ADP,306.65,304.14,306.75,302.81,305.78,1558963,476765229.3549,305.82,0.38,406870893,406871000.0,117280907356.87,124766880000.0
2025-02-12,ADP,305.78,307.56,307.56,304.37,306.93,1144930,349847673.125,305.56,0.28,406870893,406871000.0,116948214235.61,124412940000.0
2025-02-11,ADP,306.93,308.24,308.36,306.48,305.97,902497,277259379.4341,307.21,0.22,406870893,406871000.0,117388007249.66,124880820000.0
2025-02-08,ADP,305.97,310.32,310.37,305.82,308.97,1387867,426601392.6517,307.38,0.34,406870893,406871000.0,118265765044.1,124490250000.0
2025-02-07,ADP,308.97,309.0,310.26,307.51,308.15,1739649,537314131.101,308.86,0.43,406870893,406871000.0,119425347089.15,125710820000.0
2025-02-06,ADP,308.15,305.63,308.2,303.92,304.67,1633000,501283169.43,306.97,0.4,406870893,406871000.0,119108367606.59,125377190000.0
2025-02-05,ADP,304.67,304.14,305.63,303.0,307.32,1256269,382772840.3011,304.69,0.31,406870893,406871000.0,117763260164.88,123961250000.0
2025-02-04,ADP,307.32,303.3,307.94,302.72,303.01,2168018,664816172.2856,306.65,0.53,406870893,406871000.0,118787611751.84,125039570000.0
2025-02-01,ADP,303.01,301.79,305.1,301.18,303.26,2237481,678735722.0101,303.35,0.55,406870893,406871000.0,117121655688.81,123285880000.0
2025-01-31,ADP,303.26,303.52,307.84,301.04,300.57,1363015,413300032.5529,303.22,0.33,406900000,406900000.0,117226673165.55,123396440000.0
2025-01-30,ADP,300.57,304.14,311.67,300.42,298.31,2758526,841355147.0795,305.0,0.68,407457000,407457000.0,116345910061.39,122469320000.0
2025-01-29,ADP,298.31,299.96,302.55,295.67,300.15,2416275,723288580.0335,299.34,0.59,407457000,407457000.0,115471096011.55,121548440000.0
2025-01-28,ADP,300.15,294.7,301.08,294.7,297.1,1623554,485825950.8639,299.24,0.4,407457000,407457000.0,116183272784.93,122298130000.0
2025-01-25,ADP,297.1,293.72,298.3,293.24,295.8,1148104,341052479.1815,297.06,0.28,407457000,407457000.0,115002739673.42,121055440000.0
2025-01-24,ADP,295.8,296.24,297.18,293.68,296.36,1094679,323500632.759,295.52,0.27,407457000,407457000.0,114499510924.21,120525750000.0
2025-01-23,ADP,296.36,297.73,298.68,296.22,298.15,1488499,442305155.7916,297.15,0.37,407457000,407457000.0,114716301273.26,120753940000.0
2025-01-22,ADP,298.15,296.44,299.1,296.44,296.18,1651810,492233334.3754,298.0,0.41,407457000,407457000.0,115409104484.93,121483190000.0
2025-01-18,ADP,296.18,301.09,301.09,295.96,296.23,2405355,715815102.7129,297.59,0.59,407457000,407457000.0,114646560321.95,120680570000.0
2025-01-17,ADP,296.23,291.84,297.61,291.8,293.37,1667287,492731759.8602,295.53,0.41,407457000,407457000.0,114665933883.66,120700880000.0
2025-01-16,ADP,293.37,294.02,295.21,292.36,291.69,1717129,503880532.5957,293.44,0.42,407457000,407457000.0,113558923535.6,119535630000.0
2025-01-15,ADP,291.69,290.3,291.87,287.47,290.2,2320608,674916209.0515,290.84,0.57,407457000,407457000.0,112908556359.29,118851070000.0
2025-01-14,ADP,290.2,285.69,290.48,285.48,286.85,1809164,523487537.4579,289.35,0.44,407457000,407457000.0,112331804846.63,118243940000.0
2025-01-11,ADP,286.85,290.19,292.85,286.7,291.89,2254666,649460509.5122,288.05,0.55,407457000,407457000.0,111035127135.92,116879000000.0
2025-01-09,ADP,291.89,288.51,292.05,288.51,288.4,1508399,439235048.9991,291.19,0.37,407457000,407457000.0,112985953835.09,118932500000.0
2025-01-08,ADP,288.4,287.25,290.0,287.25,287.13,1415670,408500992.7055,288.56,0.35,407457000,407457000.0,111635034022.43,117510500000.0
2025-01-07,ADP,287.13,289.15,290.32,285.86,291.69,1529006,439690766.2885,287.57,,407457000,,111143429410.24,
2025-01-04,ADP,291.69,290.73,292.55,289.79,289.65,1025477,299030949.3134,291.6,0.25,407457000,407457000.0,112908556359.29,118851070000.0
