dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ADSK,298.36,299.1,301.43,298.04,299.52,1031342,308533673.7382,299.16,0.48,214000000,214000000.0,60018119727.6,63849059000.0
2025-06-04,ADSK,299.52,295.12,299.72,294.48,295.26,1525839,455112776.7079,298.27,0.71,214000000,214000000.0,60251447223.2,64097278000.0
2025-06-03,ADSK,295.26,294.41,295.88,291.24,296.12,1023810,301429566.8664,294.42,0.48,214000000,214000000.0,59394503611.6,63185633000.0
2025-05-31,ADSK,296.12,297.49,298.0,293.71,297.0,4533965,1342731105.0503,296.15,2.12,214000000,214000000.0,59567523339.2,63369660000.0
2025-05-30,ADSK,297.0,300.48,301.18,294.79,299.23,1250690,371502568.7821,297.04,0.58,214000000,214000000.0,59744520000.0,63557958000.0
2025-05-29,ADSK,299.23,301.0,303.1,298.86,300.36,1477584,444019045.3373,300.5,0.69,213944535,213945000.0,60177503804.49,64018590000.0
2025-05-28,ADSK,300.36,297.52,301.18,294.79,295.35,2132842,638702358.3094,299.46,1.0,213944535,213945000.0,60404779822.51,64260379000.0
2025-05-24,ADSK,295.35,295.0,304.8,291.53,295.0,3197268,943909097.0155,295.22,1.49,213944535,213945000.0,59397227418.3,63188500000.0
2025-05-23,ADSK,295.0,292.39,296.44,292.37,292.93,2366754,697913366.0359,294.88,1.11,213944535,213945000.0,59326819555.5,63113580000.0
2025-05-22,ADSK,292.93,292.77,297.79,291.8,295.84,1831367,538915066.8194,294.27,0.86,213944535,213945000.0,58910514212.83,62670720000.0
2025-05-21,ADSK,295.84,294.59,295.9,292.27,295.9,1388343,408875496.2757,294.51,0.65,213944535,213945000.0,59495768260.04,63293320000.0
2025-05-20,ADSK,295.9,294.59,297.25,293.0,298.08,1635597,484333981.3542,296.12,0.76,213944535,213945000.0,59507798532.4,63306140000.0
2025-05-17,ADSK,298.08,296.1,298.21,294.82,295.78,1901746,564910035.9826,297.05,0.89,213944535,213945000.0,59946247861.86,63772550000.0
2025-05-16,ADSK,295.78,294.97,297.18,294.4,295.54,1780917,527065787.7015,295.95,0.83,213944535,213945000.0,59483689721.8,63280500000.0
2025-05-15,ADSK,295.54,295.85,297.99,294.65,297.01,1353254,400179617.6862,295.72,0.63,213944535,213945000.0,59435425845.78,63229129000.0
2025-05-14,ADSK,297.01,294.18,298.83,292.95,293.2,1220271,362119897.6446,296.75,0.57,213944535,213945000.0,59731048371.01,63543620000.0
2025-05-13,ADSK,293.2,295.95,297.86,292.52,287.48,1500040,440847340.6156,293.89,0.7,213944535,213945000.0,58964817357.97,62728480000.0
2025-05-10,ADSK,287.48,289.8,291.99,285.77,289.62,906924,261301283.2091,288.12,0.42,213944535,213945000.0,57814486415.41,61504710000.0
2025-05-09,ADSK,289.62,284.89,291.35,284.06,283.36,1148983,331939683.5323,288.9,0.54,213944535,213945000.0,58244883386.04,61962610000.0
