dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AEP,101.85,102.85,103.34,101.77,102.83,1950487,199419351.2696,102.24,0.37,533987691,533988000.0,51123452568.13,54386645000.0
2025-06-04,AEP,102.83,102.83,103.12,101.76,103.18,2423164,248726395.7292,102.65,0.45,533987691,533988000.0,51615362029.08,54909950000.0
2025-06-03,AEP,103.18,102.88,103.49,102.25,103.49,2318541,238897618.8893,103.04,0.43,533987691,533988000.0,51791038959.94,55096809000.0
2025-05-31,AEP,103.49,102.72,103.77,102.26,102.53,3896716,402441138.332,103.28,0.73,533987691,533988000.0,51946647992.58,55262370000.0
2025-05-30,AEP,102.53,101.68,102.77,100.86,101.68,2297651,235089676.4274,102.32,0.43,533987691,533988000.0,51464772480.74,54749715000.0
2025-05-29,AEP,101.68,102.7,102.89,101.28,102.91,2426908,247113354.4484,101.82,0.45,533987691,533988000.0,51038116315.63,54295836000.0
2025-05-28,AEP,102.91,103.44,103.45,102.57,102.88,2582110,266095240.4951,103.05,0.48,533987691,533988000.0,51655517903.45,54952672000.0
2025-05-24,AEP,102.88,102.64,102.96,101.2,101.8,1888423,193518243.0745,102.48,0.35,533987691,533988000.0,51640459450.56,54936614000.0
2025-05-23,AEP,101.8,102.83,103.07,100.93,102.93,3285104,334195633.8334,101.73,0.62,533987691,533988000.0,51098355146.66,54359940000.0
2025-05-22,AEP,102.93,103.56,103.92,102.43,103.73,3340698,344269953.2034,103.05,0.63,533987691,533988000.0,51665551852.55,54963320000.0
2025-05-21,AEP,103.73,103.64,104.24,103.59,103.78,2408320,250008180.864,103.81,0.45,533987691,533988000.0,52067110596.18,55390540000.0
2025-05-20,AEP,103.78,102.68,103.9,102.52,103.04,1909441,197650056.792,103.51,0.36,533987691,533988000.0,52092208017.66,55417200000.0
2025-05-17,AEP,103.04,101.58,103.09,101.25,101.61,2868876,294468317.9424,102.64,0.54,533987691,533988000.0,51720766179.8,55022059000.0
2025-05-16,AEP,101.61,99.37,101.7,99.35,98.59,5823996,588547468.4176,101.06,1.09,533987691,533988000.0,51002984945.04,54258481000.0
2025-05-15,AEP,98.59,99.27,99.29,97.46,99.56,5207426,512455502.2636,98.41,0.98,533987691,533988000.0,49487094162.5,52645805000.0
