dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AMAT,161.93,162.5,163.48,160.18,161.74,5990641,969900952.6307,161.9,0.75,802498217,802498000.0,122151624102.08,129948500000.0
2025-06-04,AMAT,161.74,156.93,161.95,156.36,157.27,6355434,1021105400.3153,160.67,0.79,802498217,802498000.0,122008305464.01,129796000000.0
2025-06-03,AMAT,157.27,155.79,157.62,155.43,156.75,5875258,920712268.7058,156.71,0.73,802498217,802498000.0,118636368455.82,126208880000.0
2025-05-31,AMAT,156.75,159.04,159.23,153.47,159.48,15273622,2385504695.3574,156.18,1.9,802498217,802498000.0,118244099783.87,125791500000.0
2025-05-30,AMAT,159.48,165.46,165.54,158.45,161.59,6846250,1099131959.3375,160.55,0.85,802498217,802498000.0,120303470708.33,127982380000.0
2025-05-29,AMAT,161.59,161.91,163.67,160.88,161.83,6727192,1090918454.276,162.17,0.84,802498217,802498000.0,121895145671.93,129675600000.0
2025-05-28,AMAT,161.83,160.63,162.48,159.17,157.51,8470356,1368297920.0976,161.54,1.06,802498217,802498000.0,122076196813.17,129868250000.0
2025-05-24,AMAT,157.51,156.64,158.41,155.66,160.52,5733445,900253493.6655,157.02,0.71,802498217,802498000.0,118817404510.09,126401440000.0
2025-05-23,AMAT,160.52,160.69,163.3,160.28,161.77,6355688,1025500427.9008,161.35,0.79,802498217,802498000.0,121088000508.75,128816900000.0
2025-05-22,AMAT,161.77,163.08,165.82,161.21,165.26,5658555,924608509.4411,162.94,0.7,812440849,812441000.0,123894142197.27,131802200000.0
2025-05-21,AMAT,165.73,165.05,165.94,164.23,165.94,5372426,887816551.6561,165.25,0.66,812440849,812441000.0,126567072590.48,134645800000.0
2025-05-20,AMAT,165.94,162.54,166.0,162.37,165.57,7465699,1230798123.4196,164.86,0.92,812440849,812441000.0,126727456051.02,134816400000.0
2025-05-17,AMAT,165.57,168.43,169.47,161.92,174.75,16540364,2720175499.6788,164.46,2.04,812440849,812441000.0,126444889123.74,134515800000.0
2025-05-16,AMAT,174.75,171.75,176.38,171.2,174.14,12811606,2235270493.6299,174.47,1.58,812440849,812441000.0,133455596060.99,141973900000.0
2025-05-15,AMAT,174.14,173.45,175.28,173.05,173.03,7069731,1232326224.5562,174.31,0.87,812440849,812441000.0,132989742478.17,141478380000.0
2025-05-14,AMAT,173.03,168.87,174.18,168.47,167.99,8980219,1547465949.9486,172.32,1.11,812440849,812441000.0,132142041696.32,140576600000.0
2025-05-13,AMAT,167.99,166.44,169.8,165.65,155.61,11724094,1965689737.8656,167.66,1.44,812440849,812441000.0,128293029567.04,136481900000.0
2025-05-10,AMAT,155.61,156.93,158.0,154.65,156.0,3884590,605718719.1199,155.93,0.48,812440849,812441000.0,118838492919.06,126423900000.0
2025-05-09,AMAT,156.0,158.03,158.8,155.81,155.81,4824625,757630162.25,157.03,0.59,812440849,812441000.0,119136326097.36,126740700000.0
2025-05-08,AMAT,155.81,153.36,156.2,151.51,153.03,5500192,848178063.0915,154.21,0.68,812440849,812441000.0,118991224161.73,126586400000.0
2025-05-07,AMAT,153.03,152.0,154.48,151.9,154.61,3471702,531669636.7476,153.14,0.43,812440849,812441000.0,116868153735.12,124327800000.0
2025-05-06,AMAT,154.61,154.11,156.64,153.85,155.1,4069314,632011668.2424,155.31,0.5,812440849,812441000.0,118074798521.0,125611440000.0
2025-05-03,AMAT,155.1,152.79,156.7,152.69,148.96,6083227,944085866.7746,155.19,0.75,812440849,812441000.0,118449008776.05,126009500000.0
2025-05-02,AMAT,148.96,151.64,152.28,148.74,150.71,6731977,1010106894.1397,150.05,0.83,812440849,812441000.0,113759925171.96,121021130000.0
2025-05-01,AMAT,150.71,145.97,151.04,144.71,149.55,7273649,1082604825.6057,148.84,0.9,812440849,812441000.0,115096390368.57,122442900000.0
2025-04-30,AMAT,149.55,149.0,151.07,147.91,150.79,5721317,857460072.2387,149.87,0.7,812440849,812441000.0,114210504866.82,121500500000.0
2025-04-29,AMAT,150.79,150.79,151.87,147.51,151.55,7049774,1055752299.9406,149.76,0.87,812440849,812441000.0,115157478283.47,122507880000.0
2025-04-26,AMAT,151.55,148.2,152.61,147.87,150.17,4805246,724617642.1112,150.8,0.59,812440849,812441000.0,115737893662.94,123125400000.0
2025-04-25,AMAT,150.17,147.61,150.4,145.35,143.58,7472902,1114569209.5152,149.15,0.92,812440849,812441000.0,114683987756.67,122004200000.0
2025-04-24,AMAT,143.58,144.85,147.83,142.74,138.3,7965539,1152651807.5426,144.7,,812440849,,109651249310.4,
2025-04-23,AMAT,138.3,137.18,139.08,136.32,135.56,5222695,720502111.42,137.96,0.64,812440849,812441000.0,105618942888.64,112360500000.0
2025-04-22,AMAT,135.56,135.13,136.02,132.8,137.46,8395305,1126713735.318,134.21,1.03,812440849,812441000.0,103522594129.02,110130380000.0
2025-04-18,AMAT,137.46,138.99,139.65,136.94,138.19,6494840,896717878.408,138.07,0.8,812440849,812441000.0,104977439594.27,111678100000.0
