dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AMD,118.58,117.41,119.3,115.73,117.31,31024985,3663089264.2148,118.07,1.91,1621404195,1621404000.0,182652819374.28,192266070000.0
2025-06-04,AMD,117.31,114.5,117.68,113.28,114.63,37161485,4325957320.4045,116.41,2.29,1621404195,1621404000.0,180696579809.68,190206880000.0
2025-06-03,AMD,114.63,111.06,114.86,111.01,110.73,34078360,3870194490.0836,113.57,2.1,1621404195,1621404000.0,176568500132.55,185861500000.0
2025-05-31,AMD,110.73,111.58,112.11,108.62,113.03,36088473,3988613519.0736,110.52,2.23,1621404195,1621404000.0,170561182186.73,179538000000.0
2025-05-30,AMD,113.03,115.49,115.54,112.13,112.86,30572133,3472939584.6819,113.6,1.89,1621404195,1621404000.0,174103950352.81,183267250000.0
2025-05-29,AMD,112.86,114.92,114.95,112.66,114.56,27483743,3126033909.3116,113.74,1.7,1621404195,1621404000.0,173842108978.65,182991600000.0
2025-05-28,AMD,114.56,113.18,115.4,112.27,110.31,37885020,4339111894.0242,114.53,2.34,1621404195,1621404000.0,176460661350.24,185748000000.0
2025-05-24,AMD,110.31,108.09,111.02,107.67,110.71,30867274,3385170725.3964,109.67,1.9,1621404195,1621404000.0,169914241912.93,178857070000.0
2025-05-23,AMD,110.71,111.9,112.64,110.61,112.06,29251958,3267306224.3974,111.7,1.8,1621404195,1621404000.0,170530390910.37,179505600000.0
2025-05-22,AMD,112.06,113.85,116.1,111.09,113.51,43594606,4959035090.1065,113.75,2.69,1621404195,1621404000.0,172609826387.12,181694500000.0
2025-05-21,AMD,113.51,114.35,114.51,112.08,114.74,29030817,3287925822.4788,113.26,1.79,1621404195,1621404000.0,174843310665.73,184045600000.0
2025-05-20,AMD,114.74,115.02,115.53,114.06,117.17,37737372,4327242556.3356,114.67,2.33,1621404195,1621404000.0,176737936870.92,186039900000.0
2025-05-17,AMD,117.17,118.07,118.24,116.01,114.99,43419696,5087021623.7698,117.16,2.68,1621404195,1621404000.0,180480933051.74,189979900000.0
2025-05-16,AMD,114.99,117.02,117.5,114.01,117.72,43843235,5064419761.32,115.51,2.7,1621404195,1621404000.0,177123020367.24,186445300000.0
2025-05-15,AMD,117.72,119.83,122.52,116.59,112.46,86743688,10293588068.2265,118.67,5.35,1621404195,1621404000.0,181328132146.97,190871630000.0
2025-05-14,AMD,112.46,109.6,113.13,109.0,108.12,55659512,6213967625.0551,111.64,3.43,1621404195,1621404000.0,173225975384.55,182343100000.0
2025-05-13,AMD,108.12,110.42,110.67,106.98,102.84,50543395,5480779683.3885,108.44,3.12,1621404195,1621404000.0,166540910485.23,175306100000.0
2025-05-10,AMD,102.84,102.59,103.54,101.6,101.7,31704262,3252299286.1888,102.58,1.96,1621404195,1621404000.0,158407947043.11,166745100000.0
2025-05-09,AMD,101.7,101.92,105.44,101.56,100.36,54231364,5604838585.082,103.35,3.34,1621404195,1621404000.0,156651966299.93,164896800000.0
2025-05-08,AMD,100.36,100.75,103.42,96.88,98.62,86648750,8608527404.5238,99.35,5.36,1616297522,1616298000.0,154101053697.35,162211600000.0
2025-05-07,AMD,98.62,98.41,100.07,97.44,100.59,54264254,5367917627.0729,98.92,3.36,1616297522,1616298000.0,151429292396.73,159399200000.0
2025-05-06,AMD,100.59,99.0,102.05,98.76,98.8,41268887,4165388857.3712,100.93,2.55,1616297522,1616298000.0,154454199351.08,162583320000.0
2025-05-03,AMD,98.8,98.4,99.88,98.3,96.65,29957887,2964845288.3914,98.97,1.85,1616297522,1616298000.0,151705691556.85,159690130000.0
2025-05-02,AMD,96.65,99.27,100.1,96.45,97.35,29591508,2909735763.2418,98.33,1.83,1616297522,1616298000.0,148404388513.34,156215130000.0
2025-05-01,AMD,97.35,92.81,97.55,91.87,96.06,29730731,2833080185.3247,95.29,1.84,1616297522,1616298000.0,149479246326.74,157346600000.0
2025-04-30,AMD,96.06,95.76,97.18,95.33,96.39,20700637,1994516621.7653,96.35,1.28,1616297522,1616298000.0,147498459894.19,155261500000.0
2025-04-29,AMD,96.39,95.58,97.49,94.27,96.65,30349508,2906672564.8859,95.77,1.88,1616297522,1616298000.0,148005172238.3,155794880000.0
2025-04-26,AMD,96.65,93.28,97.1,92.85,94.47,28575344,2726433436.3857,95.41,1.77,1616297522,1616298000.0,148396727990.42,156207100000.0
2025-04-25,AMD,94.47,91.59,94.75,90.37,90.39,33060493,3085334109.6222,93.32,2.05,1616297522,1616298000.0,145057048629.14,152691600000.0
2025-04-24,AMD,90.39,91.88,93.74,90.12,86.26,40643708,3729535902.9584,91.76,,1616297522,,138792276362.9,
2025-04-23,AMD,86.26,86.12,87.17,85.17,85.56,35236735,3032959927.7001,86.07,2.18,1616297522,1616298000.0,132450725357.92,139421820000.0
2025-04-22,AMD,85.56,86.02,86.14,83.75,87.5,33855391,2872132150.5361,84.84,2.09,1616297522,1616298000.0,131375892112.24,138290380000.0
2025-04-18,AMD,87.5,88.84,89.03,86.52,88.29,34801438,3045815102.281,87.52,2.15,1616297522,1616298000.0,134354731516.25,141426000000.0
2025-04-17,AMD,88.29,87.61,90.47,85.3,95.29,62109016,5485219546.5109,88.32,3.84,1616297522,1616298000.0,135567753593.62,142702900000.0
2025-04-16,AMD,95.29,94.66,96.85,94.62,94.5,28116536,2689984885.6507,95.67,1.74,1616297522,1616298000.0,146316132114.92,154016900000.0
2025-04-15,AMD,94.5,97.11,97.37,93.45,93.4,36002969,3428465349.8389,95.23,2.23,1616297522,1616298000.0,145103110037.55,152740100000.0
2025-04-12,AMD,93.4,90.51,94.76,90.5,88.7,57892602,5370309154.4622,92.76,3.58,1616297522,1616298000.0,143414069914.16,150962100000.0
2025-04-11,AMD,88.7,91.0,92.95,85.06,96.84,65210567,5768474457.9453,88.46,4.03,1616297522,1616298000.0,136197306084.88,143365600000.0
2025-04-10,AMD,96.84,79.22,97.91,78.87,78.21,97827375,8742333486.3101,89.36,6.05,1616297522,1616298000.0,148696134822.51,156522300000.0
2025-04-09,AMD,78.21,86.15,88.93,76.48,83.64,69910250,5793253036.3013,82.87,4.33,1616297522,1616298000.0,120090108484.22,126410630000.0
2025-04-08,AMD,83.64,80.68,89.0,77.75,85.76,70515438,5837035468.2409,82.78,4.36,1616297522,1616298000.0,128427768503.08,135187100000.0
2025-04-05,AMD,85.76,90.1,91.08,83.67,93.8,65847000,5715618304.653,86.8,4.07,1616297522,1616298000.0,131682984034.97,138613600000.0
2025-04-04,AMD,93.8,97.79,99.45,93.64,102.96,50472543,4839080498.2867,95.88,3.12,1616297522,1616298000.0,144028278327.35,151608700000.0
2025-04-03,AMD,102.96,101.52,104.19,100.76,102.78,20793989,2139699596.641,102.9,1.29,1616297522,1616298000.0,158093308576.69,166414000000.0
2025-04-02,AMD,102.78,102.16,102.83,100.93,102.74,23523231,2398541544.2688,101.96,1.46,1616297522,1616298000.0,157816906345.6,166123000000.0
2025-04-01,AMD,102.74,100.24,102.82,98.8,103.22,30865344,3131495946.6048,101.46,1.91,1616297522,1616298000.0,157755502394.59,166058400000.0
2025-03-29,AMD,103.22,105.53,106.51,102.48,106.65,31069114,3221830149.5543,103.7,1.92,1620477962,1620478000.0,158902463870.3,167265690000.0
2025-03-28,AMD,106.65,106.11,107.62,105.55,110.19,32773715,3489850376.8252,106.48,2.02,1620477962,1620478000.0,164182775914.94,172823880000.0
2025-03-27,AMD,110.19,114.11,115.9,108.68,114.81,39976485,4439149200.1048,111.04,2.47,1620477962,1620478000.0,169632458695.68,178560440000.0
2025-03-26,AMD,114.81,113.27,114.95,112.71,113.85,28903114,3286255447.7171,113.7,1.78,1620477962,1620478000.0,176744721076.36,186047000000.0
2025-03-25,AMD,113.85,109.73,114.85,109.4,106.44,53050993,5995626940.1859,113.02,3.27,1620477962,1620478000.0,175266860569.56,184491380000.0
2025-03-22,AMD,106.44,105.33,107.25,104.33,107.14,30767938,3260232554.0354,105.96,1.9,1620477962,1620478000.0,163859505956.06,172483630000.0
2025-03-21,AMD,107.14,105.12,108.26,105.12,106.23,26871840,2877627417.264,107.09,1.66,1620477962,1620478000.0,164937108406.25,173617900000.0
2025-03-20,AMD,106.23,104.42,107.9,101.96,103.51,32287497,3398943554.1864,105.27,1.99,1620477962,1620478000.0,163536205208.1,172143320000.0
2025-03-19,AMD,103.51,103.85,104.55,102.97,104.59,27152829,2814564775.4839,103.66,1.68,1620477962,1620478000.0,159348890154.29,167735570000.0
2025-03-18,AMD,104.59,102.6,106.15,102.6,100.97,43689524,4589978138.8112,105.06,2.7,1620477962,1620478000.0,161011500543.3,169485750000.0
2025-03-15,AMD,100.97,99.64,101.22,99.58,98.11,24715266,2484309335.5752,100.52,1.53,1620477962,1620478000.0,155438692226.52,163619630000.0
2025-03-14,AMD,98.11,99.72,100.07,97.27,100.79,28575149,2815798068.55,98.54,1.76,1620477962,1620478000.0,151035839748.68,158985000000.0
2025-03-13,AMD,100.79,99.05,101.72,98.17,96.76,33938782,3402291624.0578,100.25,2.09,1620477962,1620478000.0,155161575100.48,163327880000.0
2025-03-12,AMD,96.76,96.79,98.16,94.73,96.63,34078301,3300194024.8396,96.84,2.1,1620477962,1620478000.0,148957567525.69,156797380000.0
