dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AMGN,287.01,290.19,293.21,286.89,289.57,2338424,674812880.5343,288.58,0.43,537706118,537706000.0,146610686389.03,154326940000.0
2025-06-04,AMGN,289.57,285.52,291.76,283.04,288.47,2320446,672414966.7352,289.78,0.43,537706118,537706000.0,147918418317.25,155703570000.0
2025-06-03,AMGN,288.47,285.64,289.45,284.77,288.18,2394373,689156793.2218,287.82,0.45,537706118,537706000.0,147356469450.07,155112000000.0
2025-05-31,AMGN,288.18,282.61,288.81,281.04,283.54,5439227,1561643790.5711,287.11,1.01,537706118,537706000.0,147208310981.73,154956070000.0
2025-05-30,AMGN,283.54,279.22,283.82,278.4,278.4,2802379,791141857.3932,282.31,0.52,537706118,537706000.0,144838153495.67,152461190000.0
2025-05-29,AMGN,278.4,279.02,281.34,276.62,279.45,3863818,1077427001.6363,278.85,0.72,537706118,537706000.0,142212468114.77,149697250000.0
2025-05-28,AMGN,279.45,273.7,279.63,273.12,271.66,2917522,811113157.492,278.01,0.54,537706118,537706000.0,142748855508.51,150261880000.0
2025-05-24,AMGN,271.66,269.48,272.52,269.13,271.9,2532123,686843326.7111,271.25,0.47,537706118,537706000.0,138769540949.42,146073130000.0
2025-05-23,AMGN,271.9,271.34,272.44,269.1,271.34,1919809,520490879.2497,271.12,0.36,537706118,537706000.0,138892132836.12,146202200000.0
2025-05-22,AMGN,271.34,274.18,275.59,270.51,275.01,2559862,696489352.0468,272.08,0.48,537706118,537706000.0,138606165129.09,145901200000.0
2025-05-21,AMGN,275.01,275.91,276.9,274.28,275.85,2188611,602696786.3274,275.38,0.41,537706118,537706000.0,140480836643.83,147874500000.0
2025-05-20,AMGN,275.85,272.58,276.0,272.0,272.41,2189559,600979972.8706,274.48,0.41,537706118,537706000.0,140909972099.87,148326200000.0
2025-05-17,AMGN,272.41,270.66,272.54,267.73,269.31,2589330,702929765.1744,271.47,0.48,537706118,537706000.0,139152656558.5,146476400000.0
2025-05-16,AMGN,269.31,262.98,269.31,261.84,259.98,3995104,1076369389.3005,267.06,0.74,537706118,537706000.0,138784880898.41,146089300000.0
2025-05-15,AMGN,262.28,269.84,270.34,261.43,270.45,3933026,1036336028.9421,263.5,0.73,537706118,537706000.0,133978097922.21,141029500000.0
2025-05-14,AMGN,270.45,273.83,273.92,268.53,274.76,2660741,720597017.2363,270.83,0.49,537706118,537706000.0,138151468199.61,145422600000.0
