dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AMZN,207.23,206.55,208.18,205.18,205.71,29915594,6189207626.2219,206.89,0.28,10616352407,10616350000.0,2002024305465.38,2200026000000.0
2025-06-04,AMZN,205.71,207.11,208.95,205.03,206.65,33139122,6849031353.2622,206.68,0.31,10616352407,10616350000.0,1987339863424.82,2183889000000.0
2025-06-03,AMZN,206.65,204.98,207.0,202.68,205.01,29113321,5983582259.1633,205.53,0.27,10616352407,10616350000.0,1996420994664.96,2193868000000.0
2025-05-31,AMZN,205.01,204.84,205.99,201.7,205.7,51679407,10565467682.3916,204.44,0.49,10616352407,10616350000.0,1980577150332.75,2176458000000.0
2025-05-30,AMZN,205.7,208.03,208.81,204.23,204.72,34700004,7155609621.854,206.21,0.33,10616352407,10616350000.0,1987243158009.11,2183783000000.0
2025-05-29,AMZN,204.72,205.92,207.66,204.41,206.02,28549754,5870115205.4375,205.61,0.27,10616352407,10616350000.0,1977775591541.35,2173379000000.0
2025-05-28,AMZN,206.02,203.09,206.69,202.19,200.99,34892043,7160426431.5138,205.22,0.33,10616352407,10616350000.0,1990334736438.83,2187180000000.0
2025-05-24,AMZN,200.99,198.9,202.37,197.85,203.1,33393547,6711501863.154,200.98,0.31,10616352407,10616350000.0,1941740506566.27,2133780000000.0
2025-05-23,AMZN,203.1,201.38,205.76,200.16,201.12,38938883,7918548944.6672,203.36,0.37,10616352407,10616350000.0,1962124964822.95,2156180000000.0
2025-05-22,AMZN,201.12,201.61,203.46,200.06,204.07,42460926,8557307946.8155,201.53,0.4,10616352407,10616350000.0,1942996324447.21,2135160000000.0
2025-05-21,AMZN,204.07,204.63,205.59,202.65,206.16,29470372,6011908735.4048,204.0,0.28,10616352407,10616350000.0,1971496019092.61,2166479000000.0
2025-05-20,AMZN,206.16,201.65,206.62,201.26,205.59,34314809,7046065620.824,205.34,0.32,10616352407,10616350000.0,1991687259735.49,2188667000000.0
2025-05-17,AMZN,205.59,206.85,206.85,204.37,205.17,43318477,8893967760.0366,205.32,0.41,10616352407,10616350000.0,1986180461133.17,2182615000000.0
2025-05-16,AMZN,205.17,206.45,206.88,202.67,210.25,64347317,13174251545.1754,204.74,0.61,10616352407,10616350000.0,1982122891243.21,2178157000000.0
2025-05-15,AMZN,210.25,211.45,211.93,208.85,211.37,38492129,8101034608.1968,210.46,0.36,10616352407,10616350000.0,2031200165150.29,2232088000000.0
2025-05-14,AMZN,211.37,211.08,214.84,210.1,208.64,56193684,11960123218.35,212.84,0.53,10616352407,10616350000.0,2042020351523.51,2243978000000.0
2025-05-13,AMZN,208.64,210.71,211.66,205.75,193.06,75205063,15652384639.1522,208.13,0.71,10616352407,10616350000.0,2015646147238.8,2214995000000.0
