dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ANSS,336.61,334.32,337.36,333.48,334.89,596628,200561108.1682,336.16,0.68,87916143,87916000.0,27817854812.05,29593458000.0
2025-06-04,ANSS,334.89,332.0,336.0,330.87,332.61,991707,331714854.6304,334.49,1.13,87916143,87916000.0,27675694637.4,29442223000.0
2025-06-03,ANSS,332.61,328.85,333.06,325.51,330.82,939527,310764160.7935,330.77,1.07,87916143,87916000.0,27487290114.37,29241793000.0
2025-05-31,ANSS,330.82,328.74,333.66,326.99,328.74,2766272,914504156.4858,330.59,3.15,87916143,87916000.0,27339359106.51,29084418000.0
2025-05-30,ANSS,328.74,333.28,334.97,321.6,329.93,1455541,478674001.9899,328.86,1.66,87916143,87916000.0,27167459678.83,28901547000.0
2025-05-29,ANSS,329.93,348.92,349.07,323.8,348.23,2276516,761903122.7962,334.68,2.59,87916143,87916000.0,27265797717.92,29006165000.0
2025-05-28,ANSS,348.23,345.81,348.87,343.89,342.17,566420,196880874.2588,347.59,0.64,87916143,87916000.0,28778135341.86,30615032000.0
2025-05-24,ANSS,342.17,339.93,343.52,339.41,343.65,429419,146950097.555,342.21,0.49,87916143,87916000.0,28277324866.41,30082258000.0
2025-05-23,ANSS,343.65,343.21,345.49,340.91,343.0,539223,185380817.8353,343.79,0.61,87916143,87916000.0,28399632151.73,30212370000.0
2025-05-22,ANSS,343.0,345.48,346.29,341.7,346.0,691052,237509652.1098,343.69,0.79,87916143,87916000.0,28345922826.06,30155230000.0
2025-05-21,ANSS,346.0,342.28,346.0,341.37,343.98,396267,136658618.955,344.87,0.45,87916143,87916000.0,28593846349.32,30418980000.0
2025-05-20,ANSS,343.98,341.53,347.28,339.73,346.63,771105,265504105.3331,344.32,0.88,87916143,87916000.0,28426910350.58,30241390000.0
2025-05-17,ANSS,346.63,344.23,346.9,341.14,343.52,698890,241384424.3473,345.38,0.79,87916143,87916000.0,28645901198.68,30474360000.0
2025-05-16,ANSS,343.52,347.43,349.1,342.45,347.87,947440,327244297.9936,345.4,1.08,87916143,87916000.0,28388897889.58,30200950000.0
2025-05-15,ANSS,347.87,345.15,350.7,345.15,347.08,628155,218984098.2862,348.61,0.71,87916143,87916000.0,28748395262.43,30583395000.0
2025-05-14,ANSS,347.08,344.62,348.91,344.62,345.43,534101,185412067.2429,347.15,0.61,87916143,87916000.0,28683105428.99,30513938000.0
2025-05-13,ANSS,345.43,341.7,345.44,341.01,333.74,730463,250911191.6943,343.5,0.83,87916143,87916000.0,28546735921.43,30368860000.0
2025-05-10,ANSS,333.74,333.94,334.45,329.74,334.45,368214,122521952.8903,332.75,0.42,87916143,87916000.0,27580665550.93,29341129000.0
2025-05-09,ANSS,334.45,334.0,335.79,330.55,326.0,758173,253044871.187,333.76,0.86,87916143,87916000.0,27639337479.12,29403550000.0
2025-05-08,ANSS,326.0,323.59,327.03,322.54,322.59,270013,87827333.7199,325.27,0.31,87916143,87916000.0,26941022860.92,28660660000.0
2025-05-07,ANSS,322.59,321.03,324.19,320.01,324.89,276843,89304106.2982,322.58,0.31,87916143,87916000.0,26659223893.85,28360872000.0
2025-05-06,ANSS,324.89,326.72,330.62,323.65,328.76,751602,245177495.3931,326.21,0.85,87916143,87916000.0,26849282893.2,28563063000.0
2025-05-03,ANSS,328.76,322.87,328.96,322.39,319.73,532957,174175581.2377,326.81,0.61,87916143,87916000.0,27169113328.73,28903309000.0
2025-05-02,ANSS,319.73,307.72,322.75,307.72,321.88,875016,278708626.2931,318.52,1.0,87916143,87916000.0,26422861870.89,28109422000.0
