dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,APP,416.52,398.39,417.45,398.21,398.51,4804645,1978032275.7607,411.69,1.42,307698319,338387000.0,120472759384.82,140944820000.0
2025-06-04,APP,398.51,401.91,408.0,390.41,401.91,4651336,1850347136.9195,397.81,1.37,307698319,338387000.0,115263608570.77,134850400000.0
2025-06-03,APP,401.91,392.31,402.25,381.6,393.0,6202125,2447886077.7525,394.69,1.83,307698319,338387000.0,116246986367.02,136000940000.0
2025-05-31,APP,393.0,386.87,394.24,372.53,384.23,7840336,3032627068.1616,386.8,2.32,307698319,338387000.0,113669913004.98,132985900000.0
2025-05-30,APP,384.23,400.1,402.9,381.43,390.26,5144707,1992353123.5289,387.26,1.52,307698319,338387000.0,111133306710.44,130018300000.0
2025-05-29,APP,390.26,381.38,392.87,375.12,380.91,6778340,2607137256.2346,384.63,2.0,307698319,338387000.0,112877408106.93,132058700000.0
2025-05-28,APP,380.91,362.0,384.36,355.16,354.29,7683414,2872283817.3815,373.83,2.27,307698319,338387000.0,110173021549.96,128894750000.0
2025-05-24,APP,354.29,341.72,356.55,340.2,351.47,5318797,1872883999.8355,352.13,1.57,307698319,338387000.0,102473582761.66,119887000000.0
2025-05-23,APP,351.47,360.52,367.47,350.82,358.35,5329383,1907989408.5618,358.01,1.57,307698319,338387000.0,101657918703.47,118932800000.0
2025-05-22,APP,358.35,359.68,374.57,358.0,363.05,7567121,2768873516.0725,365.91,2.24,307698319,338387000.0,103647899980.47,121260800000.0
2025-05-21,APP,363.05,371.45,371.45,360.86,370.63,5533492,2024747441.3582,365.91,1.64,307698319,338387000.0,105008711058.09,122852900000.0
2025-05-20,APP,370.63,355.27,375.84,354.01,362.34,6224324,2298170613.7381,369.22,1.84,307698319,338387000.0,107199662476.71,125416200000.0
2025-05-17,APP,362.34,369.26,373.73,358.0,366.61,4740227,1724710073.3194,363.85,1.4,307698319,338387000.0,104801950403.35,122611000000.0
2025-05-16,APP,366.61,373.94,378.23,361.44,376.54,6322227,2318650515.008,366.75,1.87,307698319,338387000.0,106036995700.88,124055900000.0
2025-05-15,APP,376.54,373.49,379.58,368.45,370.1,6324281,2365840033.9548,374.09,1.87,307698319,338387000.0,108909093103.54,127416070000.0
2025-05-14,APP,370.1,348.53,380.7,347.7,347.9,9729219,3605257641.3806,370.56,2.88,307698319,338387000.0,107046427913.83,125236880000.0
2025-05-13,APP,347.9,350.56,358.67,343.37,328.54,7826645,2741324518.6001,350.26,2.31,307698319,338387000.0,100625324438.02,117724600000.0
2025-05-10,APP,328.54,343.04,351.38,328.52,339.51,7760055,2606781731.7705,335.92,2.29,307698319,338387000.0,95025744950.26,111173500000.0
2025-05-09,APP,339.51,344.0,357.64,335.13,303.46,14355301,4957425912.3827,345.34,4.24,307698319,338387000.0,98198659799.03,114885600000.0
2025-05-08,APP,303.46,300.55,304.52,292.87,304.62,11732106,3507587502.6593,298.97,3.47,307674018,338363000.0,87764743375.74,102679400000.0
2025-05-07,APP,304.62,294.65,307.27,290.96,301.84,4539520,1368596597.0624,301.48,1.34,307674018,338363000.0,88100274507.0,103072000000.0
2025-05-06,APP,301.84,299.19,306.79,295.41,307.58,4444645,1344141629.4319,302.42,1.31,307674018,338363000.0,87296252086.75,102131320000.0
2025-05-03,APP,307.58,291.99,309.34,286.85,279.49,6997988,2113822962.2016,302.06,2.07,307674018,338363000.0,88956335126.14,104073500000.0
2025-05-02,APP,279.49,282.0,288.25,276.8,269.31,5912172,1667539996.0657,282.05,1.75,307674018,338363000.0,80832302613.37,94568875000.0
2025-05-01,APP,269.31,247.91,273.81,246.0,288.88,9277914,2468312476.9095,266.04,2.74,307674018,338363000.0,77888125753.14,91124375000.0
2025-04-30,APP,288.88,286.5,291.39,281.27,284.98,4797094,1374830062.7454,286.6,1.42,307674018,338363000.0,83547986287.16,97746063000.0
2025-04-29,APP,284.98,278.64,286.83,273.5,276.83,6299906,1771062649.2265,281.13,1.86,307674018,338363000.0,82420082258.53,96426500000.0
2025-04-26,APP,276.83,272.3,278.88,266.5,267.88,5770371,1581953730.1692,274.15,1.71,307674018,338363000.0,80063017635.85,93668875000.0
2025-04-25,APP,267.88,253.73,275.92,252.0,252.35,6725438,1801174455.8032,267.82,1.99,307674018,338363000.0,77474501171.84,90640438000.0
2025-04-24,APP,252.35,255.51,268.0,250.1,237.71,7290836,1879346547.1155,257.77,,307674018,,72983049027.9,
2025-04-23,APP,237.71,232.0,243.56,227.05,228.13,6342281,1503213257.7254,237.01,1.87,309269690,339958000.0,69105511036.44,80811375000.0
2025-04-22,APP,228.13,233.53,238.5,222.02,238.22,5778156,1311558206.5536,226.99,1.7,309269690,339958000.0,66320475624.05,77554563000.0
2025-04-18,APP,238.22,231.39,239.95,226.1,229.81,5286000,1241615906.46,234.89,1.55,309269690,339958000.0,69253774925.83,80984750000.0
2025-04-17,APP,229.81,234.53,241.95,224.4,245.47,7300828,1698216470.7763,232.61,2.15,309269690,339958000.0,66808871411.37,78125750000.0
2025-04-16,APP,245.47,235.6,248.18,230.52,236.07,6784574,1636908741.3208,241.27,2.0,309269690,339958000.0,71361447863.18,83449440000.0
2025-04-15,APP,236.07,258.94,262.08,234.39,249.95,7438406,1804348276.3914,242.57,2.19,309269690,339958000.0,68628740882.34,80253880000.0
2025-04-12,APP,249.95,258.29,263.0,239.0,263.83,8966852,2226142958.1872,248.26,2.64,309269690,339958000.0,72663841474.57,84972500000.0
2025-04-11,APP,263.83,270.0,278.48,250.51,274.96,10364754,2751877634.4587,265.5,3.05,309269690,339958000.0,76698968231.02,89691130000.0
2025-04-10,APP,274.96,234.31,280.99,218.29,235.28,13063809,3274467240.7062,250.65,3.84,309269690,339958000.0,79934577603.25,93474813000.0
2025-04-09,APP,235.28,255.05,261.61,227.2,232.22,11230559,2756888966.1846,245.48,3.3,309269690,339958000.0,68399074303.41,79985313000.0
2025-04-08,APP,232.22,203.78,253.61,200.5,219.37,13612282,3125449505.961,229.61,4.0,309269690,339958000.0,67509493874.23,78945000000.0
2025-04-05,APP,219.37,243.38,245.97,208.51,261.98,16840301,3721000912.3881,220.96,4.95,309269690,339958000.0,63773822381.58,74576625000.0
2025-04-04,APP,261.98,264.52,268.0,249.08,290.39,8959551,2324338596.2203,259.43,2.64,309269690,339958000.0,76161122075.89,89062188000.0
2025-04-03,APP,290.39,273.33,299.72,272.9,282.7,7313567,2111037199.1859,288.65,2.15,309269690,339958000.0,84420266691.0,98720380000.0
2025-04-02,APP,282.7,264.22,284.8,257.0,264.97,7624242,2076407261.6728,272.34,2.24,309269690,339958000.0,82184697252.68,96106130000.0
2025-04-01,APP,264.97,255.93,268.4,244.0,272.38,10510387,2714446074.7545,258.26,3.09,309269690,339958000.0,77030352559.47,90078690000.0
2025-03-29,APP,272.38,286.81,286.91,264.07,261.7,15471758,4237932203.8351,273.91,4.55,309269690,339958000.0,79184513493.98,92597750000.0
2025-03-28,APP,261.7,322.05,326.01,252.51,327.62,20188915,5922794940.4039,293.37,5.94,309269690,339958000.0,76079713572.08,88966940000.0
2025-03-27,APP,327.62,340.5,343.2,322.1,346.29,8322891,2740691884.9531,329.3,2.45,309269690,339958000.0,95243594573.15,111377100000.0
2025-03-26,APP,346.29,341.0,352.0,332.04,339.72,7563762,2608589406.5462,344.88,2.22,309269690,339958000.0,100671192521.63,117724130000.0
2025-03-25,APP,339.72,328.09,342.38,323.5,314.03,9098149,3055145605.8099,335.8,2.68,309269690,339958000.0,98761187327.32,115490570000.0
2025-03-22,APP,314.03,301.05,315.27,296.13,306.74,9505695,2939179049.8774,309.2,2.8,309269690,339958000.0,91292771827.06,106757000000.0
2025-03-21,APP,306.74,293.82,315.41,292.41,297.03,8401535,2576438667.4748,306.66,2.47,309269690,339958000.0,89173461627.96,104278700000.0
2025-03-20,APP,297.03,286.2,300.2,277.5,278.84,6935449,2023801608.3336,291.81,2.04,309269690,339958000.0,86350642180.86,100977750000.0
2025-03-19,APP,278.84,299.5,302.0,275.72,306.85,8636621,2455718678.2359,284.34,2.54,309269690,339958000.0,81062580902.24,94793938000.0
2025-03-18,APP,306.85,297.76,314.8,293.51,292.89,8871496,2709256582.2243,305.39,2.61,309269690,339958000.0,89205469185.26,104316190000.0
2025-03-15,APP,292.89,284.18,298.01,282.39,272.0,10061754,2932932569.2202,291.49,2.96,309269690,339958000.0,85147050462.5,99570250000.0
2025-03-14,APP,272.0,272.88,275.0,260.93,272.59,7266129,1947783825.8689,268.06,2.14,309269690,339958000.0,79074074339.2,92468563000.0
2025-03-13,APP,272.59,285.0,292.43,261.01,257.76,12718969,3476883694.1058,273.36,3.74,309269690,339958000.0,79245621473.49,92669188000.0
2025-03-12,APP,257.76,239.8,261.45,236.0,238.08,12850844,3244577366.3752,252.48,3.78,309269690,339958000.0,74934316883.87,87627625000.0
2025-03-11,APP,238.08,246.53,255.6,234.56,270.48,16713684,4062388087.3352,243.06,4.92,309269690,339958000.0,69213075034.62,80937188000.0
2025-03-08,APP,270.48,256.15,278.6,247.5,259.63,14299540,3773172431.318,263.87,4.21,309269690,339958000.0,78632186898.99,91951875000.0
2025-03-07,APP,259.63,305.76,306.5,258.51,318.0,16132375,4496371841.2638,278.72,,309269690,,75477916259.33,
2025-03-06,APP,318.0,323.0,326.27,310.51,327.23,7963051,2535564917.6093,318.42,2.34,309269690,339958000.0,92446895734.8,108106630000.0
2025-03-05,APP,327.23,324.0,341.0,307.57,337.34,9146910,2961827998.224,323.81,2.69,309269690,339958000.0,95130178512.04,111244500000.0
2025-03-04,APP,337.34,350.24,359.7,332.0,325.74,10897485,3741820167.8178,343.37,3.15,309269690,346194000.0,98069321155.34,116784940000.0
2025-03-01,APP,325.74,313.0,331.56,306.1,320.49,8952727,2895682644.2251,323.44,2.59,309269690,346194000.0,94697018291.36,112769070000.0
2025-02-28,APP,320.49,346.44,349.92,310.0,331.0,11850157,3869634639.8978,326.55,3.42,309353198,346277000.0,93195930041.4,110978250000.0
2025-02-27,APP,331.0,328.47,343.17,288.92,377.06,31665157,10176181157.4904,321.37,9.14,309353198,346277000.0,96252154025.72,114617630000.0
2025-02-26,APP,377.06,406.7,406.7,367.12,410.45,11297969,4316066951.3538,382.02,3.26,309353198,346277000.0,109646051275.13,130567250000.0
2025-02-25,APP,410.45,411.86,426.49,395.01,415.31,8091774,3317716268.5963,410.01,2.34,309353198,346277000.0,119355567280.27,
2025-02-22,APP,415.31,452.77,456.76,412.19,450.01,7604117,3248634362.6338,427.22,2.2,309353198,346277000.0,120768845509.22,
2025-02-21,APP,450.01,488.91,494.54,427.13,494.17,11179563,4999360829.0625,447.19,3.23,309353198,346277000.0,130859313581.98,155828070000.0
2025-02-20,APP,494.17,502.74,507.0,481.12,496.0,5021512,2484619883.697,494.8,1.45,309353198,346277000.0,143700665308.88,171119690000.0
2025-02-19,APP,496.0,514.1,519.79,487.99,510.13,7300176,3637227206.939,498.24,2.11,309353198,346277000.0,144232835035.52,171753320000.0
2025-02-15,APP,510.13,473.56,516.99,462.8,471.67,11253934,5592172199.3981,496.91,3.25,309353198,346277000.0,148341694094.87,176646190000.0
2025-02-14,APP,471.67,499.34,525.15,449.0,380.32,19350305,9363195009.9181,483.88,5.59,309353198,346277000.0,137157845171.18,163328440000.0
2025-02-13,APP,380.32,375.93,390.21,372.0,375.25,7901945,3018066502.7165,381.94,2.35,298667774,335592000.0,106773987791.56,127632250000.0
2025-02-12,APP,375.25,381.6,383.34,366.96,384.4,4241445,1592700940.1628,375.51,1.26,298667774,335592000.0,105350577261.89,125930750000.0
2025-02-11,APP,384.4,387.2,396.62,373.2,375.72,4578953,1755863037.9281,383.46,1.36,298667774,335592000.0,107919393518.77,129001380000.0
2025-02-08,APP,375.72,385.88,393.63,374.58,380.63,3111043,1182540421.3558,380.11,0.93,298667774,335592000.0,105482523069.49,126088500000.0
2025-02-07,APP,380.63,369.57,381.79,365.6,368.27,2989330,1124682142.6394,376.23,0.89,298667774,335592000.0,106860969046.31,127736250000.0
2025-02-06,APP,368.27,377.37,378.65,363.01,380.26,3785512,1407057094.2038,371.7,1.13,298667774,335592000.0,103390963878.08,123588380000.0
