dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ARM,130.36,129.4,130.68,127.33,128.78,2473376,321074874.6624,129.81,0.23,1059263999,1059264000.0,17951136515.3,138085570000.0
2025-06-04,ARM,128.78,127.53,130.64,126.93,126.06,3445675,444562711.3375,129.02,0.33,1059263999,1059264000.0,17733562312.86,136411900000.0
2025-06-03,ARM,126.06,124.8,127.48,123.59,124.54,3297546,415308474.6817,125.94,0.31,1059263999,1059264000.0,17358318041.21,133525500000.0
2025-05-31,ARM,124.54,127.61,127.8,121.56,128.1,5786645,719263250.096,124.3,0.55,1059263999,1059264000.0,17149695996.61,131920690000.0
2025-05-30,ARM,128.1,138.5,138.59,126.75,135.54,7438789,969419337.4734,130.32,0.7,1059263999,1059264000.0,17639924752.39,135691690000.0
2025-05-29,ARM,135.54,134.83,138.5,133.95,133.96,5937438,808426773.8594,136.16,0.56,1057000000,1057000000.0,18624551400.0,143265750000.0
2025-05-28,ARM,133.96,130.05,135.99,129.73,127.18,5507531,738107738.8049,134.02,0.52,1057000000,1057000000.0,18407444974.1,141595690000.0
2025-05-24,ARM,127.18,126.14,127.66,124.9,129.28,2966784,375307699.3766,126.5,0.28,1057000000,1057000000.0,17475803800.0,134429190000.0
2025-05-23,ARM,129.28,129.6,131.14,128.96,130.45,2366176,307022457.0272,129.75,0.22,1057000000,1057000000.0,17764364800.0,136648900000.0
2025-05-22,ARM,130.45,128.92,135.34,128.6,131.04,4810121,635870097.4982,132.19,0.46,1057000000,1057000000.0,17925134500.0,137885600000.0
2025-05-21,ARM,131.04,131.84,132.04,129.7,132.05,3108482,407180989.7246,130.99,0.29,1057000000,1057000000.0,18006206400.0,138509300000.0
2025-05-20,ARM,132.05,130.36,133.28,129.53,135.96,4195586,552037626.3747,131.58,0.4,1057000000,1057000000.0,18144991874.1,139576800000.0
2025-05-17,ARM,135.96,133.35,136.15,132.9,133.07,4789902,646000192.0242,134.87,0.45,1057000000,1057000000.0,18682264974.1,143709690000.0
2025-05-16,ARM,133.07,133.01,135.18,129.0,133.45,5357922,709473581.5468,132.42,0.51,1057000000,1057000000.0,18285150074.1,140654940000.0
2025-05-15,ARM,133.45,128.97,134.97,128.81,126.68,8876043,1177989461.1312,132.72,0.84,1057000000,1057000000.0,18337364500.0,141056570000.0
2025-05-14,ARM,126.68,125.0,128.9,124.2,124.81,7630738,969254051.5386,127.02,0.72,1057000000,1057000000.0,17407098800.0,133900690000.0
2025-05-13,ARM,124.81,121.64,125.45,121.3,115.8,7552649,933671384.4098,123.62,0.71,1057000000,1057000000.0,17150142100.0,131924100000.0
