dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ASML,742.78,751.18,752.77,740.41,747.25,1160375,864543682.9825,745.06,,393421900,,292225930684.66,
2025-06-04,ASML,747.25,732.66,748.55,732.2,746.53,1085080,806718307.7488,743.46,,393421900,,293984514775.0,
2025-06-03,ASML,746.53,733.29,746.95,732.66,736.77,812602,601987108.6744,740.81,,393421900,,293701262809.66,
2025-05-31,ASML,736.77,745.01,745.96,723.0,747.06,1785806,1314893850.9084,736.3,,393421900,,289861461131.44,
2025-05-30,ASML,747.06,757.83,759.55,744.84,746.51,1166416,876034240.6698,751.05,,393421900,,293911712052.41,
2025-05-29,ASML,746.51,752.14,756.39,744.81,756.79,1243956,932204716.2028,749.39,,393421900,,293693386503.22,
2025-05-28,ASML,756.79,751.37,761.21,749.95,732.49,1385099,1047210595.0643,756.05,,393421900,,297737775437.88,
2025-05-24,ASML,732.49,724.6,735.99,722.52,740.7,1525225,1113336066.9665,729.95,,393421900,,288177607531.0,
2025-05-23,ASML,740.7,736.31,747.21,734.15,737.17,863926,640818380.4712,741.75,,393421900,,291407585593.12,
2025-05-22,ASML,737.17,749.01,755.79,735.49,748.76,1058736,787685629.8595,743.99,,393421900,,290018794483.47,
2025-05-21,ASML,748.76,745.63,748.98,741.3,749.13,777181,578750525.3352,744.68,,393421900,,294578585778.22,
2025-05-20,ASML,749.13,739.73,750.0,737.27,748.1,977869,728367015.4371,744.85,,393421900,,294724104670.59,
2025-05-17,ASML,748.1,752.88,753.45,742.21,758.36,1095121,817543658.8591,746.53,,393421900,,294318962732.19,
2025-05-16,ASML,758.36,763.67,767.0,755.21,768.91,1510982,1151292296.7152,761.95,,393421900,,298355475360.41,
2025-05-15,ASML,768.91,765.0,773.7,764.27,763.9,1156129,888643202.4569,768.64,,393421900,,302506001655.25,
2025-05-14,ASML,763.9,745.26,764.87,744.54,750.2,1815615,1379462699.4165,759.78,,393421900,,300534954002.03,
2025-05-13,ASML,750.2,730.42,750.52,729.38,706.21,2571454,1907212151.4511,741.69,,393421900,,295145093643.12,
2025-05-10,ASML,706.21,709.21,710.51,703.9,708.03,884243,624650759.9898,706.42,,393421900,,277838468196.34,
2025-05-09,ASML,708.03,711.12,716.81,705.7,700.39,1040537,739555075.7454,710.74,,393421900,,278554519659.66,
2025-05-08,ASML,700.39,685.78,701.96,683.46,679.99,1042544,721061212.1946,691.64,,393421900,,275548725198.81,
2025-05-07,ASML,679.99,676.31,686.37,675.5,683.36,765138,521312100.9532,681.33,,393421900,,267522957781.0,
2025-05-06,ASML,683.36,685.0,690.42,682.73,690.33,903997,620663466.9093,686.58,,393421900,,268848832860.41,
2025-05-03,ASML,690.33,686.32,695.0,685.6,666.72,1215548,838491306.9386,689.81,,393421900,,271590971700.75,
2025-05-02,ASML,666.72,675.15,675.15,662.46,668.08,1066308,711188387.801,666.96,,393421900,,262302241299.56,
2025-05-01,ASML,668.08,657.59,669.5,651.46,666.11,1042119,689322795.3554,661.46,,393421900,,262837334425.75,
2025-04-30,ASML,666.11,665.61,673.63,663.0,672.76,1104016,737356013.2042,667.89,,393421900,,262062305085.41,
2025-04-29,ASML,672.76,672.17,674.44,661.08,675.18,1005168,671962909.6541,668.51,,393421900,,264678521378.22,
2025-04-26,ASML,677.27,666.9,681.75,664.59,675.0,1281108,863805529.7663,674.26,,393421900,,266452858081.44,
2025-04-25,ASML,675.0,666.53,678.32,662.56,657.98,1734646,1165734203.4194,672.03,,393421900,,265559782500.0,
2025-04-24,ASML,657.98,664.25,666.49,654.79,638.69,1844464,1218648984.9232,660.71,,393421900,,258863737827.78,
2025-04-23,ASML,638.69,638.81,645.61,631.0,624.69,1967022,1256683107.9316,638.88,,393421900,,251274613639.91,
2025-04-22,ASML,624.69,632.0,633.66,614.06,640.16,1555135,965625698.9287,620.93,,393421900,,245766707039.9,
2025-04-18,ASML,640.16,644.36,647.66,636.93,634.93,1439852,924258435.4077,641.91,,393421900,,251852932030.25,
2025-04-17,ASML,634.93,647.0,653.13,624.17,683.16,4028280,2580907032.0084,640.7,,393421900,,249795343361.69,
2025-04-16,ASML,683.16,679.38,687.52,676.69,672.87,2105587,1437028701.1525,682.48,,393421900,,268770073730.25,
2025-04-15,ASML,672.87,676.44,680.02,662.73,668.81,1574032,1060985572.1291,674.06,,393421900,,264721841063.63,
2025-04-12,ASML,668.81,656.06,672.0,651.39,649.55,2163570,1433859024.7596,662.73,,393421900,,263124524544.31,
2025-04-11,ASML,649.55,656.17,661.66,627.63,687.26,2989944,1937771344.6128,648.1,,393421900,,255547214816.1,
2025-04-10,ASML,687.26,618.02,692.29,606.87,595.37,3866703,2537156622.9661,656.16,,393421900,,270383138928.22,
2025-04-09,ASML,595.37,632.02,637.9,582.89,615.84,2585227,1585266134.1836,613.2,,393421900,,234231643813.63,
2025-04-08,ASML,615.84,586.5,652.85,578.51,605.55,4179145,2555472695.1361,611.48,,393421900,,242284978303.97,
2025-04-05,ASML,605.55,621.95,626.38,597.69,623.22,4016981,2462314230.8899,612.98,,393421900,,238236651216.1,
2025-04-04,ASML,623.22,649.53,650.97,622.82,669.01,2877114,1825205733.0978,634.39,,393421900,,245188388649.56,
2025-04-03,ASML,669.01,664.39,676.39,660.83,667.34,1119008,748366925.1168,668.78,,393421900,,263203189253.22,
2025-04-02,ASML,667.34,664.57,670.64,656.35,662.63,1212618,805236084.743,664.05,,393421900,,262546206153.97,
2025-04-01,ASML,662.63,660.26,665.16,652.88,674.58,1684953,1110286956.8577,658.94,,393421900,,260693110320.59,
2025-03-29,ASML,674.58,685.13,687.44,672.05,690.63,1393008,943688101.5403,677.45,,393421900,,265394576775.75,
2025-03-28,ASML,690.63,698.49,702.48,689.0,705.76,1285455,892819120.3977,694.55,,393421900,,271708923520.59,
2025-03-27,ASML,705.76,715.9,719.99,702.24,726.74,1270018,900563693.114,709.1,,393421900,,277661444078.22,
2025-03-26,ASML,726.74,732.06,735.0,725.42,727.84,1242828,905409606.208,728.51,,393421900,,285915431606.0,
2025-03-25,ASML,727.84,728.03,731.95,726.34,716.22,1097145,799852990.7813,729.03,,393421900,,286348231103.97,
2025-03-22,ASML,716.22,711.79,721.36,711.21,734.06,1967217,1408774729.8656,716.13,,393421900,,281776625349.56,
2025-03-21,ASML,734.06,725.01,735.4,724.23,734.91,1282411,938121849.5237,731.53,,393421900,,288795303519.31,
2025-03-20,ASML,734.91,729.11,746.75,725.06,731.11,1080488,792432697.6639,733.4,,393421900,,289129657055.25,
2025-03-19,ASML,731.11,729.9,734.19,719.99,730.33,1007257,733371140.3344,728.09,,393421900,,287634728585.41,
2025-03-18,ASML,730.33,718.05,734.54,717.21,714.0,1423286,1033511001.9369,726.14,,393421900,,287327847700.75,
2025-03-15,ASML,714.0,707.68,720.03,705.36,694.59,1367524,976910612.1732,714.36,,393421900,,280903236600.0,
2025-03-14,ASML,694.59,697.84,705.3,688.26,703.37,1399468,975547758.929,697.08,,393421900,,273266952928.97,
2025-03-13,ASML,703.37,704.14,708.3,696.74,690.21,1303734,916045019.2906,702.63,,393421900,,276721209013.63,
2025-03-12,ASML,690.21,698.82,702.0,681.25,683.11,1616844,1117314209.3932,691.05,,393421900,,271543717796.34,
2025-03-11,ASML,683.11,697.98,699.0,676.0,732.22,2321496,1595184032.615,687.14,,393421900,,268750477385.41,
2025-03-08,ASML,732.22,726.16,734.0,715.5,714.84,1419614,1032472173.3589,727.29,,393421900,,288071375749.56,
2025-03-07,ASML,714.84,718.85,731.17,711.0,739.75,1422726,1022866012.248,718.95,,393421900,,281233746403.97,
2025-03-06,ASML,739.75,731.62,740.55,719.3,708.22,1748909,1279162133.8049,731.41,,393421900,,291033850525.0,
2025-03-05,ASML,708.22,698.27,721.3,692.69,699.86,2041486,1438600213.5448,704.68,,393421900,,278629250149.56,
2025-03-04,ASML,699.86,722.04,732.35,692.48,709.08,2277645,1618892350.4757,710.77,,393421900,,275340294210.41,
2025-03-01,ASML,709.08,706.82,713.5,697.51,697.7,1769902,1249017611.3235,705.7,,393421900,,278967632325.75,
2025-02-28,ASML,697.7,743.42,744.8,696.91,746.93,2334813,1671326528.1032,715.83,,393421900,,274490443893.12,
2025-02-27,ASML,746.93,743.82,753.77,738.91,730.19,1395290,1040746336.6014,745.9,,393421900,,293858596161.69,
2025-02-26,ASML,730.19,732.19,738.98,726.21,735.96,1688949,1234311239.5053,730.82,,393421900,,287272717489.91,
2025-02-25,ASML,735.96,746.13,750.88,734.7,737.21,1468286,1088914022.1322,741.62,,393421900,,289542769721.34,
2025-02-22,ASML,737.21,744.15,745.71,733.2,743.09,1463213,1079857280.9661,738.0,,393421900,,290034547096.34,
2025-02-21,ASML,743.09,751.35,755.5,740.42,744.8,1183696,881551819.5635,744.75,,393421900,,292347915078.97,
2025-02-20,ASML,744.8,743.96,752.87,741.69,744.22,1456122,1087212282.7187,746.65,,393421900,,293020650791.1,
2025-02-19,ASML,744.22,757.44,758.93,738.6,751.55,1712019,1280055206.0625,747.69,,393421900,,292792438549.56,
2025-02-15,ASML,751.55,778.22,778.36,748.68,776.99,2041487,1554712981.9668,761.56,,393421900,,295676248616.1,
2025-02-14,ASML,776.99,754.77,776.99,752.75,756.17,1669960,1286316866.1772,770.27,,393421900,,305684882081.0,
2025-02-13,ASML,756.17,738.35,756.79,733.56,752.98,1076163,804991996.1031,748.02,,393421900,,297493810583.47,
2025-02-12,ASML,752.98,744.67,753.49,743.88,742.49,1079078,808714165.4192,749.45,,393421900,,296238818327.78,
2025-02-11,ASML,742.49,735.15,743.97,734.31,726.15,984306,730274073.1454,740.34,,393421900,,292737398825.75,
2025-02-08,ASML,727.7,739.05,742.32,723.75,739.13,1308881,955294926.001,729.86,,393421900,,286293100893.12,
2025-02-07,ASML,739.13,737.69,742.41,735.01,742.59,1116869,824872110.4918,738.56,,393421900,,290789885670.59,
2025-02-06,ASML,742.59,729.24,743.21,722.4,731.41,1247423,917900197.6387,735.84,,393421900,,292151204128.97,
2025-02-05,ASML,731.41,736.9,742.69,729.27,731.05,1385987,1019203281.0836,735.36,,393421900,,287752680405.25,
