dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AVGO,261.08,258.06,265.43,257.59,256.85,31536047,8225310934.018,260.82,0.67,4701948717,4701949000.0,1166205889830.74,1227584000000.0
2025-06-04,AVGO,256.85,250.08,257.88,249.4,248.71,30380247,7737089708.5275,254.68,0.65,4701948717,4701949000.0,1147311198248.51,1207696000000.0
2025-06-03,AVGO,248.71,243.25,250.0,243.19,242.07,19197008,4762821837.9184,248.1,0.41,4701948717,4701949000.0,1110950626803.33,1169421000000.0
2025-05-31,AVGO,242.07,241.22,243.17,234.9,241.97,27088559,6519693342.1113,240.68,0.58,4701948717,4701949000.0,1081290734296.49,1138200000000.0
2025-05-30,AVGO,241.97,245.91,246.07,237.4,239.43,20768032,5007413632.0515,241.11,0.44,4701948717,4701949000.0,1080844049168.38,1137730000000.0
2025-05-29,AVGO,239.43,237.15,240.99,234.43,235.65,20443004,4870318990.0856,238.24,0.43,4701948717,4701949000.0,1069498202245.74,1125787000000.0
2025-05-28,AVGO,235.65,232.87,236.48,231.13,228.72,17941668,4212963800.586,234.81,0.38,4701948717,4701949000.0,1052613504403.0,1108013000000.0
2025-05-24,AVGO,228.72,226.94,230.65,226.18,230.53,15385633,3525807045.2359,229.16,0.33,4701948717,4701949000.0,1021658269693.14,1075429000000.0
2025-05-23,AVGO,230.53,228.34,233.69,227.43,229.73,14340231,3314120739.0038,231.11,0.3,4701948717,4701949000.0,1029743225843.51,1083939000000.0
2025-05-22,AVGO,229.73,228.39,236.5,227.83,231.68,17642942,4085697991.6692,231.58,0.38,4701948717,4701949000.0,1026169744818.59,1080178000000.0
2025-05-21,AVGO,231.68,226.49,231.77,226.34,230.63,11787157,2710933071.1644,229.99,0.25,4701948717,4701949000.0,1034880104816.83,1089347000000.0
2025-05-20,AVGO,230.63,221.85,231.25,221.6,228.61,15355450,3515624288.8745,228.95,0.33,4701948717,4701949000.0,1030189955640.14,1084410000000.0
2025-05-17,AVGO,228.61,232.32,232.64,226.39,232.64,23094606,5284339154.2962,228.81,0.49,4701948717,4701949000.0,1021166916052.21,1074912000000.0
2025-05-16,AVGO,232.64,230.16,234.46,228.07,232.12,18803680,4357288389.104,231.73,0.4,4701948717,4701949000.0,1039168282046.74,1093861000000.0
2025-05-15,AVGO,232.12,230.23,233.5,228.35,232.42,19751446,4575892550.3148,231.67,0.42,4701948717,4701949000.0,1036845519380.54,1091416000000.0
2025-05-14,AVGO,232.42,222.0,235.28,222.0,221.58,28790536,6643482688.1382,230.75,0.61,4701948717,4701949000.0,1038185574764.88,1092826000000.0
2025-05-13,AVGO,221.58,219.49,221.8,215.88,208.2,25437672,5584861237.7376,219.55,0.54,4701948717,4701949000.0,989764951545.73,1041858000000.0
2025-05-10,AVGO,208.2,209.33,209.96,206.52,207.77,13289176,2764768016.4934,208.05,0.28,4701948717,4701949000.0,929998436735.43,978945300000.0
2025-05-09,AVGO,207.77,208.0,211.16,203.69,204.81,18460930,3838861965.6453,207.95,0.39,4701948717,4701949000.0,928077735353.05,976923500000.0
2025-05-08,AVGO,204.81,199.29,206.23,198.43,200.09,20277825,4108678707.0225,202.62,0.43,4701948717,4701949000.0,914855810892.33,963005600000.0
2025-05-07,AVGO,200.09,196.44,201.91,195.94,200.72,16348805,3263756247.4116,199.63,0.35,4701948717,4701949000.0,893772272845.3,940812500000.0
2025-05-06,AVGO,200.72,200.25,203.23,200.0,203.64,14025426,2826004263.1333,201.49,0.3,4701948717,4701949000.0,896586433820.94,943774750000.0
2025-05-03,AVGO,203.64,203.9,205.68,201.08,197.33,17766750,3622194379.575,203.87,0.38,4701948717,4701949000.0,909629594893.39,957504500000.0
2025-05-02,AVGO,197.33,198.14,201.4,196.24,192.47,24939696,4954365381.2448,198.65,0.53,4701948717,4701949000.0,881443807977.84,927835070000.0
2025-05-01,AVGO,192.47,185.9,193.2,184.02,191.17,22768864,4334932140.5504,190.39,0.48,4701948717,4701949000.0,859734910751.45,904984000000.0
2025-04-30,AVGO,191.17,191.72,193.25,190.1,192.47,14630016,2804215778.1082,191.68,0.31,4701948717,4701949000.0,853927959417.45,898871400000.0
2025-04-29,AVGO,192.47,190.53,193.1,187.68,192.31,16331305,3117229676.2225,190.87,0.35,4701948717,4701949000.0,859734910751.45,904984000000.0
2025-04-26,AVGO,192.31,186.92,193.37,186.89,188.15,21242344,4053517187.94,190.82,0.45,4701948717,4701949000.0,859020169877.96,904231600000.0
2025-04-25,AVGO,188.15,179.69,188.57,178.3,176.91,27430192,5105861424.9184,186.14,0.58,4701948717,4701949000.0,840438068548.37,884671100000.0
2025-04-24,AVGO,176.91,177.78,180.45,175.82,169.58,24313176,4329707644.435,178.08,,4701948717,,790230704816.76,
2025-04-23,AVGO,169.58,167.43,170.52,165.22,166.21,18504860,3122347418.6806,168.73,0.39,4701948717,4701949000.0,757488684925.93,797356190000.0
2025-04-22,AVGO,166.21,166.99,168.0,161.61,170.99,23469793,3860856286.5355,164.5,0.5,4701948717,4701949000.0,742435396108.45,781510880000.0
2025-04-18,AVGO,170.99,176.25,176.25,169.92,174.61,22501786,3871621296.3024,172.06,0.48,4701948717,4701949000.0,763786945232.35,803985800000.0
2025-04-17,AVGO,174.61,170.43,176.08,166.92,178.95,34638641,5980358251.1723,172.65,0.74,4701948717,4701949000.0,779956946870.11,821006800000.0
2025-04-16,AVGO,178.95,179.73,182.26,178.08,178.36,17242352,3098731704.7376,179.72,0.37,4701948717,4701949000.0,799343036761.79,841413400000.0
2025-04-15,AVGO,178.36,185.08,186.0,175.82,181.94,25748301,4620205868.5103,179.44,0.55,4701948717,4701949000.0,796707639174.43,838639300000.0
2025-04-12,AVGO,181.94,173.62,182.66,173.31,172.3,33964145,6080957502.8725,179.04,0.72,4701948717,4701949000.0,812698966760.94,855472200000.0
2025-04-11,AVGO,172.3,175.3,176.95,166.4,185.15,51212219,8844494127.6354,172.7,1.09,4701948717,4701949000.0,769638520410.66,810145500000.0
2025-04-10,AVGO,185.15,160.5,187.33,157.51,156.03,72708313,12764504201.1601,175.56,1.55,4701948717,4701949000.0,827037514704.92,870565800000.0
2025-04-09,AVGO,156.03,167.62,169.78,153.09,154.14,58888227,9525830265.3924,161.76,1.25,4701948717,4701949000.0,696962805397.83,733644690000.0
2025-04-08,AVGO,154.14,144.49,160.43,138.1,146.29,68503500,10343624329.35,150.99,1.46,4701948717,4701949000.0,688520456476.46,724758000000.0
2025-04-05,AVGO,146.29,148.17,152.8,139.17,154.01,72302250,10561378366.3725,146.07,1.54,4701948717,4701949000.0,653455673919.43,687847500000.0
2025-04-04,AVGO,154.01,160.54,163.43,153.7,172.09,44354860,6966277174.4566,157.06,0.94,4701948717,4701949000.0,687939765809.91,724146600000.0
2025-04-03,AVGO,172.09,166.08,173.43,165.5,168.52,19523665,3333739988.677,170.75,0.42,4701948717,4701949000.0,768700436973.1,809157900000.0
2025-04-02,AVGO,168.52,166.37,168.71,163.42,167.43,20472442,3413775813.736,166.75,0.44,4701948717,4701949000.0,752753822567.91,792372100000.0
2025-04-01,AVGO,167.43,164.49,167.94,160.62,169.12,35656450,5878301309.6945,164.86,0.76,4701948717,4701949000.0,747884910002.94,787247300000.0
2025-03-29,AVGO,169.12,171.93,173.3,166.47,171.99,30391481,5130170432.0097,168.8,0.65,4701948717,4701949000.0,755433888668.09,795193500000.0
2025-03-28,AVGO,171.99,177.66,178.38,170.46,179.27,32151668,5567559665.054,173.17,0.68,4701948717,4701949000.0,768253796513.5,808688000000.0
2025-03-27,AVGO,179.27,186.66,188.06,177.58,188.26,30670536,5557556330.1648,181.2,0.65,4701948717,4701949000.0,800772473840.27,842918100000.0
2025-03-26,AVGO,188.26,190.89,191.6,187.68,191.25,23346887,4414599826.2351,189.09,0.5,4701948717,4701949000.0,840929422189.3,885188820000.0
2025-03-25,AVGO,191.25,194.3,196.69,190.67,191.66,32234211,6208728405.6851,192.61,0.69,4701948717,4701949000.0,854285307519.94,899247630000.0
2025-03-22,AVGO,191.66,188.21,192.07,187.37,190.54,43086516,8220717672.1296,190.8,0.92,4701948717,4701949000.0,856116761213.72,901175000000.0
2025-03-21,AVGO,190.54,191.52,193.84,188.94,194.98,31430024,6002009703.441,190.96,0.67,4701948717,4701949000.0,851113843110.32,895909200000.0
2025-03-20,AVGO,194.98,188.77,197.67,186.34,188.1,37962700,7377751219.297,193.76,0.81,4701948717,4701949000.0,873582149723.02,919559820000.0
2025-03-19,AVGO,188.67,190.44,192.89,186.9,194.5,24951024,4719558547.5696,189.15,0.53,4701948717,4701949000.0,842760831214.57,887116250000.0
2025-03-18,AVGO,194.5,188.05,196.72,187.5,195.54,26830625,5201921843.3062,193.88,0.57,4701948717,4701949000.0,868802574183.68,914528630000.0
2025-03-15,AVGO,195.54,196.2,197.5,193.2,191.36,25900938,5058432470.6496,195.3,0.55,4701948717,4701949000.0,873448099516.07,919418940000.0
2025-03-14,AVGO,191.36,193.15,196.32,189.47,194.23,27236137,5237653496.6261,192.31,0.58,4701948717,4701949000.0,854776705829.38,899764690000.0
