dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AXON,780.0,760.0,780.62,757.45,759.07,558064,432192095.5747,774.45,0.72,77850812,77851000.0,57080215358.4,60723610000.0
2025-06-04,AXON,759.07,761.0,766.26,750.0,758.57,503574,381301413.5968,757.19,0.65,77850812,77851000.0,55548568035.53,59094180000.0
2025-06-03,AXON,758.57,755.0,765.0,742.8,750.36,521175,394216087.2607,756.4,0.67,77850812,77851000.0,55511978153.89,59055266000.0
2025-05-31,AXON,750.36,731.01,751.99,729.14,730.29,1121126,835712669.0589,745.42,1.44,77850812,77851000.0,54911175224.55,58416130000.0
2025-05-30,AXON,730.29,753.19,754.81,729.16,751.0,536596,395987806.1394,737.96,0.69,77850812,77851000.0,53442452252.94,56853665000.0
2025-05-29,AXON,751.0,748.81,755.05,743.63,746.08,524938,394398250.1936,751.32,0.67,77850812,77851000.0,54958002223.28,58465930000.0
2025-05-28,AXON,746.08,740.58,748.14,736.63,731.37,477573,355767519.2255,744.95,0.61,77850812,77851000.0,54597963642.32,58082918000.0
2025-05-24,AXON,731.37,717.98,735.43,714.0,723.75,422654,308101558.0625,728.97,0.54,77850812,77851000.0,53521492251.67,56937715000.0
2025-05-23,AXON,723.75,734.07,735.0,722.03,735.38,510375,371101440.615,727.12,0.66,77850812,77851000.0,52963853673.9,56344490000.0
2025-05-22,AXON,735.38,738.0,748.8,730.01,742.75,570731,421471054.639,738.48,0.73,77850812,77851000.0,53814926271.07,57249910000.0
2025-05-21,AXON,742.75,741.41,744.51,734.89,742.32,383702,284001121.7263,740.16,0.49,77850812,77851000.0,54354269176.22,57823680000.0
2025-05-20,AXON,742.32,721.99,742.34,721.05,733.18,425566,313978671.0815,737.79,0.55,77850812,77851000.0,54322807000.59,57790210000.0
2025-05-17,AXON,733.18,732.0,735.68,724.74,728.39,420469,307777871.3358,731.99,0.54,77850812,77851000.0,53653934450.84,57078620000.0
2025-05-16,AXON,728.39,725.5,732.22,722.0,728.53,570241,414836271.0594,727.48,0.73,77850812,77851000.0,53303400457.54,56705720000.0
2025-05-15,AXON,728.53,725.0,730.76,715.59,724.77,566253,410109703.5426,724.25,0.73,77850812,77851000.0,53313655137.77,56716614000.0
2025-05-14,AXON,724.77,695.0,732.17,694.71,693.1,868804,627996396.3705,722.83,1.12,77850812,77851000.0,53038498496.04,56423910000.0
2025-05-13,AXON,693.1,700.0,703.0,667.0,684.59,878357,605533448.3752,689.39,1.13,77850812,77851000.0,50720901247.34,53958370000.0
2025-05-10,AXON,684.59,684.01,697.39,677.61,686.83,642574,440584570.752,685.66,0.83,77850812,77851000.0,50098140730.03,53295880000.0
2025-05-09,AXON,686.83,646.38,698.26,644.61,601.82,1692978,1154356389.0386,681.85,2.17,77850812,77851000.0,50262062667.98,53470250000.0
2025-05-08,AXON,601.82,602.01,607.6,594.52,601.67,887360,532989021.5936,600.65,1.14,77848148,77848000.0,44039543206.01,46850540000.0
2025-05-07,AXON,601.67,608.97,612.77,597.56,621.4,759283,458138499.946,603.38,0.98,77848148,77848000.0,44028556372.32,46838860000.0
2025-05-06,AXON,621.4,624.99,631.16,620.99,628.16,358190,223735653.7598,624.63,0.46,77848148,77848000.0,45472342231.21,48374825000.0
2025-05-03,AXON,628.16,632.18,638.35,626.46,621.1,507953,320703618.8567,631.36,0.65,77848148,77848000.0,45967021234.64,48901079000.0
2025-05-02,AXON,621.1,617.96,627.73,613.02,613.3,450462,280278645.6197,622.2,0.58,77848148,77848000.0,45450402957.16,48351477000.0
2025-05-01,AXON,613.3,591.59,614.76,585.49,611.13,519821,314848447.7559,605.69,0.67,77848148,77848000.0,44879616677.16,47744240000.0
2025-04-30,AXON,611.13,603.57,612.03,598.81,602.46,399687,242556051.255,606.87,0.51,77848148,77848000.0,44720810316.51,47575320000.0
2025-04-29,AXON,602.46,605.66,614.0,594.54,603.78,441374,265700253.7381,601.98,0.57,77848148,77848000.0,44086369334.12,46900387000.0
2025-04-26,AXON,603.78,590.72,603.98,590.72,590.67,556455,333130972.8221,598.67,0.71,77848148,77848000.0,44182967706.79,47003160000.0
2025-04-25,AXON,590.67,576.15,593.84,571.0,576.9,465346,273442242.2676,587.61,0.6,77848148,77848000.0,43223606522.0,45982550000.0
2025-04-24,AXON,576.9,576.4,594.46,574.2,555.52,486579,283411364.0662,582.46,,77848148,,42215954200.37,
2025-04-23,AXON,555.52,551.32,561.81,546.0,541.93,440802,244160404.1208,553.9,0.57,77848148,77848000.0,40651432449.89,43246180000.0
2025-04-22,AXON,541.93,550.0,556.63,531.22,559.53,478945,258981443.3162,540.73,0.62,77848148,77848000.0,39656947644.27,42188239000.0
2025-04-18,AXON,559.53,578.2,578.2,556.39,571.85,519731,293423678.3112,564.57,0.67,77848148,77848000.0,40944873990.73,43558340000.0
2025-04-17,AXON,571.85,572.01,581.11,564.68,578.42,368438,210909079.7925,572.44,0.47,77661525,77662000.0,41746105787.16,44410710000.0
2025-04-16,AXON,578.42,575.1,584.17,572.82,574.83,330872,191452591.0914,578.63,0.43,77661525,77662000.0,42225715422.94,44920950000.0
2025-04-15,AXON,574.83,578.0,590.0,571.72,567.98,666157,385887709.8039,579.27,0.86,77661525,77662000.0,41963649790.95,44642140000.0
2025-04-12,AXON,567.98,549.0,569.0,541.52,551.25,516622,289752547.7591,560.86,0.67,77661525,77662000.0,41463580661.31,44110150000.0
2025-04-11,AXON,551.25,543.85,564.36,534.22,559.84,655898,361311566.601,550.87,0.84,77661525,77662000.0,40242260716.88,42810910000.0
2025-04-10,AXON,559.84,503.15,567.04,497.36,504.03,1105398,603230478.8252,545.71,1.42,77661525,77662000.0,40869353036.81,43478020000.0
2025-04-09,AXON,504.03,522.71,536.84,497.99,502.55,943153,486054455.0103,515.35,1.21,77661525,77662000.0,36795116329.06,39143735000.0
2025-04-08,AXON,502.55,471.72,524.82,469.24,497.13,1045892,522849997.5733,499.91,1.35,77661525,77662000.0,36687075075.52,39028800000.0
2025-04-05,AXON,497.13,511.26,520.0,486.1,539.69,971548,485600850.7154,499.82,1.25,77661525,77662000.0,36291393457.65,38607860000.0
2025-04-04,AXON,539.69,532.67,553.6,528.76,558.42,662053,358485214.3803,541.48,0.85,77661525,77662000.0,39398355871.52,41913140000.0
2025-04-03,AXON,558.42,530.69,560.3,530.69,541.2,731828,403876150.4354,551.87,0.94,77661525,77662000.0,40765678752.94,43367710000.0
