dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,AZN,73.0,72.61,73.39,72.41,71.82,3621090,264603572.8086,73.07,,3098961920,,226224220160.0,
2025-06-04,AZN,71.82,72.18,72.53,71.65,71.93,4514606,324960012.5858,71.98,,3098961920,,222567469886.1,
2025-06-03,AZN,71.93,71.57,72.2,71.28,72.83,6389992,459096687.9603,71.85,,3098961920,,222908309212.87,
2025-05-31,AZN,72.83,71.08,73.2,70.6,70.87,8034277,581645444.3136,72.4,,3098961920,,225697402831.52,
2025-05-30,AZN,70.87,70.37,70.9,70.07,70.38,3460905,244407723.2771,70.62,,3098961920,,219623418874.55,
2025-05-29,AZN,70.38,70.19,70.56,69.97,70.96,3820839,268547275.5686,70.28,,3098961920,,218104955424.41,
2025-05-28,AZN,70.96,71.28,71.41,70.53,70.41,4459258,316697818.6411,71.02,,3098961920,,219902359535.93,
2025-05-24,AZN,70.41,69.96,70.6,69.91,69.95,3958322,278562140.972,70.37,,3098961920,,218197921183.05,
2025-05-23,AZN,69.95,69.58,70.28,69.47,69.68,3410127,238289130.6473,69.88,,3098961920,,216772377007.11,
2025-05-22,AZN,69.68,70.96,70.98,69.57,69.92,4393516,308579940.6759,70.24,,3098961920,,215935644892.87,
2025-05-21,AZN,69.92,69.79,70.43,69.56,69.69,4295160,300362673.4945,69.93,,3098961920,,216679414347.44,
2025-05-20,AZN,69.69,68.69,69.7,68.68,68.81,5316051,368397565.8023,69.3,,3098961920,,215966665501.69,
2025-05-17,AZN,68.81,68.21,68.86,68.08,67.96,3743327,256885815.375,68.63,,3098961920,,213239563517.28,
2025-05-16,AZN,67.96,67.55,67.97,67.07,66.23,5989875,404390231.9726,67.51,,3098961920,,210605473775.93,
2025-05-15,AZN,66.23,68.22,68.22,66.16,67.72,5641348,376230552.4835,66.69,,3098961920,,205244235565.75,
