dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,BIIB,131.86,132.45,133.66,131.67,131.84,1472904,194673147.2474,132.17,1.01,146527145,146527000.0,16036488768.13,19321067000.0
2025-06-04,BIIB,131.84,130.77,134.74,129.51,131.14,1825014,241570368.8783,132.37,1.25,146527145,146527000.0,16034055201.34,19318137000.0
2025-06-03,BIIB,131.14,129.59,131.85,128.07,129.79,1868120,244558765.004,130.91,1.27,146527145,146527000.0,15948922930.1,19215567000.0
2025-05-31,BIIB,129.79,132.59,132.59,129.62,132.75,3640026,474971704.6308,130.49,2.48,146527145,146527000.0,15784739264.13,19017750000.0
2025-05-30,BIIB,132.75,128.1,132.94,127.53,127.53,1957064,257905416.6352,131.78,1.34,146527145,146527000.0,16144727153.96,19451477000.0
2025-05-29,BIIB,127.53,128.12,129.9,126.87,128.39,1559077,199923733.3625,128.23,1.06,146527145,146527000.0,15509883645.54,18686600000.0
2025-05-28,BIIB,128.39,126.97,129.36,125.89,125.81,1584259,202979223.7275,128.12,1.08,146527145,146527000.0,15614474721.64,18812618000.0
2025-05-24,BIIB,125.81,124.29,126.19,123.97,126.3,837407,104930530.4687,125.3,0.57,146527145,146527000.0,15300701493.33,18434575000.0
2025-05-23,BIIB,126.3,126.55,127.07,125.35,126.82,937041,118342562.3499,126.29,0.64,146527145,146527000.0,15360295299.38,18506380000.0
2025-05-22,BIIB,126.82,129.7,130.07,126.28,130.55,1593947,202833581.2228,127.25,1.09,146527145,146527000.0,15423536415.16,18582570000.0
2025-05-21,BIIB,130.55,129.04,131.13,128.82,129.44,1684915,219382335.677,130.2,1.15,146527145,146527000.0,15877169803.37,19129120000.0
2025-05-20,BIIB,129.44,126.25,129.56,124.93,125.59,2387543,305568974.5921,127.98,1.63,146527145,146527000.0,15742174344.68,18966470000.0
2025-05-17,BIIB,125.59,123.7,125.77,122.46,123.7,1803999,225150097.6339,124.81,1.23,146527145,146527000.0,15273945636.66,18402340000.0
2025-05-16,BIIB,123.7,121.16,123.72,119.18,120.37,1945007,237758842.1343,122.24,1.33,146527145,146527000.0,15044088504.3,18125410000.0
2025-05-15,BIIB,120.37,123.38,123.74,120.04,123.16,1495858,180565168.7658,120.71,1.02,146527145,146527000.0,14639102128.23,17637469000.0
2025-05-14,BIIB,123.16,124.01,124.4,121.6,124.4,1715292,211121587.0969,123.08,1.17,146527145,146527000.0,14978416254.08,18046280000.0
2025-05-13,BIIB,124.4,119.63,124.82,119.46,118.17,2554633,316660836.3778,123.96,1.74,146527145,146527000.0,15129220775.54,18227970000.0
2025-05-10,BIIB,118.17,118.75,120.11,118.05,118.39,1306990,155266491.03,118.8,0.89,146527145,146527000.0,14371543561.46,17315110000.0
2025-05-09,BIIB,118.39,115.85,119.87,115.25,117.21,1871895,221806660.1434,118.49,1.28,146527145,146527000.0,14398299418.14,17347350000.0
2025-05-08,BIIB,117.21,117.73,118.0,116.22,116.82,1684379,197331063.6144,117.15,1.15,146527145,146527000.0,14254791948.5,17174450000.0
2025-05-07,BIIB,116.82,121.53,121.81,115.86,121.8,1736141,204232856.2901,117.64,1.18,146527145,146527000.0,14207361111.66,17117300000.0
2025-05-06,BIIB,121.8,123.33,123.53,121.51,123.53,1099112,134329182.1032,122.22,0.75,146527145,146527000.0,14813016412.81,17847004000.0
2025-05-03,BIIB,123.53,122.41,123.72,120.91,120.93,1460071,179486528.03,122.93,1.0,146527145,146527000.0,15023413524.14,18100497000.0
2025-05-02,BIIB,120.93,120.37,125.34,118.15,121.08,2377197,289312030.263,121.7,1.62,146527145,146527000.0,14707207945.23,17719524000.0
2025-05-01,BIIB,121.08,120.19,121.41,118.75,120.17,1528289,184240282.3037,120.55,1.04,146527145,146527000.0,14725451790.95,17741500000.0
2025-04-30,BIIB,120.17,117.96,121.17,116.63,119.12,1003324,120595441.2048,120.2,0.68,146527145,146527000.0,14614778622.16,17608160000.0
