dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,BKNG,5557.0,5473.8,5560.11,5473.5,5475.07,209545,1159603212.859,5533.91,0.64,32540338,32540000.0,171785325352.7,180826630000.0
2025-06-04,BKNG,5475.07,5514.09,5560.45,5464.64,5538.91,212368,1167292328.5296,5496.55,0.65,32540338,32540000.0,169252609320.31,178160630000.0
2025-06-03,BKNG,5538.91,5500.0,5544.43,5471.26,5518.93,136704,753612843.4176,5512.73,0.42,32540338,32540000.0,171226109556.67,180238000000.0
2025-05-31,BKNG,5518.93,5510.0,5532.5,5477.06,5502.0,232680,1282209502.644,5510.61,0.72,32540338,32540000.0,170608445944.43,179587800000.0
2025-05-30,BKNG,5502.0,5480.0,5509.66,5435.91,5475.26,193731,1061844919.2294,5481.03,0.6,32540338,32540000.0,170085092692.2,179036940000.0
2025-05-29,BKNG,5475.26,5451.74,5505.0,5451.74,5451.74,188775,1035039317.895,5482.93,0.58,32540338,32540000.0,169258526129.96,178166800000.0
2025-05-28,BKNG,5451.74,5356.92,5471.78,5356.92,5332.8,257660,1402237071.638,5442.2,0.79,32540338,32540000.0,168531336621.07,177401380000.0
2025-05-24,BKNG,5332.8,5280.73,5337.23,5272.66,5341.91,152421,811194697.9965,5322.07,0.47,32540338,32540000.0,164854583492.74,173531130000.0
2025-05-23,BKNG,5341.91,5297.49,5351.8,5285.91,5293.31,136007,724005111.051,5323.29,0.42,32540338,32540000.0,165136185299.97,173827600000.0
2025-05-22,BKNG,5293.31,5286.6,5334.09,5261.0,5310.68,130923,694000841.0283,5300.83,0.4,32540338,32540000.0,163633748433.19,172246000000.0
2025-05-21,BKNG,5310.68,5332.98,5374.97,5290.0,5378.0,178492,950174977.6684,5323.35,0.55,32540338,32540000.0,164170746825.35,172811300000.0
2025-05-20,BKNG,5378.0,5315.02,5379.98,5227.23,5317.07,158785,849236151.0215,5348.34,0.49,32540338,32540000.0,166251840875.8,175001900000.0
2025-05-17,BKNG,5317.07,5267.14,5332.43,5221.02,5237.74,200481,1062955755.1794,5302.03,0.62,32540338,32540000.0,164368304586.51,173019300000.0
2025-05-16,BKNG,5237.74,5213.97,5285.43,5209.01,5216.55,155632,816123267.0704,5243.93,0.48,32540338,32540000.0,161915885905.67,170437800000.0
2025-05-15,BKNG,5216.55,5258.53,5288.72,5182.55,5262.42,195583,1021146490.2953,5221.04,0.6,32540338,32540000.0,161260909914.86,169748320000.0
2025-05-14,BKNG,5262.42,5162.36,5302.61,5151.35,5194.99,253615,1334179369.3275,5260.65,0.78,32540338,32540000.0,162678937958.37,171240900000.0
2025-05-13,BKNG,5194.99,5179.3,5230.0,5088.52,5072.54,293837,1519974049.6249,5172.85,0.9,32540338,32540000.0,160594341428.64,169046600000.0
2025-05-10,BKNG,5072.54,5141.11,5151.43,5038.0,5165.27,228447,1161467381.8125,5084.19,0.7,32540338,32540000.0,156809029990.61,165062100000.0
2025-05-09,BKNG,5165.27,5201.02,5238.34,5165.21,5196.24,209144,1086160774.0152,5193.36,0.64,32540338,32540000.0,159675637712.87,168079600000.0
2025-05-08,BKNG,5196.24,5163.64,5228.55,5132.61,5162.37,157416,817309413.0432,5192.04,0.48,32540338,32540000.0,160632983080.02,169087300000.0
2025-05-07,BKNG,5162.37,5190.15,5215.9,5152.08,5191.12,182788,946409875.3984,5177.64,0.56,32540338,32540000.0,159586035451.66,167985300000.0
2025-05-06,BKNG,5191.12,5175.0,5250.0,5175.0,5202.8,192562,1001782006.9816,5202.39,0.59,32540338,32540000.0,160474793433.29,168920820000.0
2025-05-03,BKNG,5202.8,5179.05,5226.78,5118.3,5101.43,271025,1401490412.1575,5171.07,0.83,32540338,32540000.0,160835851749.74,169300820000.0
2025-05-02,BKNG,5101.43,5002.27,5159.91,4970.0,5099.28,311817,1594241150.6637,5112.75,0.96,32540338,32540000.0,157702134385.18,166002190000.0
2025-05-01,BKNG,5099.28,4732.23,5116.14,4722.77,4909.23,458080,2279361371.392,4975.9,1.41,32540338,32540000.0,157635720206.13,165932300000.0
2025-04-30,BKNG,4909.23,4849.99,4930.12,4841.81,4889.95,372276,1822017657.7332,4894.27,1.14,32640888,32641000.0,152229560770.85,160241600000.0
2025-04-29,BKNG,4889.95,4880.0,4916.2,4824.24,4838.44,232911,1134680530.8384,4871.73,0.71,32640888,32641000.0,151631673055.63,159612250000.0
2025-04-26,BKNG,4838.44,4828.62,4878.41,4793.55,4827.97,189621,915855360.1218,4829.93,0.58,32640888,32641000.0,150034475741.25,157931000000.0
2025-04-25,BKNG,4827.97,4706.12,4843.76,4691.63,4731.03,236979,1137651956.6634,4800.64,0.73,32640888,32641000.0,149709729424.88,157589100000.0
2025-04-24,BKNG,4731.03,4719.83,4800.0,4665.0,4598.08,235983,1119673896.9141,4744.72,,32640888,,146703809648.4,
2025-04-23,BKNG,4598.08,4465.0,4608.5,4456.92,4437.63,236449,1079144936.6401,4563.96,0.72,32815201,32815000.0,143342517329.38,150886820000.0
2025-04-22,BKNG,4437.63,4566.64,4578.81,4371.12,4573.31,235527,1044178595.0697,4433.37,0.72,32815201,32815000.0,138340603218.51,145621630000.0
2025-04-18,BKNG,4573.31,4586.58,4604.59,4516.63,4540.84,216793,991336808.7792,4572.73,0.66,32815201,32815000.0,142570338896.83,150073900000.0
2025-04-17,BKNG,4540.84,4573.85,4627.76,4491.77,4612.44,248774,1133138379.0018,4554.89,0.76,32815201,32815000.0,141558145325.95,149008500000.0
2025-04-16,BKNG,4612.44,4599.99,4617.51,4524.09,4556.84,215774,989584250.7954,4586.21,0.66,32815201,32815000.0,143790285177.08,151358100000.0
2025-04-15,BKNG,4556.84,4701.7,4701.7,4547.41,4586.53,288071,1326844914.7079,4605.96,0.88,32815201,32815000.0,142056936381.15,149533600000.0
2025-04-12,BKNG,4586.53,4508.22,4643.68,4434.94,4494.64,304992,1390838578.5312,4560.25,0.93,32815201,32815000.0,142982549177.18,150507900000.0
2025-04-11,BKNG,4494.64,4525.6,4558.86,4373.84,4616.32,423261,1899585463.6926,4487.98,1.29,32815201,32815000.0,140117911093.62,147492400000.0
2025-04-10,BKNG,4616.32,4126.18,4653.81,4096.23,4164.15,602835,2650543059.2115,4396.8,1.84,32815201,32815000.0,143911207716.08,151485400000.0
2025-04-09,BKNG,4164.15,4375.01,4430.51,4129.58,4244.68,351108,1494251219.682,4255.82,1.07,32815201,32815000.0,129815001520.28,136647320000.0
2025-04-08,BKNG,4244.68,4170.08,4463.92,4107.41,4284.02,558398,2376688076.5964,4256.26,1.7,32815201,32815000.0,132325516659.31,139290000000.0
2025-04-05,BKNG,4284.02,4322.22,4513.25,4284.02,4450.53,508520,2225372917.816,4376.18,1.55,32815201,32815000.0,133551916048.84,140580900000.0
2025-04-04,BKNG,4450.53,4489.24,4523.76,4383.46,4689.3,394399,1760304452.5021,4463.26,1.2,32815201,32815000.0,138742825207.98,146045000000.0
2025-04-03,BKNG,4689.3,4624.43,4729.6,4624.43,4685.75,193542,907452672.4284,4688.66,0.59,32815201,32815000.0,146186330886.39,153880300000.0
2025-04-02,BKNG,4685.75,4572.09,4693.96,4529.74,4606.91,222040,1028529180.588,4632.18,0.68,32815201,32815000.0,146075636681.46,153763800000.0
2025-04-01,BKNG,4606.91,4522.81,4626.04,4440.86,4634.24,359397,1633820199.588,4546.0,1.1,32815201,32815000.0,143617849991.85,151176600000.0
2025-03-29,BKNG,4634.24,4752.8,4752.8,4629.61,4752.8,185473,863398552.4356,4655.12,0.57,32815201,32815000.0,144469788231.58,152073380000.0
2025-03-28,BKNG,4752.8,4740.0,4807.34,4613.98,4764.16,194035,920169308.782,4742.29,0.59,32815201,32815000.0,148165907886.71,155964100000.0
2025-03-27,BKNG,4764.16,4778.0,4782.0,4732.06,4777.91,179370,853635856.734,4759.08,0.55,32815201,32815000.0,148520030831.24,156336800000.0
2025-03-26,BKNG,4777.91,4722.68,4794.59,4722.68,4709.72,264909,1263524880.7767,4769.66,0.81,32815201,32815000.0,148948679394.3,156788000000.0
2025-03-25,BKNG,4709.72,4674.18,4727.96,4657.45,4617.26,231770,1091038269.86,4707.42,0.71,32815201,32815000.0,146822850621.7,154550320000.0
2025-03-22,BKNG,4617.26,4531.33,4645.11,4457.33,4589.03,574396,2637987727.084,4592.63,1.75,32815201,32815000.0,143940555334.79,151516320000.0
2025-03-21,BKNG,4589.03,4569.03,4652.69,4547.26,4591.89,239284,1101627093.0468,4603.85,0.73,32815201,32815000.0,143060485279.55,150589900000.0
2025-03-20,BKNG,4591.89,4448.18,4637.53,4448.18,4471.51,278433,1276220514.8493,4583.58,0.85,32815201,32815000.0,143149625476.0,150683750000.0
2025-03-19,BKNG,4471.51,4559.62,4565.41,4416.66,4563.39,286176,1280175940.8768,4473.39,0.87,32815201,32815000.0,139396880566.33,146733500000.0
2025-03-18,BKNG,4563.39,4474.13,4607.73,4461.77,4465.48,284233,1291953360.3592,4545.4,0.87,32815201,32815000.0,142261153908.93,149748570000.0
2025-03-15,BKNG,4465.48,4361.98,4465.48,4353.18,4295.4,252893,1120248821.6192,4429.73,0.77,32815201,32815000.0,139208858160.63,146535630000.0
2025-03-14,BKNG,4295.4,4382.05,4400.52,4279.39,4400.52,319112,1378046559.448,4318.38,0.97,32815201,32815000.0,133906646894.97,140954320000.0
2025-03-13,BKNG,4400.52,4415.0,4422.3,4300.64,4353.41,305474,1337238705.764,4377.59,0.93,32815201,32815000.0,137183738419.52,144403880000.0
2025-03-12,BKNG,4353.41,4400.01,4429.43,4308.02,4451.03,403438,1759533393.3926,4361.35,1.23,32815201,32815000.0,135715129211.03,142857940000.0
2025-03-11,BKNG,4451.03,4583.16,4583.16,4405.92,4673.38,361196,1614795887.034,4470.69,1.1,32815201,32815000.0,138758412428.45,146061440000.0
2025-03-08,BKNG,4673.38,4678.75,4725.43,4601.48,4686.37,292800,1363934458.08,4658.25,0.89,32815201,32815000.0,145689977672.47,153357800000.0
2025-03-07,BKNG,4686.37,4806.17,4861.75,4676.67,4907.41,304947,1452213602.2692,4752.45,,32815201,,146394202058.64,
2025-03-06,BKNG,4917.46,4894.61,4949.48,4842.24,4898.4,212902,1044667703.9216,4906.8,0.65,32815201,32815000.0,153299097568.43,161367400000.0
2025-03-05,BKNG,4898.4,4849.42,4967.95,4790.64,4946.15,389592,1899331009.6824,4875.18,1.19,32815201,32815000.0,152704834787.82,160741880000.0
2025-03-04,BKNG,4946.15,5016.01,5054.75,4914.1,5016.01,351740,1749473719.104,4973.77,1.07,32815201,32815000.0,154193414343.18,162308820000.0
2025-03-01,BKNG,5016.01,4938.15,5016.01,4896.11,4918.13,300290,1491695289.553,4967.52,0.92,32815201,32815000.0,156371363663.6,164601380000.0
2025-02-28,BKNG,4918.13,5042.11,5046.14,4916.65,5034.55,203120,1006473899.648,4955.07,0.62,32815201,32815000.0,153319922094.98,161389320000.0
2025-02-27,BKNG,5034.55,5058.0,5129.0,5025.0,5033.83,257033,1301953495.9445,5065.32,0.78,32815201,32815000.0,156949306624.38,165209750000.0
2025-02-26,BKNG,5033.83,5090.0,5090.0,4951.92,5049.08,350869,1764575041.8247,5029.16,1.07,32815201,32815000.0,156926779973.34,165186070000.0
