dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,BKR,37.29,37.55,38.08,36.99,37.54,9110992,341265853.626,37.46,0.92,990749975,990750000.0,32142202742.23,36945055000.0
2025-06-04,BKR,37.54,37.28,37.81,36.89,37.32,5952313,223349247.8349,37.52,0.6,990749975,990750000.0,32357690861.79,37192743000.0
2025-06-03,BKR,37.32,37.6,37.76,36.82,37.05,6046363,225502699.6246,37.3,0.61,990749975,990750000.0,32168073383.91,36974793000.0
2025-05-31,BKR,37.05,37.11,37.17,36.53,37.36,11354629,419972447.8777,36.99,1.15,990749975,990750000.0,31935342766.97,36707290000.0
2025-05-30,BKR,37.36,37.03,37.41,36.62,36.68,5824422,216260817.9821,37.13,0.59,990749975,990750000.0,32202545449.37,37014415000.0
2025-05-29,BKR,36.68,37.6,37.65,36.57,37.23,4856395,178989236.678,36.86,0.49,990749975,990750000.0,31616410868.54,36340700000.0
2025-05-28,BKR,37.23,36.95,37.25,36.36,36.74,6790402,251253063.2248,37.0,0.69,990749975,990750000.0,32090487317.44,36885614000.0
2025-05-24,BKR,36.74,36.07,36.82,36.03,36.59,4631992,169524436.3072,36.6,0.47,990749975,990750000.0,31668139222.62,36400153000.0
2025-05-23,BKR,36.59,36.56,36.81,35.83,36.65,9175074,334866410.0331,36.5,0.93,990749975,990750000.0,31538838593.31,36251540000.0
2025-05-22,BKR,36.65,37.28,37.28,36.6,37.34,7133547,262786353.4084,36.84,0.72,990749975,990750000.0,31590553156.15,36310970000.0
2025-05-21,BKR,37.34,37.74,37.89,37.18,37.91,7102828,265532796.7207,37.38,0.72,990749975,990750000.0,32185302952.0,36994590000.0
2025-05-20,BKR,37.91,37.55,38.03,37.29,37.79,5296000,200189869.792,37.8,0.53,990749975,990750000.0,32676621898.27,37559330000.0
2025-05-17,BKR,37.79,37.85,38.5,37.23,37.73,6160895,232226336.4156,37.69,0.62,990749975,990750000.0,32573178981.35,37440430000.0
2025-05-16,BKR,37.73,37.36,37.75,36.99,37.84,6493664,243405293.506,37.48,0.66,990749975,990750000.0,32521463556.56,37380990000.0
2025-05-15,BKR,37.84,37.96,38.35,37.77,38.18,5939020,225490371.3861,37.97,0.6,990749975,990750000.0,32616279191.12,37489969000.0
2025-05-14,BKR,38.18,37.94,38.33,37.47,37.62,6701266,255131972.9115,38.07,0.68,990749975,990750000.0,32909339585.92,37826820000.0
2025-05-13,BKR,37.62,38.19,38.36,37.16,36.49,7868801,296173863.7894,37.64,0.79,990749975,990750000.0,32426648783.96,37272000000.0
2025-05-10,BKR,36.49,36.88,36.88,36.37,36.25,8993918,328713321.6251,36.55,0.91,990749975,990750000.0,31814175828.38,36152460000.0
2025-05-09,BKR,36.25,36.76,37.35,36.19,36.31,15274172,559109615.0137,36.6,1.54,990749975,990750000.0,31604924202.5,35914680000.0
2025-05-08,BKR,36.31,36.61,36.79,36.15,36.4,7172254,261462346.377,36.45,0.72,990749975,990750000.0,31657234057.46,35974130000.0
2025-05-07,BKR,36.4,36.8,36.9,36.22,36.52,9078297,331152689.1444,36.48,0.92,990749975,990750000.0,31735697968.04,36063290000.0
2025-05-06,BKR,36.52,36.2,36.69,35.9,36.87,6809910,249547108.977,36.42,0.69,990749975,990750000.0,32040854191.5,36410055000.0
2025-05-03,BKR,37.1,36.74,37.15,36.18,36.19,7294621,269501946.6421,36.95,0.74,990749975,990750000.0,32346011286.82,36756825000.0
2025-05-02,BKR,36.19,35.11,36.63,35.1,35.4,8903649,321939956.8864,36.16,0.9,990749975,990750000.0,31552615219.4,35855239000.0
2025-05-01,BKR,35.4,35.43,35.53,34.56,35.92,10530942,370968249.4249,35.23,1.06,990749975,990750000.0,30863837990.04,35072540000.0
2025-04-30,BKR,35.92,36.03,36.16,35.49,36.21,7427988,266896514.9976,35.93,0.75,990749975,990750000.0,31317209537.9,35587735000.0
2025-04-29,BKR,36.21,36.5,36.68,35.93,36.45,6833199,247426746.5233,36.21,0.69,990749975,990750000.0,31570055906.4,35875059000.0
2025-04-26,BKR,36.45,35.94,36.5,35.63,36.38,7103074,257902630.018,36.31,0.72,990749975,990750000.0,31779293582.52,36112830000.0
2025-04-25,BKR,36.38,36.25,36.45,35.5,35.89,9677172,350253647.2879,36.19,0.98,990749975,990750000.0,31718270358.94,36043480000.0
2025-04-24,BKR,35.89,36.8,38.16,35.72,38.36,13173696,481883181.681,36.58,,990349581,,31278408886.64,
2025-04-23,BKR,38.36,37.88,38.76,37.23,37.8,10034590,383294214.5032,38.2,1.01,990349581,990350000.0,33431033607.41,37989809000.0
2025-04-22,BKR,37.8,38.32,38.52,37.39,38.91,6139078,231925741.4354,37.78,0.62,990349581,990350000.0,32942991948.41,37435215000.0
2025-04-18,BKR,38.91,38.77,39.48,38.64,38.13,5548887,216582453.8757,39.03,0.56,990349581,990350000.0,33910365419.14,38534500000.0
2025-04-17,BKR,38.13,37.99,38.82,37.76,38.16,6154383,235605179.5063,38.28,0.62,990349581,990350000.0,33230590338.24,37762030000.0
2025-04-16,BKR,38.16,37.78,38.51,37.73,37.81,5100270,194427872.0954,38.12,0.51,990349581,990350000.0,33256734695.68,37791740000.0
2025-04-15,BKR,37.81,38.54,38.55,37.35,37.93,6014602,227676130.6186,37.85,0.61,990349581,990350000.0,32951701795.68,37445110000.0
2025-04-12,BKR,37.93,36.87,38.11,36.01,36.66,9066414,338469180.7308,37.33,0.92,990349581,990350000.0,33056278353.9,37563950000.0
2025-04-11,BKR,36.66,37.35,37.49,35.85,38.75,12788219,470055248.5964,36.76,1.29,990349581,990350000.0,31949473248.76,36306220000.0
2025-04-10,BKR,38.75,34.63,39.38,34.07,35.0,17307250,638298337.5145,36.88,1.75,990349581,990350000.0,33770920712.1,38376040000.0
2025-04-09,BKR,35.0,36.64,37.07,34.25,35.71,13604622,478704541.8749,35.19,1.37,990349581,990350000.0,30502767094.8,34662231000.0
2025-04-08,BKR,35.71,34.62,37.28,33.6,35.41,16798512,595196545.122,35.43,1.7,990349581,990350000.0,31121543613.56,35365390000.0
2025-04-05,BKR,35.41,39.29,39.68,35.28,40.86,20974610,763769490.4892,36.41,2.12,990349581,990350000.0,30860088709.66,35068280000.0
2025-04-04,BKR,40.86,42.31,42.61,40.38,44.92,11060504,454041486.8553,41.05,1.12,990349581,990350000.0,35609802685.61,40465680000.0
2025-04-03,BKR,44.92,44.19,45.0,44.02,44.8,7060879,315090327.321,44.62,0.71,990349581,990350000.0,39148121925.59,44486490000.0
2025-04-02,BKR,44.8,43.77,44.82,43.53,43.95,6977586,310147396.9398,44.45,0.7,990349581,990350000.0,39043545367.37,44367630000.0
2025-04-01,BKR,43.95,42.74,44.04,42.54,43.08,9272160,405420587.7365,43.72,0.94,990111854,990112000.0,38293563451.41,43515370000.0
2025-03-29,BKR,43.08,43.57,43.76,42.75,43.63,4460078,192095117.9123,43.07,0.45,990111854,990112000.0,37535538172.48,42654016000.0
2025-03-28,BKR,43.63,44.24,44.28,43.36,44.02,4462067,195175263.7229,43.74,0.45,990111854,990112000.0,38014754923.71,43198540000.0
2025-03-27,BKR,44.02,45.25,45.36,43.85,45.18,5953035,263316430.0305,44.23,0.6,990111854,990112000.0,38354561312.0,43584710000.0
2025-03-26,BKR,45.18,44.85,45.22,44.7,44.6,7510973,338304724.2603,45.04,0.76,990111854,990112000.0,39365257036.98,44733235000.0
2025-03-25,BKR,44.6,44.8,45.18,44.43,44.11,9508274,425503828.4549,44.75,0.96,990111854,990112000.0,38859916144.88,44158973000.0
2025-03-22,BKR,44.11,44.2,44.68,43.69,44.69,20139231,888119947.869,44.1,2.03,990111854,990112000.0,38432974685.65,43673805000.0
2025-03-21,BKR,44.69,44.62,45.0,44.08,44.6,6101969,272544408.7732,44.67,0.62,990111854,990112000.0,38938329518.52,44248060000.0
