dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CCEP,90.97,91.1,91.5,90.49,90.84,1417214,129066965.8103,91.07,0.31,460304021,460304000.0,19680713124.16,41873852000.0
2025-06-04,CCEP,90.84,91.65,91.85,90.01,91.56,1806591,164062672.926,90.81,0.39,460304021,460304000.0,19652587466.76,41814012000.0
2025-06-03,CCEP,91.56,91.32,91.57,90.04,91.79,1701017,154887467.1506,91.06,0.37,460304021,460304000.0,19808354563.81,42145430000.0
2025-05-31,CCEP,91.79,91.0,92.73,90.91,90.65,6680738,613416036.8498,91.82,1.45,460304021,460304000.0,19858112563.11,42251297000.0
2025-05-30,CCEP,90.65,89.52,90.74,88.75,89.42,1367406,123239385.588,90.13,0.3,460304021,460304000.0,19611481668.66,41726551000.0
2025-05-29,CCEP,89.42,89.1,89.72,88.75,88.79,3227796,288164718.9238,89.28,0.7,460304021,460304000.0,19345380995.83,41160379000.0
2025-05-28,CCEP,88.79,90.84,91.2,88.6,89.45,2660158,237236891.3176,89.18,0.58,460304021,460304000.0,19209083893.5,40870387000.0
2025-05-24,CCEP,89.45,88.45,89.65,88.06,88.59,1387734,123724397.5715,89.16,0.3,460304021,460304000.0,19351870849.84,41174188000.0
2025-05-23,CCEP,88.59,88.77,89.27,88.31,88.94,1138683,100988425.4344,88.69,0.25,460304021,460304000.0,19165815964.55,40778330000.0
2025-05-22,CCEP,88.94,88.49,89.16,88.32,88.56,1286043,114289615.1477,88.87,0.28,460304021,460304000.0,19241537274.07,40939440000.0
2025-05-21,CCEP,88.56,88.69,88.95,88.11,88.69,1054402,93321640.439,88.51,0.23,460304021,460304000.0,19159325894.2,40764520000.0
2025-05-20,CCEP,88.69,88.01,89.12,87.84,88.3,1183998,104979175.566,88.67,0.26,460304021,460304000.0,19187451551.6,40824360000.0
2025-05-17,CCEP,88.3,86.81,88.44,86.08,86.91,1662575,146068361.3154,87.86,0.36,460304021,460304000.0,19103078040.89,40644840000.0
2025-05-16,CCEP,86.91,86.02,87.21,86.0,85.73,2142633,187734518.7722,86.72,0.47,460304021,460304000.0,18997068726.8,40419290000.0
2025-05-15,CCEP,86.62,87.13,87.27,85.65,87.39,1910090,164988978.5235,86.38,0.41,460304021,460304000.0,18739620255.17,39871528000.0
2025-05-14,CCEP,87.39,87.4,88.14,87.28,87.67,1455388,127530838.9273,87.63,0.32,460304021,460304000.0,18906205145.74,40225965000.0
2025-05-13,CCEP,87.67,88.84,88.87,86.82,89.5,1632019,143109311.1377,87.69,0.35,460304021,460304000.0,18966780938.56,40354850000.0
2025-05-10,CCEP,89.5,89.8,90.05,89.35,89.78,1500672,134484516.0837,89.62,0.33,460304021,460304000.0,19362688643.37,41197208000.0
2025-05-09,CCEP,89.78,91.08,91.37,89.71,91.05,1515595,136732728.1404,90.22,0.33,460304021,460304000.0,19423264436.19,41326090000.0
2025-05-08,CCEP,91.05,90.63,91.36,90.23,90.51,1524157,138449556.7709,90.84,0.33,460304021,460304000.0,19698020988.04,41910680000.0
2025-05-07,CCEP,90.51,90.52,90.92,89.8,89.86,1766392,159836563.9072,90.49,0.38,460304021,460304000.0,19581193880.42,41662110000.0
2025-05-06,CCEP,89.86,89.36,90.03,88.29,89.71,912117,81696225.4694,89.57,0.2,460304021,460304000.0,19440572300.06,41362915000.0
2025-05-03,CCEP,89.71,90.65,90.65,89.61,89.54,1704270,153322617.3559,89.96,0.37,460304021,460304000.0,19408122164.64,41293872000.0
2025-05-02,CCEP,89.54,90.27,90.27,89.31,90.74,1538653,137922554.6338,89.64,0.33,460304021,460304000.0,19371341060.9,41215614000.0
2025-05-01,CCEP,90.74,89.73,90.92,88.88,88.93,2047036,184591479.4881,90.18,0.44,460304021,460304000.0,19630955124.86,41767985000.0
