dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CDNS,294.4,293.91,296.09,291.62,293.33,1430628,420507892.9346,293.93,0.52,273042000,273042000.0,75560527812.65,80383500000.0
2025-06-04,CDNS,293.33,289.12,294.81,289.12,292.53,1617618,473223971.0828,292.54,0.59,273042000,273042000.0,75285945801.16,80091375000.0
2025-06-03,CDNS,292.53,286.76,292.87,285.48,287.07,1993355,578296823.7,290.11,0.73,273042000,273042000.0,75080605384.18,79872938000.0
2025-05-31,CDNS,287.07,284.43,288.21,280.34,284.5,2901854,827942328.9173,285.32,1.06,273042000,273042000.0,73679254889.76,78382190000.0
2025-05-30,CDNS,284.5,293.11,294.13,276.61,288.61,6282231,1800175177.7193,286.55,2.3,273042000,273042000.0,73019622060.0,77680375000.0
2025-05-29,CDNS,288.61,322.87,323.39,284.3,323.08,7018684,2107077158.4085,300.21,2.57,273042000,273042000.0,74074520755.34,78802688000.0
2025-05-28,CDNS,323.08,319.46,323.28,318.1,315.51,1446709,466250729.3433,322.28,0.53,273042000,273042000.0,82921565331.16,88214438000.0
2025-05-24,CDNS,315.51,312.04,317.28,311.65,316.63,1010566,318623375.272,315.29,0.37,273042000,273042000.0,80978635101.39,86147438000.0
2025-05-23,CDNS,316.63,315.5,318.6,313.91,317.55,1481096,468873567.3449,316.57,0.54,273042000,273042000.0,81266062919.86,86453190000.0
2025-05-22,CDNS,317.55,317.37,322.64,316.31,320.55,1869690,597026811.9309,319.32,0.68,273042000,273042000.0,81502230706.97,86704440000.0
2025-05-21,CDNS,320.55,316.96,321.0,315.36,320.3,1374232,439150333.7476,319.56,0.5,273042000,273042000.0,82272209146.97,87523560000.0
2025-05-20,CDNS,320.3,318.77,322.27,317.41,321.56,1510674,484123445.8757,320.47,0.55,273042000,273042000.0,82208044276.97,87455380000.0
2025-05-17,CDNS,321.56,320.16,322.19,317.18,318.77,1575130,505678270.3291,321.04,0.58,273042000,273042000.0,82531437788.37,87799375000.0
2025-05-16,CDNS,318.77,318.36,321.87,317.74,319.39,1535422,490955683.2865,319.75,0.56,273042000,273042000.0,81815347572.79,87037563000.0
2025-05-15,CDNS,319.39,316.95,321.86,316.79,318.66,1463283,467485701.9759,319.48,0.54,273042000,273042000.0,81974445651.25,87206813000.0
2025-05-14,CDNS,318.66,312.42,319.57,311.57,311.77,1707340,541451875.7056,317.13,0.63,273042000,273042000.0,81787089364.04,87007500000.0
2025-05-13,CDNS,311.77,320.0,320.0,308.58,305.78,2439752,761361085.8924,312.07,0.89,273042000,273042000.0,80018731212.79,85126250000.0
2025-05-10,CDNS,305.78,309.53,309.53,303.82,307.96,1480106,452601672.9442,305.79,0.54,273042000,273042000.0,78481343494.18,83490750000.0
2025-05-09,CDNS,307.96,311.22,313.0,307.7,308.34,1609503,498411526.7189,309.67,0.59,273042000,273042000.0,79040845761.02,84086000000.0
2025-05-08,CDNS,308.34,306.15,310.88,304.77,305.78,1774697,546285633.3127,307.82,0.65,273042000,273042000.0,79138407162.55,84189750000.0
2025-05-07,CDNS,305.78,302.89,308.65,302.29,308.83,1643005,503205589.4274,306.27,0.6,273042000,273042000.0,78481343494.18,83490750000.0
2025-05-06,CDNS,308.83,307.0,311.98,305.6,308.15,1794504,555542691.8803,309.58,0.66,273042000,273042000.0,79264167741.16,84323563000.0
2025-05-03,CDNS,308.15,305.27,310.58,304.19,299.73,1935561,596586605.2869,308.22,0.71,273042000,273042000.0,79089595662.65,84137813000.0
2025-05-02,CDNS,299.73,301.74,304.7,299.41,297.74,2304240,696120144.0024,302.1,0.84,273042000,273042000.0,76928543373.81,81838813000.0
2025-05-01,CDNS,297.74,294.51,299.98,293.85,302.22,2781042,825815376.4628,296.94,1.01,274313598,274314000.0,76773682828.41,81674060000.0
2025-04-30,CDNS,302.22,289.64,303.6,289.64,285.74,3815648,1142842475.2432,299.51,1.39,274313598,274314000.0,77928867095.21,82903000000.0
2025-04-29,CDNS,285.74,288.02,289.41,281.7,289.63,3397061,969780473.0955,285.48,1.24,274313598,274314000.0,73679425442.97,78382313000.0
2025-04-26,CDNS,289.63,279.99,290.5,279.45,281.78,2414012,693922957.6756,287.46,0.88,274313598,274314000.0,74682452181.39,79449380000.0
2025-04-25,CDNS,281.78,270.3,283.0,270.0,265.42,2164079,606056253.5265,280.05,0.79,274313598,274314000.0,72658328241.42,77296060000.0
2025-04-24,CDNS,265.42,266.78,272.81,264.79,258.15,1693627,454402698.413,268.3,,274313598,,68439798220.46,
2025-04-23,CDNS,258.15,255.23,260.67,251.95,251.56,1389090,357440402.6547,257.32,0.51,274313598,274314000.0,66565188797.35,70814000000.0
2025-04-22,CDNS,251.56,257.02,257.16,247.7,260.22,1494753,374818283.268,250.76,0.54,274313598,274314000.0,64865948990.11,69006250000.0
2025-04-18,CDNS,260.22,262.79,263.16,257.88,259.26,1914745,499025743.6472,260.62,0.7,274313598,274314000.0,67098966246.17,71381810000.0
2025-04-17,CDNS,259.26,256.51,262.08,254.48,264.31,2171060,561723629.4758,258.73,0.79,274313598,274314000.0,66851433390.98,71118500000.0
2025-04-16,CDNS,264.31,262.0,266.09,260.8,260.56,1857239,489085039.6742,263.34,0.68,274313598,274314000.0,68153612933.42,72503810000.0
2025-04-15,CDNS,260.56,264.6,265.59,257.65,259.47,1453804,379996903.2424,261.38,0.53,274313598,274314000.0,67186657500.47,71475125000.0
2025-04-12,CDNS,259.47,253.52,260.42,248.55,254.02,1647645,423096419.8941,256.79,0.6,274313598,274314000.0,66905575159.58,71176060000.0
2025-04-11,CDNS,254.02,256.88,258.55,244.99,264.65,2603627,658330211.3024,252.85,0.95,274313598,274314000.0,65500274332.67,69681060000.0
2025-04-10,CDNS,264.65,230.7,266.65,229.6,231.64,4256758,1081665619.969,254.11,1.55,274313598,274314000.0,68241244881.13,72597000000.0
2025-04-09,CDNS,231.64,237.81,244.3,228.2,233.82,2654475,625237191.6248,235.54,0.97,274313598,274314000.0,59729481730.28,63541985000.0
2025-04-08,CDNS,233.82,229.65,245.66,221.56,232.88,4174676,976171586.0292,233.83,1.52,274313598,274314000.0,60291607733.85,64140000000.0
2025-04-05,CDNS,232.88,243.53,246.22,232.37,248.91,4203156,995842822.8744,236.93,1.53,274313598,274314000.0,60049224238.65,63882110000.0
2025-04-04,CDNS,248.91,252.34,255.19,245.42,264.94,2995241,746371554.7302,249.19,1.09,274313598,274314000.0,64182636396.04,68279375000.0
2025-04-03,CDNS,264.94,253.52,265.73,253.44,258.79,1859463,488562560.5257,262.74,0.68,274313598,274314000.0,68316033082.13,72676563000.0
2025-04-02,CDNS,258.79,252.64,259.48,251.82,254.33,1421908,364872498.8344,256.61,0.52,274313598,274314000.0,66730249379.03,70989560000.0
2025-04-01,CDNS,254.33,253.09,254.97,248.52,256.69,2259511,570017030.3646,252.27,0.82,274313598,274314000.0,65580209315.13,69766130000.0
2025-03-29,CDNS,256.69,262.31,263.24,255.87,262.54,1249058,322512209.0023,258.2,0.46,274313598,274314000.0,66188731129.64,70413500000.0
2025-03-28,CDNS,262.54,261.98,263.98,258.21,263.41,1349875,353817207.6137,262.11,0.49,274313598,274314000.0,67697204811.98,72018250000.0
2025-03-27,CDNS,263.41,269.3,269.3,262.51,269.11,1395545,369215349.3913,264.57,0.51,274313598,274314000.0,67921507529.85,72256875000.0
2025-03-26,CDNS,269.11,267.15,269.71,265.97,267.15,1252564,335814061.7845,268.1,0.46,274108000,274108000.0,69339319989.97,73765188000.0
2025-03-25,CDNS,267.15,266.0,268.24,264.0,262.42,2516390,671350254.8178,266.79,0.92,274108000,274108000.0,68834251878.46,73227875000.0
2025-03-22,CDNS,262.42,254.91,266.95,252.06,258.5,5699875,1493897452.3725,262.09,2.08,274108000,274108000.0,67615518042.09,71931313000.0
2025-03-21,CDNS,258.5,255.93,259.86,254.88,258.7,1722867,444630934.0081,258.08,0.63,274108000,274108000.0,66605502920.0,70856880000.0
2025-03-20,CDNS,258.7,255.0,262.14,254.08,253.88,2736075,708867208.5742,259.08,1.0,274108000,274108000.0,66657024917.54,70911688000.0
2025-03-19,CDNS,253.88,252.04,255.99,251.35,255.11,1772712,450231443.7768,253.98,0.65,274108000,274108000.0,65415109274.22,69590500000.0
2025-03-18,CDNS,255.11,246.25,258.14,246.25,247.43,2772995,707198883.6765,255.03,1.01,274108000,274108000.0,65732032943.82,69927688000.0
2025-03-15,CDNS,247.43,241.68,248.0,241.46,241.56,2271448,558950450.7761,246.08,0.83,274108000,274108000.0,63753189893.6,67822500000.0
2025-03-14,CDNS,241.56,240.76,247.2,239.8,239.22,2166518,525789653.5984,242.69,0.79,274108000,274108000.0,62240716771.2,66213500000.0
2025-03-13,CDNS,239.22,240.15,244.99,239.14,234.25,2326526,561560583.4633,241.37,0.85,274108000,274108000.0,61637791391.02,65572063000.0
2025-03-12,CDNS,234.25,234.0,238.41,230.09,233.96,2646760,619870424.4396,234.2,0.97,274108000,274108000.0,60357211060.0,64209797000.0
2025-03-11,CDNS,233.96,238.18,238.8,231.51,243.21,3026267,708125294.131,233.99,1.1,274108000,274108000.0,60282491795.82,64130293000.0
2025-03-08,CDNS,243.21,241.76,245.08,233.78,243.16,2395520,577761814.336,241.18,0.87,274108000,274108000.0,62665860855.82,66665750000.0
2025-03-07,CDNS,243.16,238.97,245.34,237.54,244.7,2667128,647222110.0577,242.67,,274108000,,62652977779.82,
2025-03-06,CDNS,244.7,240.02,246.79,238.65,241.29,1658498,404029699.6614,243.61,0.61,274108000,274108000.0,63049773944.0,67074188000.0
2025-03-05,CDNS,241.29,240.4,246.47,233.72,241.74,2632369,630755650.7325,239.62,0.96,274108000,274108000.0,62171148160.8,66139500000.0
2025-03-04,CDNS,241.74,253.01,253.45,240.35,250.5,2045301,501468739.9509,245.18,0.75,274108000,274108000.0,62287098421.42,66262813000.0
2025-03-01,CDNS,250.5,249.8,253.77,245.81,248.56,2080738,518809340.2558,249.34,0.76,274108000,274108000.0,64544210760.0,68664000000.0
2025-02-28,CDNS,248.56,255.8,257.92,248.28,253.94,2591405,651851342.758,251.54,0.95,274108000,274108000.0,64044347411.2,68132188000.0
2025-02-27,CDNS,253.94,251.1,256.58,249.07,248.9,2830287,718973278.1508,254.03,1.03,274108000,274108000.0,65430568965.42,69606938000.0
2025-02-26,CDNS,248.9,251.5,253.68,247.5,252.95,2741100,684562588.11,249.74,1.0,274108000,274108000.0,64131952328.0,68225438000.0
2025-02-25,CDNS,252.95,261.79,262.42,251.27,258.34,4262973,1081865813.886,253.78,1.56,274108000,274108000.0,65175481484.0,
2025-02-22,CDNS,258.34,269.79,270.44,256.83,270.23,4358152,1139442893.4814,261.45,1.59,274263000,274263000.0,66601940417.45,
2025-02-21,CDNS,270.23,274.5,277.63,268.71,274.04,3609970,981545211.4468,271.9,1.32,274263000,274263000.0,69667242482.53,74114063000.0
2025-02-20,CDNS,274.04,285.22,286.49,264.62,300.43,7450438,2031817813.0012,272.71,2.72,274263000,274263000.0,70649500881.09,75159000000.0
2025-02-19,CDNS,300.43,297.1,300.86,292.57,295.19,2719074,812215165.5455,298.71,0.99,274263000,274263000.0,77453007636.17,82396813000.0
2025-02-15,CDNS,295.19,295.92,296.01,291.96,296.16,2096762,616393784.7671,293.97,0.76,274263000,274263000.0,76102100381.44,80959625000.0
2025-02-14,CDNS,296.16,294.0,297.51,293.47,294.04,1792313,530292740.6209,295.87,0.65,274263000,274263000.0,76352165650.62,81225625000.0
2025-02-13,CDNS,294.04,296.2,298.09,291.96,303.87,1091403,322225548.8692,295.24,0.4,274263000,274263000.0,75806905958.39,80645625000.0
2025-02-12,CDNS,303.87,301.47,304.11,298.63,305.63,937060,283228446.532,302.25,0.34,274263000,274263000.0,78339910878.27,83340313000.0
2025-02-11,CDNS,305.63,303.83,305.89,301.22,299.68,1232096,375505023.1318,304.77,0.45,274263000,274263000.0,78793592289.81,83822938000.0
2025-02-08,CDNS,299.68,304.01,309.89,297.37,302.91,1373467,413175503.9649,300.83,0.5,274263000,274263000.0,77259652221.17,82191063000.0
2025-02-07,CDNS,302.91,302.55,306.75,300.66,302.65,814819,247110972.949,303.27,0.3,274263000,274263000.0,78092364385.62,83076938000.0
2025-02-06,CDNS,302.65,298.0,303.73,295.84,299.67,987671,297410750.8343,301.12,0.36,274263000,274263000.0,78025331930.35,83005625000.0
2025-02-05,CDNS,299.67,295.11,300.28,295.11,298.3,1018207,303930818.4927,298.5,0.37,274263000,274263000.0,77257071570.89,82188313000.0
2025-02-04,CDNS,298.3,292.32,299.47,289.83,297.62,1440006,427109797.2167,296.6,0.53,274263000,274263000.0,76903906616.36,81812625000.0
2025-02-01,CDNS,297.62,299.6,304.72,297.33,297.76,1295691,389166298.5367,300.35,0.47,274263000,274263000.0,76728615753.27,81626188000.0
2025-01-31,CDNS,297.76,292.24,298.28,292.0,289.88,1340195,397181651.0125,296.36,0.49,274263000,274263000.0,76764680405.27,81664500000.0
2025-01-30,CDNS,289.88,296.83,298.6,288.37,299.3,1372575,399902210.6108,291.35,0.5,274263000,274263000.0,74733128574.81,79503313000.0
2025-01-29,CDNS,299.3,289.46,299.54,285.28,289.87,2257742,665451821.535,294.74,0.82,274263000,274263000.0,77161713836.36,82086875000.0
2025-01-28,CDNS,289.87,305.61,309.92,285.06,320.48,3657043,1069525264.7209,292.46,1.33,274263000,274263000.0,74730609798.27,79500625000.0
2025-01-25,CDNS,320.48,324.45,325.03,317.56,324.52,1379824,441845185.3422,320.22,0.5,274263000,274263000.0,82622055287.53,87895750000.0
2025-01-24,CDNS,324.52,319.0,324.57,318.0,321.49,1421981,458849592.7164,322.68,0.52,274263000,274263000.0,83663604190.54,89003813000.0
2025-01-23,CDNS,321.49,313.86,324.6,313.77,310.97,1939932,623464134.052,321.38,0.71,274263000,274263000.0,82882443157.8,88172750000.0
2025-01-22,CDNS,310.97,307.28,311.58,304.39,305.6,1757575,544087044.2675,309.57,0.64,274263000,274263000.0,80170306047.26,85287563000.0
2025-01-18,CDNS,305.6,305.87,307.05,302.61,298.9,1566486,478380966.8182,305.38,0.57,274263000,274263000.0,78785912212.72,83814750000.0
2025-01-17,CDNS,298.9,303.0,304.06,298.68,300.72,1323709,398063480.4634,300.72,0.48,274263000,274263000.0,77058554855.35,81977125000.0
2025-01-16,CDNS,300.72,301.88,304.0,300.35,294.19,1723351,520005188.7862,301.74,0.63,274263000,274263000.0,77527782042.26,82476313000.0
2025-01-15,CDNS,294.19,293.55,295.33,289.0,292.5,1248862,365401597.7543,292.59,0.46,274263000,274263000.0,75844293161.44,80685375000.0
2025-01-14,CDNS,292.5,298.0,298.36,290.91,299.0,1781776,521925523.1923,292.92,0.65,274263000,274263000.0,75408611850.0,80221875000.0
2025-01-11,CDNS,299.0,298.77,302.72,297.32,302.73,1290312,387069974.3873,299.98,0.47,274263000,274263000.0,77084358780.0,82004563000.0
2025-01-09,CDNS,302.73,303.04,306.77,301.42,301.67,997802,302540830.3986,303.21,0.36,274263000,274263000.0,78045977132.53,83027625000.0
2025-01-08,CDNS,301.67,307.21,308.89,298.48,308.14,1357659,410513858.4051,302.37,0.5,274263000,274263000.0,77772686010.89,82736875000.0
2025-01-07,CDNS,308.14,306.46,315.55,306.46,303.86,1486097,461221245.6507,310.36,,274263000,,79440690990.08,
2025-01-04,CDNS,303.86,300.49,306.23,297.63,297.66,1136362,344619265.1112,303.27,0.41,274263000,274263000.0,78337330227.99,83337563000.0
2025-01-03,CDNS,297.66,304.84,306.05,295.79,300.46,1132579,338978470.9809,299.3,0.41,274263000,274263000.0,76738876480.62,81637063000.0
2025-01-01,CDNS,300.46,302.39,303.08,299.75,301.86,895198,269379419.272,300.92,0.33,274263000,274263000.0,77460749586.98,82405000000.0
2024-12-31,CDNS,301.86,302.28,304.43,298.25,305.03,1220960,368755267.1296,302.02,0.45,274263000,274263000.0,77821715787.99,82789000000.0
2024-12-28,CDNS,305.03,303.67,306.78,300.95,308.69,988223,300406282.9916,303.99,0.36,274263000,274263000.0,78638944050.82,83658375000.0
2024-12-27,CDNS,308.69,305.57,310.24,305.47,308.58,758773,234177614.6268,308.63,0.28,274263000,274263000.0,79582497851.44,84662188000.0
2024-12-25,CDNS,308.58,304.6,308.93,303.15,304.41,575180,176668026.7162,307.15,0.21,274263000,274263000.0,79554172572.18,84632063000.0
2024-12-24,CDNS,304.41,302.17,304.77,299.84,301.47,1198080,363423945.8304,303.34,0.44,274263000,274263000.0,78479075215.62,83488313000.0
2024-12-21,CDNS,301.47,296.71,306.5,295.98,299.87,3007463,905474719.6656,301.08,1.1,274263000,274263000.0,77721137457.26,82682000000.0
2024-12-20,CDNS,299.87,304.67,306.81,299.77,301.24,1739440,524174051.5936,301.35,0.63,274263000,274263000.0,77308681998.27,82243250000.0
2024-12-19,CDNS,301.24,309.03,313.99,299.43,311.35,1688236,516234223.3176,305.78,0.62,274263000,274263000.0,77661846952.8,82618938000.0
2024-12-18,CDNS,311.35,312.88,315.73,310.35,313.49,1616580,504494526.816,312.08,0.59,274263000,274263000.0,80268303727.72,85391750000.0
2024-12-17,CDNS,313.49,309.54,317.25,306.5,306.75,1743231,547608615.0587,314.13,0.64,274263000,274263000.0,80819985397.8,85978625000.0
2024-12-14,CDNS,306.75,305.78,308.17,301.65,308.22,1448140,442580720.5768,305.62,0.53,274263000,274263000.0,79082364735.0,84130125000.0
2024-12-13,CDNS,308.22,308.42,310.29,306.54,308.78,851245,262706762.8638,308.61,0.31,274263000,274263000.0,79461336192.26,84533310000.0
2024-12-12,CDNS,308.78,307.52,311.1,305.77,302.86,2215399,684926091.542,309.17,0.81,274263000,274263000.0,79605721125.82,84686875000.0
