dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CDW,176.8,179.62,180.42,176.73,179.35,1005719,179468654.7411,178.45,0.76,131685150,131685000.0,21885019686.64,23281930000.0
2025-06-04,CDW,179.35,175.46,179.67,174.7,174.76,819461,146371796.0356,178.62,0.62,131685150,131685000.0,22200668991.19,23617731000.0
2025-06-03,CDW,174.76,176.87,177.44,171.16,180.36,2285210,397685978.3121,174.03,1.74,131685150,131685000.0,21632499005.16,23013293000.0
2025-05-31,CDW,180.36,181.41,182.01,178.55,182.35,1046284,188507220.06,180.17,0.79,131685150,131685000.0,22325690872.6,23750730000.0
2025-05-30,CDW,182.35,185.16,185.16,181.01,183.34,617254,112613060.4405,182.44,0.47,131685150,131685000.0,22572021114.19,24012786000.0
2025-05-29,CDW,183.34,185.54,186.7,183.17,185.72,927624,170989219.4834,184.33,0.7,131685150,131685000.0,22694566076.94,24143150000.0
2025-05-28,CDW,185.72,185.34,185.94,182.79,182.16,993828,184065104.9279,185.21,0.75,131685150,131685000.0,22989173332.36,24456563000.0
2025-05-24,CDW,182.16,178.51,183.25,177.42,182.76,1359784,247631080.1104,182.11,1.03,131685150,131685000.0,22548502146.4,23987766000.0
2025-05-23,CDW,182.76,181.04,183.89,180.07,181.2,1162904,212604318.7976,182.2,0.88,131685150,131685000.0,22699518676.42,24148420000.0
2025-05-22,CDW,181.82,186.74,187.32,181.41,188.1,970884,178190136.6764,183.53,0.74,131685150,131685000.0,22506415572.46,23942990000.0
2025-05-21,CDW,188.1,187.44,189.28,186.82,188.04,770723,144782018.8478,187.85,0.59,131685150,131685000.0,23283779349.94,24769970000.0
2025-05-20,CDW,188.04,186.65,189.45,186.64,189.03,912581,171658685.4202,188.1,0.69,131685150,131685000.0,23276351069.64,24762070000.0
2025-05-17,CDW,189.03,187.91,189.33,186.83,188.43,961668,181462231.7604,188.7,0.73,131685150,131685000.0,23398897270.23,24892440000.0
2025-05-16,CDW,188.43,188.86,190.08,187.14,189.36,1611426,303752995.287,188.5,1.22,131685150,131685000.0,23324626845.63,24813430000.0
2025-05-15,CDW,189.36,190.79,192.3,189.34,190.68,2171926,414325095.9907,190.76,1.65,131685150,131685000.0,23439747241.6,24935895000.0
2025-05-14,CDW,190.68,188.82,191.7,188.75,188.82,1637406,312219446.2699,190.68,1.24,131685150,131685000.0,23603140937.88,25109720000.0
2025-05-13,CDW,188.82,186.0,190.06,185.12,178.94,1652607,311897345.4135,188.73,1.25,131685150,131685000.0,23372903859.46,24864790000.0
2025-05-10,CDW,178.94,180.98,181.69,178.84,180.09,1101319,198056473.2883,179.84,0.84,131685150,131685000.0,22149917534.38,23563740000.0
2025-05-09,CDW,180.09,177.69,183.18,177.69,175.52,2409989,435615633.7038,180.75,1.83,131685150,131685000.0,22292267943.69,23715180000.0
2025-05-08,CDW,175.52,163.46,177.28,162.46,163.93,2701839,467775059.9319,173.13,2.05,131766712,131767000.0,21740032931.43,23127690000.0
2025-05-07,CDW,163.93,164.12,166.04,163.13,165.75,1391567,229037191.5055,164.59,1.06,131766712,131767000.0,20304486072.27,21600510000.0
2025-05-06,CDW,165.75,164.89,167.68,164.89,166.83,879374,146374273.3409,166.45,0.67,131766712,131767000.0,20529912563.16,21840329000.0
2025-05-03,CDW,166.83,165.62,167.54,164.55,162.4,1768016,294585234.7056,166.62,1.34,131766712,131767000.0,20663683367.79,21982637000.0
2025-05-02,CDW,162.4,160.9,163.54,159.01,160.56,1474519,239366484.2207,162.34,1.12,131766712,131767000.0,20114979187.07,21398911000.0
2025-05-01,CDW,160.56,158.3,160.94,156.41,159.96,877111,140147435.6841,159.78,0.67,131766712,131767000.0,19887075482.0,21156460000.0
2025-04-30,CDW,159.96,157.55,160.6,156.36,158.59,1004086,160177230.8253,159.53,0.76,131766712,131767000.0,19812760295.04,21077400000.0
2025-04-29,CDW,158.59,158.98,159.8,155.95,157.95,1066179,168481017.3528,158.02,0.81,131766712,131767000.0,19643069884.72,20896879000.0
2025-04-26,CDW,157.95,157.74,158.32,155.78,158.94,1042344,164012109.1826,157.35,0.79,131766712,131767000.0,19563799030.78,20812550000.0
2025-04-25,CDW,158.94,155.9,159.06,154.32,154.86,949286,150047192.3681,158.06,0.72,131766712,131767000.0,19686422371.57,20943000000.0
2025-04-24,CDW,154.86,155.64,159.17,154.04,152.03,1106364,172033295.7252,155.49,,131766712,,19181070677.71,
2025-04-23,CDW,152.03,149.91,152.59,149.91,148.42,959252,145186531.2828,151.35,0.73,131766712,131767000.0,18830543631.84,20032489000.0
2025-04-22,CDW,148.42,149.7,150.75,146.98,151.47,1476421,219008171.9254,148.34,1.12,131766712,131767000.0,18383406471.34,19556813000.0
2025-04-18,CDW,151.47,149.94,152.74,149.31,148.77,1166891,176616654.3306,151.36,0.89,131766712,131767000.0,18761182873.25,19958700000.0
2025-04-17,CDW,148.77,148.89,151.16,147.32,150.83,778112,115856208.128,148.89,0.59,131766712,131767000.0,18426758958.19,19602930000.0
2025-04-16,CDW,150.83,151.76,153.57,150.16,151.74,908740,137428214.0434,151.23,0.69,131766712,131767000.0,18681912019.31,19874370000.0
2025-04-15,CDW,151.74,151.78,153.23,149.19,148.8,1441391,217955630.3059,151.21,1.09,131766712,131767000.0,18794625264.75,19994280000.0
2025-04-12,CDW,148.8,145.21,149.59,143.61,146.7,1815290,267362264.715,147.28,1.38,131766712,131767000.0,18430474779.47,19606880000.0
2025-04-11,CDW,146.7,154.47,155.08,144.18,159.48,2816855,416976820.3346,148.03,2.14,131766712,131767000.0,18170366051.38,19330170000.0
2025-04-10,CDW,159.48,145.87,160.62,142.23,146.03,3086708,479514223.0548,155.35,2.33,132492273,132492000.0,19862075636.16,21129864000.0
2025-04-09,CDW,146.03,152.06,153.57,143.83,147.2,2175527,322915648.137,148.43,1.64,132492273,132492000.0,18186975828.62,19347844000.0
2025-04-08,CDW,147.2,141.45,147.69,137.31,144.49,3846242,555547348.238,144.44,2.9,132492273,132492000.0,18332690830.46,19502860000.0
2025-04-05,CDW,144.49,149.7,149.7,141.8,151.57,4384231,634622259.9041,144.75,3.31,132492273,132492000.0,17995181259.65,19143800000.0
2025-04-04,CDW,151.57,157.29,158.18,150.39,164.47,3559315,543578622.3931,152.72,2.69,132492273,132492000.0,18876943834.92,20081850000.0
2025-04-03,CDW,164.47,160.32,165.43,160.17,162.08,860077,140854216.8369,163.77,0.65,132492273,132492000.0,20483545137.32,21791000000.0
2025-04-02,CDW,162.08,160.49,163.31,159.37,160.26,1285135,207634763.9775,161.57,0.97,132492273,132492000.0,20185887996.8,21474340000.0
2025-04-01,CDW,160.26,161.43,161.69,158.76,161.51,1245118,199594283.077,160.3,0.94,132492273,132492000.0,19959218970.72,21233210000.0
2025-03-29,CDW,161.51,163.08,165.0,160.96,163.84,1317391,213521152.4108,162.08,0.99,132492273,132492000.0,20114897391.5,21398825000.0
2025-03-28,CDW,163.84,164.37,164.7,161.19,167.33,1499622,244808192.7852,163.25,1.13,132492273,132492000.0,20405081967.82,21707532000.0
2025-03-27,CDW,167.33,169.26,169.74,165.88,168.52,1009918,169073200.1504,167.41,0.76,132492273,132492000.0,20839737364.05,22169930000.0
2025-03-26,CDW,168.52,170.27,171.12,167.47,170.31,815372,137444974.9984,168.57,0.62,132492273,132492000.0,20987943220.63,22327594000.0
2025-03-25,CDW,170.31,169.17,170.7,167.61,165.57,1011238,171859604.841,169.95,0.76,132492273,132492000.0,21210873473.75,22564754000.0
