dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CEG,299.54,304.0,310.41,298.94,313.03,4966758,1505297548.4683,303.07,1.58,313417370,313417000.0,80737704329.99,93881000000.0
2025-06-04,CEG,313.03,342.0,342.0,309.5,313.43,10696102,3434950367.7598,321.14,3.41,313417370,313417000.0,84373781910.91,98109000000.0
2025-06-03,CEG,313.43,306.89,313.9,304.57,306.15,2097119,653453787.0681,311.6,0.67,313417370,313417000.0,84481573227.69,98234313000.0
2025-05-31,CEG,306.15,301.44,306.5,299.26,303.37,3656129,1114157124.9698,304.74,1.17,313417370,313417000.0,82519321671.43,95952688000.0
2025-05-30,CEG,303.37,313.88,314.5,300.1,308.05,2712076,824383042.8923,303.97,0.87,313417370,313417000.0,81770060026.41,95081438000.0
2025-05-29,CEG,308.05,309.45,313.09,306.66,309.06,2512000,777064767.84,309.34,0.8,313417370,313417000.0,83031483389.46,96548188000.0
2025-05-28,CEG,309.06,303.86,310.26,296.27,297.49,3611518,1108394809.7794,306.91,1.15,313417370,313417000.0,83303720412.43,96864750000.0
2025-05-24,CEG,297.49,298.65,302.6,293.11,291.47,5373277,1600114928.159,297.79,1.71,313417370,313417000.0,80185138725.12,93238500000.0
2025-05-23,CEG,291.47,285.19,295.2,282.72,287.11,2390783,696101932.2889,291.16,0.76,313417370,313417000.0,78562508926.38,91351690000.0
2025-05-22,CEG,287.11,288.27,292.21,285.21,292.4,2040947,587937255.4571,288.07,0.65,313417370,313417000.0,77387354195.89,89985250000.0
2025-05-21,CEG,292.4,292.56,293.03,289.67,294.02,1481307,431805330.7295,291.5,0.47,313417370,313417000.0,78813161271.18,91643190000.0
2025-05-20,CEG,294.02,283.35,294.37,282.0,291.12,1972673,574629643.4479,291.29,0.63,313417370,313417000.0,79249844000.34,92150940000.0
2025-05-17,CEG,291.12,286.59,291.17,284.2,284.01,2104914,607799579.7187,288.75,0.67,313417370,313417000.0,78468208033.46,91242063000.0
2025-05-16,CEG,284.01,284.22,288.33,282.89,287.76,2187286,625004703.8255,285.35,0.7,313417370,313417000.0,76656849765.58,89135875000.0
2025-05-15,CEG,288.15,291.52,292.0,282.93,291.52,3129278,897316648.7808,286.75,1.0,313417370,313417000.0,77667620783.83,90311188000.0
2025-05-14,CEG,291.52,280.47,296.17,279.19,285.28,3651083,1059855212.8283,290.29,1.16,313417370,313417000.0,78575996654.84,91367375000.0
2025-05-13,CEG,285.28,286.36,291.99,283.45,271.37,4744922,1364785995.4929,287.63,1.51,313417370,313417000.0,76894076375.86,89411690000.0
2025-05-10,CEG,271.37,272.07,274.95,266.06,270.59,3245909,874920683.7049,269.55,1.04,313417370,313417000.0,73144814004.01,85052063000.0
2025-05-09,CEG,270.59,271.75,273.98,265.07,268.12,2862261,776199644.6275,271.18,0.91,313417370,313417000.0,72934565546.04,84807625000.0
2025-05-08,CEG,268.12,277.36,278.52,264.66,273.82,5168129,1392514269.9393,269.44,1.65,313417370,313417000.0,72268812454.86,84033440000.0
2025-05-07,CEG,273.82,258.83,279.89,256.12,248.27,7195570,1955297784.0581,271.74,2.3,313309685,313310000.0,73779812695.41,85790438000.0
2025-05-06,CEG,248.27,243.27,250.0,241.46,247.26,3117814,770300564.6183,247.06,1.0,313309685,313310000.0,66895442820.12,77785313000.0
2025-05-03,CEG,247.26,244.28,250.64,241.56,240.62,3316025,821218598.4477,247.65,1.06,313309685,313310000.0,66623299333.27,77468938000.0
2025-05-02,CEG,240.62,232.2,243.98,230.31,223.44,4557754,1095785243.7388,240.42,1.45,313309685,313310000.0,64832831170.86,75387000000.0
2025-05-01,CEG,223.44,219.55,223.88,216.75,226.45,2185227,483930559.7508,221.46,0.7,313309685,313310000.0,60205090468.57,70005875000.0
2025-04-30,CEG,226.45,224.31,227.36,220.5,224.82,2038928,459725068.3685,225.47,0.65,313309685,313310000.0,61016121224.7,70948938000.0
2025-04-29,CEG,224.82,222.34,225.49,219.69,222.99,2392800,533264193.6,222.86,0.76,313309685,313310000.0,60576926402.73,70438250000.0
2025-04-26,CEG,222.99,218.11,223.95,216.5,218.07,2710833,602225105.115,222.16,0.87,313309685,313310000.0,60083839620.47,69864938000.0
2025-04-25,CEG,218.07,209.57,220.19,209.57,209.8,2329885,505770527.1449,217.08,0.74,313309685,313310000.0,58758163681.3,68323438000.0
2025-04-24,CEG,209.8,213.25,217.34,208.27,200.88,2942493,622873097.4753,211.68,,313309685,,56529842539.64,
2025-04-23,CEG,200.88,197.55,202.42,195.85,192.61,2457830,490892063.014,199.73,0.78,313309685,313310000.0,54126381284.07,62937661000.0
2025-04-22,CEG,192.61,203.49,204.87,188.01,206.68,3290911,632401236.1351,192.17,1.05,313309685,313310000.0,51898060142.41,60346571000.0
2025-04-18,CEG,206.68,208.35,208.82,203.6,204.19,1963104,405788732.3318,206.71,0.63,313309685,313310000.0,55689167298.39,64754852000.0
2025-04-17,CEG,204.19,205.05,207.4,201.44,208.42,2433624,496913410.2384,204.19,0.78,313309685,313310000.0,55018248633.39,63974684000.0
2025-04-16,CEG,208.42,206.6,212.0,206.35,206.7,1985995,414704771.3869,208.81,0.63,313309685,313310000.0,56158003911.02,65299990000.0
2025-04-15,CEG,206.7,214.97,217.21,203.87,208.25,3427483,710906245.2205,207.41,1.09,313309685,313310000.0,55694556224.97,64761120000.0
2025-04-12,CEG,208.25,204.49,208.53,198.0,204.49,2960744,607609509.0936,205.22,0.94,313309685,313310000.0,56112198035.08,65246739000.0
2025-04-11,CEG,204.49,209.0,211.48,199.55,215.45,4048640,832089084.0704,205.52,1.29,313309685,313310000.0,55099082532.12,64068690000.0
2025-04-10,CEG,215.45,186.13,217.9,182.61,184.94,7984336,1637775025.3394,205.12,2.55,313309685,313310000.0,58052211604.59,67502563000.0
2025-04-09,CEG,184.94,188.94,193.3,181.99,179.79,6895731,1298630334.6551,188.32,2.2,313309685,313310000.0,49831406798.22,57943489000.0
2025-04-08,CEG,179.79,161.53,189.79,161.35,170.96,7458414,1325563782.5022,177.73,2.38,313309685,313310000.0,48443755508.89,56329950000.0
2025-04-05,CEG,170.96,180.07,182.99,165.08,190.24,9358578,1598321682.7562,170.79,2.99,313309685,313310000.0,46064547117.4,53563430000.0
2025-04-04,CEG,190.24,200.47,204.05,189.78,214.46,5557508,1081699463.35,194.64,1.77,313309685,313310000.0,51259472342.45,59604047000.0
2025-04-03,CEG,214.46,202.83,215.34,202.27,206.94,3179066,672580083.8005,211.57,1.01,313309685,313310000.0,57785462433.25,67192380000.0
2025-04-02,CEG,206.94,200.95,207.76,198.09,201.63,2863111,585922524.4705,204.65,0.91,313309685,313310000.0,55759226038.42,64836320000.0
2025-04-01,CEG,201.63,198.98,203.56,195.55,205.39,4518883,904823173.3028,200.23,1.44,313309685,313310000.0,54328466030.9,63172610000.0
2025-03-29,CEG,205.39,209.9,215.42,203.89,209.2,5571957,1162561525.4607,208.65,1.78,313309685,313310000.0,55341581533.85,64350657000.0
2025-03-28,CEG,209.2,211.96,217.55,207.52,216.97,4178258,883028073.593,211.34,1.33,313309685,313310000.0,56368172047.72,65544380000.0
2025-03-27,CEG,216.97,224.0,226.1,214.0,226.87,4060972,883749538.8344,217.62,1.3,313309685,313310000.0,58461772719.29,67978810000.0
2025-03-26,CEG,226.87,229.31,230.87,222.0,228.62,2816461,635753545.3158,225.73,0.9,313309685,313310000.0,61129288682.92,71080500000.0
2025-03-25,CEG,228.62,228.24,231.15,226.6,222.48,2771057,633906749.9249,228.76,0.88,313309685,313310000.0,61600819758.84,71628813000.0
2025-03-22,CEG,222.48,215.78,222.82,212.55,219.44,3733473,820127907.0897,219.67,1.19,313309685,313310000.0,59946419298.17,69705063000.0
2025-03-21,CEG,219.44,217.06,222.43,214.0,218.05,2250506,494420887.2643,219.69,0.72,313309685,313310000.0,59127305152.17,68752630000.0
2025-03-20,CEG,218.05,211.12,220.37,211.12,210.85,3091919,670559005.5493,216.87,0.99,312847257,312847000.0,58666058864.9,68216250000.0
2025-03-19,CEG,210.85,217.92,218.14,209.25,218.54,2716469,575516283.6311,211.86,0.87,312847257,312847000.0,56728908649.55,65963813000.0
