dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CHTR,388.77,392.41,395.24,388.74,390.8,878049,343845577.6687,391.6,0.64,138122707,138123000.0,32755760213.33,53697946000.0
2025-06-04,CHTR,390.8,391.8,393.2,382.17,394.78,1578601,613252580.1505,388.48,1.14,138122707,138123000.0,32926800089.06,53978356000.0
2025-06-03,CHTR,394.78,391.02,395.88,384.68,396.27,1251218,491263746.4156,392.63,0.91,138122707,138123000.0,33262132712.02,54528079000.0
2025-05-31,CHTR,396.27,395.51,397.34,388.06,395.81,1829863,721362297.1313,394.22,1.32,138122707,138123000.0,33387671597.86,54733860000.0
2025-05-30,CHTR,395.81,407.59,407.59,392.03,407.38,1488347,589889038.8579,396.34,1.08,138122707,138123000.0,33348917736.47,54670336000.0
2025-05-29,CHTR,407.38,409.43,413.32,406.18,411.13,787964,322025844.5672,408.68,0.57,138122707,138123000.0,34323732042.34,56268390000.0
2025-05-28,CHTR,411.13,409.71,412.49,407.45,406.36,1570868,644190503.3876,410.09,1.14,138122707,138123000.0,34639687734.6,56786368000.0
2025-05-24,CHTR,406.36,404.23,408.96,402.0,409.93,1146397,465837423.5846,406.35,0.83,138122707,138123000.0,34237810630.11,56127528000.0
2025-05-23,CHTR,409.93,417.2,418.37,409.58,415.44,1425505,587018169.3032,411.8,1.03,138122707,138123000.0,34538586125.82,56620600000.0
2025-05-22,CHTR,415.44,421.22,424.25,413.57,423.49,1355799,566816013.6361,418.07,0.98,138122707,138123000.0,35002831198.87,57381680000.0
2025-05-21,CHTR,423.49,421.89,427.39,418.56,418.63,1236253,523770763.1156,423.68,0.9,138122707,138123000.0,35681086964.33,58493580000.0
2025-05-20,CHTR,418.63,425.96,430.83,415.47,427.25,1821588,768239182.6385,421.74,1.3,140364226,140364000.0,35844002899.09,58760640000.0
2025-05-17,CHTR,427.25,423.6,437.06,419.45,419.57,3625442,1548609000.4768,427.15,2.58,140364226,140364000.0,36582075490.69,59970600000.0
2025-05-16,CHTR,419.57,413.57,423.18,412.58,413.86,1281949,538376019.2932,419.97,0.91,140364226,140364000.0,35924503158.27,58892610000.0
2025-05-15,CHTR,413.86,407.03,414.45,407.03,411.13,1078759,444121876.3858,411.7,0.77,140364226,140364000.0,35435603947.58,58091149000.0
2025-05-14,CHTR,411.13,402.0,413.21,392.18,402.52,1540686,628523531.6018,407.95,1.1,140364226,140364000.0,35201836565.14,57707890000.0
2025-05-13,CHTR,402.52,410.0,410.99,399.47,401.73,1064139,428959740.9536,403.11,0.76,140364226,140364000.0,34464640744.65,56499400000.0
2025-05-10,CHTR,401.73,404.61,405.39,400.53,404.41,902743,363129482.1239,402.25,0.64,140364226,140364000.0,34960881846.55,56388480000.0
2025-05-09,CHTR,404.41,404.78,408.83,403.56,404.14,1055832,428824783.6601,406.15,0.75,140364226,140364000.0,35194104952.66,56764660000.0
2025-05-08,CHTR,404.14,403.29,407.87,400.87,402.01,1113985,450039334.8628,403.99,0.79,140364226,140364000.0,35170606240.71,56726770000.0
2025-05-07,CHTR,402.01,392.37,402.84,390.5,394.24,1145247,457899171.9954,399.83,0.82,140364226,140364000.0,34985250816.7,56427800000.0
2025-05-06,CHTR,394.24,385.07,399.94,382.94,385.0,1311408,517316529.875,394.47,0.93,140364226,140364000.0,34309059324.11,55337165000.0
2025-05-03,CHTR,385.0,386.17,387.48,383.2,383.0,1740813,670542819.431,385.19,1.24,140364226,140364000.0,33504940746.2,54040208000.0
2025-05-02,CHTR,383.0,388.3,392.57,382.67,391.86,1442758,556046190.2727,385.41,1.03,140364226,140364000.0,33330889105.96,53759465000.0
2025-05-01,CHTR,391.86,387.26,392.91,377.6,386.33,1445879,559463041.5901,386.94,1.03,140364226,140364000.0,34101947445.06,55003130000.0
2025-04-30,CHTR,386.33,378.78,387.54,378.63,376.87,1543457,593170574.6064,384.31,1.1,140364226,140364000.0,33620692049.03,54226900000.0
2025-04-29,CHTR,376.87,373.65,385.48,372.88,373.65,1923173,729055825.6556,379.09,1.37,140364226,140364000.0,32797431271.72,52899059000.0
2025-04-26,CHTR,373.65,359.5,374.21,356.45,335.33,2702319,996536231.3924,368.77,1.71,158485583,158486000.0,39083961724.0,59218080000.0
2025-04-25,CHTR,335.33,323.36,339.22,318.43,337.51,2170211,726433642.9245,334.73,1.37,158485583,158486000.0,35075688929.32,53144940000.0
2025-04-24,CHTR,337.51,336.52,345.05,335.68,331.34,1550848,525849179.5814,339.07,,158485583,,35303710664.1,
2025-04-23,CHTR,331.34,325.75,331.7,325.36,322.43,1161133,382884175.7052,329.75,0.73,158485583,158486000.0,34658334041.05,52512602000.0
2025-04-22,CHTR,322.43,335.28,338.0,319.65,338.96,1219408,395268310.7557,324.15,0.77,158485583,158486000.0,33726328031.59,51100465000.0
2025-04-18,CHTR,338.96,335.21,342.22,334.07,332.5,934327,316932575.82,339.21,0.59,158485583,158486000.0,35455377183.01,53720230000.0
2025-04-17,CHTR,332.5,340.79,343.99,330.14,343.18,1000415,335196428.8127,335.06,0.63,158485583,158486000.0,34779661189.35,52696430000.0
2025-04-16,CHTR,343.18,341.18,350.05,339.68,340.4,1041961,359836250.7764,345.35,0.66,158485583,158486000.0,35896788090.77,54389060000.0
2025-04-15,CHTR,340.4,335.9,343.38,335.48,334.38,1253669,425928238.2625,339.75,0.79,158485583,158486000.0,35605995605.07,53948450000.0
2025-04-12,CHTR,334.38,335.7,338.47,327.96,335.47,1288356,429701640.4476,333.53,0.81,158485583,158486000.0,34976298594.68,52994380000.0
2025-04-11,CHTR,335.47,340.28,341.72,325.1,346.98,1646294,549574028.6982,333.83,1.04,158485583,158486000.0,35090322537.14,53167140000.0
2025-04-10,CHTR,346.98,317.19,350.73,312.39,321.68,3280712,1101205922.3828,335.66,2.07,158485583,158486000.0,36294275162.96,54991297000.0
2025-04-09,CHTR,321.68,337.17,346.97,318.85,332.89,2147403,705534624.1575,328.55,1.35,158485583,158486000.0,33647877668.0,50981598000.0
2025-04-08,CHTR,332.89,332.87,351.99,324.08,338.29,1522864,511052127.6482,335.59,0.96,158485583,158486000.0,34820444918.37,52758240000.0
2025-04-05,CHTR,338.29,365.0,368.92,337.54,368.4,1834064,636135432.8827,346.84,1.16,158485583,158486000.0,35385302180.25,53614060000.0
2025-04-04,CHTR,368.4,378.28,385.88,368.06,379.27,1445467,538980285.5494,372.88,0.91,158485583,158486000.0,38534809178.91,58386060000.0
2025-04-03,CHTR,379.27,370.8,379.96,370.13,370.91,923374,345819795.9149,374.52,0.58,158485583,158486000.0,39671827954.52,60108800000.0
2025-04-02,CHTR,370.91,366.1,374.01,363.4,368.53,977783,361309200.8204,369.52,0.62,158485583,158486000.0,38797357441.71,58783860000.0
2025-04-01,CHTR,368.53,368.76,370.29,361.43,369.02,2349950,862374875.208,366.98,1.48,158485583,158486000.0,38548419793.99,58406660000.0
2025-03-29,CHTR,369.02,384.91,384.91,368.75,382.02,1217194,453499572.2407,372.58,0.77,158485583,158486000.0,38599672985.53,58484325000.0
2025-03-28,CHTR,382.02,385.86,388.02,379.23,384.77,1244983,476100223.7443,382.42,0.79,158485583,158486000.0,39959479287.67,60544653000.0
2025-03-27,CHTR,384.77,375.58,386.98,374.15,375.01,1371759,525847214.3661,383.34,0.87,158485583,158486000.0,40247130620.81,60980469000.0
2025-03-26,CHTR,375.01,365.81,375.53,365.81,367.5,979220,364741050.4562,372.48,0.62,158485583,158486000.0,39226228843.35,59433657000.0
2025-03-25,CHTR,367.5,365.59,371.98,364.33,363.81,1485527,547264388.4167,368.4,0.94,158485583,158486000.0,38440678156.65,58243438000.0
2025-03-22,CHTR,363.81,359.65,364.58,356.04,362.58,1569789,568181612.2226,361.95,0.99,158485583,158486000.0,38054708643.84,57658614000.0
2025-03-21,CHTR,362.58,351.89,363.57,351.89,353.02,1112089,400704461.0041,360.32,0.7,158485583,158486000.0,37926052139.57,57463680000.0
2025-03-20,CHTR,353.02,353.65,357.01,349.89,354.45,1202923,425147536.1486,353.43,0.76,158485583,158486000.0,36926065229.05,55948575000.0
2025-03-19,CHTR,354.45,354.08,356.59,349.73,354.08,1094258,387078010.1848,353.74,0.69,158485583,158486000.0,37075637646.25,56175165000.0
2025-03-18,CHTR,354.08,347.74,357.45,347.74,351.5,878718,312157706.7124,355.24,0.55,158485583,158486000.0,37036948018.94,56116551000.0
2025-03-15,CHTR,351.5,350.0,355.0,345.18,345.4,1210956,426577887.6128,352.27,0.85,141947895,141948000.0,30934704757.35,49894684000.0
2025-03-14,CHTR,345.4,348.03,354.52,344.41,349.75,1432372,497384187.0246,347.25,1.01,141947895,141948000.0,29907561996.19,49028750000.0
2025-03-13,CHTR,349.75,353.73,354.5,338.54,355.87,2413590,836125695.2472,346.42,1.7,141947895,141948000.0,30284228528.51,49646262000.0
2025-03-12,CHTR,355.87,371.34,376.52,355.78,373.52,1343960,486950253.2416,362.33,0.95,141947895,141948000.0,30814158800.71,50514985000.0
2025-03-11,CHTR,373.52,378.5,385.64,362.66,379.52,2029812,753593483.6124,371.26,1.43,141947895,141948000.0,32342432153.41,53020344000.0
2025-03-08,CHTR,379.52,381.95,391.61,371.03,382.94,1574546,598804158.056,380.3,1.11,141947895,141948000.0,32861961449.11,53872067000.0
2025-03-07,CHTR,382.94,378.89,384.95,375.67,378.42,1407615,535288564.1598,380.28,,141947895,,33158087086.48,
2025-03-06,CHTR,378.42,368.2,380.29,367.69,368.36,1094963,412007367.0695,376.28,0.77,141947895,141948000.0,32766706618.62,53715883000.0
2025-03-05,CHTR,368.36,376.48,377.49,361.86,370.66,1312825,484928265.8742,369.38,0.92,141947895,141948000.0,31895644752.05,52287938000.0
2025-03-04,CHTR,370.66,362.87,376.24,360.6,363.57,1396469,516730019.735,370.03,0.98,141947895,141948000.0,32094781196.97,52614387000.0
2025-03-01,CHTR,363.57,362.46,368.55,360.38,359.04,1366408,497389195.8417,364.01,0.96,141947895,141948000.0,31480883734.12,51608000000.0
2025-02-28,CHTR,359.04,354.25,362.46,353.67,353.48,930969,334551986.4644,359.36,0.66,141947895,141948000.0,31088636518.22,50964969000.0
2025-02-27,CHTR,353.48,358.25,360.63,351.18,358.73,787057,279334140.1412,354.91,0.55,141947895,141948000.0,30607201708.12,50175711000.0
2025-02-26,CHTR,358.73,369.93,372.3,357.61,365.8,1037514,375649228.6832,362.07,0.73,141947895,141948000.0,31061789841.86,50920938000.0
2025-02-25,CHTR,365.8,365.84,370.6,361.28,361.0,1430860,525294003.6048,367.12,1.01,141947895,141948000.0,31673973723.92,
2025-02-22,CHTR,361.0,364.48,364.99,360.72,363.01,611015,221377926.1466,362.31,0.43,141947895,141948000.0,31258345957.95,
