dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,CMCSA,34.66,34.35,34.68,34.11,34.33,,22050852,761823705.966,34.55,0.59,3724259552,3733704000.0,122628708420.89,129410130000.0
2025-06-03,CMCSA,34.33,34.32,34.42,33.83,34.57,-1.71875,25282825,864862362.6016,34.21,0.68,3724259552,3733704000.0,121461145975.25,128178000000.0
2025-05-31,CMCSA,34.57,34.36,34.76,34.1,34.28,-2.2318840579710146,31652157,1092777996.2579,34.52,0.85,3724259552,3733704000.0,122310298381.38,129074100000.0
2025-05-30,CMCSA,34.28,34.63,34.81,33.84,34.63,-2.1882352941176473,22617247,774520974.0444,34.24,0.61,3724259552,3733704000.0,121284233032.39,127991320000.0
2025-05-29,CMCSA,34.63,34.97,35.12,34.57,34.95,-0.08910891089108908,19762231,686731499.7695,34.75,0.53,3724259552,3733704000.0,122522570561.7,129298100000.0
2025-05-28,CMCSA,34.95,34.81,35.11,34.58,34.52,-2.358695652173913,22018508,769218888.9233,34.94,0.59,3724259552,3733704000.0,123654717161.14,130492880000.0
2025-05-24,CMCSA,34.52,34.24,34.68,34.23,34.59,-1.16,13930059,480674822.7318,34.51,0.37,3724259552,3733704000.0,122133385438.52,128887440000.0
2025-05-23,CMCSA,34.59,35.21,35.23,34.57,35.1,6.249999999999999,14428348,501770373.1766,34.78,0.39,3724259552,3733704000.0,122381020394.36,129148700000.0
2025-05-22,CMCSA,35.1,35.42,35.62,34.96,35.59,-0.048275862068965614,17291040,609882767.5013,35.27,0.46,3724259552,3733704000.0,124185459527.77,131053000000.0
2025-05-21,CMCSA,35.59,35.38,35.78,35.35,35.44,-1.3043478260869565,14068149,500977970.0685,35.61,0.38,3724259552,3733704000.0,125919066968.76,132882400000.0
2025-05-20,CMCSA,35.44,35.35,35.54,35.24,35.48,-1.2619047619047619,14182504,502181107.789,35.41,0.38,3724259552,3733704000.0,125388381210.88,132322400000.0
2025-05-17,CMCSA,35.48,35.32,35.66,35.2,35.33,-4.818181818181818,20791590,736186497.9778,35.41,0.56,3724259552,3733704000.0,125529878307.53,132471800000.0
2025-05-16,CMCSA,35.33,34.64,35.37,34.51,34.56,4.309523809523809,18153989,638058323.999,35.15,0.49,3724259552,3733704000.0,124999192549.65,131911700000.0
2025-05-15,CMCSA,34.56,34.66,34.82,34.35,34.79,-1.295964125560538,18156415,627926994.0666,34.58,0.49,3724259552,3733704000.0,122274882535.17,129036750000.0
2025-05-14,CMCSA,34.79,34.85,35.11,34.49,34.72,-1.303030303030303,19071473,665249156.8243,34.88,0.51,3724259552,3733704000.0,123088619095.1,129895500000.0
2025-05-13,CMCSA,34.72,34.81,35.41,34.53,34.25,5.8500000000000005,23093141,803260131.4147,34.78,0.62,3724259552,3733704000.0,122840984139.26,129634100000.0
2025-05-10,CMCSA,34.25,34.34,34.45,34.15,34.22,-0.9343065693430657,16919700,580310144.7906,34.3,0.45,3724259552,3733704000.0,121178095173.2,127879300000.0
2025-05-09,CMCSA,34.22,34.49,34.72,34.15,34.39,-6.444444444444445,35269368,1213597579.643,34.41,0.94,3724259552,3733704000.0,121071960852.06,127767300000.0
2025-05-08,CMCSA,34.39,34.63,34.88,34.21,34.49,-0.40816326530612246,25154387,867260226.8662,34.48,0.67,3724259552,3733704000.0,121673421693.62,128402000000.0
2025-05-07,CMCSA,34.49,34.25,34.61,34.07,34.45,-1.4137931034482758,16103946,554529766.4542,34.43,0.43,3724259552,3733704000.0,122027247579.34,128775400000.0
2025-05-06,CMCSA,34.45,34.07,34.68,33.98,34.46,-1.25,20326063,700202421.9076,34.45,0.54,3724259552,3733704000.0,121885693873.94,128626000000.0
2025-05-03,CMCSA,34.46,34.0,34.53,33.99,33.82,-64.0,24824297,853682948.1274,34.39,0.66,3724259552,3733704000.0,128338010231.74,128663440000.0
2025-05-02,CMCSA,33.82,33.85,34.23,33.68,34.2,-1.5873015873015874,20277688,686953421.0708,33.88,0.54,3724259552,3733704000.0,125954487842.72,126273820000.0
2025-05-01,CMCSA,34.2,33.77,34.27,33.16,33.94,-1.6936936936936937,28174762,955682292.0876,33.92,0.75,3724259552,3733704000.0,127369665505.62,127692600000.0
2025-04-30,CMCSA,33.94,33.65,34.06,33.6,33.77,-0.35064935064935066,22741567,771264484.8991,33.91,0.61,3724259552,3733704000.0,126401380367.66,126721800000.0
2025-04-29,CMCSA,33.77,33.9,34.24,33.62,33.9,-1.76,26290731,889980733.028,33.85,0.7,3724259552,3733704000.0,125768263692.34,126087190000.0
2025-04-26,CMCSA,33.9,33.52,33.94,33.13,33.19,-6.631578947368421,29368754,988904625.9505,33.67,0.79,3724259552,3733704000.0,126252376467.24,126572400000.0
2025-04-25,CMCSA,33.19,31.98,33.35,31.44,34.47,-2.733644859813084,43649801,1435270975.2313,32.88,1.15,3771578226,3781022000.0,125178692635.67,125492100000.0
2025-04-24,CMCSA,34.47,34.53,35.03,34.39,34.2,-1.2129380053908356,27851950,964256901.9678,34.62,,3771578226,,130006308993.38,
2025-04-23,CMCSA,34.2,33.85,34.25,33.73,33.6,1.2658227848101267,23108450,787387943.2693,34.07,0.61,3771578226,3781022000.0,128987964014.47,129310940000.0
2025-04-22,CMCSA,33.6,33.75,34.01,33.25,34.01,-1.675977653631285,22945352,769165072.2207,33.52,0.61,3771578226,3781022000.0,126725054794.65,127042320000.0
2025-04-18,CMCSA,34.01,33.78,34.3,33.72,33.55,-2.132231404958678,21576016,734152144.2529,34.03,0.57,3771578226,3781022000.0,128271356608.37,128592500000.0
2025-04-17,CMCSA,33.55,34.3,34.46,33.36,34.4,-2.802919708029197,20687020,698911053.4481,33.79,0.55,3771578226,3781022000.0,126536464568.61,126853300000.0
2025-04-16,CMCSA,34.4,34.44,34.76,34.26,34.15,-1.2955465587044535,17989856,621011556.1462,34.52,0.48,3771578226,3781022000.0,129742268344.93,130067100000.0
2025-04-15,CMCSA,34.15,33.38,34.45,33.25,33.72,0.7534246575342467,20432805,697494272.3456,34.14,0.54,3771578226,3781022000.0,128799373788.43,129121880000.0
2025-04-12,CMCSA,33.72,33.96,34.0,33.22,33.68,-0.90625,26811934,902419853.3519,33.66,0.71,3771578226,3781022000.0,127177625323.88,127496000000.0
2025-04-11,CMCSA,33.68,34.78,34.9,33.09,35.18,-36.5,31778782,1072769087.2656,33.76,0.84,3771578226,3781022000.0,127026728250.63,127344800000.0
2025-04-10,CMCSA,35.18,32.5,35.25,32.2,32.84,-2.6737089201877935,45095946,1543945077.9358,34.24,1.19,3771578226,3781022000.0,132684095589.63,133016300000.0
2025-04-09,CMCSA,32.84,33.47,34.3,32.5,33.47,-1.2636746143057502,33971415,1133507252.5689,33.37,0.9,3771578226,3781022000.0,123858617627.11,124168690000.0
2025-04-08,CMCSA,33.47,32.97,34.44,32.38,33.38,-1.1436170212765957,46139739,1544537221.6715,33.48,1.22,3771578226,3781022000.0,126234730767.38,126550800000.0
2025-04-05,CMCSA,33.38,34.93,35.35,33.34,35.72,-25.259259259259256,37314567,1273900510.8382,34.14,0.99,3771578226,3781022000.0,125895300041.77,126210500000.0
2025-04-04,CMCSA,35.72,36.61,36.66,35.61,36.61,-0.6290076335877862,26834110,964756211.0248,35.95,0.71,3771578226,3781022000.0,134720781775.88,135058100000.0
2025-04-03,CMCSA,36.61,36.31,36.65,36.11,36.39,-1.2469135802469136,18827555,685451029.374,36.41,0.5,3771578226,3781022000.0,138077482625.44,138423200000.0
2025-04-02,CMCSA,36.39,36.61,36.8,36.19,36.57,-1.8166666666666667,20738286,762787361.0759,36.45,0.55,3771578226,3781022000.0,138492360001.88,138839100000.0
2025-04-01,CMCSA,36.9,36.83,37.04,36.35,36.62,-2.5510204081632653,27806325,1021440350.9888,36.73,0.74,3771578226,3781022000.0,139171213909.93,139519700000.0
2025-03-29,CMCSA,36.62,37.3,37.48,36.59,37.37,-3.644736842105263,23331680,857682052.7938,36.76,0.62,3771578226,3781022000.0,138115179549.81,138461000000.0
2025-03-28,CMCSA,37.37,37.28,37.64,37.04,37.37,-1.0,17856743,667388698.3548,37.37,0.47,3771578226,3781022000.0,140943863219.31,141296750000.0
2025-03-27,CMCSA,37.37,37.0,37.72,36.86,36.94,inf,25944989,971341678.2364,37.44,0.69,3771578226,3781022000.0,140943863219.31,141296750000.0
2025-03-26,CMCSA,36.94,36.47,36.95,35.92,36.6,-0.1982758620689654,27132536,996521231.7496,36.73,0.72,3771578226,3781022000.0,139322110983.17,139670940000.0
2025-03-25,CMCSA,36.6,36.79,36.88,36.48,36.75,-1.4408602150537635,32945657,1207672311.0922,36.66,0.87,3771578226,3781022000.0,138039789472.65,138385380000.0
2025-03-22,CMCSA,36.75,36.24,36.88,36.08,36.5,-2.658536585365854,54564477,1998740389.5271,36.63,1.44,3771578226,3781022000.0,138605499805.5,138952500000.0
2025-03-21,CMCSA,36.5,35.9,36.69,35.86,36.09,0.6764705882352939,17068813,622269146.9969,36.46,0.45,3771578226,3781022000.0,137662605249.0,138007300000.0
2025-03-20,CMCSA,36.09,36.05,36.22,35.93,36.01,-0.8070175438596491,21740637,784539235.9356,36.09,0.57,3771578226,3781022000.0,136116246861.61,136457070000.0
2025-03-19,CMCSA,36.01,35.82,36.13,35.57,35.75,2.318181818181818,17883083,641587810.0575,35.88,0.47,3771578226,3781022000.0,135814513060.37,136154570000.0
2025-03-18,CMCSA,35.75,35.49,35.92,35.34,35.43,0.23287671232876717,16899286,603965373.6783,35.74,0.45,3771578226,3781022000.0,134833921579.5,135171500000.0
2025-03-15,CMCSA,35.43,35.08,35.59,34.65,34.7,1.3333333333333335,27406653,967660291.1709,35.31,0.72,3771578226,3781022000.0,133626990146.13,133961570000.0
2025-03-14,CMCSA,34.7,35.17,35.92,34.66,35.19,-1.6619047619047618,32055766,1121701871.1925,34.99,0.85,3771578226,3781022000.0,130873753127.47,131201440000.0
2025-03-13,CMCSA,35.19,35.76,35.88,34.9,35.95,0.5179856115107915,23418965,822998541.9401,35.14,0.62,3771578226,3781022000.0,132721849087.67,133054130000.0
2025-03-12,CMCSA,35.95,36.07,36.32,35.48,36.11,-0.7914691943127962,32233454,1157151795.0907,35.9,0.85,3771578226,3781022000.0,135588225909.97,135927690000.0
2025-03-11,CMCSA,36.11,37.41,37.98,36.03,37.59,7.954545454545455,43425196,1596418637.6744,36.76,1.15,3771578226,3781022000.0,136191693512.44,136532690000.0
2025-03-08,CMCSA,37.59,36.08,37.62,36.07,36.27,-1.9238578680203045,40513196,1514314231.994,37.38,1.07,3771578226,3781022000.0,141773614200.61,142128570000.0
2025-03-07,CMCSA,36.27,35.53,36.34,35.35,35.56,-0.4505494505494506,29089622,1046728814.0157,35.98,,3771578226,,136795161114.91,
2025-03-06,CMCSA,35.56,35.32,35.69,34.97,35.5,-0.915,24527250,869331511.7932,35.44,0.65,3771578226,3781022000.0,134117314173.4,134453130000.0
2025-03-05,CMCSA,35.5,36.21,36.32,35.27,35.98,-8.823529411764707,31001762,1108852298.1518,35.77,0.82,3771578226,3781022000.0,133891027023.0,134226250000.0
2025-03-04,CMCSA,35.98,35.87,36.25,35.75,35.88,-1.2105263157894737,19837598,714231033.4954,36.0,0.52,3771578226,3781022000.0,135701369485.17,136041130000.0
2025-03-01,CMCSA,35.88,35.65,36.09,35.53,35.39,3.928571428571428,26337313,943041862.1585,35.81,0.7,3771578226,3781022000.0,135324245606.77,135663070000.0
2025-02-28,CMCSA,35.39,35.09,35.48,35.0,35.1,-0.39855072463768115,21816364,770630377.3867,35.32,0.58,3771578226,3781022000.0,133476153418.14,133810320000.0
2025-02-27,CMCSA,35.1,35.78,35.83,35.0,35.85,-3.5180722891566263,31138309,1096012334.4289,35.2,0.82,3771578226,3781022000.0,132382422133.65,132713880000.0
2025-02-26,CMCSA,35.85,36.45,36.98,35.75,36.3,-0.40669856459330145,33457692,1207899466.6031,36.1,0.88,3771578226,3781022000.0,135211105803.15,135549630000.0
2025-02-25,CMCSA,36.3,36.39,36.79,36.22,36.24,-1.1370967741935485,28008204,1019792935.8076,36.41,0.74,3771578226,3781022000.0,136908304690.11,
2025-02-22,CMCSA,36.24,36.56,36.65,36.19,36.41,-3.7647058823529407,20872055,758774505.6244,36.35,0.55,3771578226,3781022000.0,136682017539.71,
2025-02-21,CMCSA,36.41,36.39,36.72,36.09,36.48,-0.5957446808510638,25849864,940821310.1984,36.4,0.68,3771578226,3781022000.0,137323178294.97,137667000000.0
2025-02-20,CMCSA,36.48,36.44,36.75,36.28,36.35,-2.894736842105263,22190125,810563260.3434,36.53,0.59,3771578226,3781022000.0,137587158598.17,137931630000.0
2025-02-19,CMCSA,36.35,35.26,36.38,35.11,35.39,6.527777777777778,22426008,808112384.8589,36.03,0.59,3771578226,3781022000.0,137096894916.15,137440130000.0
2025-02-15,CMCSA,35.39,35.4,35.62,35.29,35.38,-0.988929889298893,17919840,634966252.5278,35.43,0.47,3771578226,3781022000.0,133476153418.14,133810320000.0
2025-02-14,CMCSA,35.38,35.04,35.5,34.94,34.9,45.0,20258829,715284492.3752,35.31,0.54,3771578226,3781022000.0,133438456493.77,133772570000.0
2025-02-13,CMCSA,34.9,34.92,35.23,34.89,35.23,-1.681159420289855,23345633,818035812.866,35.04,0.62,3771578226,3781022000.0,131628057457.93,131957630000.0
2025-02-12,CMCSA,35.23,34.08,35.36,34.08,34.47,-3.340425531914894,30324911,1063164026.5903,35.06,0.8,3771578226,3781022000.0,132872685815.67,133205320000.0
2025-02-11,CMCSA,34.47,34.73,34.78,34.39,34.37,-0.8681818181818182,26989055,932736342.989,34.56,0.71,3771578226,3781022000.0,130006308993.38,130331750000.0
2025-02-08,CMCSA,34.37,34.62,34.67,34.1,34.47,-2.0,24080079,828200629.1745,34.39,0.64,3771578226,3781022000.0,129629128541.31,129953690000.0
2025-02-07,CMCSA,34.47,34.1,34.48,33.75,33.94,-6.379310344827587,29818254,1023081976.9646,34.31,0.79,3771578226,3781022000.0,130006308993.38,130331750000.0
2025-02-06,CMCSA,33.94,33.55,33.95,33.31,33.55,-0.2564102564102565,33324368,1125340680.2755,33.77,0.88,3771578226,3781022000.0,128007376305.17,128327820000.0
2025-02-05,CMCSA,33.55,32.68,33.61,32.61,33.19,-0.06896551724137923,35575793,1184663163.0105,33.3,0.94,3771578226,3781022000.0,126536464568.61,126853250000.0
2025-02-04,CMCSA,33.19,33.11,33.78,33.04,33.66,-2.296296296296296,42145629,1408843833.3382,33.43,1.11,3771578226,3781022000.0,125178692635.67,125492070000.0
2025-02-01,CMCSA,33.66,33.47,34.01,33.3,33.25,-1.8785714285714286,38583399,1298752089.7327,33.66,1.01,3817095628,3826540000.0,128483454106.86,128801320000.0
2025-01-31,CMCSA,33.25,34.42,34.68,32.5,37.36,-9.94308943089431,76497250,2530628399.9278,33.08,2.0,3817095628,3826540000.0,126918429631.0,127232380000.0
2025-01-30,CMCSA,37.36,37.69,37.83,37.25,37.55,-0.9536363636363636,21366040,801160329.3741,37.5,0.56,3817095628,3826540000.0,142606696479.18,142959440000.0
2025-01-29,CMCSA,37.55,37.95,38.18,37.47,38.23,2.4901960784313726,17550161,661604337.213,37.7,0.46,3817095628,3826540000.0,143331956099.78,143686570000.0
2025-01-28,CMCSA,38.23,37.57,38.4,37.56,37.62,-1.9101123595505618,24478469,934046923.2982,38.16,0.64,3817095628,3826540000.0,145927550590.06,146288500000.0
2025-01-25,CMCSA,37.62,37.36,37.64,37.28,37.47,-0.7530864197530864,17792098,666419096.8545,37.46,0.46,3817095628,3826540000.0,143599122256.98,143954320000.0
2025-01-24,CMCSA,37.47,37.27,37.54,36.91,37.11,1.4249999999999998,17270739,644114024.4326,37.3,0.45,3817095628,3826540000.0,143026580815.35,143380380000.0
2025-01-23,CMCSA,37.11,36.86,37.2,36.51,36.97,-0.6082474226804124,20944583,775282589.8697,37.02,0.55,3817095628,3826540000.0,141652422572.18,142002820000.0
2025-01-22,CMCSA,36.97,36.58,37.25,36.54,36.58,1.8157894736842106,20973868,776871944.8768,37.04,0.55,3817095628,3826540000.0,141118033001.35,141467130000.0
2025-01-18,CMCSA,36.58,36.75,36.91,36.45,36.31,-0.30841121495327106,21855747,800611156.6512,36.63,0.57,3817095628,3826540000.0,139629365706.43,139974750000.0
2025-01-17,CMCSA,36.31,36.52,36.64,36.27,36.5,-1.7027027027027026,21044235,765940665.936,36.4,0.55,3817095628,3826540000.0,138598734618.49,138941570000.0
2025-01-16,CMCSA,36.5,36.77,36.85,36.28,36.38,-1.6346153846153846,22246911,811300417.0887,36.47,0.58,3817095628,3826540000.0,139323990422.0,139668630000.0
2025-01-15,CMCSA,36.38,36.63,36.64,36.15,36.45,-1.5757575757575757,25090875,912339467.6794,36.36,0.66,3817095628,3826540000.0,138865958032.12,139209500000.0
2025-01-14,CMCSA,36.45,36.51,36.72,36.25,36.36,-2.3157894736842106,18651899,680255273.6189,36.47,0.49,3817095628,3826540000.0,139133124189.31,139477320000.0
2025-01-11,CMCSA,36.36,36.79,37.17,36.32,37.17,-9.72,26895204,983638268.9968,36.57,0.7,3817095628,3826540000.0,138789600851.18,139132880000.0
2025-01-09,CMCSA,37.17,36.78,37.24,36.24,36.87,-1.3715596330275228,24923426,917406537.1746,36.81,0.65,3817095628,3826540000.0,141881440675.66,142232380000.0
2025-01-08,CMCSA,36.87,37.13,37.45,36.7,37.18,-2.0246913580246915,16217024,604303154.9091,36.95,0.42,3817095628,3826540000.0,141919588729.37,142270630000.0
2025-01-07,CMCSA,37.49,37.34,38.16,37.29,37.67,-0.42168674698795183,25001680,941298225.9903,37.65,,3817095628,,143102937996.29,
2025-01-04,CMCSA,37.67,37.62,37.74,37.37,37.42,-2.3958333333333335,14940727,562384009.5921,37.64,0.39,3817095628,3826540000.0,143789988489.66,144145690000.0
2025-01-03,CMCSA,37.42,37.8,37.95,37.2,37.53,-1.4328358208955223,26146512,980026229.7282,37.48,0.68,3817095628,3826540000.0,142835714582.66,143189070000.0
2025-01-01,CMCSA,37.53,37.31,37.6,37.24,37.39,-2.2758620689655173,13543301,507360469.3055,37.46,0.35,3817095628,3826540000.0,143255595101.74,143610000000.0
2024-12-31,CMCSA,37.39,37.78,37.88,37.11,37.93,-4.837837837837838,23636911,884084172.8751,37.4,0.62,3817095628,3826540000.0,142721205530.92,143074320000.0
2024-12-28,CMCSA,37.93,37.84,38.25,37.69,38.25,-0.4084507042253521,15279782,579005962.475,37.89,0.4,3817095628,3826540000.0,144782410450.37,145140570000.0
2024-12-27,CMCSA,38.25,38.25,38.46,38.09,38.4,-0.5357142857142857,10687840,409093161.1992,38.28,0.28,3817095628,3826540000.0,146003907771.0,146365130000.0
2024-12-25,CMCSA,38.4,37.85,38.42,37.71,37.98,-3.8461538461538463,7493086,286294293.8054,38.21,0.2,3817095628,3826540000.0,146576449212.63,146939000000.0
2024-12-24,CMCSA,37.98,38.03,38.21,37.67,38.22,-1.5675675675675675,15971215,604864936.9245,37.87,0.42,3817095628,3826540000.0,144973276683.06,145331940000.0
2024-12-21,CMCSA,38.22,37.59,38.31,37.31,37.4,-4.476190476190476,58462715,2226178280.9363,38.08,1.53,3817095628,3826540000.0,145889402536.35,146250250000.0
2024-12-20,CMCSA,37.4,37.95,38.04,37.25,37.86,-1.5570776255707761,22219168,833127612.5345,37.5,0.58,3817095628,3826540000.0,142759353584.63,143112500000.0
2024-12-19,CMCSA,37.86,38.55,38.94,37.79,38.8,0.9836065573770492,21217250,812656680.6732,38.3,0.55,3817095628,3826540000.0,144515244293.18,144872750000.0
2024-12-18,CMCSA,38.8,38.87,39.12,38.56,38.86,-0.9380165289256198,18890360,733382429.7678,38.82,0.49,3817095628,3826540000.0,148103325634.78,148469690000.0
2024-12-17,CMCSA,38.86,39.09,39.75,38.79,39.92,16.733333333333334,19977024,782204330.1708,39.16,0.52,3817095628,3826540000.0,148332339921.18,148699320000.0
2024-12-14,CMCSA,39.92,39.75,40.2,39.66,40.24,-0.6992481203007519,17864075,712426492.3581,39.88,0.47,3817095628,3826540000.0,152378453652.66,152755440000.0
2024-12-13,CMCSA,40.24,39.92,40.37,39.83,39.71,-2.6625,22465504,902592150.9692,40.18,0.59,3817095628,3826540000.0,153599950973.29,153979900000.0
2024-12-12,CMCSA,39.71,39.47,39.84,39.42,39.53,-0.6541353383458647,23620672,937452647.9256,39.69,0.62,3817095628,3826540000.0,151576894107.55,151951820000.0
2024-12-11,CMCSA,39.53,39.07,39.79,38.53,39.05,1.6739130434782608,28643348,1128662685.0954,39.4,0.75,3817095628,3826540000.0,150889786357.74,151263070000.0
2024-12-10,CMCSA,39.05,43.21,43.3,38.76,43.15,-8.723577235772357,45130672,1791940274.7712,39.71,1.18,3817095628,3826540000.0,149057599541.78,149426320000.0
2024-12-07,CMCSA,43.15,42.75,43.19,42.73,42.79,-1.088421052631579,15410739,663857758.2216,43.08,0.4,3817095628,3826540000.0,164707653445.63,165115070000.0
2024-12-06,CMCSA,42.79,42.61,42.98,42.46,42.55,-0.33333333333333326,13369473,571663905.5818,42.76,0.35,3817095628,3826540000.0,163333499019.55,163737570000.0
2024-12-05,CMCSA,42.55,42.71,42.97,42.38,42.86,-2.2857142857142856,13301770,566274918.1709,42.57,0.35,3817095628,3826540000.0,162417434239.78,162819190000.0
2024-12-04,CMCSA,42.86,43.22,43.45,42.83,43.29,0.375,14264422,612999271.028,42.97,0.37,3817095628,3826540000.0,163600722433.18,164005440000.0
2024-12-03,CMCSA,43.29,43.01,43.31,42.68,43.19,-1.2323232323232323,15747340,678883464.5086,43.11,0.41,3817095628,3826540000.0,165242046833.55,165650820000.0
2024-11-30,CMCSA,43.19,42.46,43.27,42.42,42.56,5.434782608695651,9556926,411846121.2594,43.09,0.25,3817095628,3826540000.0,164860371624.61,165268190000.0
2024-11-28,CMCSA,42.56,42.61,43.04,42.53,42.64,-1.1283783783783783,15118536,645827664.1448,42.72,0.4,3817095628,3826540000.0,162455582293.49,162857440000.0
2024-11-27,CMCSA,42.64,43.0,43.26,42.44,43.2,5.842105263157895,16947360,722516731.0906,42.63,0.44,3817095628,3826540000.0,162760957577.92,163163630000.0
2024-11-26,CMCSA,43.2,43.92,44.03,43.13,43.47,-0.5230769230769231,23188461,1003580290.5919,43.28,0.61,3817095628,3826540000.0,164898519678.31,165306440000.0
2024-11-23,CMCSA,43.47,43.26,43.72,43.16,43.5,-0.8870967741935484,10507395,456660916.9073,43.46,0.27,3817095628,3826540000.0,165929154583.35,166339570000.0
2024-11-22,CMCSA,43.5,43.1,43.73,42.51,42.99,-17.999999999999996,15297993,662770340.52,43.32,0.4,3817095628,3826540000.0,166043659818.0,166454440000.0
2024-11-21,CMCSA,42.99,42.75,43.02,41.99,42.32,0.32773109243697496,19927969,849674772.7157,42.64,0.52,3817095628,3826540000.0,164096963950.29,164502940000.0
2024-11-20,CMCSA,42.32,42.6,42.77,42.31,43.0,-2.0,20663141,876958271.5544,42.44,0.54,3817095628,3826540000.0,161539517513.73,161939130000.0
2024-11-19,CMCSA,43.0,42.85,43.22,42.75,42.88,-1.1772151898734178,18793364,808050716.9757,43.0,0.49,3817095628,3826540000.0,164135112004.0,164541130000.0
2024-11-16,CMCSA,42.88,43.48,43.82,42.58,43.48,-5.928571428571428,18189481,781398312.7618,42.96,0.48,3817095628,3826540000.0,163677079614.12,164081940000.0
2024-11-15,CMCSA,43.48,43.91,44.06,43.19,43.91,-0.28985507246376807,17838633,775887721.0925,43.49,0.47,3817095628,3826540000.0,165967302637.06,166377880000.0
2024-11-14,CMCSA,43.91,43.66,44.19,43.51,44.04,-0.6938775510204082,11426262,502096312.6664,43.94,0.3,3817095628,3826540000.0,159228250079.17,168023320000.0
2024-11-13,CMCSA,44.04,43.9,44.2,43.85,44.2,0.19999999999999996,13084020,576438770.102,44.06,0.34,3817095628,3826540000.0,159699625126.82,168520690000.0
2024-11-12,CMCSA,44.2,43.96,44.63,43.91,43.91,-2.8333333333333335,10458200,463058767.22,44.28,0.27,3817095628,3826540000.0,160279834541.0,169133000000.0
