dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,COST,1051.69,1055.0,1057.83,1049.37,1055.59,1422086,1498519709.4936,1053.75,0.32,443519000,443519000.0,443122272254.5,466444440000.0
2025-06-04,COST,1055.59,1054.15,1067.08,1043.26,1056.85,1992850,2098368418.225,1052.95,0.45,443519000,443519000.0,444765552283.8,468174250000.0
2025-06-03,COST,1056.85,1034.27,1060.5,1034.27,1040.18,2148004,2258348469.0828,1051.37,0.48,443519000,443519000.0,445296444526.81,468733130000.0
2025-05-31,COST,1040.18,1002.3,1052.49,1002.0,1008.74,5403836,5622239056.9268,1040.42,1.22,443519000,443519000.0,438272613749.0,461339600000.0
2025-05-30,COST,1008.74,1016.01,1017.54,1003.6,1013.14,2023815,2042745360.747,1009.35,0.46,443683357,443683000.0,425183092063.17,447561070000.0
2025-05-29,COST,1013.14,1017.05,1024.62,1012.96,1017.79,1674743,1702360851.8644,1016.49,0.38,443683357,443683000.0,427037646345.51,449513300000.0
2025-05-28,COST,1017.79,1015.0,1018.95,1010.93,1008.5,1868169,1896995781.7545,1015.43,0.42,443683357,443683000.0,428997701874.9,451576440000.0
2025-05-24,COST,1008.5,1012.0,1015.11,1007.0,1018.13,1413916,1428541547.104,1010.34,0.32,443683357,443683000.0,425081932257.78,447454630000.0
2025-05-23,COST,1018.13,1027.73,1028.78,1014.12,1025.3,1660909,1694161726.9072,1020.02,0.37,443683357,443683000.0,429140927299.37,451727300000.0
2025-05-22,COST,1025.3,1030.94,1039.47,1023.8,1036.82,1438885,1481786075.7175,1029.82,0.32,443683357,443683000.0,432163160785.41,454908500000.0
2025-05-21,COST,1036.82,1030.01,1038.0,1030.01,1034.34,2271232,2351736726.7328,1035.45,0.51,443683357,443683000.0,437018831444.42,460019800000.0
2025-05-20,COST,1034.34,1018.6,1034.99,1012.89,1025.83,1879788,1934257864.9608,1028.98,0.42,443683357,443683000.0,435973513455.33,458919400000.0
2025-05-17,COST,1025.83,1012.49,1028.26,1009.0,1010.47,2033744,2079445685.0448,1022.47,0.46,443683357,443683000.0,432386555355.66,455143700000.0
2025-05-16,COST,1010.47,992.65,1014.0,983.0,991.54,2470690,2484515487.102,1005.6,0.56,443683357,443683000.0,425912285660.4,448328700000.0
2025-05-15,COST,991.54,998.75,999.86,990.52,999.03,2214978,2201760606.0802,994.03,0.5,443683357,443683000.0,417933322869.76,439929820000.0
2025-05-14,COST,999.03,1013.72,1023.83,987.6,1016.15,2917044,2924493546.9672,1002.55,0.66,443683357,443683000.0,421090347581.5,443252900000.0
2025-05-13,COST,1016.15,1009.79,1016.91,992.24,1008.09,2069049,2088815245.8117,1009.55,0.47,443683357,443683000.0,428306401054.77,450848800000.0
2025-05-10,COST,1008.09,1004.61,1010.71,998.05,1007.71,1176656,1183144904.8432,1005.51,0.27,443683357,443683000.0,424909159740.14,447272800000.0
2025-05-09,COST,1007.71,1013.5,1017.0,991.4,1007.15,1882643,1894449619.0459,1006.27,0.42,443683357,443683000.0,424748947898.35,447104100000.0
2025-05-08,COST,1007.15,1011.18,1014.1,1001.47,1010.5,1316596,1327644741.9724,1008.39,0.3,443683357,443683000.0,424512908352.42,446855600000.0
2025-05-07,COST,1010.5,1008.45,1016.23,1003.51,1014.89,1381248,1396118377.8432,1010.77,0.31,443683357,443683000.0,425924930636.08,448342000000.0
2025-05-06,COST,1014.89,1007.5,1017.78,1002.5,1008.3,1952580,1978151963.97,1013.1,0.44,443683357,443683000.0,427775269926.52,450289690000.0
2025-05-03,COST,1008.3,1007.83,1018.0,1004.61,997.74,1547710,1563797052.511,1010.39,0.35,443683357,443683000.0,424997674569.86,447365940000.0
2025-05-02,COST,997.74,988.81,1005.07,983.72,993.21,1829874,1829090868.8242,998.27,0.41,443683357,443683000.0,421094566788.38,443257380000.0
2025-05-01,COST,994.5,990.0,997.76,976.55,991.7,2212362,2190787156.3941,990.25,0.5,443683357,443683000.0,419180943609.68,441243100000.0
2025-04-30,COST,991.7,978.0,993.21,971.06,978.54,1523146,1504059457.474,987.47,0.34,443683357,443683000.0,418000729020.09,440000800000.0
2025-04-29,COST,978.54,978.5,985.3,968.78,977.16,1611790,1575438155.7591,977.45,0.36,443683357,443683000.0,412453833410.81,434161880000.0
2025-04-26,COST,977.16,973.97,978.32,962.88,975.48,1780887,1731753912.6594,972.41,0.4,443683357,443683000.0,411872113949.88,433549500000.0
2025-04-25,COST,975.48,973.6,978.0,960.71,975.84,2296758,2233371751.1699,972.4,0.52,443683357,443683000.0,411164024817.05,432804200000.0
2025-04-24,COST,975.84,994.52,995.75,969.0,979.23,2104862,2060860322.9596,979.1,,443683357,,411315806675.06,
2025-04-23,COST,979.23,969.75,987.45,966.78,957.77,2230645,2184280151.417,979.21,0.5,443683357,443683000.0,412744646776.36,434468000000.0
2025-04-22,COST,957.77,993.0,996.99,942.97,994.5,2841310,2730382387.8769,960.96,0.64,443683357,443683000.0,403699286822.18,424946570000.0
2025-04-18,COST,994.5,973.27,999.92,971.99,967.75,2711124,2685645669.9852,990.6,0.61,443683357,443683000.0,419180943609.68,441243100000.0
2025-04-17,COST,967.75,972.13,978.65,959.24,976.92,2531715,2452185401.239,968.59,0.57,443683357,443683000.0,407905840299.91,429374500000.0
2025-04-16,COST,976.92,985.35,994.0,974.25,979.32,1788151,1754923971.5112,981.42,0.4,443683357,443683000.0,411770958359.47,433443100000.0
2025-04-15,COST,979.32,970.0,987.13,965.0,963.41,2219943,2172930179.3169,978.82,0.5,443683357,443683000.0,412782615423.32,434507900000.0
2025-04-12,COST,963.41,963.96,970.21,943.16,964.31,2721811,2612559792.7812,959.86,0.61,443683357,443683000.0,406076500099.07,427448900000.0
2025-04-11,COST,964.31,966.5,993.41,942.89,965.19,4209055,4077667959.1869,968.78,0.95,443683357,443683000.0,406455908379.19,427848300000.0
2025-04-10,COST,965.19,908.0,967.46,897.67,908.75,5084527,4806710275.1497,945.36,1.15,443683357,443683000.0,406826781300.73,428238600000.0
2025-04-09,COST,908.75,932.05,942.99,899.57,908.13,3545403,3264510328.3521,920.77,0.8,443683357,443683000.0,383037388140.06,403197190000.0
2025-04-08,COST,908.13,887.75,937.82,871.71,916.48,4626590,4171541833.0818,901.65,1.04,443683357,443683000.0,382776012277.88,402922100000.0
2025-04-05,COST,916.48,955.0,964.52,914.14,967.08,5166988,4833492768.3714,935.46,1.16,443683357,443683000.0,386295572657.2,406626900000.0
2025-04-04,COST,967.08,931.08,981.35,928.0,965.08,3096918,2997894511.4877,968.03,0.7,443683357,443683000.0,407623469563.12,429077300000.0
2025-04-03,COST,965.08,950.84,970.89,950.0,954.4,1719896,1656887610.04,963.37,0.39,443683357,443683000.0,406780471184.82,428189900000.0
2025-04-02,COST,954.4,942.42,957.72,938.75,945.78,2041507,1943797269.814,952.14,0.46,443683357,443683000.0,402278788189.83,423451300000.0
2025-04-01,COST,945.78,922.36,995.0,922.04,929.66,3101963,2916417004.8398,940.18,0.7,443683357,443683000.0,398645515759.26,419626800000.0
2025-03-29,COST,929.66,937.5,938.75,926.0,938.75,2100487,1955566230.9756,931.01,0.47,443683357,443683000.0,391850902465.25,412474570000.0
2025-03-28,COST,938.75,929.56,942.9,928.0,929.75,1546989,1452058793.5095,938.64,0.35,443683357,443683000.0,395682363814.56,416507690000.0
2025-03-27,COST,929.75,934.33,939.42,923.45,930.26,1646854,1532389610.3525,930.5,0.37,443683357,443683000.0,391888871112.21,412514570000.0
2025-03-26,COST,930.26,926.63,932.29,922.49,926.04,1619768,1502440023.9316,927.56,0.37,443683357,443683000.0,392103839913.67,412740820000.0
2025-03-25,COST,926.04,920.0,928.65,920.0,909.26,2199419,2033774200.8414,924.69,0.5,443683357,443683000.0,390325125980.43,410868500000.0
2025-03-22,COST,909.26,888.75,909.77,883.96,895.4,3447576,3108924057.096,901.77,0.78,443683357,443683000.0,383252356941.52,403423500000.0
2025-03-21,COST,895.4,901.5,907.48,894.1,904.05,1891797,1699676161.04,898.45,0.43,443683357,443683000.0,377410336029.98,397274000000.0
2025-03-20,COST,904.05,902.86,910.16,896.0,898.05,1908521,1722560420.2378,902.56,0.43,443683357,443683000.0,381056363026.02,401111940000.0
2025-03-19,COST,898.05,913.0,917.56,896.84,916.61,2182005,1967802020.4402,901.83,0.49,443683357,443683000.0,378527367891.12,398449820000.0
2025-03-18,COST,916.61,901.63,923.39,898.0,903.92,2256059,2059695956.2733,912.96,0.51,443683357,443683000.0,386350418131.69,406684630000.0
2025-03-15,COST,903.92,891.81,906.95,881.56,890.62,3186406,2863279864.4097,898.59,0.72,443683357,443683000.0,381001517551.52,401054190000.0
2025-03-14,COST,890.62,922.0,923.5,887.47,927.08,3447210,3091652523.0045,896.86,0.78,443683357,443683000.0,375395658420.68,395153250000.0
2025-03-13,COST,927.08,938.0,944.38,923.25,930.49,2324447,2165236001.7594,931.51,0.52,443730000,443730000.0,390804581703.48,411373250000.0
2025-03-12,COST,930.49,931.0,938.0,921.2,934.41,3204869,2980578262.1025,930.02,0.72,443730000,443730000.0,392242011315.0,412886380000.0
2025-03-11,COST,934.41,955.47,959.66,924.03,964.31,4459856,4184912879.5739,938.35,1.01,443730000,443730000.0,393894428111.52,414625750000.0
2025-03-08,COST,964.31,995.15,1002.42,942.78,1026.62,5488481,5281777286.321,962.34,1.24,443730000,443730000.0,406498637777.61,427893300000.0
2025-03-07,COST,1026.62,1032.95,1045.89,1019.05,1047.75,2516496,2591803652.6976,1029.93,,443898870,,432929769364.22,
2025-03-06,COST,1047.75,1033.08,1050.98,1028.5,1036.87,1894232,1973523414.9808,1041.86,0.43,443898870,443899000.0,441840288990.38,465095000000.0
2025-03-05,COST,1036.87,1045.73,1047.93,1028.73,1046.85,2396298,2488320396.1662,1038.4,0.54,443898870,443899000.0,437252234610.84,460265440000.0
2025-03-04,COST,1046.85,1051.74,1066.0,1041.14,1048.61,2295482,2414870707.4646,1052.01,0.52,443898870,443899000.0,441460797626.92,464695570000.0
2025-03-01,COST,1048.61,1030.61,1049.38,1023.99,1021.71,3041211,3167782856.4879,1041.62,0.69,443898870,443899000.0,442203038707.95,465476820000.0
2025-02-28,COST,1021.71,1034.0,1042.53,1018.83,1031.97,1604460,1649694861.672,1028.19,0.36,443898870,443899000.0,430859118744.32,453535820000.0
2025-02-27,COST,1031.97,1050.14,1058.89,1030.18,1055.66,1547351,1609650136.4918,1040.26,0.35,443898870,443899000.0,435185801030.21,458090250000.0
2025-02-26,COST,1055.66,1040.73,1057.02,1037.46,1035.6,2073477,2178357198.9186,1050.58,0.47,443898870,443899000.0,445175967048.99,468606190000.0
2025-02-25,COST,1035.6,1028.54,1038.19,1025.22,1035.03,1754556,1812195620.9784,1032.85,0.4,443898870,443899000.0,436716628453.79,
2025-02-22,COST,1035.03,1034.61,1036.21,1024.68,1034.83,1809811,1866549298.7744,1031.35,0.41,443898870,443899000.0,436476257215.69,
2025-02-21,COST,1034.83,1053.64,1053.64,1033.85,1062.54,1993974,2070527447.3976,1038.39,0.45,443898870,443899000.0,436391916430.39,459359880000.0
2025-02-20,COST,1062.54,1056.06,1063.18,1053.0,1056.03,1346767,1426302884.0423,1059.06,0.3,443898870,443899000.0,448077332233.7,471660250000.0
2025-02-19,COST,1056.03,1069.21,1071.0,1045.24,1071.85,2064509,2178232065.3632,1055.08,0.47,443898870,443899000.0,445332039672.19,468770500000.0
2025-02-15,COST,1071.85,1076.48,1077.49,1068.01,1076.86,1408201,1510706485.5518,1072.79,0.32,443898870,443899000.0,452003395789.42,475793000000.0
2025-02-14,COST,1076.86,1067.01,1078.24,1064.65,1065.12,1618731,1736497241.4582,1072.75,0.36,443898870,443899000.0,454116174631.58,478016940000.0
2025-02-13,COST,1065.12,1054.15,1067.0,1051.0,1058.34,1549467,1646484242.1111,1062.61,0.35,443898870,443899000.0,449165370534.47,472805570000.0
2025-02-12,COST,1058.34,1059.91,1066.0,1049.04,1061.92,1608450,1700540839.68,1057.25,0.36,443898870,443899000.0,446306175742.4,469795940000.0
2025-02-11,COST,1061.92,1052.0,1063.0,1046.0,1043.81,1957947,2070042990.0546,1057.25,0.44,443898870,443899000.0,447815833628.88,471385000000.0
2025-02-08,COST,1043.81,1047.0,1056.71,1035.51,1049.83,1552329,1622620785.6135,1045.28,0.35,443898870,443899000.0,440178817690.36,463346070000.0
2025-02-07,COST,1049.83,1048.84,1061.83,1043.05,1041.73,2213326,2325589657.3742,1049.56,0.5,443898870,443899000.0,443206609712.23,466533250000.0
2025-02-06,COST,1042.88,1020.0,1043.09,1020.0,1021.86,2043927,2116112778.6444,1035.32,0.46,443898870,443899000.0,439786548697.93,462933190000.0
2025-02-05,COST,1021.86,1005.4,1024.35,999.65,1005.83,1992900,2027449910.85,1017.34,0.45,443898870,443899000.0,430922458674.08,453602500000.0
2025-02-04,COST,1005.83,972.39,1009.61,968.94,979.88,2661414,2657488174.8227,998.52,0.6,443898870,443899000.0,424162502561.89,446486820000.0
2025-02-01,COST,979.88,976.24,991.0,975.78,979.01,1647330,1619822092.9416,983.3,0.37,443898870,443899000.0,413219197111.39,434967500000.0
2025-01-31,COST,979.01,970.3,986.75,970.1,964.02,1783183,1746494544.7299,979.43,0.4,443898870,443899000.0,412852365299.8,434581380000.0
2025-01-30,COST,964.02,957.8,968.26,955.0,958.67,1703477,1638935782.6674,962.11,0.38,443898870,443899000.0,406531027658.61,427927380000.0
2025-01-29,COST,958.67,961.83,965.71,954.07,965.25,2098806,2014685183.9021,959.92,0.47,443898870,443899000.0,404274873698.48,425552440000.0
2025-01-28,COST,965.25,930.0,966.99,927.18,939.68,2669103,2545203452.2682,953.58,0.6,443898870,443899000.0,407049715054.13,428473380000.0
2025-01-25,COST,939.68,942.16,946.04,933.55,942.16,1539912,1446433027.9608,939.3,0.35,443898870,443899000.0,396266720351.28,417122820000.0
2025-01-24,COST,942.16,941.69,943.39,936.49,944.7,1333311,1254369295.629,940.79,0.3,443898870,443899000.0,397312537654.93,418223690000.0
2025-01-23,COST,944.7,951.23,951.94,939.24,947.73,2150410,2029580698.5264,943.81,0.48,443898870,443899000.0,398383682496.39,419351190000.0
2025-01-22,COST,947.73,945.25,956.55,943.5,943.19,2036670,1932838119.396,949.02,0.46,443898870,443899000.0,399661458044.81,420696250000.0
2025-01-18,COST,943.19,930.0,943.8,924.56,919.75,2350417,2202446897.3359,937.05,0.53,443898870,443899000.0,397746905350.34,418680940000.0
2025-01-17,COST,919.75,924.73,927.4,917.82,923.5,1335210,1231334520.7569,922.2,0.3,443898870,443899000.0,387862186398.38,408275940000.0
2025-01-16,COST,923.5,927.26,932.87,918.3,917.23,1834631,1694347573.4066,923.54,0.41,443898870,443899000.0,389443576122.75,409940570000.0
2025-01-15,COST,917.23,924.3,927.76,909.92,924.7,1676154,1536025329.8383,916.4,0.38,443898870,443899000.0,386799488286.56,407157320000.0
2025-01-14,COST,924.7,934.0,934.99,921.0,936.94,1657982,1535450829.8684,926.1,0.37,443898870,443899000.0,389949603966.39,410473250000.0
2025-01-11,COST,936.94,933.36,944.28,923.5,927.37,2687175,2511704971.5728,934.7,0.61,443898870,443899000.0,395111255809.71,415906570000.0
2025-01-09,COST,927.37,922.98,930.5,915.42,921.37,1677704,1552124013.6578,925.15,0.38,443898870,443899000.0,391075620922.78,411658500000.0
2025-01-08,COST,921.37,923.84,931.3,916.43,922.71,1823067,1680573129.9115,921.84,0.41,443898870,443899000.0,388545397363.78,408995130000.0
2025-01-07,COST,922.71,917.98,927.41,913.27,916.58,1885823,1739342528.2371,922.33,,443898870,,389110417369.7,
2025-01-04,COST,916.58,914.33,924.21,911.0,909.81,1582512,1453270302.2256,918.33,0.36,443898870,443899000.0,386525418687.68,406868820000.0
2025-01-03,COST,909.81,915.0,925.77,902.0,916.27,1741053,1587170866.3004,911.62,0.39,443898870,443899000.0,383670474671.2,403863630000.0
2025-01-01,COST,916.27,923.65,924.74,912.54,922.21,1734103,1589870595.6908,916.83,0.39,443898870,443899000.0,386394665168.23,406731190000.0
2024-12-31,COST,922.21,931.0,934.17,915.5,939.7,1821626,1682189346.3698,923.45,0.41,443898870,443899000.0,388899565406.45,409367940000.0
2024-12-28,COST,939.7,948.72,950.45,932.0,956.14,1909566,1792792048.1071,938.85,0.43,443898870,443899000.0,396275162863.89,417131690000.0
2024-12-27,COST,956.14,956.82,959.41,954.0,958.82,956381,914535132.7374,956.25,0.22,443898870,443899000.0,403207950113.32,424429380000.0
2024-12-25,COST,958.82,950.74,959.38,945.45,949.91,938838,895265467.5331,953.59,0.21,443898870,443899000.0,404338188326.0,425619130000.0
2024-12-24,COST,949.91,953.88,954.25,937.0,954.07,1750349,1655707944.6328,945.93,0.39,443898870,443899000.0,400580743085.3,421663880000.0
2024-12-21,COST,954.07,949.39,961.94,943.05,954.8,5310149,5064939647.654,953.82,1.2,443898870,443899000.0,402335094675.13,423510630000.0
2024-12-20,COST,954.8,974.51,974.64,953.51,964.74,2401604,2305479463.6754,959.97,0.54,443942000,443942000.0,402682051607.25,423875880000.0
2024-12-19,COST,964.74,982.0,985.6,964.0,982.08,2525557,2455580710.3006,972.29,0.57,443942000,443942000.0,406874174826.0,428288630000.0
2024-12-18,COST,982.08,994.0,996.92,980.76,992.87,2040596,2011843328.9633,985.91,0.46,443942000,443942000.0,414187265131.59,435986630000.0
2024-12-17,COST,992.87,989.04,1008.25,986.37,989.35,2372649,2365628379.062,997.04,0.53,443942000,443942000.0,418737909472.39,440776750000.0
2024-12-14,COST,989.35,981.0,1006.68,965.73,988.39,2877209,2857628413.0993,993.19,0.65,443942000,443942000.0,417253358989.49,439214070000.0
2024-12-13,COST,988.39,1001.68,1002.47,987.21,994.69,2344334,2330017316.3654,993.89,0.53,443960469,443961000.0,416865741380.92,438806000000.0
2024-12-12,COST,994.69,995.0,1007.8,993.59,993.4,1749136,1749720736.1648,1000.33,0.39,443073600,443074000.0,418684814178.8,440720820000.0
2024-12-11,COST,993.4,989.73,994.99,985.88,987.86,1412900,1402412947.556,992.58,0.32,443073600,443074000.0,418141810645.21,440149190000.0
2024-12-10,COST,987.86,997.01,997.01,980.5,992.61,1787202,1762217398.5845,986.02,0.4,443073600,443074000.0,415809998472.39,437694690000.0
2024-12-07,COST,992.61,982.26,997.71,982.26,982.26,1733632,1721933381.9187,993.25,0.39,443073600,443074000.0,417809368092.39,439799320000.0
2024-12-06,COST,982.26,986.66,990.13,978.2,990.92,1991384,1959605494.128,984.04,0.45,443073600,443074000.0,413452804828.4,435213440000.0
2024-12-05,COST,990.92,982.0,991.15,977.55,982.15,1766959,1744265062.0835,987.16,0.4,443073600,443074000.0,417097937662.01,439050440000.0
2024-12-04,COST,982.15,974.69,983.0,970.76,975.0,1539318,1505820177.5225,978.24,0.35,443073600,443074000.0,413406461545.21,435164690000.0
2024-12-03,COST,975.0,971.36,976.5,964.76,971.88,1925742,1871091560.3562,971.62,0.43,443073600,443074000.0,410396922000.0,431996690000.0
2024-11-30,COST,971.88,968.09,973.27,962.47,961.55,1095732,1062093893.2283,969.3,0.25,443073600,443074000.0,409083605548.41,430614250000.0
2024-11-28,COST,961.55,971.46,972.29,958.59,971.5,1446873,1394616736.3896,963.88,0.33,443073600,443074000.0,404735570122.0,426037380000.0
2024-11-27,COST,971.5,964.0,974.37,960.89,960.89,1421419,1376863626.4517,968.65,0.32,443073600,443074000.0,408923702280.0,430445940000.0
2024-11-26,COST,960.89,975.0,975.0,949.69,964.01,3008503,2883092649.8941,958.31,0.68,443073600,443074000.0,404457699836.81,425744880000.0
2024-11-23,COST,964.01,962.74,976.3,958.52,955.65,2060073,1987334727.0729,964.69,0.46,443073600,443074000.0,405771016288.4,427127320000.0
