dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CPRT,50.38,50.9,51.01,50.32,51.01,6313477,319216323.0043,50.56,0.65,966936214,966936000.0,45791396218.24,48714219000.0
2025-06-04,CPRT,51.01,50.6,51.15,50.18,50.8,6664828,339173810.0566,50.89,0.69,966936214,966936000.0,46364006754.97,49323380000.0
2025-06-03,CPRT,50.8,51.19,51.4,50.22,51.48,7199149,365263993.1219,50.74,0.75,966092956,966093000.0,46132874467.42,49077493000.0
2025-05-31,CPRT,51.48,51.35,51.71,50.76,51.42,16258254,833830667.1459,51.29,1.68,966092956,966093000.0,46750393819.88,49734450000.0
2025-05-30,CPRT,51.42,52.12,52.23,51.14,52.05,7665477,394660134.2048,51.49,0.79,966092956,966093000.0,46695908901.54,49676493000.0
2025-05-29,CPRT,52.05,52.82,53.09,51.99,52.82,10025926,524402008.9559,52.3,1.04,966092956,966093000.0,47268033690.72,50285120000.0
2025-05-28,CPRT,52.82,54.31,54.35,52.51,53.67,14141165,751276371.9678,53.13,1.46,966092956,966093000.0,47967295404.78,51029032000.0
2025-05-24,CPRT,53.67,57.44,58.07,53.33,60.66,20812411,1129587446.5513,54.27,2.15,966092956,966093000.0,48739195503.48,51850196000.0
2025-05-23,CPRT,60.66,60.93,61.24,60.39,61.09,6517090,395448522.9146,60.68,0.67,966092956,966093000.0,55087010420.81,58603190000.0
2025-05-22,CPRT,61.09,61.26,61.66,60.88,61.62,5440231,332863264.731,61.19,0.56,966092956,966093000.0,55477498836.74,59018610000.0
2025-05-21,CPRT,61.62,63.09,63.3,61.42,63.43,6823977,422271791.1462,61.88,0.71,966092956,966093000.0,55958805439.29,59530610000.0
2025-05-20,CPRT,63.43,63.46,63.77,63.2,63.84,5970117,378851642.7952,63.46,0.62,966092956,966093000.0,57602513270.24,61279230000.0
2025-05-17,CPRT,63.84,63.48,63.85,62.74,62.97,4626156,294313273.6526,63.62,0.48,966092956,966093000.0,57974849128.0,61675360000.0
2025-05-16,CPRT,62.97,62.42,63.07,62.24,62.42,4601461,288884773.9842,62.78,0.48,966092956,966093000.0,57184782849.22,60834860000.0
2025-05-15,CPRT,62.42,62.11,62.54,61.66,62.39,3745008,233183323.8359,62.27,0.39,966092956,966093000.0,56685310066.58,60303481000.0
2025-05-14,CPRT,62.39,62.33,62.93,62.04,62.16,4002123,250027043.4592,62.47,0.41,966092956,966093000.0,56658067153.35,60274524000.0
2025-05-13,CPRT,62.16,62.66,62.71,61.38,61.52,4203289,260569862.9525,61.99,0.44,966092956,966093000.0,56449201488.77,60052310000.0
2025-05-10,CPRT,61.52,61.82,62.06,61.22,61.78,2553666,157086230.7533,61.51,0.26,966092956,966093000.0,55868000874.57,59434024000.0
2025-05-09,CPRT,61.78,61.45,62.35,61.23,61.24,3671847,227093114.2966,61.85,0.38,966092956,966093000.0,56104108544.25,59685190000.0
2025-05-08,CPRT,61.24,60.94,61.73,60.79,60.8,3403327,208439498.3899,61.25,0.35,966092956,966093000.0,55613726116.68,59163520000.0
2025-05-07,CPRT,60.8,60.63,60.98,60.36,61.05,2726377,165597701.599,60.74,0.28,966092956,966093000.0,55214148253.82,58738440000.0
2025-05-06,CPRT,61.05,61.18,61.41,60.65,61.22,2425698,148219603.1708,61.1,0.25,966092956,966093000.0,55441180098.48,58979942000.0
2025-05-03,CPRT,61.22,61.04,61.74,60.48,60.5,3152142,193336941.6321,61.34,0.33,966092956,966093000.0,55595559936.6,59144192000.0
2025-05-02,CPRT,60.5,60.76,61.19,60.06,61.03,5007160,303984718.6501,60.71,0.52,966092956,966093000.0,54941706407.72,58448606000.0
2025-05-01,CPRT,61.03,60.12,61.19,59.46,60.51,4203703,255087402.9463,60.68,0.44,966092956,966093000.0,55423013010.27,58960649000.0
2025-04-30,CPRT,60.51,59.53,60.6,59.5,59.81,3139715,188939596.5872,60.18,0.32,966092956,966093000.0,54950783140.87,58458274000.0
2025-04-29,CPRT,59.81,60.88,61.08,59.25,60.9,4654141,278678765.2168,59.88,0.48,966092956,966093000.0,54315096700.2,57781985000.0
2025-04-26,CPRT,60.9,61.58,61.94,60.5,61.97,4381246,266680744.019,60.87,0.45,966092956,966093000.0,55304951910.41,58835020000.0
2025-04-25,CPRT,61.97,61.2,62.09,60.24,61.05,3594047,221478103.9271,61.62,0.37,966092956,966093000.0,56276655470.58,59868770000.0
2025-04-24,CPRT,61.05,61.22,61.95,60.63,60.41,4044453,247205464.7558,61.12,,966092956,,55436634920.95,
2025-04-23,CPRT,60.41,59.22,60.56,59.13,58.73,3413767,205428546.4617,60.18,0.35,966092956,966093000.0,54859978576.15,58361649000.0
2025-04-22,CPRT,58.73,59.45,59.56,58.06,59.68,3654270,214412856.1219,58.67,0.38,966092956,966093000.0,53334317315.02,56738610000.0
2025-04-18,CPRT,59.68,59.64,60.31,59.44,59.44,7559602,451621169.1248,59.74,0.78,966092956,966093000.0,54197035600.34,57656400000.0
2025-04-17,CPRT,59.44,60.36,60.68,58.97,60.45,4507981,268995278.9449,59.67,0.47,966092956,966093000.0,53979094110.74,57424528000.0
2025-04-16,CPRT,60.45,60.0,60.72,59.86,59.83,4785449,288999983.8804,60.39,0.5,966092956,966093000.0,54896297314.41,58400270000.0
2025-04-15,CPRT,59.83,60.21,60.49,59.31,59.84,4296090,256996399.89,59.82,0.44,966092956,966093000.0,54333262880.29,57801320000.0
2025-04-12,CPRT,59.84,58.82,60.31,58.39,58.66,7017567,417660352.6691,59.52,0.73,966092956,966093000.0,54342339613.44,57810985000.0
2025-04-11,CPRT,58.66,57.84,58.91,56.29,58.52,7326477,425424320.0365,58.07,0.76,966092956,966093000.0,53270755663.53,56670980000.0
2025-04-10,CPRT,58.52,54.5,58.97,54.1,54.59,10568778,607344307.9639,57.47,1.09,966092956,966093000.0,53143618738.65,56535735000.0
2025-04-09,CPRT,54.59,55.13,56.24,53.94,54.22,7287637,400224671.4953,54.92,0.75,966092956,966093000.0,49574670875.58,52738989000.0
2025-04-08,CPRT,54.22,53.51,55.88,51.72,54.51,9552469,515777940.7847,53.99,0.99,966092956,966093000.0,49238668286.12,52381530000.0
2025-04-05,CPRT,54.51,56.64,57.2,54.46,56.64,8771496,486838246.2983,55.5,0.91,966092956,966093000.0,49502018869.03,52661700000.0
2025-04-04,CPRT,56.64,55.68,57.39,55.48,57.47,6392078,362682056.8337,56.74,0.66,966092956,966093000.0,51436334726.17,54719480000.0
2025-04-03,CPRT,57.47,56.59,58.14,56.58,57.21,3927835,225871310.3863,57.51,0.41,966092956,966093000.0,52190082266.7,55521360000.0
2025-04-02,CPRT,57.21,56.2,57.3,55.84,56.59,5384047,306399648.5296,56.91,0.56,966092956,966093000.0,51953973688.89,55270150000.0
2025-04-01,CPRT,56.59,55.0,56.99,54.72,55.15,7550641,425339726.3088,56.33,0.78,966092956,966093000.0,51390925632.86,54671200000.0
2025-03-29,CPRT,55.15,55.4,55.72,54.82,55.64,6609981,364170960.8221,55.09,0.68,966092956,966093000.0,50083219483.23,53279989000.0
2025-03-28,CPRT,55.64,55.09,55.8,54.27,55.07,4858984,269121179.5321,55.39,0.5,966092956,966093000.0,50528207347.53,53753403000.0
2025-03-27,CPRT,55.07,55.78,56.11,54.97,55.59,3767718,208244034.4908,55.27,0.39,966092956,966093000.0,50010582006.72,53202739000.0
2025-03-26,CPRT,55.59,55.26,55.72,55.12,55.06,3636847,201847561.5666,55.5,0.38,966092956,966093000.0,50482798254.22,53705071000.0
2025-03-25,CPRT,55.06,54.6,55.26,54.34,53.63,4315461,237530715.377,55.04,0.45,966092956,966093000.0,50001491651.66,53193071000.0
2025-03-22,CPRT,53.63,53.21,53.97,53.07,53.85,5952410,318548578.319,53.52,0.62,966092956,966093000.0,48702875857.1,51811532000.0
2025-03-21,CPRT,53.85,53.63,54.13,53.54,53.88,3098348,166852255.0861,53.85,0.32,966092956,966093000.0,48902665696.66,52024070000.0
2025-03-20,CPRT,53.88,53.13,54.37,53.0,52.92,4368367,235039090.9198,53.8,0.45,966092956,966093000.0,48929907701.76,52053071000.0
2025-03-19,CPRT,52.92,53.48,53.62,52.38,53.75,4044294,213744974.1054,52.85,0.42,966092956,966093000.0,48058099969.5,51125614000.0
2025-03-18,CPRT,53.75,52.83,53.84,52.58,52.65,3832858,205226165.4662,53.54,0.4,966092956,966093000.0,48811846601.9,51927489000.0
2025-03-15,CPRT,52.65,51.97,52.95,51.97,52.3,3851713,202719144.842,52.63,0.4,966092956,966093000.0,47812901036.63,50864782000.0
2025-03-14,CPRT,52.3,53.04,53.27,52.15,53.04,3718388,195227287.4335,52.5,0.38,966092956,966093000.0,47495065535.38,50526657000.0
2025-03-13,CPRT,53.04,53.49,53.52,52.45,52.91,4146742,219907546.139,53.03,0.43,966092956,966093000.0,48167070714.3,51241532000.0
2025-03-12,CPRT,52.91,53.0,53.41,52.51,52.82,5369551,284345077.9428,52.96,0.56,966092956,966093000.0,48049023236.35,51115950000.0
2025-03-11,CPRT,52.82,53.46,53.72,52.46,53.74,8144195,431318986.0259,52.96,0.84,966092956,966093000.0,47967295404.78,51029032000.0
2025-03-08,CPRT,53.74,53.32,53.85,52.49,53.73,5236734,278776979.3962,53.23,0.54,966092956,966093000.0,48802770776.88,51917821000.0
2025-03-07,CPRT,53.73,53.75,54.46,53.31,54.41,5301563,285220871.3513,53.8,,966092956,,48793680421.82,
2025-03-06,CPRT,54.41,53.98,54.77,53.76,54.26,5718473,310787004.4752,54.35,0.59,966092956,966093000.0,49411214304.31,52565114000.0
2025-03-05,CPRT,54.26,54.63,54.86,53.82,54.65,4177359,226879882.3588,54.31,0.43,966092956,966093000.0,49274987024.37,52420196000.0
2025-03-04,CPRT,54.65,54.99,55.81,54.42,54.8,8520567,470256099.7297,55.19,0.88,966092956,966093000.0,49629155793.91,52796946000.0
2025-03-01,CPRT,54.8,55.45,55.73,54.43,55.23,9105524,499285082.3355,54.83,0.94,966092956,966093000.0,49765383981.98,52941864000.0
2025-02-28,CPRT,55.23,56.29,56.71,55.08,56.27,4925852,273576904.0797,55.54,0.51,966092956,966093000.0,50155871489.78,53357282000.0
2025-02-27,CPRT,56.27,56.76,57.18,56.2,56.77,3954767,223595020.0322,56.54,0.41,963528402,963528000.0,50964683118.29,54217727000.0
2025-02-26,CPRT,56.77,56.55,57.76,56.44,56.75,5497809,312599383.1457,56.86,0.57,963528402,963528000.0,51417541467.23,54699497000.0
2025-02-25,CPRT,56.75,56.81,57.19,56.19,56.59,4889774,277772907.5304,56.81,0.51,963528402,963528000.0,51399422604.69,
2025-02-22,CPRT,56.59,58.73,58.73,55.78,58.22,7182785,406048639.7403,56.53,0.75,963528402,963528000.0,51254505215.88,
2025-02-21,CPRT,58.22,59.64,59.97,57.84,59.74,7514692,439495281.2257,58.48,0.78,963528402,963528000.0,52730827962.01,56096602000.0
2025-02-20,CPRT,59.74,59.73,59.97,59.08,59.59,3636246,216687549.931,59.59,0.38,963528402,963528000.0,54107520965.65,57561168000.0
2025-02-19,CPRT,59.59,59.6,59.96,59.09,59.39,3188903,189489721.6937,59.42,0.33,963528402,963528000.0,53971655309.52,57416622000.0
2025-02-15,CPRT,59.39,60.03,60.03,59.33,59.83,2366663,140850287.0476,59.51,0.25,963528402,963528000.0,53790514687.09,57223946000.0
2025-02-14,CPRT,59.83,59.3,60.07,59.02,59.02,3440774,205420394.3117,59.7,0.36,963528402,963528000.0,54189031845.59,57647879000.0
2025-02-13,CPRT,59.02,58.48,59.31,58.19,59.23,3507306,206704141.8237,58.94,0.36,963528402,963528000.0,53455404037.46,56867430000.0
2025-02-12,CPRT,59.23,58.25,59.28,58.25,58.63,3100243,182918974.9635,59.0,0.32,963528402,963528000.0,53645596392.57,57069770000.0
2025-02-11,CPRT,58.63,58.74,59.03,58.11,58.21,3730166,218542614.9724,58.59,0.39,963528402,963528000.0,53102174525.29,56491661000.0
2025-02-08,CPRT,58.21,59.4,59.64,57.87,59.19,3068800,179378096.016,58.45,0.32,963528402,963528000.0,52721775323.61,56086977000.0
2025-02-07,CPRT,59.19,58.91,59.69,58.87,58.72,2399048,142040914.7456,59.21,0.25,963528402,963528000.0,53609374064.67,57031227000.0
2025-02-06,CPRT,58.72,57.91,58.77,57.84,57.86,2413701,141197163.8382,58.5,0.25,963528402,963528000.0,53183686310.95,56578375000.0
2025-02-05,CPRT,57.86,57.75,58.05,57.34,57.76,2928050,169222266.4592,57.79,0.3,963528402,963528000.0,52404769045.05,55749754000.0
2025-02-04,CPRT,57.76,57.38,58.05,56.81,57.93,3114752,179703738.4445,57.69,0.32,963528402,963528000.0,52314191940.97,55653375000.0
2025-02-01,CPRT,57.93,58.56,58.76,57.8,58.56,3277481,190643515.1763,58.17,0.34,963528402,963528000.0,52468161968.17,55817172000.0
2025-01-31,CPRT,58.56,57.87,58.63,57.67,57.32,3421108,199702379.6855,58.37,0.36,963528402,963528000.0,53038768016.42,56424200000.0
2025-01-30,CPRT,57.32,57.35,57.55,57.07,57.31,2237364,128220185.1062,57.31,0.23,963528402,963528000.0,51915688368.22,55229438000.0
2025-01-29,CPRT,57.31,57.75,58.19,57.24,57.63,3083074,177657200.1655,57.62,0.32,963528402,963528000.0,51906622144.07,55219813000.0
2025-01-28,CPRT,57.63,56.99,57.7,56.78,57.7,4344156,249286785.5664,57.38,0.45,963528402,963528000.0,52196457827.41,55528118000.0
2025-01-25,CPRT,57.7,57.57,57.88,57.26,57.61,2354554,135723784.6137,57.64,0.24,963528402,963528000.0,52259850750.53,55595579000.0
2025-01-24,CPRT,57.61,57.66,57.72,57.02,57.66,2487707,143138924.2441,57.54,0.26,963528402,963528000.0,52178339870.58,55508868000.0
2025-01-23,CPRT,57.66,57.38,58.0,57.29,57.44,2548316,147040626.1543,57.7,0.26,963528402,963528000.0,52223628422.63,55557036000.0
2025-01-22,CPRT,57.44,57.23,57.55,57.12,56.9,3592463,206249785.2257,57.41,0.37,963528402,963528000.0,52024369843.38,55345067000.0
2025-01-18,CPRT,56.9,57.12,57.27,56.68,56.4,3334364,190080424.7004,57.01,0.35,963528402,963528000.0,51535274675.07,54824754000.0
2025-01-17,CPRT,56.4,56.46,56.88,56.33,56.4,2522821,142652138.939,56.54,0.26,963528402,963528000.0,51082416326.13,54342981000.0
2025-01-16,CPRT,56.4,57.23,57.33,56.31,56.22,4903395,277502712.113,56.59,0.51,963528402,963528000.0,51082416326.13,54342981000.0
2025-01-15,CPRT,56.22,55.76,56.41,55.62,55.63,4107406,230270635.6086,56.06,0.43,963528402,963528000.0,50919394566.25,54169559000.0
2025-01-14,CPRT,55.63,55.43,55.82,55.12,55.64,2880262,159871243.6393,55.51,0.3,963528402,963528000.0,50385024431.65,53601075000.0
