dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CRWD,460.56,454.75,470.95,445.26,488.76,15453586,7101322705.8057,459.53,5.9,249248174,261708000.0,109054066273.71,120532250000.0
2025-06-04,CRWD,488.76,480.76,491.2,477.45,479.17,7632152,3708638959.5112,485.92,2.92,249074070,261534000.0,115650572696.74,127827300000.0
2025-06-03,CRWD,479.17,471.0,479.97,465.52,471.37,3483436,1653570766.7195,474.7,1.33,249074070,261534000.0,113381364452.38,125319190000.0
2025-05-31,CRWD,471.37,462.03,473.12,456.76,458.81,4488688,2096057319.1597,466.96,1.72,249074070,261534000.0,111535770551.55,123279300000.0
2025-05-30,CRWD,458.81,472.0,472.49,453.43,468.83,3328479,1531256379.0955,460.05,1.27,249074070,261534000.0,108563804551.09,119994400000.0
2025-05-29,CRWD,468.83,472.99,473.41,465.98,472.22,2893441,1357582610.3259,469.19,1.11,249074070,261534000.0,110934745355.82,122614900000.0
2025-05-28,CRWD,472.22,464.0,474.23,459.6,455.59,3997165,1881057494.9252,470.6,1.53,249074070,261534000.0,111736864736.22,123501500000.0
2025-05-24,CRWD,455.59,438.5,459.93,437.4,444.07,4487766,2034144608.2081,453.26,1.72,249074070,261534000.0,107801894069.57,119152250000.0
2025-05-23,CRWD,444.07,430.72,448.88,430.0,434.74,2590894,1151861131.3296,444.58,0.99,249074070,261534000.0,105076022715.08,116139400000.0
2025-05-22,CRWD,434.74,436.8,450.67,432.06,442.25,4321055,1901165074.9983,439.98,1.65,249074070,261534000.0,102868338132.21,113699200000.0
2025-05-21,CRWD,442.25,441.89,443.01,436.7,444.35,2132634,938073656.2235,439.87,0.82,249074070,261534000.0,104645357084.63,115663300000.0
2025-05-20,CRWD,444.35,432.43,445.5,431.69,439.26,2015557,891068115.3375,442.1,0.77,249074070,261534000.0,105142283516.31,116212600000.0
2025-05-17,CRWD,439.26,435.87,440.89,431.82,431.84,2133434,935694689.6765,438.59,0.82,249074070,261534000.0,103937864554.99,114881400000.0
2025-05-16,CRWD,431.84,423.59,433.86,422.09,435.94,2531937,1087397110.6775,429.47,0.97,249074070,261534000.0,102182160365.19,112940800000.0
2025-05-15,CRWD,435.94,442.5,445.47,431.26,440.2,2847277,1242816251.7788,436.49,1.09,249074070,261534000.0,103152270740.99,114013070000.0
2025-05-14,CRWD,440.2,428.21,448.0,427.0,429.44,3734581,1644679931.8643,440.39,1.43,249074070,261534000.0,104160275868.49,115127300000.0
2025-05-13,CRWD,429.44,419.69,429.47,415.1,410.57,3278518,1391448348.3188,424.41,1.25,249074070,261534000.0,101614238358.74,112313100000.0
2025-05-10,CRWD,410.57,418.95,420.0,404.63,428.63,4693344,1931881719.697,411.62,1.79,249074070,261534000.0,97149240437.33,107378000000.0
2025-05-09,CRWD,428.63,427.49,432.91,424.72,422.52,3618987,1554929249.7369,429.66,1.38,249074070,261534000.0,101422561664.65,112101200000.0
2025-05-08,CRWD,422.52,425.42,429.84,417.06,443.21,6679453,2827877545.2124,423.37,2.55,249074070,261534000.0,99976841985.99,110503300000.0
2025-05-07,CRWD,443.21,432.2,447.5,430.57,443.47,3431154,1516606095.117,442.01,1.32,247873415,260333000.0,104366970384.65,115382300000.0
2025-05-06,CRWD,443.47,436.0,451.15,435.4,440.58,3281015,1465537925.8018,446.67,1.26,247873415,260333000.0,104428197472.95,115450000000.0
2025-05-03,CRWD,440.58,438.18,443.7,434.4,431.88,2708706,1194086369.0956,440.83,1.04,247873415,260333000.0,109208089010.57,114697690000.0
2025-05-02,CRWD,431.88,431.51,439.63,427.75,428.87,3080096,1337775354.3946,434.33,1.18,247873415,260333000.0,107051543204.12,112432690000.0
2025-05-01,CRWD,428.87,419.01,429.55,414.41,430.99,3187202,1351912890.7064,424.17,1.22,247873415,260333000.0,106305501235.86,111649100000.0
2025-04-30,CRWD,430.99,424.49,432.37,423.08,423.08,2407095,1033171486.5078,429.22,0.92,247873415,260333000.0,106830963130.85,112201100000.0
2025-04-29,CRWD,423.08,424.84,428.0,415.33,424.88,2790993,1176280913.2676,421.46,1.07,247873415,260333000.0,104870304248.07,110141820000.0
2025-04-26,CRWD,424.88,414.69,425.74,412.6,414.05,3335543,1400877593.2344,419.98,1.28,247873415,260333000.0,105316429299.12,110610400000.0
2025-04-25,CRWD,414.05,386.0,414.85,386.0,385.75,4594617,1877958863.1719,408.73,1.76,247873415,260333000.0,102631999874.42,107790900000.0
2025-04-24,CRWD,385.75,382.5,396.3,382.5,368.45,3551920,1382269236.3888,389.16,,247873415,,95617169836.25,
2025-04-23,CRWD,368.45,368.84,374.71,362.9,362.69,2577135,949727104.5388,368.52,0.99,247873415,260333000.0,91328949841.81,95919750000.0
2025-04-22,CRWD,362.69,363.8,372.09,355.66,375.62,2904870,1052018975.5413,362.16,1.12,247873415,260333000.0,89901196492.68,94420188000.0
2025-04-18,CRWD,375.62,383.8,384.94,373.1,379.84,2098275,791584504.3147,377.25,0.81,247873415,260333000.0,93106241887.11,97786380000.0
2025-04-17,CRWD,379.84,386.11,395.35,373.48,392.8,4186649,1608152629.177,384.11,1.61,247873415,260333000.0,94152260262.21,98885000000.0
2025-04-16,CRWD,392.8,383.4,400.02,379.67,378.66,5204766,2049937009.6552,393.86,2.0,247873415,260333000.0,97364689805.67,102258900000.0
2025-04-15,CRWD,378.66,386.96,389.25,372.82,377.9,3047990,1160485007.022,380.74,1.17,247873415,260333000.0,93859727494.03,98577750000.0
2025-04-12,CRWD,377.9,366.98,378.79,360.65,368.61,3383304,1258636183.5917,372.01,1.3,247873415,260333000.0,93671341219.89,98379940000.0
2025-04-11,CRWD,368.61,369.0,375.99,354.2,378.01,4552609,1671452197.9605,367.14,1.75,247873415,260333000.0,91368646769.23,95961500000.0
2025-04-10,CRWD,378.01,324.6,382.65,324.49,325.04,7656977,2778390995.7891,362.86,2.94,247873415,260333000.0,93698632082.88,98408560000.0
2025-04-09,CRWD,325.04,342.71,351.06,318.38,324.36,5300633,1777249450.5953,335.29,2.04,247873415,260333000.0,80568784726.54,84618688000.0
2025-04-08,CRWD,324.36,300.06,341.77,298.0,321.63,6299606,2019013013.6698,320.5,2.42,247873415,260333000.0,80400248155.48,84441690000.0
2025-04-05,CRWD,321.63,328.02,334.04,310.31,347.39,7032805,2265773696.3966,322.17,2.7,247873415,260333000.0,79723499200.37,83730940000.0
2025-04-04,CRWD,347.39,350.94,360.91,341.81,371.49,4304367,1507235700.5418,350.16,1.65,247873415,260333000.0,86108720849.51,90437130000.0
2025-04-03,CRWD,371.49,353.16,376.27,353.03,362.38,2472030,913627531.2582,369.59,0.95,247873415,260333000.0,92082494938.35,96711190000.0
2025-04-02,CRWD,362.38,358.94,363.17,351.25,352.58,2682055,963297119.2501,359.16,1.03,247873415,260333000.0,89824340861.62,94339560000.0
2025-04-01,CRWD,352.58,345.78,353.64,337.89,357.11,3296995,1145995568.3605,347.59,1.27,247873415,260333000.0,87395228490.57,91788310000.0
2025-03-29,CRWD,357.11,365.82,367.64,353.48,366.56,3457456,1237889982.3635,358.03,1.33,247873415,260333000.0,88518102496.73,92967625000.0
2025-03-28,CRWD,366.56,368.72,371.46,360.28,371.41,2666122,979155459.9738,367.26,1.02,247873415,260333000.0,90860493874.8,95427750000.0
2025-03-27,CRWD,371.41,383.9,384.77,370.36,384.95,3289508,1231785843.2769,374.46,1.26,247873415,260333000.0,92062645235.28,96690380000.0
2025-03-26,CRWD,384.95,378.08,392.69,377.0,372.64,4190524,1621591609.2464,386.97,1.61,247873415,260333000.0,95418861189.31,100215250000.0
2025-03-25,CRWD,372.64,370.0,373.63,361.66,362.24,4140445,1525448707.4901,368.43,1.59,247873415,260333000.0,92367524578.26,97010563000.0
2025-03-22,CRWD,362.24,358.91,372.19,353.03,369.03,8119531,2950159081.4382,363.34,3.12,247873415,260333000.0,89789665849.6,94303125000.0
2025-03-21,CRWD,369.03,371.28,377.49,364.46,375.05,2883038,1068140265.9264,370.49,1.11,247873415,260333000.0,91472733773.65,96070750000.0
2025-03-20,CRWD,375.05,366.22,381.26,362.26,363.15,4056608,1521557802.2304,375.08,1.56,247873415,260333000.0,92964936689.42,97637938000.0
2025-03-19,CRWD,363.15,362.1,368.47,356.71,364.83,3185578,1153988086.11,362.25,1.22,247873415,260333000.0,90015208348.64,94540000000.0
2025-03-18,CRWD,364.83,353.0,370.86,352.57,353.74,4255117,1550847855.3875,364.47,1.63,247873415,260333000.0,90431677824.32,94977375000.0
2025-03-15,CRWD,353.74,338.51,354.5,337.14,332.53,4365504,1524652272.0,349.25,1.68,247873415,260333000.0,87681529721.1,92089000000.0
2025-03-14,CRWD,332.53,346.57,347.84,330.62,346.76,4349586,1454826081.0115,334.47,1.67,247873415,260333000.0,82425354126.15,86568625000.0
2025-03-13,CRWD,346.76,343.59,347.73,336.76,329.75,5101547,1757781892.1542,344.56,1.96,247873415,260333000.0,85952587864.13,90273188000.0
2025-03-12,CRWD,329.75,310.41,339.0,308.0,308.86,8352492,2740037506.3476,328.05,3.21,247873415,260333000.0,81736258596.25,85844875000.0
2025-03-11,CRWD,308.86,322.65,323.95,303.79,333.5,6996969,2169369586.0601,310.04,2.7,246311412,258771000.0,76075769804.58,79924063000.0
2025-03-08,CRWD,333.5,344.56,347.73,318.04,347.73,6781742,2243976769.4874,330.89,2.62,246311412,258771000.0,82144855902.0,86300190000.0
2025-03-07,CRWD,347.73,356.58,371.72,345.82,365.44,5586051,1987854119.8384,355.86,,246311412,,85649864831.65,
2025-03-06,CRWD,365.44,361.68,367.32,343.0,390.16,15879500,5669729742.04,357.05,6.14,246311412,258771000.0,90012030085.71,94565310000.0
2025-03-05,CRWD,390.16,376.98,396.16,370.58,382.73,7183488,2764239872.9587,384.8,2.78,246311412,258771000.0,96100840801.01,100962130000.0
2025-03-04,CRWD,382.73,399.0,404.6,378.34,389.66,5031359,1960086550.4388,389.57,1.94,246311412,258771000.0,94270764251.65,99039438000.0
2025-03-01,CRWD,389.66,379.0,390.52,377.38,380.24,3733733,1443915498.4314,386.72,1.44,246311412,258771000.0,95977685095.01,100832750000.0
2025-02-28,CRWD,380.24,401.64,406.53,380.0,394.56,3185893,1240136089.6351,389.26,1.23,246311412,258771000.0,93657451298.88,98395125000.0
2025-02-27,CRWD,394.56,384.69,401.7,381.75,379.75,3411007,1348398730.3668,395.31,1.32,246311412,258771000.0,97184645497.4,102100750000.0
2025-02-26,CRWD,379.75,387.27,389.0,369.31,391.72,4460750,1683612976.9725,377.43,1.72,246311412,258771000.0,93536758707.0,98268313000.0
2025-02-25,CRWD,391.72,405.49,405.9,382.34,406.68,5370063,2106190905.6124,392.21,2.08,246311412,258771000.0,96485101382.41,
2025-02-22,CRWD,406.68,428.86,433.23,404.54,436.14,5578262,2317556779.5659,415.46,2.16,246311412,258771000.0,100169910253.48,
2025-02-21,CRWD,436.14,441.92,442.73,418.31,450.14,4759981,2046424645.0657,429.92,1.84,246311412,258771000.0,107426234598.54,112860440000.0
2025-02-20,CRWD,450.14,455.36,455.59,444.58,455.36,2357899,1060485235.2865,449.76,0.91,246311412,258771000.0,110874594366.54,116483190000.0
2025-02-19,CRWD,455.36,451.67,455.44,445.27,451.74,2706758,1220321624.8177,450.84,1.05,246311412,258771000.0,112160391662.58,117834070000.0
2025-02-15,CRWD,451.74,449.47,453.46,442.87,453.77,2818491,1267912917.0579,449.86,1.09,246311412,258771000.0,111268717256.88,116897250000.0
2025-02-14,CRWD,453.77,435.0,454.13,432.2,434.63,3671018,1642565470.0554,447.44,1.42,246311412,258771000.0,111768734349.47,117422630000.0
2025-02-13,CRWD,434.63,425.2,437.6,424.21,431.64,2004846,867774796.001,432.84,0.77,246311412,258771000.0,107054301903.3,112469630000.0
2025-02-12,CRWD,431.64,426.65,434.78,424.08,428.92,2316654,996468338.8208,430.13,0.9,246311412,258771000.0,106317833244.54,111695940000.0
2025-02-11,CRWD,428.92,424.77,431.9,424.49,421.59,2232941,956710560.5553,428.45,0.86,246311412,258771000.0,105647873593.24,110992130000.0
2025-02-08,CRWD,421.59,424.0,431.33,419.32,420.51,3480057,1475334320.5629,423.94,1.34,246311412,258771000.0,103842450353.11,109095380000.0
2025-02-07,CRWD,420.51,415.5,421.63,413.72,417.22,2378013,995606602.6513,418.67,0.92,246311412,258771000.0,103576414323.23,108815820000.0
2025-02-06,CRWD,417.22,408.0,419.39,405.02,407.52,3058523,1265603543.4102,413.8,1.18,246311412,258771000.0,102766042388.41,107964440000.0
2025-02-05,CRWD,407.52,396.52,408.44,396.0,397.57,2848487,1150530760.5324,403.91,1.1,246311412,258771000.0,100376831544.47,105454440000.0
2025-02-04,CRWD,397.57,386.95,399.94,384.24,398.07,3523110,1387072328.9169,393.71,1.36,246311412,258771000.0,97926045310.64,102879690000.0
2025-02-01,CRWD,398.07,398.4,408.1,397.35,396.87,3109091,1251527552.7762,402.54,1.2,246311412,258771000.0,98049201016.64,103009070000.0
2025-01-31,CRWD,396.87,399.73,403.08,390.85,397.07,2756364,1093253648.8832,396.63,1.07,246311412,258771000.0,97753639637.81,102698500000.0
2025-01-30,CRWD,397.07,404.35,404.35,390.22,408.68,4195738,1662049008.7623,396.13,1.62,246311412,258771000.0,97802889604.64,102750250000.0
2025-01-29,CRWD,408.68,372.67,411.3,372.57,373.75,8176242,3293239017.123,402.78,3.16,246311412,258771000.0,100662533077.48,105754570000.0
2025-01-28,CRWD,373.75,366.5,382.45,359.66,374.92,3755450,1397968102.6705,372.25,1.45,246311412,258771000.0,92058890235.0,96715688000.0
2025-01-25,CRWD,374.92,378.3,384.3,373.67,377.7,2268484,857555074.5745,378.03,0.88,246311412,258771000.0,92347057345.24,97018438000.0
2025-01-24,CRWD,377.7,376.81,377.95,371.84,377.98,2356150,885986618.725,376.03,0.91,246311412,258771000.0,93031810459.94,97737875000.0
2025-01-23,CRWD,377.98,368.76,381.49,363.0,366.41,3579276,1345917910.3225,376.03,1.38,246311412,258771000.0,93100785044.65,97810313000.0
2025-01-22,CRWD,366.41,360.87,370.0,358.3,357.0,2654917,970652841.3252,365.61,1.03,246311412,258771000.0,90250944766.01,94816313000.0
2025-01-18,CRWD,357.0,370.14,370.95,349.55,363.38,5008332,1787619934.0944,356.93,1.94,246311412,258771000.0,87933174084.0,92381313000.0
2025-01-17,CRWD,363.38,366.26,369.02,360.66,362.02,2434173,887980492.7265,364.8,0.94,246311412,258771000.0,89504613798.3,94032250000.0
2025-01-16,CRWD,362.02,355.0,365.27,352.96,348.04,2833484,1023472980.1202,361.21,1.09,246311412,258771000.0,89169662298.47,93680375000.0
2025-01-15,CRWD,348.04,345.0,351.97,343.25,341.46,2529552,880201354.3541,347.97,0.98,246311412,258771000.0,85726233684.94,90062750000.0
2025-01-14,CRWD,341.46,342.87,345.17,335.55,348.84,3264507,1108592626.3272,339.59,1.26,246311412,258771000.0,84105487352.18,88360000000.0
2025-01-11,CRWD,348.84,354.91,354.91,343.99,358.72,2802777,977296752.6032,348.69,1.08,246311412,258771000.0,85923295130.11,90269750000.0
2025-01-09,CRWD,358.72,356.19,365.07,351.31,359.93,2528888,907586190.9445,358.89,0.98,246311412,258771000.0,88356824786.41,92826375000.0
2025-01-08,CRWD,359.93,366.06,370.37,354.13,366.36,2622463,947551714.1373,361.32,1.01,246311412,258771000.0,88654851742.48,93139438000.0
2025-01-07,CRWD,366.36,362.5,368.39,356.03,359.02,2866680,1044733403.8692,364.44,,246311412,,90238675994.58,
2025-01-04,CRWD,359.02,349.23,359.69,348.0,347.34,2626118,937300380.7464,356.91,1.01,246311412,258771000.0,88430728062.47,92904000000.0
2025-01-03,CRWD,347.34,346.52,350.5,341.04,342.16,2673563,924775415.8388,345.9,1.03,246311412,258771000.0,85553828012.11,89881563000.0
2025-01-01,CRWD,342.16,351.86,351.86,339.72,349.31,2217252,762959339.9726,344.1,0.86,246311412,258771000.0,84277893025.01,88541063000.0
2024-12-31,CRWD,349.31,347.61,352.88,344.34,354.99,2420813,845684683.1046,349.34,0.94,246311412,258771000.0,86039054104.4,90391375000.0
2024-12-28,CRWD,354.99,361.15,361.92,349.85,365.08,3327555,1179303860.1036,354.41,1.29,246311412,258771000.0,87438088145.88,91861125000.0
2024-12-27,CRWD,365.08,365.75,366.64,361.94,365.79,1180282,430611889.5555,364.84,0.46,246311412,258771000.0,89923389997.87,94472188000.0
2024-12-25,CRWD,365.79,361.07,366.0,359.26,361.5,1289523,469173871.5048,363.84,0.5,246311412,258771000.0,90098261247.94,94655875000.0
2024-12-24,CRWD,361.5,358.49,365.73,354.23,362.29,2699874,972740357.3315,360.29,1.04,246311412,258771000.0,89041575438.0,93545750000.0
2024-12-21,CRWD,362.29,347.0,365.44,345.05,351.03,5168242,1859217020.1423,359.74,2.0,246311412,258771000.0,89236171305.94,93750188000.0
2024-12-20,CRWD,351.03,364.93,365.0,349.75,349.18,4303652,1522938067.2572,353.87,1.66,246311412,258771000.0,86462702343.7,90836438000.0
2024-12-19,CRWD,349.18,376.42,379.18,345.47,376.42,4752453,1703601276.4643,358.47,1.84,246311412,258771000.0,86007004063.48,90357688000.0
2024-12-18,CRWD,376.42,386.75,388.0,373.24,388.2,3812422,1443373133.1512,378.6,1.47,246311412,258771000.0,92716524463.24,97406563000.0
