dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CSCO,64.39,64.66,64.89,64.35,64.36,14770950,953227098.8307,64.53,0.37,3959998180,3959998000.0,239685225841.59,254984190000.0
2025-06-04,CSCO,64.36,63.8,64.46,63.72,63.85,15156856,973138345.8951,64.2,0.38,3959998180,3959998000.0,239573557615.31,254865380000.0
2025-06-03,CSCO,63.85,62.73,63.88,62.71,63.04,15815993,1004356582.1858,63.5,0.4,3959998180,3959998000.0,237675156822.21,252845820000.0
2025-05-31,CSCO,63.04,62.92,63.18,62.3,63.05,25829055,1624652931.9434,62.9,0.65,3959998180,3959998000.0,234659965816.78,249638100000.0
2025-05-30,CSCO,63.05,63.73,63.74,62.49,63.34,13984563,881058207.0695,63.0,0.35,3959998180,3959998000.0,234697227023.65,249677820000.0
2025-05-29,CSCO,63.34,63.89,63.99,63.25,63.75,13814469,877041928.6679,63.49,0.35,3959998180,3959998000.0,235776696470.73,250826200000.0
2025-05-28,CSCO,63.75,63.76,63.99,63.34,63.11,17429411,1111070972.3641,63.75,0.44,3959998180,3959998000.0,237302890936.5,252449820000.0
2025-05-24,CSCO,63.11,62.71,63.22,62.53,63.36,15645590,984914923.444,62.95,0.4,3959998180,3959998000.0,234920559753.81,249915380000.0
2025-05-23,CSCO,63.36,63.41,63.72,62.95,63.2,15641090,991784405.5475,63.41,0.39,3959998180,3959998000.0,235851159326.11,250905400000.0
2025-05-22,CSCO,63.2,62.99,63.91,62.97,63.42,15595942,988331906.5005,63.37,0.39,3959998180,3959998000.0,235255560710.25,250271800000.0
2025-05-21,CSCO,63.42,63.74,63.85,63.07,63.92,14995180,951252157.7201,63.44,0.38,3978292432,3978292000.0,237165103935.6,252303200000.0
2025-05-20,CSCO,63.92,63.43,64.13,63.18,63.62,16249008,1037055449.1385,63.82,0.41,3978292432,3978292000.0,239034901378.64,254292300000.0
2025-05-17,CSCO,63.62,63.91,64.03,62.98,64.26,30289903,1924241721.9628,63.53,0.76,3978292432,3978292000.0,237913011694.03,253098800000.0
2025-05-16,CSCO,64.26,63.07,65.75,62.92,61.29,60718028,3923101202.9665,64.61,1.53,3978292432,3978292000.0,240306348681.53,255644900000.0
2025-05-15,CSCO,61.29,61.63,61.87,60.85,61.78,34509184,2114408934.4915,61.27,0.87,3978292432,3978292000.0,229199748130.27,243829400000.0
2025-05-14,CSCO,61.78,61.68,62.24,61.61,61.67,18591168,1150871493.6526,61.9,0.47,3978292432,3978292000.0,231032168322.43,245778800000.0
2025-05-13,CSCO,61.67,61.61,61.85,61.12,59.77,23699989,1457480617.2319,61.5,0.6,3978292432,3978292000.0,230620812884.96,245341100000.0
2025-05-10,CSCO,59.77,60.66,60.83,59.44,59.71,17480668,1045924426.9423,59.83,0.44,3978292432,3978292000.0,223515605038.98,237782400000.0
2025-05-09,CSCO,59.71,59.96,60.28,59.43,59.57,16196657,969225690.2194,59.84,0.41,3978292432,3978292000.0,223291236825.0,237543800000.0
