dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CSGP,77.06,75.8,77.15,75.31,75.69,3168388,243038799.3344,76.71,0.75,421886653,421887000.0,30559949558.22,32510586000.0
2025-06-04,CSGP,75.69,72.84,75.75,72.84,73.27,3021982,226147922.6925,74.83,0.72,421886653,421887000.0,30016645909.36,31932602000.0
2025-06-03,CSGP,73.27,72.84,73.41,71.35,73.56,2694751,196115629.4414,72.78,0.64,421886653,421887000.0,29056938944.26,30911641000.0
2025-05-31,CSGP,73.56,74.0,74.01,71.94,74.07,6147176,449811655.5014,73.17,1.46,421886653,421887000.0,29171942469.85,31033980000.0
2025-05-30,CSGP,74.07,74.49,74.83,73.46,74.24,2135685,158290575.8234,74.12,0.51,421886653,421887000.0,29374198897.04,31249149000.0
2025-05-29,CSGP,74.24,74.66,75.0,74.15,74.61,1870680,139249485.16,74.44,0.44,421886653,421887000.0,29441615591.04,31320870000.0
2025-05-28,CSGP,74.61,75.11,75.25,74.24,73.99,2720477,203100736.1732,74.66,0.64,421886653,421887000.0,29588345786.08,31476965000.0
2025-05-24,CSGP,73.99,73.39,74.08,73.25,74.14,1900361,140412541.4149,73.89,0.45,421886653,421887000.0,29342472227.58,31215395000.0
2025-05-23,CSGP,74.14,73.95,74.7,73.29,73.96,2980808,220661755.2776,74.03,0.71,421886653,421887000.0,29401955866.21,31278680000.0
2025-05-22,CSGP,73.96,75.76,76.37,73.96,76.37,3073446,229502836.9095,74.67,0.73,421886653,421887000.0,29330575420.54,31202740000.0
2025-05-21,CSGP,76.37,76.22,77.12,76.06,76.91,3421244,261565058.6233,76.45,0.81,421886653,421887000.0,30286313081.94,32219480000.0
2025-05-20,CSGP,76.91,75.96,77.2,75.77,76.99,2939054,225546519.0686,76.74,0.7,421886653,421887000.0,30500465919.59,32447310000.0
2025-05-17,CSGP,76.99,76.62,77.25,75.85,76.05,2618993,201161170.0258,76.81,0.62,421886653,421887000.0,30532192589.04,32481060000.0
2025-05-16,CSGP,76.05,75.88,76.28,75.12,75.69,2670135,202577548.5172,75.87,0.63,421886653,421887000.0,30159412749.3,32084480000.0
2025-05-15,CSGP,75.69,75.17,76.33,74.88,75.18,2698812,204260652.2507,75.69,0.64,421886653,421887000.0,30016645909.36,31932602000.0
2025-05-14,CSGP,75.18,75.37,76.09,74.9,75.38,2819562,212595259.5758,75.4,0.67,421886653,421887000.0,29814389482.17,31717440000.0
2025-05-13,CSGP,75.38,76.72,76.78,73.97,74.57,3687134,276709067.9763,75.05,0.87,421886653,421887000.0,29893708931.82,31801820000.0
2025-05-10,CSGP,74.57,75.93,76.07,74.17,75.85,2300033,171876192.1143,74.73,0.55,421886653,421887000.0,29572485623.95,31460090000.0
2025-05-09,CSGP,75.85,75.72,76.89,75.22,75.34,2326054,177122717.7979,76.15,0.55,421886653,421887000.0,30080099248.26,32000110000.0
2025-05-08,CSGP,75.34,74.6,75.67,74.02,74.59,3083931,231376564.5912,75.03,0.73,421886653,421887000.0,29877842821.08,31784940000.0
2025-05-07,CSGP,74.59,76.41,76.66,74.52,77.1,2672807,200701884.8177,75.09,0.63,421886653,421887000.0,29580412730.71,31468530000.0
2025-05-06,CSGP,77.1,77.31,78.53,76.95,77.96,2345720,181766099.0309,77.49,0.56,421886653,421887000.0,30575816065.54,32527465000.0
2025-05-03,CSGP,77.96,77.81,78.56,77.3,76.58,3252969,253423194.0329,77.91,0.77,421886653,421887000.0,30916869235.82,32890290000.0
2025-05-02,CSGP,76.58,74.74,77.28,73.94,74.17,5046008,384451282.4376,76.19,1.2,421886653,421887000.0,30369595886.68,32308083000.0
2025-05-01,CSGP,74.17,81.34,81.5,73.99,82.7,12497426,942788308.5462,75.44,2.96,421762751,421763000.0,29405214250.71,31282140000.0
2025-04-30,CSGP,82.7,81.16,83.0,80.4,81.74,5675438,466512501.7939,82.2,1.35,421762751,421763000.0,32786991547.87,34879774000.0
2025-04-29,CSGP,81.74,82.92,83.48,81.1,82.82,3943453,322567369.015,81.8,0.93,421762751,421763000.0,32406396409.48,34474883000.0
2025-04-26,CSGP,82.82,82.76,83.49,81.88,83.22,2295386,190022384.6124,82.78,0.54,421762751,421763000.0,32834570747.21,34930391000.0
