dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CTAS,227.37,228.25,228.66,226.82,227.58,1302916,296575746.3628,227.62,0.32,403786963,403787000.0,79873866346.26,91809000000.0
2025-06-04,CTAS,227.58,226.48,227.77,225.04,226.69,1390968,315790366.1753,227.03,0.34,403786963,403787000.0,79947641737.35,91893813000.0
2025-06-03,CTAS,226.69,225.0,226.72,223.65,226.5,1135169,256123538.6288,225.63,0.28,403786963,403787000.0,79634989491.9,91534438000.0
2025-05-31,CTAS,226.5,225.48,227.8,224.43,224.75,2393746,542235676.6003,226.52,0.59,403786963,403787000.0,79568239993.97,91457690000.0
2025-05-30,CTAS,224.75,225.1,225.95,223.21,225.08,974193,218889096.8487,224.69,0.24,403786963,403787000.0,78953474342.8,90751063000.0
2025-05-29,CTAS,225.08,226.01,226.87,224.89,225.88,994865,224246261.9491,225.4,0.25,403786963,403787000.0,79069405092.82,90884380000.0
2025-05-28,CTAS,225.88,224.43,226.16,223.34,222.29,1603878,361656044.403,225.49,0.4,403786963,403787000.0,79350440819.07,91207375000.0
2025-05-24,CTAS,222.29,220.0,223.07,219.01,221.66,1296336,287757048.5026,221.98,0.32,403786963,403787000.0,78089289484.58,89757750000.0
2025-05-23,CTAS,221.66,220.39,222.93,219.9,221.05,1210405,268101681.4875,221.5,0.3,403786963,403787000.0,77867977363.11,89503380000.0
2025-05-22,CTAS,221.05,221.17,222.77,220.65,222.87,1298007,287487665.5674,221.48,0.32,403786963,403787000.0,77653687621.85,89257060000.0
2025-05-21,CTAS,222.87,219.17,223.01,218.9,223.03,1400360,311268519.9,222.28,0.35,403786963,403787000.0,78293040386.11,89991940000.0
2025-05-20,CTAS,223.03,220.85,223.3,220.0,220.85,1137237,253051620.0852,222.51,0.28,403786963,403787000.0,78349247531.36,90056560000.0
2025-05-17,CTAS,220.85,218.49,220.93,217.26,218.49,1431482,314881821.521,219.97,0.35,403786963,403787000.0,77583428690.29,89176313000.0
2025-05-16,CTAS,218.49,214.37,218.71,214.25,213.8,1376758,299900296.5464,217.83,0.34,403786963,403787000.0,76754373297.85,88223375000.0
2025-05-15,CTAS,213.8,213.97,214.5,212.45,214.94,1330297,284776146.6712,213.68,0.33,403786963,403787000.0,75243806269.27,86487063000.0
2025-05-14,CTAS,215.33,217.4,218.26,215.22,216.99,1395035,302004012.4715,216.48,0.35,403786963,403787000.0,75644282179.17,86947375000.0
2025-05-13,CTAS,216.99,218.01,218.01,212.67,214.74,1913414,412806843.7845,215.74,0.47,403786963,403787000.0,76227431311.14,87617690000.0
2025-05-10,CTAS,214.74,215.17,215.48,214.0,214.96,965225,207293178.4897,214.76,0.24,403786963,403787000.0,75437018331.07,86709188000.0
2025-05-09,CTAS,214.96,216.25,218.2,214.82,215.11,1542063,333365955.0534,216.18,0.38,403786963,403787000.0,75514303155.78,86798000000.0
2025-05-08,CTAS,215.11,213.33,216.2,212.98,213.31,1970000,423381978.7,214.91,0.49,403786963,403787000.0,75566997354.46,86858630000.0
2025-05-07,CTAS,213.31,210.75,213.66,209.86,211.82,1351427,287728416.946,212.91,0.33,403786963,403787000.0,74934663457.45,86131750000.0
2025-05-06,CTAS,211.82,211.0,212.54,210.1,211.55,1069170,226454696.514,211.8,0.26,403786963,403787000.0,74411237930.26,85530125000.0
2025-05-03,CTAS,211.55,211.3,214.18,209.99,209.55,1373143,291078578.5114,211.98,0.34,403786963,403787000.0,74316388372.65,85421125000.0
2025-05-02,CTAS,209.55,210.33,210.88,206.78,211.68,1439760,301701564.024,209.55,0.36,403786963,403787000.0,73613799057.03,84613563000.0
2025-05-01,CTAS,211.68,208.37,212.0,205.6,209.26,2053655,432479021.6211,210.59,0.51,403786963,403787000.0,74362053165.22,85473563000.0
2025-04-30,CTAS,209.26,207.15,209.55,206.73,208.28,1380396,288060761.2008,208.68,0.34,403786963,403787000.0,73511920093.32,84496438000.0
2025-04-29,CTAS,208.28,208.23,209.0,205.78,208.4,1715885,356554897.4025,207.8,0.42,403786963,403787000.0,73167651328.67,84100750000.0
2025-04-26,CTAS,208.4,209.43,209.91,206.32,209.75,1172851,243987032.4075,208.03,0.29,403786963,403787000.0,73209806687.6,84149188000.0
2025-04-25,CTAS,209.75,207.28,210.33,205.11,207.69,1478519,309424456.32,209.28,0.37,403786963,403787000.0,73684054475.65,84694250000.0
2025-04-24,CTAS,207.69,207.22,210.35,206.06,205.84,1747495,363282908.536,207.89,,403786963,,72960390993.51,
2025-04-23,CTAS,205.84,202.46,206.57,201.67,200.41,1565065,321036947.3992,205.13,0.39,403786963,403787000.0,72310492363.61,83115438000.0
2025-04-22,CTAS,200.41,204.49,204.6,197.31,205.76,1405339,281195264.2473,200.09,0.35,403786963,403787000.0,70402965884.65,80922938000.0
2025-04-18,CTAS,205.76,205.97,207.51,204.59,204.72,1712169,352741074.5017,206.02,0.42,403786963,403787000.0,72282388790.99,83083130000.0
2025-04-17,CTAS,204.72,207.34,208.39,202.94,208.2,1967671,404225166.521,205.43,0.49,403786963,403787000.0,71917045859.81,82663250000.0
