dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,CTSH,79.74,80.3,80.68,79.74,80.32,2106941,168635333.2233,80.04,0.43,492941963,492942000.0,36948763382.04,39307188000.0
2025-06-04,CTSH,80.32,80.27,80.66,79.94,80.27,3873910,311199712.902,80.33,0.79,492941963,492942000.0,37217516266.99,39593098000.0
2025-06-03,CTSH,80.27,80.24,80.33,79.47,80.99,3201966,256539255.332,80.12,0.65,492941963,492942000.0,37194346604.64,39568446000.0
2025-05-31,CTSH,80.99,80.33,81.23,79.9,80.65,9241309,747021277.7042,80.84,1.87,492941963,492942000.0,37527970188.56,39923364000.0
2025-05-30,CTSH,80.65,80.82,81.0,79.91,80.46,2837221,228766269.7928,80.63,0.58,492941963,492942000.0,37370420376.8,39755758000.0
2025-05-29,CTSH,80.46,80.64,80.98,80.2,80.64,2445197,196718778.5859,80.45,0.5,492941963,492942000.0,37282386965.96,39662106000.0
2025-05-28,CTSH,80.64,80.05,80.82,79.48,79.12,2752715,221659881.4152,80.52,0.56,492941963,492942000.0,37365789502.54,39750833000.0
2025-05-24,CTSH,79.12,78.92,79.48,78.48,79.9,2243158,177261303.4361,79.02,0.46,492941963,492942000.0,36661472172.34,39001559000.0
2025-05-23,CTSH,79.9,79.88,80.67,79.25,79.99,2917487,233487062.2724,80.03,0.59,492941963,492942000.0,37022896292.89,39386050000.0
2025-05-22,CTSH,79.99,80.41,81.24,79.9,80.99,3562081,286099959.1088,80.32,0.72,492941963,492942000.0,37064604743.34,39430420000.0
2025-05-21,CTSH,80.99,81.37,81.63,80.68,81.57,2790109,225975969.637,80.99,0.57,492941963,492942000.0,37527970188.56,39923360000.0
2025-05-20,CTSH,81.57,80.88,81.92,80.23,81.13,2585381,210844299.5148,81.55,0.52,492941963,492942000.0,37796723073.52,40209270000.0
2025-05-17,CTSH,81.44,80.47,81.5,79.52,81.36,5603563,454015237.9202,81.02,1.14,492941963,492942000.0,37736483248.81,40145188000.0
2025-05-16,CTSH,81.36,80.32,81.78,80.01,80.36,2911782,236855980.4491,81.34,0.59,492941963,492942000.0,37699413086.46,40105750000.0
2025-05-15,CTSH,80.36,80.87,81.06,80.15,81.27,2504368,201369476.5995,80.41,0.51,492941963,492942000.0,37236047641.24,39612813000.0
2025-05-14,CTSH,81.27,81.82,82.04,81.08,81.81,2732310,223007043.735,81.62,0.55,492941963,492942000.0,37657712049.86,40061391000.0
2025-05-13,CTSH,81.81,81.44,81.89,80.6,79.17,3264292,265998357.8131,81.49,0.66,492941963,492942000.0,37907926146.72,40327570000.0
2025-05-10,CTSH,79.17,79.29,79.75,78.98,79.21,3665803,290478588.9687,79.24,0.74,492941963,492942000.0,36684641834.7,39026208000.0
2025-05-09,CTSH,79.21,78.55,80.03,78.32,77.93,2870544,227817587.0554,79.36,0.58,492941963,492942000.0,36703180159.43,39045930000.0
2025-05-08,CTSH,77.93,77.75,78.37,77.23,77.64,3682989,286710771.6776,77.85,0.75,492941963,492942000.0,36110065902.44,38414960000.0
2025-05-07,CTSH,77.64,77.12,78.24,76.75,77.91,2491921,193612294.016,77.7,0.51,492941963,492942000.0,35975693166.88,38272008000.0
2025-05-06,CTSH,77.91,77.37,78.75,77.35,77.7,3028673,236836489.2647,78.2,0.61,492941963,492942000.0,36100803690.55,38405102000.0
2025-05-03,CTSH,77.7,76.29,77.84,76.09,75.23,5330492,412027287.4576,77.3,1.08,492941963,492942000.0,36003493703.5,38301583000.0
2025-05-02,CTSH,75.23,76.71,77.47,75.15,73.57,7356547,559984028.557,76.12,1.49,492939296,492939000.0,34858791990.34,37083825000.0
2025-05-01,CTSH,73.57,72.56,73.75,71.8,73.29,4769109,348281329.6719,73.03,0.97,492939296,492939000.0,34089615073.22,36265550000.0
2025-04-30,CTSH,73.29,72.11,73.83,71.86,72.58,3471076,254421883.8541,73.3,0.7,492939296,492939000.0,33959866963.43,36127520000.0
2025-04-29,CTSH,72.58,72.06,73.34,71.72,72.17,3266023,236619469.9846,72.45,0.66,492939296,492939000.0,33630882984.19,35777536000.0
2025-04-26,CTSH,72.17,71.83,72.47,71.5,72.12,2906588,209631273.7262,72.12,0.59,492939296,492939000.0,33440902789.42,35575430000.0
