dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,DASH,220.23,213.29,220.64,212.4,213.7,5140445,1125249064.9895,218.9,1.21,398681310,423789000.0,80777458109.2,93331063000.0
2025-06-04,DASH,213.7,213.43,215.2,211.3,212.79,4272344,912541105.7778,213.59,1.01,398681310,423789000.0,78382340271.24,90563690000.0
2025-06-03,DASH,212.79,209.22,213.4,207.61,208.65,4527633,958288918.4022,211.65,1.07,398681310,423789000.0,78048564278.51,90178000000.0
2025-05-31,DASH,208.65,204.1,209.39,202.7,204.58,4853711,1005324890.875,207.13,1.15,398681310,423789000.0,76530066904.98,88423560000.0
2025-05-30,DASH,204.58,208.8,209.2,202.68,206.59,3080832,630978454.8979,204.81,0.73,398681310,423789000.0,75037248275.68,86698750000.0
2025-05-29,DASH,206.59,204.75,210.71,204.24,204.89,6635012,1376079593.2604,207.4,1.57,398681310,423789000.0,75774486086.27,87550500000.0
2025-05-28,DASH,204.89,205.44,208.56,202.52,206.15,5325168,1092821977.4261,205.22,1.26,398681310,423789000.0,75150948517.43,86830063000.0
2025-05-24,DASH,206.15,197.62,207.22,197.25,200.87,4365899,895066531.9359,205.01,1.03,398681310,423789000.0,75613099891.98,87364063000.0
2025-05-23,DASH,200.87,204.5,206.54,200.66,204.77,3169735,644268925.054,203.26,0.75,398681310,423789000.0,73676465560.52,85126500000.0
2025-05-22,DASH,204.77,202.49,209.64,201.5,205.18,5674309,1170047622.6781,206.2,1.34,398681310,423789000.0,75106937768.67,86779250000.0
2025-05-21,DASH,205.18,200.9,206.0,198.51,202.18,6046527,1219290090.5004,201.65,1.43,398681310,423789000.0,75257316690.94,86953000000.0
2025-05-20,DASH,202.18,198.78,203.42,198.75,202.0,3337130,673368093.678,201.78,0.79,398681310,423789000.0,74156956275.34,85681630000.0
2025-05-17,DASH,202.0,198.0,202.63,196.83,197.1,4188465,841624293.249,200.94,0.99,398681310,423789000.0,74090934650.4,85605310000.0
2025-05-16,DASH,197.1,195.58,199.47,194.96,196.84,3558528,702808924.1472,197.5,0.84,398681310,423789000.0,72293682972.79,83528810000.0
2025-05-15,DASH,196.84,197.17,199.27,195.95,197.8,3505346,691280871.8296,197.21,0.83,398681310,423789000.0,72198314735.57,83418625000.0
2025-05-14,DASH,197.8,192.09,198.45,191.78,192.1,3844543,755831809.8852,196.6,0.91,398681310,423789000.0,72550433736.43,83825440000.0
2025-05-13,DASH,192.1,191.61,192.83,185.9,183.52,4918098,937656531.5214,190.65,1.16,398681310,423789000.0,70459748946.79,81409810000.0
2025-05-10,DASH,183.52,183.19,185.59,180.58,182.96,3423236,627113899.5188,183.19,0.81,398681310,424037000.0,67312718158.17,77819250000.0
2025-05-09,DASH,182.96,180.46,183.75,178.36,176.99,4158762,756368184.7308,181.87,0.98,398681310,424542000.0,67107317547.26,77674190000.0
2025-05-08,DASH,176.99,189.76,190.09,175.5,190.11,8627906,1550948154.8861,179.76,2.03,398680510,424542000.0,64917470055.57,75139560000.0
2025-05-07,DASH,190.11,193.75,195.42,185.25,205.4,9580785,1817653117.101,189.72,2.26,398680510,424542000.0,69729703283.47,80709440000.0
2025-05-06,DASH,205.4,203.22,207.23,201.05,205.09,5617469,1153265823.9531,205.3,1.32,398680510,424542000.0,75337858613.68,87200750000.0
2025-05-03,DASH,205.09,200.07,205.89,199.43,196.2,4256469,866778025.4929,203.64,1.0,398680510,424542000.0,75224154932.23,87069188000.0
2025-05-02,DASH,196.2,194.41,197.75,192.66,192.89,4151609,814181631.2068,196.11,0.98,398680510,424542000.0,71963426777.04,83294938000.0
2025-05-01,DASH,192.89,186.19,193.3,183.76,191.23,3169881,603195387.5376,190.29,0.75,398680510,424542000.0,70749364887.99,81889750000.0
