dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,DDOG,119.7,119.23,121.39,118.99,118.66,6012246,722366607.2257,120.15,1.74,319498060,345176000.0,38243917782.0,41317602000.0
2025-06-04,DDOG,118.66,117.37,119.09,116.12,117.74,3884777,458547461.5968,118.04,1.13,319498060,345176000.0,37911642994.58,40958630000.0
2025-06-03,DDOG,117.74,117.43,118.35,114.74,117.88,4103660,480793874.6886,117.16,1.19,319498060,345176000.0,37617704779.38,40641063000.0
2025-05-31,DDOG,117.88,116.31,118.2,115.18,117.0,7310516,854818635.88,116.93,2.12,319498060,345176000.0,37662434507.78,40689380000.0
2025-05-30,DDOG,117.0,116.64,118.24,115.62,116.3,3556179,416493994.5936,117.12,1.03,319498060,345176000.0,37381273020.0,40385633000.0
2025-05-29,DDOG,116.3,117.61,118.72,116.06,117.6,2518560,294928161.264,117.1,0.73,319498060,345176000.0,37157627572.98,40144010000.0
2025-05-28,DDOG,117.6,116.44,118.04,115.22,114.46,3317831,389459942.3209,117.38,0.96,319498060,345176000.0,37572975050.98,40592739000.0
2025-05-24,DDOG,114.46,113.61,115.58,113.3,115.67,2888753,331356146.1168,114.71,0.84,319498060,345176000.0,36569751142.58,39508887000.0
2025-05-23,DDOG,115.67,114.18,117.13,114.02,113.69,3671877,425282338.6743,115.82,1.06,319498060,345176000.0,36956340600.2,39926550000.0
2025-05-22,DDOG,113.69,114.93,116.08,113.55,116.29,3701950,423995809.545,114.53,1.07,319498060,345176000.0,36323737636.38,39243100000.0
2025-05-21,DDOG,116.29,115.37,116.34,114.66,116.46,2995534,346193265.2732,115.57,0.87,319498060,345176000.0,37154429397.4,40140550000.0
2025-05-20,DDOG,116.46,115.29,116.98,114.73,117.67,4864820,566353149.8902,116.42,1.41,319498060,345176000.0,37208747262.58,40199240000.0
2025-05-17,DDOG,117.67,117.92,118.51,116.52,117.14,3143153,370334490.0893,117.82,0.91,319498060,345176000.0,37595336720.2,40616900000.0
2025-05-16,DDOG,117.14,117.81,118.5,115.94,119.09,4196848,491590236.1536,117.13,1.22,319498060,345176000.0,37426002748.4,40433960000.0
2025-05-15,DDOG,119.09,118.04,119.36,117.08,117.31,6332121,751423934.1006,118.67,1.83,319498060,345176000.0,38049023965.4,41107051000.0
