dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,DXCM,85.61,86.87,87.24,85.59,86.79,1858029,159748506.2607,85.98,0.47,392100000,392100000.0,31553620508.57,33567680000.0
2025-06-04,DXCM,86.79,85.49,87.33,84.5,85.51,2423031,209829657.9222,86.6,0.62,392100000,392100000.0,31988535248.56,34030352000.0
2025-06-03,DXCM,85.51,85.44,85.88,84.1,85.8,2524466,215240272.8501,85.26,0.64,392100000,392100000.0,31516760897.13,33528465000.0
2025-05-31,DXCM,85.8,86.76,86.8,84.85,84.86,4257113,365344560.6947,85.82,1.09,392100000,392100000.0,31623650674.3,33642180000.0
2025-05-30,DXCM,84.86,87.65,87.67,84.51,86.98,3694185,315869784.8917,85.5,0.94,392100000,392100000.0,31277190008.57,33273602000.0
2025-05-29,DXCM,86.98,85.24,87.6,85.24,85.33,2862709,249030786.0198,86.99,0.73,392100000,392100000.0,32058565045.7,34104850000.0
2025-05-28,DXCM,85.33,85.44,85.7,84.6,84.51,2034121,173482035.4695,85.29,0.52,392100000,392100000.0,31450420157.15,33457891000.0
2025-05-24,DXCM,84.51,83.94,85.01,83.48,84.83,2599356,219546543.937,84.46,0.66,392100000,392100000.0,31148186897.13,33136368000.0
2025-05-23,DXCM,84.83,84.9,85.31,84.28,84.89,1693953,143659756.428,84.81,0.43,392100000,392100000.0,31266133157.15,33261840000.0
2025-05-22,DXCM,84.89,86.43,87.0,84.5,87.34,2673498,227896449.9674,85.24,0.68,392100000,392100000.0,31288246860.0,33285370000.0
2025-05-21,DXCM,87.34,86.21,87.65,85.88,86.96,2743539,238888459.4186,87.07,0.7,392100000,392100000.0,32191252054.28,34246010000.0
2025-05-20,DXCM,86.96,84.67,86.99,84.34,85.48,2366501,204819009.7323,86.55,0.6,392100000,392100000.0,32051197620.02,34097020000.0
2025-05-17,DXCM,85.48,85.88,86.0,84.68,85.67,3397874,290367714.7733,85.46,0.87,392100000,392100000.0,31505704045.7,33516700000.0
2025-05-16,DXCM,85.67,86.21,86.85,84.76,86.52,2892321,247354748.2436,85.52,0.74,392100000,392100000.0,31575734211.43,33591200000.0
2025-05-15,DXCM,86.52,83.64,86.57,83.64,84.11,3828441,328884149.8108,85.91,0.98,392100000,392100000.0,31889024322.87,33924493000.0
2025-05-14,DXCM,84.11,84.74,85.54,83.84,85.05,5514637,464990866.5139,84.32,1.41,392100000,392100000.0,31000759508.57,32979530000.0
2025-05-13,DXCM,85.05,87.02,87.02,84.31,84.67,4030142,343077952.3569,85.13,1.03,392100000,392100000.0,31347220174.3,33348100000.0
2025-05-10,DXCM,84.67,84.78,85.71,84.23,85.34,3349024,284586351.9648,84.98,0.85,392100000,392100000.0,31207160211.43,33199100000.0
2025-05-09,DXCM,85.34,84.0,85.74,83.48,83.35,6159402,523341561.1962,84.97,1.57,392100000,392100000.0,31454104054.28,33461810000.0
2025-05-08,DXCM,83.35,81.53,83.9,80.5,81.53,3945588,326637865.9872,82.79,1.01,392100000,392100000.0,30720645480.02,32681540000.0
2025-05-07,DXCM,81.53,79.52,82.48,78.55,80.27,5205020,424687492.1581,81.59,1.33,392100000,392100000.0,30049837851.43,31967910000.0
2025-05-06,DXCM,80.27,81.65,81.96,80.0,81.62,5371567,433802395.4677,80.76,1.37,392100000,392100000.0,29585436822.87,31473864000.0
