dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,EA,148.46,146.06,148.95,145.73,146.24,2928015,433742702.5112,148.14,1.17,250765972,250766000.0,31272123717.05,37228708000.0
2025-06-04,EA,146.24,145.23,146.27,144.67,145.88,2863817,417800572.478,145.89,1.14,250765972,250766000.0,30804495332.47,36672004000.0
2025-06-03,EA,145.88,143.61,146.2,143.51,143.78,3418176,497733972.4282,145.61,1.36,250765972,250766000.0,30728663702.54,36581731000.0
2025-05-31,EA,143.78,143.19,144.07,141.61,142.84,5555324,796749567.8716,143.42,2.22,250765972,250766000.0,30286310421.49,36055120000.0
2025-05-30,EA,142.84,146.88,147.11,141.19,146.88,3517092,503098556.3388,143.04,1.4,250765972,250766000.0,30088305610.0,35819399000.0
2025-05-29,EA,146.88,146.96,147.85,146.39,146.72,2280566,334924173.6223,146.86,0.91,250765972,250766000.0,30939307119.02,36832500000.0
2025-05-28,EA,146.72,147.35,147.75,146.05,146.7,4489656,659636916.1438,146.73,1.79,250765972,250766000.0,30945626421.51,36840020000.0
2025-05-24,EA,146.89,146.87,147.93,146.46,146.63,2108705,310148352.487,147.08,0.84,250765972,250766000.0,30941411446.75,36835004000.0
2025-05-23,EA,146.63,151.16,151.41,146.47,150.5,4574625,674668485.5213,147.48,1.82,250765972,250766000.0,30886646264.9,36769800000.0
2025-05-22,EA,150.5,150.72,151.52,150.31,151.92,2880389,434185834.1193,150.74,1.15,250765972,250766000.0,31701834180.24,37740270000.0
2025-05-21,EA,151.92,150.62,151.94,149.97,150.48,2172108,328799177.6375,151.37,0.87,250765972,250766000.0,32000947831.64,38096360000.0
2025-05-20,EA,150.48,149.7,152.21,149.04,151.54,4010139,603909729.9037,150.6,1.6,250765972,250766000.0,31697621311.91,37735250000.0
2025-05-17,EA,151.54,149.79,151.73,149.2,149.57,3934769,593943976.4521,150.95,1.57,250765972,250766000.0,31920903333.38,38001060000.0
2025-05-16,EA,149.57,147.74,150.62,147.63,147.23,3711161,555460971.4691,149.67,1.48,250765972,250766000.0,31505937909.35,37507060000.0
2025-05-15,EA,147.23,148.07,148.96,146.53,149.06,2759480,406883146.0108,147.45,1.1,250765972,250766000.0,31013030208.35,36920262000.0
2025-05-14,EA,149.06,148.23,150.37,148.23,149.27,3582884,534258164.776,149.11,1.37,260617594,260618000.0,32632033191.78,38847660000.0
2025-05-13,EA,149.27,153.34,153.8,148.39,153.3,3736226,558640548.8823,149.52,1.43,260617594,260618000.0,32678008324.55,38902390000.0
2025-05-10,EA,153.3,155.67,156.2,153.07,155.66,2921878,449650142.9224,153.89,1.12,260617594,260618000.0,33560251003.76,39952680000.0
2025-05-09,EA,155.66,155.87,156.7,153.2,155.5,3982804,619048062.1088,155.43,1.53,260617594,260618000.0,34076899322.1,40567730000.0
2025-05-08,EA,155.5,158.01,160.7,153.67,154.54,5444707,849767454.2925,156.07,2.09,260617594,260618000.0,34041870128.28,40526040000.0
2025-05-07,EA,154.54,152.85,155.77,152.26,154.74,3011753,465579366.8875,154.59,1.16,260617594,260618000.0,33831708100.48,40275840000.0
2025-05-06,EA,154.74,151.33,155.34,150.72,151.1,4308781,665443828.859,154.44,1.65,260617594,260618000.0,33875494045.46,40327965000.0
2025-05-03,EA,151.1,149.0,154.92,147.85,145.1,5109195,772685529.3885,151.23,1.96,260617594,260618000.0,33078629690.04,39379321000.0
2025-05-02,EA,145.1,145.18,146.93,143.98,145.09,3328770,483778133.148,145.33,1.28,260617594,260618000.0,31765117016.28,37815614000.0
2025-05-01,EA,145.09,145.49,146.05,143.45,145.97,2802044,405752783.464,144.81,1.08,260617594,260618000.0,31762925639.31,37813000000.0
2025-04-30,EA,145.97,146.12,147.14,145.62,146.72,2233528,326355316.3473,146.12,0.86,260617594,260618000.0,31955576353.98,38042350000.0
2025-04-29,EA,146.72,146.67,147.44,145.49,146.6,2761458,404786111.7636,146.58,1.06,260617594,260618000.0,32119765438.2,38237813000.0
2025-04-26,EA,146.6,146.57,147.25,145.42,146.19,1836660,269007894.5946,146.47,0.7,260617594,260618000.0,32093495184.72,38206540000.0
