dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,EXC,42.75,43.46,43.52,42.73,43.46,5537481,238093940.9109,43.0,0.55,1009535632,1009536000.0,40568189371.92,43157625000.0
2025-06-04,EXC,43.46,43.79,43.89,42.9,43.79,7448070,323218695.0371,43.4,0.74,1009535632,1009536000.0,41241960095.46,43874426000.0
2025-06-03,EXC,43.79,43.58,43.81,43.27,43.82,4312984,188221187.9855,43.64,0.43,1009535632,1009536000.0,41555105711.98,44207551000.0
2025-05-31,EXC,43.82,43.81,43.98,43.48,43.7,20942227,917233836.103,43.8,2.07,1009535632,1009536000.0,41583587902.29,44237820000.0
2025-05-30,EXC,43.7,43.12,43.83,43.01,43.28,5312395,231879688.1256,43.65,0.53,1009535632,1009536000.0,41469701844.41,44116704000.0
2025-05-29,EXC,43.28,43.73,43.84,43.09,43.91,4359168,189005215.9058,43.36,0.43,1009535632,1009536000.0,41071139074.82,43692680000.0
2025-05-28,EXC,43.91,43.83,44.15,43.53,43.67,8395535,368765445.7579,43.92,0.83,1009535632,1009536000.0,41668990820.91,44328711000.0
2025-05-24,EXC,43.67,43.9,43.9,42.99,43.42,9679465,420940641.6763,43.49,0.96,1009535632,1009536000.0,41441234837.51,44086395000.0
2025-05-23,EXC,43.42,44.14,44.17,43.17,44.19,6790457,295336701.2076,43.49,0.67,1009535632,1009536000.0,41203993963.99,43834000000.0
2025-05-22,EXC,44.19,44.14,44.47,44.01,44.26,6893481,304840049.3611,44.22,0.68,1009535632,1009536000.0,41934699650.29,44611380000.0
2025-05-21,EXC,44.26,44.31,44.62,44.23,44.39,6025602,267603631.059,44.41,0.6,1009535632,1009536000.0,42001119503.16,44682040000.0
2025-05-20,EXC,44.39,43.87,44.43,43.66,44.09,6429481,284001157.3235,44.17,0.64,1009535632,1009536000.0,42124489502.21,44813270000.0
2025-05-17,EXC,44.09,43.1,44.12,43.02,43.43,7844098,343659377.674,43.81,0.78,1009535632,1009536000.0,41839797607.1,44510410000.0
2025-05-16,EXC,43.43,42.63,43.54,42.5,42.25,8463817,366411367.5108,43.29,0.84,1009535632,1009536000.0,41213477905.15,43844110000.0
2025-05-15,EXC,42.25,42.67,42.72,41.71,42.97,12273008,517047099.4304,42.13,1.22,1009535632,1009536000.0,40093707624.88,42652879000.0
2025-05-14,EXC,42.97,43.59,43.77,42.9,43.61,9604449,414393527.7407,43.15,0.95,1009535632,1009536000.0,40776963238.54,43379710000.0
2025-05-13,EXC,43.61,44.31,44.5,43.34,44.81,9911027,432811506.4047,43.67,0.98,1009535632,1009536000.0,41384298925.79,44025810000.0
