dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,FANG,139.35,142.14,144.0,138.38,142.28,2443969,342840728.9504,140.28,0.84,292167960,292168000.0,26463845295.99,40713610000.0
2025-06-04,FANG,142.28,138.0,143.3,135.88,137.59,2770727,393234903.0369,141.92,0.95,292167960,292168000.0,27020277276.72,41569661000.0
2025-06-03,FANG,137.59,138.45,139.03,135.86,134.55,2118545,291028340.031,137.37,0.73,292167960,292168000.0,26129603250.66,40199391000.0
2025-05-31,FANG,134.55,136.64,136.71,133.75,137.81,4362973,588069031.2996,134.79,1.49,292167960,292168000.0,25552281260.79,39311204000.0
2025-05-30,FANG,137.81,137.47,138.19,136.13,136.28,2103329,289127201.0326,137.46,0.72,292167960,292168000.0,26171383268.94,40263668000.0
2025-05-29,FANG,136.28,139.22,139.22,135.94,137.49,1904852,260934455.9017,136.98,0.65,292167960,292168000.0,25880822232.72,39816653000.0
2025-05-28,FANG,137.49,137.79,138.11,135.54,135.86,1787327,245419675.5703,137.31,0.61,292167960,292168000.0,26110614232.35,40170176000.0
2025-05-24,FANG,135.86,134.31,136.62,133.75,136.29,1766269,239772270.801,135.75,0.6,292167960,292168000.0,25801062278.73,39693942000.0
2025-05-23,FANG,136.29,134.76,136.86,132.2,136.31,1929303,260992849.3179,135.28,0.66,292167960,292168000.0,25882721324.46,39819570000.0
2025-05-22,FANG,136.31,138.35,138.67,136.12,138.35,1650204,226621690.218,137.33,0.56,292167960,292168000.0,25886519507.94,39825420000.0
2025-05-21,FANG,138.35,139.18,139.82,137.44,139.35,1104870,153078976.1397,138.55,0.38,292167960,292168000.0,26273936121.99,40421440000.0
2025-05-20,FANG,139.35,139.93,140.24,137.62,141.13,1476615,205302805.5677,139.04,0.51,292167960,292168000.0,26463845295.99,40713610000.0
2025-05-17,FANG,141.13,142.77,142.77,139.22,141.95,2291949,322636766.8699,140.77,0.78,292167960,292168000.0,26801883625.71,41233670000.0
2025-05-16,FANG,141.95,140.19,142.02,138.52,143.82,2596057,365585054.1224,140.82,0.89,292167960,292168000.0,26957607249.3,41473243000.0
2025-05-15,FANG,143.82,143.53,144.94,142.99,145.16,1621508,234876422.9199,143.85,0.55,292167960,292168000.0,27502648477.77,42311770000.0
2025-05-14,FANG,146.17,143.61,147.69,142.9,142.92,2010165,293127888.762,145.82,0.69,292167960,292168000.0,27759023963.58,42706192000.0
