dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,FAST,40.88,41.11,41.54,40.63,41.19,4870086,199263479.3691,40.92,0.42,1146902228,1146902000.0,44072246686.24,46885356000.0
2025-06-04,FAST,41.19,40.85,41.22,40.73,40.91,4177004,171409624.646,41.04,0.36,1146902228,1146902000.0,44406451839.31,47240887000.0
2025-06-03,FAST,40.91,41.14,41.29,40.35,41.34,4389320,179063643.7533,40.8,0.38,1146902228,1146902000.0,44104588250.98,46919762000.0
2025-05-31,FAST,41.34,41.13,41.61,41.06,41.2,7660317,316833055.177,41.36,0.67,1146902228,1146902000.0,44568158584.92,47412918000.0
2025-05-30,FAST,41.2,41.71,41.71,40.65,41.47,3328692,136940408.3083,41.14,0.29,1146902228,1146902000.0,44417226251.72,47252356000.0
2025-05-29,FAST,41.47,41.82,42.0,41.37,41.64,2920008,121343540.0071,41.56,0.25,1146902228,1146902000.0,44708315427.63,47562010000.0
2025-05-28,FAST,41.64,41.23,41.72,41.0,40.65,5039484,209396577.3439,41.55,0.44,1146902228,1146902000.0,44891588247.48,47756981000.0
2025-05-24,FAST,40.65,40.4,40.93,40.3,40.72,3872478,157520384.8683,40.68,0.34,1146902228,1146902000.0,43824274565.58,46621532000.0
2025-05-23,FAST,40.72,40.86,41.12,40.14,40.73,4420395,180162936.3552,40.76,0.39,1146902228,1146902000.0,43894353525.97,46696120000.0
2025-05-22,FAST,81.46,81.43,82.45,81.15,81.92,2202944,179912248.9566,81.67,0.38,573620638,573621000.0,43923512715.62,46727130000.0
2025-05-21,FAST,81.92,82.85,83.15,81.74,83.16,1697834,139519851.9125,82.18,0.3,573620638,573621000.0,44171541965.86,46990990000.0
2025-05-20,FAST,83.16,82.58,83.43,82.27,83.03,2136525,177419174.6615,83.04,0.37,573620638,573621000.0,44840156877.53,47702260000.0
2025-05-17,FAST,83.03,81.87,83.11,81.6,81.88,2544701,210396909.2839,82.68,0.44,573620638,573621000.0,44770057739.55,47627710000.0
2025-05-16,FAST,81.88,80.53,81.97,80.19,80.51,2250993,183591430.2746,81.56,0.39,573620638,573621000.0,44149977065.09,46968050000.0
2025-05-15,FAST,80.51,79.7,80.64,78.83,79.97,3171786,254375340.472,80.2,0.55,573620638,573621000.0,43411263015.44,46182153000.0
2025-05-14,FAST,79.97,80.69,80.73,79.95,80.15,3290638,264131594.985,80.27,0.57,573620638,573621000.0,43120096954.02,45872415000.0
2025-05-13,FAST,80.15,79.79,80.18,78.22,78.6,4618844,367118178.1423,79.48,0.81,573620638,573621000.0,43217149252.34,45975670000.0
2025-05-10,FAST,78.6,79.33,79.92,78.14,79.29,1900742,149364313.1241,78.58,0.33,573620638,573621000.0,42381390992.42,45086550000.0
2025-05-09,FAST,79.29,79.08,80.51,78.75,78.5,2984746,237374751.1036,79.53,0.52,573620638,573621000.0,42753434328.58,45482352000.0
2025-05-08,FAST,78.5,78.71,79.07,78.09,78.5,3781695,297038134.8517,78.55,0.66,573620638,573621000.0,42327466878.02,45029210000.0
2025-05-07,FAST,78.5,81.12,81.79,78.47,82.42,4192270,331609416.4154,79.1,0.73,573620638,573621000.0,42327466878.02,45029210000.0
2025-05-06,FAST,82.42,81.88,83.08,81.57,82.12,3475055,287080555.5991,82.61,0.61,573620638,573621000.0,44441143665.72,47277793000.0
2025-05-03,FAST,82.12,81.35,82.36,80.75,80.71,2679311,219710208.3154,82.0,0.47,573620638,573621000.0,44279381028.19,47105719000.0
2025-05-02,FAST,80.71,80.63,81.33,80.14,80.97,3896046,314998435.9368,80.85,0.68,573620638,573621000.0,43519110165.83,46296922000.0
2025-05-01,FAST,80.97,80.13,81.24,78.85,80.28,4508934,363814134.178,80.69,0.79,573620638,573621000.0,43659300353.74,46446060000.0
2025-04-30,FAST,80.28,79.52,80.64,79.36,80.11,2693825,216075997.2071,80.21,0.47,573620638,573621000.0,43287248390.32,46050262000.0
2025-04-29,FAST,80.11,80.51,80.89,78.99,80.73,3550571,283641248.6597,79.89,0.62,573620638,573621000.0,43195584890.77,45952735000.0
2025-04-26,FAST,80.73,81.58,81.97,80.55,81.66,3196616,258570755.159,80.89,0.56,573620638,573621000.0,43529888302.58,46308352000.0
2025-04-25,FAST,81.66,79.91,81.76,79.71,79.76,3310730,270909414.5995,81.39,0.58,573620638,573621000.0,44268602891.44,47094250000.0
2025-04-24,FAST,80.19,82.12,82.4,79.79,81.44,4067576,327956881.3151,80.63,,573620638,,43238722241.16,
2025-04-23,FAST,81.44,81.01,81.84,80.54,80.29,2965566,241136411.0109,81.31,0.52,573620638,573621000.0,43912726490.81,46715657000.0
2025-04-22,FAST,80.29,81.06,81.45,79.67,81.58,3089964,247881256.5694,80.22,0.54,573620638,573621000.0,43292637728.3,46055954000.0
2025-04-18,FAST,81.58,81.35,82.06,80.66,80.45,3498014,284893322.6083,81.44,0.61,573620638,573621000.0,43988214427.56,46795938000.0
2025-04-17,FAST,80.45,81.39,81.81,79.85,81.65,4048740,326283126.4532,80.59,0.71,573611957,573612000.0,43378255406.63,46147051000.0
2025-04-16,FAST,81.65,81.4,82.42,81.1,81.3,3137657,256633063.81,81.79,0.55,573611957,573612000.0,44025288076.54,46835380000.0
2025-04-15,FAST,81.3,80.73,81.89,79.91,80.64,5291102,429372895.5534,81.15,0.92,573611957,573612000.0,43836575134.63,46634637000.0
2025-04-12,FAST,80.64,75.21,81.31,74.75,75.79,7562082,605182797.7348,80.03,1.32,573451114,573451000.0,43468511962.98,46243059000.0
2025-04-11,FAST,75.79,75.74,77.26,73.25,76.47,7599734,574241220.8538,75.56,1.33,573451114,573451000.0,40854145099.99,43461840000.0
2025-04-10,FAST,76.47,70.78,76.67,70.73,71.2,7858949,589299345.5726,74.98,1.37,573451114,573451000.0,41220699364.41,43851770000.0
2025-04-09,FAST,71.2,73.17,75.1,70.61,72.16,5368637,390786329.8867,72.79,0.94,573451114,573451000.0,38379934540.66,40829711000.0
2025-04-08,FAST,72.16,73.28,75.42,70.82,74.42,7510774,546042988.7416,72.7,1.31,573451114,573451000.0,38897420599.24,41380230000.0
2025-04-05,FAST,74.42,77.22,77.95,74.36,78.01,5434715,410943268.2369,75.61,0.95,573451114,573451000.0,40115657450.6,42676220000.0
2025-04-04,FAST,78.01,78.04,78.9,77.35,78.01,5668442,442235440.3689,78.02,0.99,573451114,573451000.0,42050823423.73,44734870000.0
2025-04-03,FAST,78.01,76.87,78.17,76.58,77.61,1976029,153662156.5381,77.76,0.34,573451114,573451000.0,42050823423.73,44734872000.0
2025-04-02,FAST,77.61,77.25,77.69,76.42,77.55,2401093,185413834.9125,77.22,0.42,573451114,573451000.0,41835209039.13,44505500000.0
2025-04-01,FAST,77.55,76.06,77.82,75.85,76.17,4356234,336590536.1625,77.27,0.76,573451114,573451000.0,41802868013.43,44471090000.0
2025-03-29,FAST,76.17,77.94,78.13,75.87,77.73,2689068,205327839.5655,76.36,0.47,573451114,573451000.0,41058984533.13,43679743000.0
2025-03-28,FAST,77.73,77.27,77.85,76.72,77.09,2550326,197880059.5739,77.59,0.44,573451114,573451000.0,41899891629.57,44574309000.0
2025-03-27,FAST,77.09,77.17,78.12,76.96,77.09,2764269,213716132.3194,77.31,0.48,573451114,573451000.0,41554903978.43,44207309000.0
2025-03-26,FAST,77.09,76.86,77.67,76.78,76.94,2475829,191026550.2972,77.16,0.43,573451114,573451000.0,41554903978.43,44207309000.0
2025-03-25,FAST,76.94,75.63,77.03,75.38,74.73,2856161,218753927.9414,76.59,0.5,573451114,573451000.0,41474050605.62,44121290000.0
2025-03-22,FAST,74.73,75.11,75.35,74.36,75.51,8781738,657009241.1652,74.82,1.53,573451114,573451000.0,40282759488.09,42853993000.0
2025-03-21,FAST,75.51,75.42,76.42,75.27,76.46,1899650,143696163.3771,75.64,0.33,573451114,573451000.0,40703213305.83,43301270000.0
2025-03-20,FAST,76.46,76.16,76.81,75.8,76.09,2573325,196485710.5633,76.35,0.45,573451114,573451000.0,41215311619.16,43846040000.0
2025-03-19,FAST,76.09,75.82,76.33,75.48,76.07,2816095,214208809.1088,76.07,0.49,573451114,573451000.0,41015859931.27,43633868000.0
2025-03-18,FAST,76.07,75.23,76.38,75.15,75.26,2558303,194444574.2144,76.01,0.45,573451114,573451000.0,41005084979.81,43622399000.0
2025-03-15,FAST,75.26,74.4,75.36,73.4,73.69,4084050,305575135.0598,74.82,0.71,573451114,573451000.0,40568452294.04,43157911000.0
2025-03-14,FAST,73.69,75.72,76.07,73.57,75.99,3637327,270924141.0228,74.48,0.63,573451114,573451000.0,39722157452.35,42257606000.0
2025-03-13,FAST,75.99,77.14,77.47,75.55,77.35,3029811,230444088.8381,76.06,0.53,573451114,573451000.0,40961960377.95,43576524000.0
2025-03-12,FAST,77.35,79.7,80.11,77.31,79.8,4910113,383359007.0595,78.08,0.86,573451114,573451000.0,41695060821.13,44356403000.0
2025-03-11,FAST,79.8,80.82,82.15,79.46,79.98,5292195,426302718.3467,80.55,0.92,573451114,573451000.0,43015717119.54,45761372000.0
2025-03-08,FAST,79.98,77.45,80.33,77.45,77.85,4895797,389873332.7665,79.63,0.85,573451114,573451000.0,43112740735.68,45864590000.0
2025-03-07,FAST,77.85,76.06,78.07,75.3,74.49,4604031,355106618.2226,77.13,,573451114,,41964582844.71,
2025-03-06,FAST,74.49,74.14,74.94,73.23,74.23,3231980,240232094.1101,74.33,0.56,573451114,573451000.0,40153394307.21,42716368000.0
2025-03-05,FAST,74.23,74.59,75.33,73.69,74.38,3987205,296767277.4039,74.43,0.7,573451114,573451000.0,40013237464.51,42567266000.0
2025-03-04,FAST,74.38,76.02,76.87,74.26,75.73,3318880,249059066.9602,75.04,0.58,573451114,573451000.0,40094098922.98,42653286000.0
2025-03-01,FAST,75.73,74.56,76.14,74.22,74.09,4563266,344129556.0417,75.41,0.8,573451114,573451000.0,40821803535.25,43427430000.0
2025-02-28,FAST,74.09,73.77,74.83,73.69,73.89,3120528,231650829.5749,74.23,0.54,573451114,573451000.0,39937771836.95,42486981000.0
2025-02-27,FAST,73.89,74.48,75.02,73.82,74.6,2794661,207233352.2993,74.15,0.49,573419704,573420000.0,39827783012.85,42369977000.0
2025-02-26,FAST,74.6,74.88,75.31,74.18,74.78,3103872,232185455.3472,74.81,0.54,573419704,573420000.0,40210487096.4,42777110000.0
2025-02-25,FAST,74.78,75.0,76.05,74.65,74.78,3488802,262034125.1528,75.11,0.61,573419704,573420000.0,40307505398.2,
2025-02-22,FAST,74.78,75.02,75.15,73.88,75.14,3346444,249488798.1883,74.55,0.58,573419704,573420000.0,40307505398.2,
2025-02-21,FAST,75.14,75.64,75.87,74.52,75.57,2299841,172763133.6838,75.12,0.4,573419704,573420000.0,40501551165.05,43086723000.0
2025-02-20,FAST,75.57,74.77,75.83,74.41,74.81,2435927,183622605.8792,75.38,0.42,573419704,573420000.0,40733331721.52,43333301000.0
2025-02-19,FAST,74.81,75.28,75.34,74.15,74.78,1767698,132058175.3297,74.71,0.31,573419704,573420000.0,40323675294.84,42897520000.0
2025-02-15,FAST,74.78,74.85,75.23,74.57,74.79,2548982,190761721.7639,74.84,0.44,573419704,573420000.0,40307505398.2,42880321000.0
2025-02-14,FAST,74.79,73.73,74.97,73.66,73.68,2428008,181170906.0248,74.62,0.42,573419704,573420000.0,40312892848.34,42886051000.0
2025-02-13,FAST,73.68,73.35,73.93,72.91,74.33,1990741,146633190.3464,73.66,0.35,573419704,573420000.0,39714586190.18,42249555000.0
2025-02-12,FAST,74.33,73.45,74.59,73.15,73.72,1480177,109750983.0148,74.15,0.26,573419704,573420000.0,40064950480.45,42622282000.0
