dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,FTNT,101.62,102.5,102.84,101.32,102.88,3393049,345399833.9187,101.8,0.44,765416456,765416000.0,64558744814.74,77781563000.0
2025-06-04,FTNT,102.88,102.26,103.17,102.06,102.47,3789923,389334279.7816,102.73,0.5,765416456,765416000.0,65359223697.38,78746000000.0
2025-06-03,FTNT,102.47,101.1,102.52,99.85,101.78,5242984,533922473.8602,101.84,0.68,765416456,765416000.0,65098752477.4,78432188000.0
2025-05-31,FTNT,101.78,102.2,102.48,100.54,102.04,17092973,1739799881.2482,101.78,2.23,765416456,765416000.0,64660392120.09,77904060000.0
2025-05-30,FTNT,102.04,105.22,105.5,100.9,104.51,4731953,482896276.8453,102.05,0.62,765416456,765416000.0,64825568991.3,78103000000.0
2025-05-29,FTNT,104.51,104.74,105.58,104.22,104.74,3740068,391812553.1351,104.76,0.49,765416456,765416000.0,66394749267.74,79993630000.0
2025-05-28,FTNT,104.74,104.2,106.06,104.17,103.16,4249484,446347951.5272,105.04,0.56,765416456,765416000.0,66540873622.15,80169688000.0
2025-05-24,FTNT,103.16,102.16,103.53,101.58,103.62,3769215,388016938.1955,102.94,0.49,765416456,765416000.0,65537106481.75,78960313000.0
2025-05-23,FTNT,103.62,103.33,104.69,103.08,102.84,3655115,379890027.9381,103.93,0.48,765416456,765416000.0,65829336131.7,79312440000.0
2025-05-22,FTNT,102.84,103.7,104.78,102.75,104.79,4423738,458259000.7842,103.59,0.58,765416456,765416000.0,65333805518.08,78715380000.0
2025-05-21,FTNT,104.79,104.89,104.89,103.2,104.75,3958293,413499515.7813,104.46,0.52,765416456,765416000.0,66572632052.12,80207940000.0
2025-05-20,FTNT,104.75,103.56,104.95,103.5,104.59,3562604,372202340.3792,104.47,0.47,765416456,765416000.0,66547220225.78,80177310000.0
2025-05-17,FTNT,104.59,103.23,105.11,102.69,102.56,4510481,470616370.7704,104.34,0.59,765416456,765416000.0,66445572920.42,80054880000.0
2025-05-16,FTNT,102.56,102.5,103.4,101.34,103.23,4680211,479670145.179,102.49,0.61,765416456,765416000.0,65155922733.71,78501060000.0
2025-05-15,FTNT,103.23,105.1,105.97,102.68,105.05,4513852,468043615.9445,103.69,0.59,765416456,765416000.0,65581570824.89,79013875000.0
2025-05-14,FTNT,105.05,101.49,105.5,101.28,102.04,5890027,615840019.0228,104.56,0.77,765416456,765416000.0,66737815276.28,80406940000.0
2025-05-13,FTNT,102.04,99.85,102.13,99.19,97.42,6251520,630471480.8832,100.85,0.82,765416456,765416000.0,64825568991.3,78103000000.0
2025-05-10,FTNT,97.42,98.33,98.38,95.42,97.74,5721215,554277013.2514,96.88,0.75,765416456,765416000.0,61890502413.83,74566813000.0
2025-05-09,FTNT,97.74,97.6,99.27,93.25,106.72,15635133,1511570198.6069,96.68,2.04,764712591,764713000.0,62036700983.07,74742940000.0
2025-05-08,FTNT,106.72,106.04,107.44,105.47,107.14,6913469,736623208.481,106.55,0.9,764712591,764713000.0,67736412347.68,81610060000.0
2025-05-07,FTNT,107.14,105.99,108.51,105.43,108.69,4775149,512589324.4348,107.35,0.62,764712591,764713000.0,68002984809.78,81931250000.0
2025-05-06,FTNT,108.69,104.57,109.33,104.46,106.18,5447125,590847524.3713,108.47,0.71,764712591,764713000.0,68986793905.22,83116563000.0
2025-05-03,FTNT,106.18,105.71,106.65,104.63,104.21,3795580,402724740.0438,106.1,0.5,764712591,764713000.0,67393661817.28,81197125000.0
2025-05-02,FTNT,104.21,104.88,106.41,104.14,103.76,4088319,429771452.2542,105.12,0.53,764712591,764713000.0,66143286606.85,79690625000.0
2025-05-01,FTNT,103.76,101.86,103.98,100.34,104.21,5456902,561933760.1834,102.98,0.71,764712591,764713000.0,65857660106.99,79346560000.0
2025-04-30,FTNT,104.21,102.02,104.54,101.97,102.64,3128882,324848351.445,103.82,0.41,764712591,764713000.0,66143286606.85,79690630000.0
2025-04-29,FTNT,102.64,102.39,103.08,100.94,101.8,3078603,314547641.4366,102.17,0.4,764712591,764713000.0,65146783282.4,78490063000.0
2025-04-26,FTNT,101.8,100.27,101.92,99.99,100.72,3350024,339434850.2546,101.32,0.44,768974062,768974000.0,64973700777.11,78281500000.0
2025-04-25,FTNT,100.72,96.99,101.19,96.75,97.0,4085361,409058249.9894,100.13,0.53,768974062,768974000.0,64284392427.94,77451000000.0
2025-04-24,FTNT,97.0,97.45,99.54,96.29,94.37,4250664,414424046.5485,97.5,,768974062,,61910101731.62,
2025-04-23,FTNT,94.37,93.51,95.06,91.24,92.72,4621047,434024450.4208,93.92,0.6,768974062,768974000.0,60231505698.69,72568000000.0
2025-04-22,FTNT,92.72,94.87,95.71,91.33,96.13,3071546,284306275.4121,92.56,0.4,768974062,768974000.0,59178399550.27,71299250000.0
2025-04-18,FTNT,96.13,96.83,97.35,95.8,96.07,2979241,287134170.9533,96.38,0.39,768974062,768974000.0,61354828752.69,73921438000.0
2025-04-17,FTNT,96.07,97.2,98.6,94.8,99.2,5678500,548629435.914,96.62,0.74,768974062,768974000.0,61316535759.15,73875310000.0
2025-04-16,FTNT,99.2,97.39,99.24,97.2,96.85,3584029,353708925.8909,98.69,0.47,768974062,768974000.0,63314246454.09,76282190000.0
2025-04-15,FTNT,96.85,99.89,100.5,95.36,97.73,4616039,448375264.6659,97.13,0.6,768974062,768974000.0,61814368928.64,74475060000.0
2025-04-12,FTNT,97.73,96.01,98.18,94.97,96.32,5503250,534165840.0445,97.06,0.72,768974062,768974000.0,62376020562.79,75151750000.0
2025-04-11,FTNT,96.32,97.26,98.19,93.58,99.93,6807684,654750119.3281,96.18,0.89,768974062,768974000.0,61476097877.01,74067500000.0
2025-04-10,FTNT,99.93,88.81,100.5,87.83,88.15,9263430,885585807.0031,95.6,1.2,768974062,768974000.0,63780165285.26,76843500000.0
