dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,GEHC,71.13,71.35,71.55,70.93,71.16,1672626,119198032.645,71.26,0.37,457884998,457885000.0,27032570623.65,32569356000.0
2025-06-04,GEHC,71.16,70.0,71.3,69.31,70.15,2445581,173416645.1629,70.91,0.53,457884998,457885000.0,27043971580.05,32583090000.0
2025-06-03,GEHC,70.15,70.43,70.45,69.86,70.54,2396311,168050158.4515,70.13,0.52,457884998,457885000.0,26660122785.78,32120622000.0
2025-05-31,GEHC,70.54,71.34,71.34,69.59,71.53,7095547,499638639.7292,70.42,1.55,457884998,457885000.0,26808340159.64,32299200000.0
2025-05-30,GEHC,71.53,71.8,72.0,70.78,71.15,2807782,200407113.6881,71.38,0.61,457884998,457885000.0,27184586162.72,32752508000.0
2025-05-29,GEHC,71.15,71.01,71.45,70.5,71.01,2448580,174014958.6603,71.07,0.53,457884998,457885000.0,27040167334.12,32578510000.0
2025-05-28,GEHC,71.01,70.38,71.39,69.77,69.16,3183866,225862833.1861,70.94,0.7,457884998,457885000.0,26986961477.4,32514407000.0
2025-05-24,GEHC,69.16,68.5,69.36,68.44,69.44,2486599,171396547.0185,68.93,0.54,457884998,457885000.0,26283882483.37,31667325000.0
2025-05-23,GEHC,69.44,69.41,70.12,68.22,69.58,2835362,196222100.5015,69.21,0.62,457884998,457885000.0,26390294576.86,31795530000.0
2025-05-22,GEHC,69.58,71.42,71.49,69.41,71.85,3226105,225884800.4778,70.02,0.7,457884998,457885000.0,26443500433.59,31859630000.0
2025-05-21,GEHC,71.85,72.6,73.0,71.79,73.1,3268425,236272478.9266,72.29,0.71,457884998,457885000.0,27306203458.54,32899040000.0
2025-05-20,GEHC,73.1,72.24,73.29,71.88,73.13,2418453,176378497.989,72.93,0.53,457884998,457885000.0,27781259143.97,33471390000.0
2025-05-17,GEHC,73.13,72.91,73.23,72.05,72.91,3309522,241305191.8728,72.91,0.72,457884998,457885000.0,27792659720.33,33485130000.0
2025-05-16,GEHC,72.91,72.28,73.06,71.56,72.84,3448298,249746099.9114,72.43,0.75,457884998,457885000.0,27709049539.65,33384390000.0
2025-05-15,GEHC,72.84,73.51,73.95,72.72,73.83,3849434,281271594.4928,73.07,0.84,457884998,457885000.0,27682443760.95,33352336000.0
2025-05-14,GEHC,73.83,74.35,75.69,73.67,74.11,4750992,353741280.8986,74.46,1.04,457884998,457885000.0,28058689764.03,33805640000.0
2025-05-13,GEHC,74.11,76.95,77.75,73.51,69.87,8031238,598434833.5267,74.51,1.75,457884998,457885000.0,28165101857.52,33933850000.0
2025-05-10,GEHC,69.87,70.75,71.81,69.79,70.5,5724418,402570291.1895,70.33,1.25,457884998,457885000.0,25913862612.76,31992420000.0
2025-05-09,GEHC,70.5,69.49,71.4,69.11,68.82,6022320,425632265.789,70.68,1.32,457884998,457885000.0,26147522810.79,32280890000.0
2025-05-08,GEHC,68.82,67.48,69.31,66.95,67.09,5304867,363417308.8196,68.51,1.16,457884998,457885000.0,25524435872.61,31511640000.0
2025-05-07,GEHC,67.09,68.48,68.98,67.07,69.37,5677387,385246435.7464,67.86,1.24,457884998,457885000.0,24882797545.15,30719500000.0
2025-05-06,GEHC,69.37,69.93,70.59,69.19,70.53,5927750,413863613.9335,69.82,1.29,457884998,457885000.0,25728419188.57,31763473000.0
2025-05-03,GEHC,70.53,69.9,71.21,69.37,67.67,7209672,507217742.8321,70.35,1.57,457884998,457885000.0,26158649045.35,32294625000.0
2025-05-02,GEHC,67.67,70.32,70.92,67.63,70.33,8115285,555991135.4601,68.51,1.77,457884998,457885000.0,25097912658.99,30985071000.0
2025-05-01,GEHC,70.33,72.5,72.6,69.84,68.09,12759270,900486807.2141,70.58,2.79,457843185,457843000.0,26082090814.56,32200110000.0
2025-04-30,GEHC,68.09,67.88,68.54,67.11,68.07,5692078,386953171.5942,67.98,1.24,457843185,457843000.0,25251378285.43,31174540000.0
2025-04-29,GEHC,68.07,68.33,68.8,67.28,68.42,3895694,265237936.4206,68.08,0.85,457843185,457843000.0,25243965305.21,31165387000.0
2025-04-26,GEHC,68.42,69.0,70.82,67.93,67.05,5508672,379162411.5752,68.83,1.2,457843185,457843000.0,25373760510.48,31325629000.0
2025-04-25,GEHC,67.05,65.01,67.35,64.74,64.86,6552129,434497253.5016,66.28,1.43,457843185,457843000.0,24876818630.04,30712118000.0
2025-04-24,GEHC,64.89,64.5,67.08,64.28,61.65,6269414,410665462.8585,65.5,,457843185,,24064649862.47,
2025-04-23,GEHC,61.65,61.59,62.34,60.75,60.48,4508836,277832666.2768,61.62,0.98,457843185,457843000.0,22863083982.63,28226028000.0
2025-04-22,GEHC,60.48,61.73,61.81,59.95,62.37,5755164,347558394.0851,60.39,1.26,457843185,457843000.0,22429186737.92,27690352000.0
2025-04-18,GEHC,62.37,61.99,62.84,61.7,61.48,4473984,278862545.8191,62.33,0.98,457843185,457843000.0,23130098869.83,28555680000.0
2025-04-17,GEHC,61.48,63.1,63.7,60.7,63.1,6207059,383853882.5979,61.84,1.36,457843185,457843000.0,22800039717.77,28148200000.0
