dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,GFS,37.71,37.12,38.98,37.1,36.87,2208710,83280090.8327,37.71,0.4,554733529,554734000.0,2091900526.17,20919004000.0
2025-06-04,GFS,36.87,35.83,36.91,35.5,35.92,1426047,52237523.3789,36.63,0.26,554733529,554734000.0,2045302299.53,20453020000.0
2025-06-03,GFS,35.92,35.65,36.01,35.44,35.8,1399721,50106236.7525,35.8,0.25,554733529,554734000.0,1992602780.69,19926028000.0
2025-05-31,GFS,35.8,36.7,36.96,35.47,36.91,1334364,47994408.3551,35.97,0.24,554733529,554734000.0,1985946255.71,19859461000.0
2025-05-30,GFS,36.91,37.6,37.6,36.61,36.74,1438690,53198294.8223,36.98,0.26,554733529,554734000.0,2047521677.43,20475215000.0
2025-05-29,GFS,36.74,37.34,37.39,36.68,37.15,1336886,49472534.6019,37.01,0.24,554733529,554734000.0,2038091318.39,20380915000.0
2025-05-28,GFS,37.15,37.35,37.64,36.84,36.55,1661105,61885463.438,37.26,0.3,554733529,554734000.0,2060834727.39,20608348000.0
2025-05-24,GFS,36.55,36.34,36.77,36.09,37.48,1490196,54281144.8294,36.43,0.27,554733529,554734000.0,2027551270.39,20275512000.0
2025-05-23,GFS,37.48,37.54,38.2,37.44,37.75,1221554,45986747.7041,37.65,0.22,554733529,554734000.0,2079141044.8,20791410000.0
2025-05-22,GFS,37.75,38.85,39.02,37.68,39.12,1592768,60838167.6903,38.2,0.29,554733529,554734000.0,2094119071.98,20941190000.0
2025-05-21,GFS,39.12,38.86,39.24,38.49,39.13,1310835,51118365.0847,39.0,0.24,554733529,554734000.0,2170117343.55,21701170000.0
2025-05-20,GFS,39.13,38.74,39.17,38.67,39.54,1012032,39507406.6666,39.04,0.18,554733529,554734000.0,2170672576.34,21706720000.0
2025-05-17,GFS,39.54,39.6,39.69,39.02,39.54,1391915,54972423.2419,39.49,0.25,554733529,554734000.0,2193416040.83,21934161000.0
2025-05-16,GFS,39.54,39.51,39.96,39.13,40.03,1527503,60360353.3521,39.52,0.28,554733529,554734000.0,2193416040.83,21934161000.0
2025-05-15,GFS,40.03,39.67,40.11,39.24,39.7,1630378,64892955.6768,39.8,0.29,554733529,554734000.0,2220598261.11,22205985000.0
2025-05-14,GFS,39.7,39.04,39.94,39.03,39.02,1815727,71986140.1479,39.65,0.33,554733529,554734000.0,2202291943.71,22022918000.0
2025-05-13,GFS,39.02,38.7,39.7,38.17,36.38,2397722,93121513.7887,38.84,0.43,554733529,554734000.0,2164570507.52,21645700000.0
2025-05-10,GFS,36.38,36.41,36.58,36.0,35.94,991597,36042575.6888,36.35,0.18,554733529,554734000.0,1816308770.28,20181208000.0
2025-05-09,GFS,35.94,35.74,36.44,35.4,35.29,1415565,50959217.457,36.0,0.26,554733529,554734000.0,1794341222.68,19937125000.0
2025-05-08,GFS,35.29,34.5,35.45,34.5,34.91,1699814,59602607.8599,35.06,0.31,554733529,554734000.0,1761888861.9,19576540000.0
