dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,GILD,109.02,109.52,111.29,108.89,109.33,7963317,872039034.3522,109.51,0.64,1243929121,1243929000.0,127476375298.07,135613130000.0
2025-06-04,GILD,109.33,108.4,109.77,107.65,108.91,9883949,1078108638.7278,109.08,0.79,1243929121,1243929000.0,127838856243.93,135998750000.0
2025-06-03,GILD,108.91,109.24,110.41,105.69,110.08,9987426,1085881893.1074,108.72,0.8,1243929121,1243929000.0,127347753026.96,135476250000.0
2025-05-31,GILD,110.08,111.62,111.62,109.58,111.11,11913188,1312062534.3364,110.14,0.96,1243929121,1243929000.0,128715826274.23,136931690000.0
2025-05-30,GILD,111.11,108.59,111.24,108.12,108.44,5597109,619155611.8165,110.62,0.45,1243929121,1243929000.0,129920198449.19,138212880000.0
2025-05-29,GILD,108.44,109.12,109.45,107.23,109.09,4598301,498351906.7974,108.38,0.37,1243929121,1243929000.0,126798185141.3,134891630000.0
2025-05-28,GILD,109.09,108.3,109.55,108.04,107.37,7929945,864176858.298,108.98,0.64,1243929121,1243929000.0,127558214141.3,135700190000.0
2025-05-24,GILD,107.37,105.85,107.84,105.58,106.74,6037524,645597331.7144,106.93,0.49,1243929121,1243929000.0,125547029538.46,133560630000.0
2025-05-23,GILD,106.74,107.25,107.95,106.13,107.72,7069438,755381468.3446,106.85,0.57,1243929121,1243929000.0,124810386405.94,132777000000.0
2025-05-22,GILD,107.72,108.11,108.77,107.39,109.11,7968879,860522586.3666,107.99,0.64,1243929121,1243929000.0,125956293912.21,133996000000.0
2025-05-21,GILD,109.11,105.76,109.26,105.76,106.16,10712067,1158313051.1379,108.13,0.86,1243929121,1243929000.0,127581611701.71,135725100000.0
2025-05-20,GILD,106.16,103.0,106.25,102.84,102.5,8561430,901606847.3433,105.31,0.69,1243929121,1243929000.0,124132196249.17,132055400000.0
2025-05-17,GILD,102.5,100.61,102.55,100.23,100.34,6398442,651918763.8826,101.89,0.51,1243929121,1243929000.0,119852570808.35,127502700000.0
2025-05-16,GILD,100.34,99.53,100.62,97.86,98.38,9678895,965304218.751,99.73,0.78,1243929121,1243929000.0,117326897121.07,124815750000.0
2025-05-15,GILD,98.38,100.93,101.73,98.08,101.43,10047055,998415973.2406,99.37,0.81,1243929121,1243929000.0,115035087955.01,122377690000.0
2025-05-14,GILD,101.43,102.56,102.83,100.73,103.82,8443024,859830894.171,101.84,0.68,1243929121,1243929000.0,118601426898.45,126171700000.0
2025-05-13,GILD,103.82,96.79,104.66,96.19,96.91,12935864,1329786251.1762,102.8,1.04,1243929121,1243929000.0,121396049754.62,129144700000.0
2025-05-10,GILD,96.91,98.07,98.65,96.2,98.16,13141071,1275115006.1163,97.03,1.06,1243929121,1243929000.0,107288766721.73,120549100000.0
