dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,GOOG,169.39,168.28,169.58,167.8,167.71,18508735,3123158576.3668,168.74,0.15,5459000000,12135000000.0,859971009300.0,2046601000000.0
2025-06-04,GOOG,167.71,168.87,169.8,166.68,170.37,25386715,4271360748.7042,168.25,0.21,5459000000,12135000000.0,851441918468.7,2024945000000.0
2025-06-03,GOOG,170.37,169.01,171.06,168.65,172.85,24742879,4208667220.6719,170.1,0.2,5459000000,12135000000.0,864946341900.0,2058493000000.0
2025-05-31,GOOG,172.85,172.41,173.44,168.53,172.96,36258254,6220001950.5888,171.55,0.3,5459000000,12135000000.0,877537030268.7,2090124000000.0
2025-05-30,GOOG,172.96,175.0,175.4,171.78,173.38,21233590,3675046056.43,173.08,0.17,5459000000,12135000000.0,878095485968.7,2091525000000.0
2025-05-29,GOOG,173.38,173.98,176.48,173.01,173.98,25999227,4529354194.812,174.21,0.21,5459000000,12135000000.0,880227771368.7,2097156000000.0
2025-05-28,GOOG,173.98,171.3,174.29,171.21,169.59,24341333,4219450803.0183,173.35,0.2,5459000000,12135000000.0,883273842600.0,2104036000000.0
2025-05-24,GOOG,169.59,170.28,171.21,169.26,171.98,24963649,4250036278.601,170.25,0.21,5459000000,12135000000.0,860986383300.0,2050497000000.0
2025-05-23,GOOG,171.98,173.35,178.13,171.88,170.06,45024083,7866356097.136,174.71,0.37,5459000000,12135000000.0,873120102600.0,2079566000000.0
2025-05-22,GOOG,170.06,164.95,174.53,164.89,165.32,45567579,7807025414.3773,171.33,0.38,5459000000,12135000000.0,863372512200.0,2053663000000.0
2025-05-21,GOOG,165.32,167.76,169.68,164.26,167.87,33563274,5598995497.3661,166.82,0.28,5459000000,12135000000.0,839308199168.7,1997212000000.0
2025-05-20,GOOG,167.87,165.72,167.95,165.42,167.43,21374688,3564295485.5328,166.75,0.18,5459000000,12135000000.0,852254166900.0,2028222000000.0
2025-05-17,GOOG,167.43,168.93,170.65,166.95,165.4,36271379,6101194153.0384,168.21,0.3,5459000000,12135000000.0,850020344100.0,2023483000000.0
2025-05-16,GOOG,165.4,167.14,167.51,163.84,166.81,22717555,3767265776.183,165.83,0.19,5459000000,12135000000.0,839714298000.0,1997515000000.0
2025-05-15,GOOG,166.81,161.31,168.34,160.93,160.89,31769211,5261871197.2001,165.63,0.26,5459000000,12135000000.0,846872684700.0,2014625000000.0
2025-05-14,GOOG,160.89,159.92,162.06,157.58,159.58,24944270,4005051991.2,160.56,0.21,5459000000,12135000000.0,816817614300.0,1943320000000.0
2025-05-13,GOOG,159.58,159.1,160.44,157.89,154.38,31884903,5079437545.2252,159.31,0.26,5459000000,12135000000.0,810166965368.7,1929025000000.0
2025-05-10,GOOG,154.38,155.55,156.43,153.83,155.75,22871036,3538654947.806,154.72,0.19,5459000000,12135000000.0,783767241368.7,1862519000000.0
2025-05-09,GOOG,155.75,155.92,157.41,154.1,152.8,38387508,5981180653.9848,155.81,0.32,5459000000,12135000000.0,790722502500.0,1880212000000.0
2025-05-08,GOOG,152.8,166.07,166.99,149.49,165.2,78900438,12134066799.8448,153.79,0.65,5459000000,12135000000.0,775745786768.7,1844747000000.0
2025-05-07,GOOG,165.2,163.96,166.74,163.13,166.05,10691950,1767228685.4245,165.29,0.09,5459000000,12135000000.0,838698924000.0,1991550000000.0
2025-05-06,GOOG,166.05,164.52,167.1,164.47,165.81,15309344,2546453708.3552,166.33,0.13,5459000000,12135000000.0,843014314268.7,2002732000000.0
2025-05-03,GOOG,165.81,164.96,166.7,163.66,162.79,16844938,2790018826.9204,165.63,0.14,5459000000,12135000000.0,841795814700.0,2000220000000.0
2025-05-02,GOOG,162.79,162.52,163.94,160.93,160.89,21904290,3565757969.9919,162.79,0.18,5459000000,12135000000.0,826463667300.0,1965508000000.0
2025-05-01,GOOG,160.89,159.86,161.37,157.16,162.06,20639520,3293345215.1952,159.57,0.17,5459000000,12135000000.0,816817614300.0,1938447000000.0
2025-04-30,GOOG,162.06,162.05,162.68,159.39,162.42,15955215,2578487354.2291,161.61,0.13,5459000000,12135000000.0,822757552200.0,1953913000000.0
2025-04-29,GOOG,162.42,164.26,164.95,160.38,163.85,20761586,3365874758.4117,162.12,0.17,5459000000,12135000000.0,824585225400.0,1958882000000.0
2025-04-26,GOOG,163.85,167.1,168.24,163.0,161.47,35148055,5794709042.694,164.87,0.29,5474000000,12163000000.0,834130907908.2,1980264000000.0
2025-04-25,GOOG,161.47,158.53,161.71,158.09,157.72,27801829,4465774430.0752,160.63,0.23,5515000000,12212000000.0,828171607789.5,1957205000000.0
2025-04-24,GOOG,157.72,157.91,160.02,156.35,153.9,18313762,2896070744.8982,158.14,,5515000000,,808938045289.5,
2025-04-23,GOOG,153.9,151.07,154.61,150.87,149.86,15910329,2435367012.4707,153.07,0.13,5515000000,12212000000.0,848758500000.0,1863152000000.0
2025-04-22,GOOG,149.86,150.97,151.06,148.4,153.36,16147782,2414290573.4182,149.51,0.13,5515000000,12212000000.0,768624498289.5,1815423000000.0
2025-04-18,GOOG,153.36,156.61,157.07,150.9,155.5,19513407,3000186326.25,153.75,0.16,5515000000,12212000000.0,786575823289.5,1858098000000.0
2025-04-17,GOOG,155.5,155.47,158.18,153.91,158.68,16921497,2637479452.0182,155.87,0.14,5515000000,12212000000.0,797551725000.0,1884433000000.0
2025-04-16,GOOG,158.68,161.57,162.05,157.65,161.47,15690782,2498663045.7158,159.24,0.13,5515000000,12212000000.0,813861786000.0,1921927000000.0
2025-04-15,GOOG,161.47,162.31,164.03,159.92,159.4,18255930,2957524555.755,162.0,0.15,5515000000,12212000000.0,828171607789.5,1955798000000.0
2025-04-12,GOOG,159.4,155.59,159.86,155.59,155.37,22581989,3576957701.0143,158.4,0.18,5515000000,12212000000.0,817554630000.0,1931457000000.0
2025-04-11,GOOG,155.37,158.76,160.03,152.2,161.06,35270540,5500889001.5634,155.96,0.29,5515000000,12212000000.0,796884961500.0,1880300000000.0
2025-04-10,GOOG,161.06,146.33,161.87,145.81,146.58,46479543,7193708589.4245,154.77,0.38,5515000000,12212000000.0,826068687000.0,1951125000000.0
2025-04-09,GOOG,146.58,153.58,154.44,145.21,149.24,35304387,5292858765.1548,149.92,0.29,5515000000,12212000000.0,751801542289.5,1777444000000.0
2025-04-08,GOOG,149.24,143.39,154.93,142.66,147.74,47823024,7086760022.0928,148.19,0.39,5515000000,12212000000.0,765444549289.5,1805842000000.0
2025-04-05,GOOG,147.74,149.9,153.09,147.54,152.63,39832208,5970903744.2912,149.9,0.33,5515000000,12212000000.0,757751124289.5,1789869000000.0
2025-04-04,GOOG,152.63,152.84,154.69,152.18,158.86,28416067,4356509855.8705,153.31,0.23,5515000000,12212000000.0,782831689789.5,1851125000000.0
2025-04-03,GOOG,158.86,156.96,160.28,156.53,158.88,17113321,2714088855.3271,158.6,0.14,5515000000,12212000000.0,814785048289.5,1927809000000.0
2025-04-02,GOOG,158.88,155.3,160.08,155.26,156.23,20111375,3184873746.5887,158.36,0.16,5515000000,12212000000.0,814887627289.5,1928120000000.0
2025-04-01,GOOG,156.23,154.81,157.13,152.21,156.06,33591555,5209385403.6265,155.08,0.28,5515000000,12212000000.0,801295858500.0,1897232000000.0
2025-03-29,GOOG,156.06,162.36,163.81,155.34,164.08,34866461,5507164488.2422,157.95,0.29,5515000000,12212000000.0,800423937000.0,1894217000000.0
2025-03-28,GOOG,164.08,166.71,167.44,163.85,167.14,21571176,3565460852.9232,165.29,0.18,5515000000,12212000000.0,841558167289.5,1991421000000.0
2025-03-27,GOOG,167.14,171.3,171.94,166.86,172.79,22554235,3805636967.9845,168.73,0.18,5515000000,12212000000.0,857252703000.0,2027183000000.0
2025-03-26,GOOG,172.79,171.18,172.91,170.55,169.93,13791262,2373907994.6132,172.13,0.11,5515000000,12212000000.0,886231270500.0,2095176000000.0
2025-03-25,GOOG,169.93,169.27,170.5,167.44,166.25,18693672,3169530781.272,169.55,0.15,5515000000,12212000000.0,871562473500.0,2060115000000.0
2025-03-22,GOOG,166.25,163.38,166.47,163.03,165.05,29882063,4935844760.0031,165.18,0.24,5515000000,12212000000.0,852687937500.0,2015109000000.0
2025-03-21,GOOG,165.05,163.83,167.03,163.14,166.28,19981512,3300969960.0295,165.2,0.16,5515000000,12212000000.0,846533248789.5,2000521000000.0
2025-03-20,GOOG,166.28,163.92,168.13,163.05,162.67,24955719,4137705626.0661,165.8,0.2,5515000000,12212000000.0,852841806000.0,2014605000000.0
2025-03-19,GOOG,162.67,165.96,166.44,158.8,166.57,24616786,3980091440.2199,161.68,0.2,5515000000,12212000000.0,834326296500.0,1973131000000.0
2025-03-18,GOOG,166.57,167.33,168.46,165.81,167.62,17839141,2978275094.8811,166.95,0.15,5515000000,12212000000.0,854329252789.5,2018883000000.0
2025-03-15,GOOG,167.62,165.32,168.25,164.51,164.73,18611094,3102508639.2083,166.7,0.15,5515000000,12212000000.0,859714599000.0,2032710000000.0
2025-03-14,GOOG,164.73,167.98,168.12,164.07,169.0,15206165,2515165077.5095,165.4,0.12,5515000000,12212000000.0,844891933500.0,1998488000000.0
2025-03-13,GOOG,169.0,168.47,169.53,165.48,165.98,19533762,3282342219.3742,168.03,0.16,5515000000,12212000000.0,866792550000.0,2051169000000.0
2025-03-12,GOOG,165.98,166.68,168.66,163.24,167.81,23705899,3941091722.2696,166.25,0.19,5515000000,12212000000.0,851303121000.0,2013955000000.0
2025-03-11,GOOG,167.81,170.16,170.45,165.57,175.55,28990723,4859019409.0452,167.61,0.24,5515000000,12212000000.0,860689099500.0,2036303000000.0
2025-03-08,GOOG,175.75,173.24,176.9,172.25,174.21,16341786,2855416772.9839,174.73,0.13,5515000000,12212000000.0,901412962500.0,2133600000000.0
2025-03-07,GOOG,174.21,172.55,176.73,172.51,174.99,18981040,3312343328.32,174.51,,5515000000,,893514430789.5,
2025-03-06,GOOG,174.99,172.32,175.75,170.93,172.61,18793618,3262576031.4598,173.6,0.15,5515000000,12212000000.0,897515011789.5,2123784000000.0
2025-03-05,GOOG,172.61,167.94,175.17,167.54,168.66,30461950,5214171981.5,171.17,0.25,5515000000,12212000000.0,885308110789.5,2096594000000.0
2025-03-04,GOOG,168.66,173.73,175.0,167.64,172.22,24005036,4096500442.0116,170.65,0.2,5515000000,12212000000.0,865048758289.5,2048625000000.0
2025-03-01,GOOG,172.22,170.3,172.5,168.39,170.21,29364344,5012379293.5018,170.7,0.24,5515000000,12212000000.0,883307820289.5,2090158000000.0
2025-02-28,GOOG,170.21,175.94,176.59,169.75,174.7,25805813,4438114944.7737,171.98,0.21,5515000000,12212000000.0,872998630789.5,2067152000000.0
2025-02-27,GOOG,174.7,176.95,178.08,173.59,177.37,23512258,4131096912.0452,175.7,0.19,5515000000,12212000000.0,896027565000.0,2120243000000.0
