dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,GOOGL,166.18,167.49,168.48,165.28,169.03,,45084903,7520838544.794,166.82,0.37,5820000000,12135000000.0,967167600000.0,2024945000000.0
2025-06-03,GOOGL,169.03,167.84,169.87,167.39,171.74,-0.06508875739644959,38612274,6519890971.1796,168.86,0.32,5820000000,12135000000.0,983754600000.0,2058493000000.0
2025-05-31,GOOGL,171.74,171.35,172.21,167.44,171.86,-0.9556962025316456,52639911,8971204734.494,170.43,0.43,5820000000,12135000000.0,999526858200.0,2090124000000.0
2025-05-30,GOOGL,171.86,174.0,174.42,170.63,172.36,3.1428571428571423,29373805,5052943621.0905,172.02,0.24,5820000000,12135000000.0,1000225258200.0,2091525000000.0
2025-05-29,GOOGL,172.36,173.16,175.27,171.91,172.9,0.06896551724137945,34783997,6018188372.792,173.02,0.29,5820000000,12135000000.0,1003135258200.0,2097156000000.0
2025-05-28,GOOGL,172.9,170.16,173.17,170.0,168.47,-9.483870967741936,37995672,6543177681.612,172.21,0.31,5820000000,12135000000.0,1006278000000.0,2104036000000.0
2025-05-24,GOOGL,168.47,169.06,169.96,167.89,170.87,-1.532319391634981,35211438,5952194648.7914,169.04,0.29,5820000000,12135000000.0,980495458200.0,2050497000000.0
2025-05-23,GOOGL,170.87,171.85,176.77,170.71,168.56,-1.9785714285714286,74864438,12985110250.1998,173.45,0.62,5820000000,12135000000.0,994463400000.0,2079566000000.0
2025-05-22,GOOGL,168.56,163.69,173.14,163.56,163.98,1.0364963503649633,73415938,12473272425.4806,169.9,0.6,5820000000,12135000000.0,981019200000.0,2053663000000.0
2025-05-21,GOOGL,163.98,166.43,168.5,162.9,166.54,-1.5519713261648747,46607657,7711283924.3836,165.45,0.38,5820000000,12135000000.0,954363600000.0,1997212000000.0
2025-05-20,GOOGL,166.54,164.51,166.64,164.22,166.19,-1.1363636363636362,30426098,5035504005.951,165.5,0.25,5820000000,12135000000.0,969262800000.0,2028222000000.0
2025-05-17,GOOGL,166.19,167.73,169.35,165.62,163.96,5.476190476190477,42846926,7156752471.0975,167.03,0.35,5820000000,12135000000.0,967225858200.0,2023483000000.0
2025-05-16,GOOGL,163.96,165.84,166.21,162.37,165.37,-1.625,33146668,5447581963.1304,164.35,0.27,5820000000,12135000000.0,954247258200.0,1997515000000.0
2025-05-15,GOOGL,165.37,159.96,167.0,159.61,159.53,-5.305882352941177,48755868,8007888037.3128,164.24,0.4,5820000000,12135000000.0,962453400000.0,2014625000000.0
2025-05-14,GOOGL,159.53,158.79,160.57,156.16,158.46,-0.8142076502732241,42382125,6742644739.6838,159.09,0.35,5820000000,12135000000.0,928464600000.0,1943320000000.0
2025-05-13,GOOGL,158.46,157.49,159.1,156.25,152.75,4.5,44138817,6966694320.012,157.84,0.36,5820000000,12135000000.0,922237258200.0,1929025000000.0
2025-05-10,GOOGL,152.75,154.17,155.05,152.2,154.28,-1.2647058823529411,32435282,4967447545.0118,153.15,0.27,5820000000,12135000000.0,889005000000.0,1862519000000.0
2025-05-09,GOOGL,154.28,155.0,155.93,152.9,151.38,-2.9393939393939394,57498692,8875372174.9845,154.36,0.47,5820000000,12135000000.0,897909600000.0,1880212000000.0
2025-05-08,GOOGL,151.38,164.08,165.0,147.84,163.23,-4.78125,127747570,19468678568.972,152.4,1.05,5820000000,12135000000.0,881031658200.0,1844747000000.0
2025-05-07,GOOGL,163.23,162.17,164.8,161.19,164.21,-0.9173553719008265,21277211,3474573024.5143,163.3,0.18,5820000000,12135000000.0,949998600000.0,1991550000000.0
2025-05-06,GOOGL,164.21,163.0,165.39,162.72,164.03,-1.1833333333333333,21341813,3511919325.0835,164.56,0.18,5820000000,12135000000.0,955702258200.0,2002732000000.0
2025-05-03,GOOGL,164.03,163.41,164.97,161.87,161.3,14.363636363636363,25715004,4213405976.9004,163.85,0.21,5820000000,12135000000.0,954654600000.0,2000220000000.0
2025-05-02,GOOGL,161.3,160.45,161.95,158.91,158.8,-0.07100591715976323,30203247,4860992422.9794,160.94,0.25,5820000000,12135000000.0,938766058200.0,1965508000000.0
2025-05-01,GOOGL,158.8,157.98,159.27,155.4,160.16,-1.5414012738853504,34981059,5515026659.1031,157.66,0.29,5820000000,12135000000.0,924216058200.0,1938447000000.0
2025-04-30,GOOGL,160.16,160.33,160.74,157.52,160.61,-0.6705882352941176,26808958,4280548791.3188,159.67,0.22,5820000000,12135000000.0,932131258200.0,1953913000000.0
2025-04-29,GOOGL,160.61,162.43,163.15,158.6,161.96,1.964285714285714,29602676,4746427943.9528,160.34,0.24,5820000000,12135000000.0,934750258200.0,1958882000000.0
2025-04-26,GOOGL,161.96,165.07,166.1,161.04,159.28,-3.0240963855421685,56033997,9128980343.6442,162.92,0.46,5825000000,12163000000.0,943417058250.0,1980264000000.0
2025-04-25,GOOGL,159.28,156.15,159.59,155.79,155.35,0.5059523809523809,41251844,6535426927.8284,158.43,0.34,5833000000,12212000000.0,929080240000.0,1957205000000.0
