dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,HON,227.45,227.48,228.77,226.19,226.77,1832734,417047052.2764,227.55,0.29,642682909,642683000.0,146178227652.05,146178190000.0
2025-06-04,HON,226.77,225.0,227.22,224.99,225.52,2809400,636215038.36,226.46,0.44,642682909,642683000.0,145741209700.76,145741130000.0
2025-06-03,HON,225.52,225.0,225.94,223.03,226.67,2531738,569600314.3356,224.98,0.39,642682909,642683000.0,144937856064.51,144937820000.0
2025-05-31,HON,226.67,226.65,227.02,223.77,225.19,8299563,1873123476.7278,225.69,1.29,642682909,642683000.0,145676934983.03,145676880000.0
2025-05-30,HON,225.19,225.54,225.91,223.24,224.61,6740469,1514875920.6546,224.74,1.05,642682909,642683000.0,144725770704.54,144725690000.0
2025-05-29,HON,224.61,226.46,227.89,224.18,226.46,2582653,581987165.4891,225.34,0.4,642682909,642683000.0,144353014617.32,144352940000.0
2025-05-28,HON,226.46,224.42,226.76,222.33,222.03,3091020,697444801.4262,225.64,0.48,642682909,642683000.0,145541977998.97,145541940000.0
2025-05-24,HON,222.03,220.82,223.0,220.82,223.63,2537518,563519081.4734,222.07,0.39,642682909,642683000.0,142694886285.27,142694820000.0
2025-05-23,HON,223.63,221.39,225.03,221.19,221.87,2915477,651476455.2965,223.45,0.45,642682909,642683000.0,143723185366.5,143723100000.0
2025-05-22,HON,221.87,224.43,224.96,221.51,225.06,3611425,803598075.7018,222.52,0.56,642682909,642683000.0,142592057019.83,142592000000.0
2025-05-21,HON,225.06,223.26,225.26,223.26,224.94,3333884,749122434.5852,224.7,0.52,642682909,642683000.0,144642215499.54,144642100000.0
2025-05-20,HON,224.94,221.61,225.1,220.62,222.88,3415205,765601531.752,224.17,0.53,642682909,642683000.0,144565099977.29,144565100000.0
2025-05-17,HON,222.88,222.3,222.99,220.62,221.16,2895966,643683206.2171,222.27,0.45,642682909,642683000.0,143241173184.75,143241130000.0
2025-05-16,HON,221.16,216.59,221.85,216.59,216.08,4133192,917375231.9463,220.82,0.64,642682909,642683000.0,142861983841.61,142861940000.0
2025-05-15,HON,217.18,216.37,218.2,215.82,218.22,3234995,702216515.006,217.07,0.5,642682909,642683000.0,139577874176.62,139577820000.0
2025-05-14,HON,218.22,219.76,220.37,218.06,219.34,3858344,843991914.9424,218.74,0.6,642682909,642683000.0,140246270828.81,140246190000.0
2025-05-13,HON,219.34,218.0,219.46,216.53,213.03,4032539,879779840.1378,218.17,0.63,642682909,642683000.0,140966069260.06,140966000000.0
2025-05-10,HON,213.03,214.54,214.88,212.67,214.54,2394408,510356332.6008,213.15,0.37,642682909,642683000.0,136910740104.27,136910690000.0
2025-05-09,HON,214.54,215.7,216.66,213.78,214.61,3901856,839483538.0288,215.15,0.61,642682909,642683000.0,137881191296.86,137881130000.0
2025-05-08,HON,214.61,213.9,216.77,213.13,209.93,4334160,930640847.1096,214.72,0.67,642682909,642683000.0,137926185527.32,137926100000.0
2025-05-07,HON,209.93,212.73,213.29,209.49,214.25,5129434,1084905041.7172,211.51,0.8,642682909,642683000.0,134918423086.37,134918380000.0
2025-05-06,HON,214.25,213.07,215.54,212.47,214.13,6285203,1347785166.7254,214.44,0.98,642682909,642683000.0,137694813253.25,137694750000.0
2025-05-03,HON,214.13,212.18,214.94,212.02,210.74,4378676,937014770.62,214.0,0.68,642682909,642683000.0,137617697731.0,137617630000.0
2025-05-02,HON,210.74,210.4,211.53,209.77,210.5,3591602,756481171.25,210.63,0.56,642682909,642683000.0,135439002669.49,135438940000.0
2025-05-01,HON,210.5,211.12,211.66,205.79,211.49,5031992,1054890700.5056,209.64,0.78,642682909,642683000.0,135284752344.5,135284690000.0
2025-04-30,HON,211.49,207.45,212.43,206.86,200.66,8744590,1842154654.9439,210.66,1.36,643256969,643257000.0,136042422806.38,136042380000.0
2025-04-29,HON,200.66,199.57,201.72,197.99,199.16,5619246,1123878476.2717,200.01,0.87,643256969,643257000.0,129075949832.11,129075880000.0
2025-04-26,HON,199.16,199.2,200.58,197.79,200.74,3639403,724685604.5003,199.12,0.57,643256969,643257000.0,128111064378.61,128111000000.0
2025-04-25,HON,200.74,197.33,201.6,196.24,197.31,3191014,639109398.9875,200.28,0.5,643256969,643257000.0,129127410389.63,129127380000.0
2025-04-24,HON,197.31,199.63,201.28,196.82,198.37,4154547,823717505.2338,198.27,,643256969,,126921032553.39,
2025-04-23,HON,198.37,195.86,199.65,195.41,194.23,4346695,860726501.994,198.02,0.68,643256969,643257000.0,127602884940.53,127602820000.0
2025-04-22,HON,194.23,194.98,195.8,192.12,196.6,4948637,958673267.7203,193.72,0.77,643256969,643257000.0,124939801088.87,124939750000.0
2025-04-18,HON,196.6,195.25,198.33,194.98,193.28,3215569,633320495.2093,196.95,0.5,643256969,643257000.0,126464326537.97,126464250000.0
2025-04-17,HON,193.28,197.5,198.59,192.51,198.81,4129332,803949557.4768,194.69,0.64,643256969,643257000.0,124328706968.32,124328630000.0
2025-04-16,HON,198.81,200.83,202.36,198.39,200.25,3019515,603786174.9647,199.96,0.47,643256969,643257000.0,127885918006.89,127885900000.0
2025-04-15,HON,200.25,199.02,201.36,198.2,198.55,4492188,899346414.5543,200.2,0.7,643256969,643257000.0,128812208042.25,128812190000.0
2025-04-12,HON,198.55,192.78,199.41,191.6,193.39,5102934,1004212046.1167,196.79,0.79,643256969,643257000.0,127718677627.52,127718600000.0
2025-04-11,HON,193.39,196.99,199.55,188.8,199.1,5821692,1126410717.0061,193.49,0.91,643256969,643257000.0,124399465234.91,124399400000.0
2025-04-10,HON,199.1,180.5,199.78,179.36,182.86,9141305,1776310049.5545,194.32,1.41,649918551,649919000.0,129398790003.29,129398750000.0
2025-04-09,HON,182.86,188.24,191.17,180.83,187.46,6952008,1295292568.9536,186.32,1.07,649918551,649919000.0,118844112735.05,118844070000.0
2025-04-08,HON,187.46,190.81,196.23,183.39,190.99,9352215,1761820857.1832,188.39,1.44,649918551,649919000.0,121833738069.65,121833700000.0
2025-04-05,HON,190.99,203.25,204.63,190.71,206.68,8445699,1657816391.5488,196.29,1.3,649918551,649919000.0,124127950554.68,124127880000.0
2025-04-04,HON,206.68,213.59,216.29,206.33,215.99,6510703,1359541627.0362,208.82,1.0,649918551,649919000.0,134325166120.68,134325130000.0
2025-04-03,HON,215.99,212.49,216.41,212.33,213.45,3423931,737375383.4083,215.36,0.53,649918551,649919000.0,140375914329.68,140375880000.0
2025-04-02,HON,213.45,211.11,213.63,209.68,211.75,2563812,545036460.2377,212.59,0.39,649918551,649919000.0,138725114710.95,138725100000.0
2025-04-01,HON,211.75,210.83,212.44,209.76,210.34,3968314,839040113.4417,211.43,0.61,649918551,649919000.0,137620253174.25,137620200000.0
