dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,IDXX,524.86,526.32,530.73,524.71,525.83,503484,265485663.1661,527.3,0.62,81039040,81039000.0,39556768287.29,42534157000.0
2025-06-04,IDXX,525.83,513.55,526.36,510.99,514.8,608809,318527060.6373,523.2,0.75,81039040,81039000.0,39629871344.28,42612762000.0
2025-06-03,IDXX,514.8,508.72,514.85,504.56,513.36,501729,256952620.1701,512.13,0.62,81039040,81039000.0,38798578714.88,41718899000.0
2025-05-31,IDXX,513.36,514.27,515.92,506.28,515.55,1221827,626728950.8707,512.94,1.51,81039040,81039000.0,38690055754.49,41602210000.0
2025-05-30,IDXX,515.55,518.07,520.0,510.64,514.33,362425,186708338.0698,515.16,0.45,81039040,81039000.0,38855103445.28,41779676000.0
2025-05-29,IDXX,514.33,514.9,516.65,507.75,516.5,479144,246292770.8133,514.03,0.59,81039040,81039000.0,38763158811.48,41680810000.0
2025-05-28,IDXX,516.5,507.03,517.8,505.81,501.57,636636,328211348.9054,515.54,0.79,81039040,81039000.0,38926697668.8,41856661000.0
2025-05-24,IDXX,501.57,498.0,502.18,496.61,504.83,443607,221926317.034,500.28,0.55,81039040,81039000.0,37801483977.95,40646754000.0
2025-05-23,IDXX,504.83,499.24,508.01,497.02,500.87,555054,279688002.8393,503.89,0.68,81039040,81039000.0,38047178893.08,40910940000.0
2025-05-22,IDXX,500.87,513.74,518.15,498.78,517.16,664595,335453681.5929,504.75,0.82,81039040,81039000.0,37748731331.22,40590030000.0
2025-05-21,IDXX,517.16,517.88,523.48,513.93,521.68,606896,314296266.0,517.88,0.75,81039040,81039000.0,38976433402.25,41910140000.0
2025-05-20,IDXX,521.68,511.83,521.73,508.57,518.1,427589,222009929.9408,519.21,0.53,81039040,81039000.0,39317090618.12,42276440000.0
2025-05-17,IDXX,518.1,514.05,518.41,509.07,511.99,524929,270811333.0375,515.9,0.65,81039040,81039000.0,39047291296.95,41986330000.0
2025-05-16,IDXX,511.99,508.08,513.33,505.0,509.42,469419,240016938.9816,511.31,0.58,81039040,81039000.0,38586795623.33,41491180000.0
2025-05-15,IDXX,509.42,507.0,510.72,503.72,509.13,552654,281227217.2218,508.87,0.68,81039040,81039000.0,38393098938.18,41282899000.0
2025-05-14,IDXX,509.13,508.96,512.72,504.2,509.53,558450,284189291.0145,508.89,0.69,81039040,81039000.0,38371239694.44,41259390000.0
2025-05-13,IDXX,509.53,500.0,509.84,498.53,491.7,692711,350994093.7422,506.7,0.85,81039040,81039000.0,38401396768.61,41291820000.0
2025-05-10,IDXX,491.7,490.32,493.77,487.3,489.98,668584,328195911.2606,490.88,0.83,81039040,81039000.0,37057610235.59,39846890000.0
2025-05-09,IDXX,489.98,487.14,495.56,485.41,486.61,865597,425975795.1982,492.12,1.07,81039040,81039000.0,36927982448.19,39707500000.0
2025-05-08,IDXX,486.61,473.71,488.49,471.74,473.71,667514,322165626.0651,482.64,0.82,81039040,81039000.0,36674007036.89,39434410000.0
2025-05-07,IDXX,473.71,470.42,479.72,465.0,475.07,890251,421233477.8126,473.16,1.1,81039040,81039000.0,35701771122.72,38389000000.0
