dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,INTC,20.25,20.34,20.5,20.01,20.29,71166563,1442518334.7173,20.27,1.63,4362000000,4362000000.0,83030670000.0,88330438000.0
2025-06-04,INTC,20.29,19.75,20.41,19.4,19.74,80401875,1617589644.7594,20.12,1.84,4362000000,4362000000.0,83194656598.32,88504875000.0
2025-06-03,INTC,19.74,19.48,19.82,19.37,19.55,67885500,1332579263.0985,19.63,1.56,4362000000,4362000000.0,80939551801.68,86105813000.0
2025-05-31,INTC,19.55,20.26,20.26,19.31,20.25,114281880,2245559858.939,19.65,2.62,4362000000,4362000000.0,80160490401.12,85277060000.0
2025-05-30,INTC,20.25,20.54,20.6,20.1,20.37,66485188,1345421190.8691,20.24,1.52,4362000000,4362000000.0,83030670000.0,88330438000.0
2025-05-29,INTC,20.37,20.57,20.64,20.33,20.55,46096477,944111256.9254,20.48,1.06,4362000000,4362000000.0,83522687198.88,88853810000.0
2025-05-28,INTC,20.55,20.44,20.67,20.18,20.05,69504563,1423654665.9499,20.48,1.59,4362000000,4362000000.0,84260770401.12,89639063000.0
2025-05-24,INTC,20.05,20.16,20.27,19.94,20.55,68206063,1369243808.1556,20.08,1.56,4362000000,4362000000.0,82210630401.12,87458063000.0
2025-05-23,INTC,20.55,20.73,20.9,20.51,20.69,56077473,1160585325.4201,20.7,1.29,4362000000,4362000000.0,84260770401.12,89639060000.0
2025-05-22,INTC,20.69,21.19,21.63,20.59,21.27,62904696,1325075154.8243,21.06,1.44,4362000000,4362000000.0,84834805500.84,90249690000.0
2025-05-21,INTC,21.27,21.33,21.41,21.12,21.38,48497383,1032455694.4618,21.29,1.11,4362000000,4362000000.0,87212976101.4,92779690000.0
2025-05-20,INTC,21.38,21.18,21.56,21.05,21.66,64279079,1373842733.4213,21.37,1.47,4362000000,4362000000.0,87664006901.4,93259500000.0
2025-05-17,INTC,21.66,21.53,21.76,21.35,21.55,55795145,1204979681.6071,21.6,1.28,4362000000,4362000000.0,88812081201.12,94480880000.0
2025-05-16,INTC,21.55,21.23,21.63,21.19,21.52,66705438,1431525648.477,21.46,1.53,4362000000,4362000000.0,88361050401.12,94001060000.0
2025-05-15,INTC,21.52,22.35,22.46,21.46,22.56,91584813,1987856975.1374,21.71,2.1,4362000000,4362000000.0,88238046101.4,93870188000.0
2025-05-14,INTC,22.56,22.36,22.88,22.3,22.18,76850375,1737210642.4636,22.61,1.76,4362000000,4362000000.0,92502308599.44,98406630000.0
2025-05-13,INTC,22.18,22.18,22.67,21.88,21.42,94578688,2097235117.056,22.17,2.17,4362000000,4362000000.0,90944181698.04,96749060000.0
2025-05-10,INTC,21.42,21.2,21.45,20.83,21.0,51768567,1095391505.9684,21.16,1.19,4362000000,4362000000.0,87827993499.72,93433940000.0
2025-05-09,INTC,21.0,21.01,21.24,20.64,20.31,71651688,1501826473.9971,20.96,1.64,4362000000,4362000000.0,86105880000.0,91601940000.0
2025-05-08,INTC,20.31,19.97,20.37,19.82,19.94,61134293,1227637370.9272,20.08,1.4,4362000000,4362000000.0,83276678599.44,88592130000.0
2025-05-07,INTC,19.94,19.92,20.12,19.77,20.27,51330774,1024151397.5249,19.95,1.18,4362000000,4362000000.0,81759595500.84,86978250000.0
2025-05-06,INTC,20.27,20.39,20.58,20.24,20.62,44236981,900762166.0442,20.36,1.01,4362000000,4362000000.0,83112696101.4,88417688000.0
2025-05-03,INTC,20.62,20.26,20.78,20.21,19.98,63298512,1302138756.5628,20.57,1.45,4362000000,4362000000.0,84547757198.88,89944375000.0
2025-05-02,INTC,19.98,20.22,20.65,19.94,20.1,72607500,1469873127.7125,20.24,1.66,4362000000,4362000000.0,81923577998.88,87152688000.0
2025-05-01,INTC,20.1,19.71,20.18,19.55,20.34,68297313,1357259046.6783,19.87,1.57,4362000000,4362000000.0,82415656701.96,87676190000.0
2025-04-30,INTC,20.34,20.31,20.85,20.22,20.51,70031875,1439470524.8469,20.55,1.61,4362000000,4362000000.0,83399682899.16,88723000000.0
2025-04-29,INTC,20.51,20.12,21.08,20.05,20.05,96224563,1974469720.6748,20.52,2.21,4362000000,4362000000.0,84096722298.6,89464500000.0
2025-04-26,INTC,20.05,19.73,20.18,19.34,21.49,147711190,2937414266.578,19.89,3.39,4362000000,4362000000.0,82210630401.12,87458060000.0
2025-04-25,INTC,21.49,21.04,21.55,20.88,20.59,106467690,2267804384.076,21.3,2.44,4360591639,4360592000.0,88086592056.52,93709060000.0
2025-04-23,INTC,19.51,19.06,19.74,19.04,18.84,83365625,1621644393.7969,19.45,1.91,4360591639,4360592000.0,79970613809.5,85075063000.0
2025-04-22,INTC,18.84,18.93,18.99,18.25,18.93,72409938,1348200925.2618,18.62,1.66,4360591639,4360592000.0,77224321393.17,82153500000.0
2025-04-18,INTC,18.93,18.91,19.1,18.56,19.23,85646688,1615202495.6166,18.86,1.96,4360591639,4360592000.0,77593211050.0,82545940000.0
2025-04-17,INTC,19.23,19.34,19.43,18.72,19.85,89469688,1713505123.29,19.15,2.05,4360591639,4360592000.0,78822910189.07,83854130000.0
2025-04-16,INTC,19.85,20.2,20.47,19.81,20.31,64056895,1284757370.7951,20.06,1.47,4360591639,4360592000.0,81364308084.79,86557690000.0
2025-04-15,INTC,20.31,20.59,21.05,19.98,19.74,101964380,2086201309.2736,20.46,2.34,4360591639,4360592000.0,83249791018.89,88563563000.0
2025-04-12,INTC,19.74,19.25,19.8,18.18,19.88,128425820,2438087907.7629,18.98,2.95,4360591639,4360592000.0,80913418810.37,86078060000.0
2025-04-11,INTC,19.88,20.68,20.82,19.16,21.53,129064880,2570907231.8356,19.92,2.96,4360591639,4360592000.0,81487268571.1,86688560000.0
2025-04-10,INTC,21.53,18.07,21.73,17.98,18.13,224183500,4548774233.501,20.29,5.14,4360591639,4360592000.0,88250521609.45,93883500000.0
2025-04-09,INTC,18.13,20.06,20.39,17.67,19.57,163982690,3105915123.8411,18.94,3.76,4360591639,4360592000.0,74314095324.95,79057500000.0
2025-04-08,INTC,19.57,19.14,20.67,18.56,19.85,142491130,2765568592.2689,19.41,3.27,4360591639,4360592000.0,80216604464.37,85336750000.0
2025-04-05,INTC,19.85,21.7,22.2,19.7,22.43,175014750,3567728183.175,20.39,4.01,4360591639,4360592000.0,81364308084.79,86557690000.0
2025-04-04,INTC,22.43,21.4,23.9,20.86,21.98,242972130,5404524575.6371,22.24,5.57,4360591639,4360592000.0,91939557542.31,97808000000.0
2025-04-03,INTC,21.98,21.89,22.38,21.7,22.05,58878848,1294103852.5614,21.98,1.35,4360591639,4360592000.0,90095039575.88,95845690000.0
2025-04-02,INTC,22.05,22.56,22.62,21.66,22.71,64060356,1411615171.0713,22.04,1.47,4360591639,4360592000.0,90381999297.38,96151000000.0
2025-04-01,INTC,22.71,22.38,22.75,21.75,22.71,65832000,1473826803.072,22.39,1.51,4360591639,4360592000.0,93087322647.08,99029000000.0
2025-03-29,INTC,22.71,23.35,23.58,22.56,23.62,58365258,1332677573.8435,22.83,1.34,4360591639,4360592000.0,93087322647.08,99029000000.0
2025-03-28,INTC,23.62,23.29,23.76,22.86,23.42,57720586,1345536355.2455,23.31,1.33,4330000000,4330000000.0,96138107719.2,102274500000.0
2025-03-27,INTC,23.42,24.25,24.42,23.25,24.2,59678008,1404772565.9136,23.54,1.38,4330000000,4330000000.0,95324079929.8,101408570000.0
2025-03-26,INTC,24.2,24.18,24.75,24.11,24.22,51532594,1253757453.1918,24.33,1.19,4330000000,4330000000.0,98498827789.4,104785940000.0
2025-03-25,INTC,24.22,24.72,24.99,24.13,24.26,68788500,1675908327.1425,24.36,1.59,4330000000,4330000000.0,98580252140.4,104872500000.0
2025-03-22,INTC,24.26,23.6,24.7,23.49,23.96,94110688,2277723996.1636,24.2,2.17,4330000000,4330000000.0,98743031649.0,105045690000.0
2025-03-21,INTC,23.96,23.77,24.31,23.73,24.12,68937563,1652481917.1544,23.97,1.59,4330000000,4330000000.0,97522020491.4,103746800000.0
2025-03-20,INTC,24.12,24.9,25.23,24.03,25.92,135491440,3300761843.8732,24.36,3.13,4330000000,4330000000.0,98173207719.2,104439500000.0
2025-03-19,INTC,25.92,25.55,26.41,25.39,25.69,132488820,3443185036.1259,25.99,3.06,4330000000,4330000000.0,105499579929.8,112233500000.0
2025-03-18,INTC,25.69,24.42,26.15,24.37,24.05,160723630,4129858765.9202,25.7,3.71,4330000000,4330000000.0,104563450210.6,111237690000.0
2025-03-15,INTC,24.05,23.68,24.37,23.52,23.7,116901630,2801711342.1336,23.97,2.7,4330000000,4330000000.0,97888326280.8,104136440000.0
2025-03-14,INTC,23.7,23.5,24.53,23.13,20.68,243261000,5797348229.583,23.83,5.62,4330000000,4330000000.0,96463727789.4,102620940000.0
2025-03-13,INTC,20.68,20.79,21.17,20.21,19.78,113824250,2352201687.8698,20.67,2.63,4330000000,4330000000.0,84171707508.6,89544310000.0
2025-03-12,INTC,19.78,19.97,20.06,19.29,19.93,80789000,1592068266.922,19.71,1.87,4330000000,4330000000.0,80508551929.8,85647313000.0
2025-03-11,INTC,19.93,20.24,20.51,19.65,20.64,82760563,1654715027.6643,19.99,1.91,4330000000,4330000000.0,81119057508.6,86296813000.0
2025-03-08,INTC,20.64,20.27,21.2,20.11,20.75,80532563,1656804874.5181,20.57,1.86,4330000000,4330000000.0,84008928000.0,89371125000.0
2025-03-07,INTC,20.75,20.26,21.13,20.0,20.81,95282750,1972982267.5638,20.71,,4330000000,,84456650000.0,
2025-03-06,INTC,20.81,21.33,21.36,20.18,21.33,126549000,2611249144.857,20.63,2.92,4330000000,4330000000.0,84700853859.6,90107190000.0
2025-03-05,INTC,21.33,22.54,22.63,20.76,22.74,150341940,3217933767.6121,21.4,3.47,4330000000,4330000000.0,86817374140.4,92358813000.0
2025-03-04,INTC,22.74,25.0,25.04,22.52,23.73,137620940,3280015509.5733,23.83,3.18,4330000000,4330000000.0,92556372421.2,98464188000.0
