dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,INTU,764.66,762.83,768.09,758.16,764.99,,1526890,1163175564.3155,761.79,0.55,278947000,278947000.0,202634611169.03,213299570000.0
2025-06-03,INTU,764.99,750.55,765.08,748.34,753.47,-39.25,1870212,1422030038.726,760.36,0.67,278947000,278947000.0,202722082253.5,213391690000.0
2025-05-31,INTU,753.47,760.0,761.02,747.27,757.22,-1.326797385620915,2887265,2176013079.3991,753.66,1.04,278947000,278947000.0,199669280985.51,210178190000.0
2025-05-30,INTU,757.22,759.5,759.5,746.81,754.45,-1.74,1589803,1197966241.8438,753.53,0.57,278947000,278947000.0,200663029673.01,211224190000.0
2025-05-29,INTU,754.45,752.0,758.77,751.0,751.96,-0.108108108108108,2504604,1890191502.8891,754.69,0.9,278947000,278947000.0,199928975342.51,210451570000.0
2025-05-28,INTU,751.96,724.51,751.96,722.45,720.13,12.393939393939393,4080004,3025709464.7789,741.59,1.46,278947000,278947000.0,199269128864.01,209756940000.0
2025-05-24,INTU,720.13,720.0,734.18,714.0,666.07,0.83710407239819,5327731,3849578353.0411,722.55,1.91,278947000,278947000.0,190834168804.54,200878070000.0
2025-05-23,INTU,666.07,662.51,670.56,659.0,659.98,-0.8866995073891626,2301181,1530551680.6771,665.12,0.82,278947000,278947000.0,176508335425.48,185798200000.0
2025-05-22,INTU,659.98,668.74,671.06,659.61,671.16,-2.8152173913043477,1478998,983239038.8084,664.8,0.53,279562000,279562000.0,175280059666.16,184505300000.0
2025-05-21,INTU,671.16,665.38,671.5,663.23,670.86,-1.0239520958083832,1047746,701148249.4579,669.2,0.37,279562000,279562000.0,178249269077.29,187630800000.0
2025-05-20,INTU,670.86,666.46,675.0,663.2,670.28,1.25,1327858,891421948.0985,671.32,0.47,279562000,279562000.0,178169644368.23,187547000000.0
2025-05-17,INTU,670.28,672.81,672.81,662.19,661.31,14.111111111111112,1555209,1039953001.6997,668.69,0.56,279562000,279562000.0,178015584459.52,187384800000.0
2025-05-16,INTU,661.31,654.32,665.37,652.16,652.83,-0.044117647058823595,1548947,1023084790.8987,660.5,0.55,279562000,279562000.0,175633304844.03,184877100000.0
2025-05-15,INTU,652.83,656.0,660.47,652.11,656.8,-1.4615384615384615,1948097,1276127687.2218,655.06,0.7,279562000,279562000.0,173381158683.71,182506440000.0
2025-05-14,INTU,656.8,660.44,661.39,651.73,662.3,0.3833333333333333,1560660,1026377803.125,657.66,0.56,279562000,279562000.0,174435518799.2,183616300000.0
2025-05-13,INTU,662.3,665.0,670.6,654.92,653.88,-2.5542168674698793,1842163,1219997186.9991,662.26,0.66,279562000,279562000.0,175896230249.2,185153900000.0
2025-05-10,INTU,653.88,655.26,658.19,650.06,656.08,-1.2635658914728682,1158833,757240791.2729,653.45,0.41,279562000,279562000.0,173659971317.77,182800000000.0
2025-05-09,INTU,656.08,643.53,662.49,641.31,641.14,-7.852941176470588,2059822,1349103962.6655,654.96,0.74,279562000,279562000.0,174244306358.71,183415100000.0
2025-05-08,INTU,641.14,626.6,642.47,626.6,626.55,0.0,1650609,1052351099.4171,637.55,0.59,279562000,279562000.0,170276435087.61,179238400000.0
2025-05-07,INTU,626.55,625.5,633.91,622.94,632.18,-1.3819742489270386,905847,569281494.721,628.45,0.32,279562000,279562000.0,166401605824.2,175159570000.0
2025-05-06,INTU,632.18,630.67,641.51,629.39,631.68,-1.0898876404494382,1434251,912166840.9208,635.99,0.51,279562000,279562000.0,167896813966.97,176733500000.0
2025-05-03,INTU,631.68,633.46,636.81,627.55,623.19,16.0,1367396,864042381.6523,631.89,0.49,279562000,279562000.0,167764022016.97,176593690000.0
2025-05-02,INTU,623.19,624.5,635.18,622.42,627.47,-1.5,1449899,909318540.8481,627.16,0.52,279562000,279562000.0,165509217361.81,174220190000.0
2025-05-01,INTU,627.47,614.09,629.3,610.22,623.15,-2.014705882352941,1315433,820095733.1388,623.44,0.47,279562000,279562000.0,166645924421.32,175416800000.0
2025-04-30,INTU,623.15,618.68,624.19,616.08,618.23,0.15942028985507273,843516,524605797.09,621.93,0.3,279562000,279562000.0,165498583382.45,174209100000.0
2025-04-29,INTU,618.23,623.32,628.6,614.57,624.12,-2.175,1355738,839293510.5609,619.07,0.48,279562000,279562000.0,164191931841.16,172833630000.0
2025-04-26,INTU,624.12,616.06,625.21,612.98,614.83,-2.6063829787234045,1540649,956117895.2618,620.59,0.55,279562000,279562000.0,165756255538.07,174480300000.0
2025-04-25,INTU,614.83,598.83,617.1,596.67,596.05,1.0860927152317879,1598313,977548289.6282,611.61,0.57,279562000,279562000.0,163288970483.71,171883130000.0
2025-04-24,INTU,596.05,597.0,608.73,593.81,583.56,-0.3206349206349206,1723248,1033175957.737,599.55,,279562000,,158301296874.2,
2025-04-23,INTU,583.56,574.19,584.84,571.47,568.84,0.21028037383177556,1467459,852550330.2611,580.97,0.52,279562000,279562000.0,154984156619.03,163141250000.0
2025-04-22,INTU,568.84,578.43,581.37,559.1,585.38,-2.0926640926640925,1502690,851556375.6931,566.69,0.54,279562000,279562000.0,151074769578.55,159026070000.0
2025-04-18,INTU,585.38,592.0,593.91,584.83,588.08,-0.8374558303886925,1642864,967934085.0558,589.17,0.59,279562000,279562000.0,155467474167.77,163649900000.0
2025-04-17,INTU,588.08,587.65,598.06,581.08,594.08,1.1956521739130435,1985470,1169591613.8568,589.08,0.71,279562000,279562000.0,156184601158.71,164404900000.0
2025-04-16,INTU,594.08,598.97,600.56,591.35,593.55,-1.0891089108910892,1178156,701157865.3296,595.13,0.42,279562000,279562000.0,157778104558.71,166082200000.0
2025-04-15,INTU,593.55,600.0,600.0,585.82,587.04,11.333333333333336,1227398,728098728.7818,593.21,0.44,279562000,279562000.0,157637337124.2,165934070000.0
