dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ISRG,557.95,552.58,559.69,550.93,551.85,1147608,639706571.4362,557.43,0.32,358418255,358418000.0,189980478488.49,199979380000.0
2025-06-04,ISRG,551.85,550.68,555.13,548.01,553.29,1714425,945482379.9165,551.49,0.48,358418255,358418000.0,187903492370.4,197793130000.0
2025-06-03,ISRG,553.29,549.06,554.7,542.52,552.34,1059656,584140806.0353,551.26,0.3,358418255,358418000.0,188393788113.4,198309190000.0
2025-05-31,ISRG,552.34,554.52,555.0,545.73,555.75,2091285,1153509119.0563,551.58,0.58,358418255,358418000.0,188070332663.13,197968700000.0
2025-05-30,ISRG,555.75,556.47,559.8,551.4,552.41,1139292,633599894.3828,556.13,0.32,358418255,358418000.0,189231397955.44,199190880000.0
2025-05-29,ISRG,552.41,550.51,556.16,549.43,550.19,1012083,560144461.4143,553.46,0.28,358418255,358418000.0,188094109592.54,197993800000.0
2025-05-28,ISRG,550.19,548.66,553.16,547.09,539.54,1244613,685183465.0848,550.52,0.35,358418255,358418000.0,187338215707.66,197198070000.0
2025-05-24,ISRG,539.54,535.5,542.07,529.15,542.67,1138633,614232190.11,539.45,0.32,358418255,358418000.0,183711949657.46,193380940000.0
2025-05-23,ISRG,542.67,544.81,546.04,540.78,547.07,1129129,613919518.9803,543.71,0.32,358418255,358418000.0,184777668883.99,194502800000.0
2025-05-22,ISRG,547.07,556.56,558.76,545.52,557.16,1507978,831263673.8342,551.24,0.42,358418255,358418000.0,186275904859.52,196079800000.0
2025-05-21,ISRG,557.16,557.29,558.0,553.0,561.63,1234950,686332218.2955,555.76,0.34,358418255,358418000.0,189711471968.22,199696300000.0
2025-05-20,ISRG,561.63,554.34,562.61,553.94,563.6,1420405,795475349.4429,560.03,0.4,358418255,358418000.0,191233484873.16,201298300000.0
2025-05-17,ISRG,563.6,563.58,563.94,555.62,560.28,1422892,798726323.3403,561.34,0.4,358418255,358418000.0,191904336141.83,202004500000.0
2025-05-16,ISRG,560.28,559.32,564.06,549.55,565.94,1794742,1002958453.7101,558.83,0.5,358418255,358418000.0,190773861130.75,200814500000.0
2025-05-15,ISRG,565.94,563.0,566.8,560.29,563.95,1409900,795521976.0,564.24,0.39,358418255,358418000.0,192701048848.1,202843130000.0
2025-05-14,ISRG,563.95,561.67,568.69,559.88,561.43,1529396,864122932.7949,565.01,0.43,358418255,358418000.0,192023462541.99,202129900000.0
2025-05-13,ISRG,561.43,551.97,561.62,547.68,536.51,2037100,1137664166.782,558.47,0.57,358418255,358418000.0,191165402429.58,201226700000.0
2025-05-10,ISRG,536.51,540.0,542.74,532.9,538.16,925686,497151922.3826,537.06,0.26,358418255,358418000.0,182680232495.52,192294900000.0
2025-05-09,ISRG,538.16,540.0,546.56,538.01,536.15,1472798,797577291.0184,541.54,0.41,358418255,358418000.0,183242022465.47,192886300000.0
2025-05-08,ISRG,536.15,532.74,539.05,528.87,530.46,1311721,701106558.1889,534.49,0.37,358418255,358418000.0,182557619402.58,192165900000.0
2025-05-07,ISRG,530.46,526.16,533.56,523.59,531.82,1128128,597973948.3008,530.06,0.31,358418255,358418000.0,180620209955.01,190126400000.0
2025-05-06,ISRG,531.82,528.32,536.06,522.95,529.42,1375990,732674702.4905,532.47,0.38,358418255,358418000.0,181083320390.21,190613940000.0
2025-05-03,ISRG,529.42,526.74,535.6,525.02,517.18,1440695,763191651.4783,529.74,0.4,358418255,358418000.0,180266079099.18,189753750000.0
2025-05-02,ISRG,517.18,518.12,524.44,512.67,515.8,1673361,868196162.7337,518.83,0.47,358418255,358418000.0,176098395035.01,185366690000.0
2025-05-01,ISRG,515.8,509.99,517.6,501.67,514.89,1652193,845344399.7526,511.65,0.46,358418255,358418000.0,175628546157.42,184872100000.0
2025-04-30,ISRG,514.89,512.9,516.78,507.51,514.01,1321642,678650915.3787,513.49,0.37,358418255,358418000.0,175318642501.37,184545900000.0
2025-04-29,ISRG,514.01,515.91,518.4,508.17,514.59,1382554,709359575.8469,513.08,0.39,358418255,358418000.0,175019042294.9,184230500000.0
2025-04-26,ISRG,514.59,513.18,515.36,505.75,508.13,2016172,1032565574.1169,512.14,0.56,358418255,358418000.0,175216557993.19,184438400000.0
2025-04-25,ISRG,508.13,490.82,511.75,489.43,487.93,2277259,1151457436.5825,505.63,0.64,358418255,358418000.0,173016877062.78,182122900000.0
2025-04-24,ISRG,487.93,500.0,517.31,485.09,478.74,3765370,1880906201.5583,499.53,,358274567,,166072243580.84,
2025-04-23,ISRG,478.74,475.53,482.59,464.71,468.32,3114427,1483712742.5016,476.4,0.87,358274567,358275000.0,162944347895.3,171520320000.0
2025-04-22,ISRG,468.32,475.94,478.9,463.05,482.74,2648532,1240343899.9444,468.31,0.74,358274567,358275000.0,159397811781.83,167787130000.0
2025-04-18,ISRG,482.74,484.85,489.25,481.39,481.34,1625851,788402382.9042,484.92,0.45,358274567,358275000.0,164305791249.9,172953400000.0
2025-04-17,ISRG,481.34,483.9,492.04,477.62,488.27,1990811,961949582.7071,483.19,0.56,358274567,358275000.0,163829316708.27,172451900000.0
2025-04-16,ISRG,488.27,487.46,494.64,483.69,490.13,1733370,846704288.0067,488.47,0.48,358274567,358275000.0,166187993494.85,174934700000.0
2025-04-15,ISRG,490.13,502.27,506.14,487.2,493.6,1518495,747699375.8949,492.4,0.42,358274567,358275000.0,166821020407.83,175601000000.0
2025-04-12,ISRG,493.6,489.27,496.61,480.29,489.52,2843731,1395464500.4572,490.72,0.79,358274567,358275000.0,168002143993.72,176844300000.0
2025-04-11,ISRG,489.52,509.0,510.6,472.02,522.95,4056227,1988255350.4449,490.17,1.13,358274567,358275000.0,166613444543.16,175382600000.0
2025-04-10,ISRG,522.95,450.0,529.19,442.9,457.63,6038250,3043705568.4825,504.07,1.69,358274567,358275000.0,177991686957.58,187359600000.0
2025-04-09,ISRG,457.63,479.58,488.47,450.91,463.62,3157676,1485499244.6597,470.44,0.88,358274567,358275000.0,155759293151.71,163957070000.0
2025-04-08,ISRG,463.62,430.97,479.89,425.0,451.58,4125754,1892248480.6248,458.64,1.15,358274567,358275000.0,157798132858.21,166103300000.0
2025-04-05,ISRG,451.58,476.84,480.56,451.02,494.61,4108602,1886962776.2925,459.27,1.15,358274567,358275000.0,153700174746.43,161789600000.0
2025-04-04,ISRG,494.61,487.58,504.09,484.88,507.05,2728982,1355036196.2526,496.54,0.76,358274567,358275000.0,168345911844.37,177206200000.0
2025-04-03,ISRG,507.05,488.6,508.62,486.43,496.36,1432212,720662797.3098,503.18,0.4,358274567,358275000.0,172579980255.52,181663100000.0
2025-04-02,ISRG,496.36,492.26,497.3,486.24,495.27,1609933,793646272.2098,492.97,0.45,358274567,358275000.0,168941543312.01,177833100000.0
2025-04-01,ISRG,495.27,484.46,497.77,479.48,491.84,2290143,1124438410.8386,490.99,0.64,358274567,358275000.0,168570519365.4,177442600000.0
2025-03-29,ISRG,491.84,505.06,505.19,488.57,507.9,1967313,969892037.2105,493.0,0.55,358274567,358275000.0,167403105514.09,176213750000.0
2025-03-28,ISRG,507.9,505.98,513.05,502.29,509.03,1472911,748901170.8058,508.45,0.41,358274567,358275000.0,172869239317.86,181967570000.0
2025-03-27,ISRG,509.03,520.89,520.89,506.69,519.81,1980609,1012281238.4336,511.1,0.55,358274567,358275000.0,173253887908.83,182372440000.0
2025-03-26,ISRG,519.81,514.0,520.39,511.95,508.58,2526277,1307804138.3963,517.68,0.71,358274567,358275000.0,176922987960.31,186234690000.0
2025-03-25,ISRG,508.58,504.74,510.78,501.84,492.49,1903989,966765303.944,507.76,0.53,358274567,358275000.0,173100742549.48,182211250000.0
2025-03-22,ISRG,492.49,483.11,492.75,477.27,491.81,3377219,1651163267.2221,488.91,0.94,358274567,358275000.0,167624309426.74,176446630000.0
2025-03-21,ISRG,491.81,490.4,500.29,490.28,492.06,2108828,1041465521.9324,493.86,0.59,358274567,358275000.0,167392884478.11,176202900000.0
2025-03-20,ISRG,492.06,486.0,496.27,482.8,483.95,2098371,1026357531.7281,489.12,0.59,358274567,358275000.0,167477974687.77,176292570000.0
2025-03-19,ISRG,483.95,487.34,488.55,478.41,488.8,1728829,833917299.485,482.36,0.48,358274567,358275000.0,164717614250.23,173386880000.0
2025-03-18,ISRG,488.8,480.0,495.82,474.9,484.44,3211524,1561820740.3681,486.32,0.9,358274567,358275000.0,166368394950.16,175124570000.0
2025-03-15,ISRG,484.44,482.69,492.28,476.57,476.78,4239164,2050891222.4186,483.8,1.19,356656964,356657000.0,164139937716.95,172778820000.0
2025-03-14,ISRG,476.78,498.71,500.76,474.37,497.3,3645365,1752244934.7875,480.68,1.02,356656964,356657000.0,161544572095.85,170046880000.0
2025-03-13,ISRG,497.3,511.06,519.51,496.3,493.72,2556670,1291132104.8846,505.01,0.72,356656964,356657000.0,168497249728.55,177365440000.0
2025-03-12,ISRG,493.72,481.23,496.19,478.45,482.61,3223423,1580200509.4185,490.22,0.9,356656964,356657000.0,167284235676.29,176088630000.0
2025-03-11,ISRG,482.61,503.91,503.91,476.37,518.26,5517402,2682939125.4811,486.27,1.55,356656964,356657000.0,163519943796.89,172126190000.0
2025-03-08,ISRG,518.26,533.18,534.24,502.84,538.57,3684740,1898197053.5712,515.15,1.03,356656964,356657000.0,175598989642.75,184841000000.0
2025-03-07,ISRG,538.57,558.95,561.69,537.51,568.02,2363781,1289559708.1242,545.55,,356656964,,182480527764.09,
2025-03-06,ISRG,568.02,554.17,569.0,554.17,557.96,2027251,1141120592.5581,562.89,0.57,356656964,356657000.0,192458881033.2,202588300000.0
2025-03-05,ISRG,557.96,563.69,565.8,545.54,566.98,2180169,1211709304.581,555.79,0.61,356656964,356657000.0,189050293487.04,199000250000.0
2025-03-04,ISRG,566.98,573.78,584.9,563.96,573.15,1699132,972947212.8223,572.61,0.48,356656964,356657000.0,192106493788.04,202217320000.0
2025-03-01,ISRG,573.15,566.95,574.0,556.75,563.77,2342992,1330083287.9136,567.69,0.66,356656964,356657000.0,194197011476.6,204417880000.0
2025-02-28,ISRG,563.77,581.83,583.25,562.4,580.93,1478370,842191952.4711,569.68,0.41,356656964,356657000.0,191018878541.05,201072440000.0
2025-02-27,ISRG,580.93,570.85,586.74,569.64,573.74,1095976,636779723.1331,581.02,0.31,356656964,356657000.0,196833073262.25,207192630000.0
2025-02-26,ISRG,573.74,583.7,584.88,556.2,591.01,2533853,1440116847.5233,568.35,0.71,356656964,356657000.0,194396948199.09,204628320000.0
2025-02-25,ISRG,591.01,594.47,600.58,590.66,591.79,1439839,853911363.6901,593.06,0.4,356656964,356657000.0,200248444067.2,
2025-02-22,ISRG,591.79,605.09,607.35,590.37,606.57,1650400,983424046.048,595.87,0.46,356656964,356657000.0,200512737042.25,
2025-02-21,ISRG,606.57,607.15,608.17,597.77,608.48,1326140,802406986.0826,605.07,0.37,356656964,356657000.0,205520567638.49,216337380000.0
2025-02-20,ISRG,608.48,601.33,609.08,596.47,600.89,1278372,773853260.3542,605.34,0.36,356656964,356657000.0,206167694593.74,217018570000.0
2025-02-19,ISRG,600.89,595.46,601.59,586.61,595.55,1682774,1007184613.7504,598.53,0.47,356656964,356657000.0,203595989060.65,214311500000.0
2025-02-15,ISRG,595.55,593.16,599.26,588.52,591.39,1173141,698356008.7978,595.29,0.33,356656964,356657000.0,201786719105.9,212407000000.0
2025-02-14,ISRG,591.39,590.86,593.17,583.23,589.61,1268022,746915425.2756,589.04,0.36,356656964,356657000.0,200377159960.55,210923320000.0
2025-02-13,ISRG,589.61,586.49,591.82,581.05,591.65,1112688,654964397.0482,588.63,0.31,356656964,356657000.0,199774124187.49,210288500000.0
2025-02-12,ISRG,591.65,591.23,592.83,587.0,595.7,769547,454718673.4139,590.89,0.22,356656964,356657000.0,200465257618.9,211016000000.0
2025-02-11,ISRG,595.7,590.0,595.96,586.77,582.98,1243863,738192302.2684,593.47,0.35,356656964,356657000.0,201837512229.1,212460500000.0
2025-02-08,ISRG,582.98,590.5,594.08,582.16,588.5,1056174,619235133.0522,586.3,0.3,356656964,356657000.0,197527679640.84,207923820000.0
2025-02-07,ISRG,588.5,592.78,592.86,585.4,590.9,1003904,591212939.5533,588.91,0.28,356656964,356657000.0,199397992148.3,209892570000.0
2025-02-06,ISRG,590.9,580.46,592.64,580.16,579.65,1513418,892656508.8483,589.83,0.42,356656964,356657000.0,200211139532.05,210748500000.0
2025-02-05,ISRG,579.65,573.21,582.85,573.08,578.55,1392756,806454359.0395,579.03,0.39,356656964,356657000.0,196399368229.3,206736130000.0
2025-02-04,ISRG,578.55,564.87,583.58,563.27,571.88,1825222,1053057744.4027,576.95,0.51,356656964,356657000.0,196026709137.3,206343820000.0
2025-02-01,ISRG,571.88,576.74,586.89,570.86,580.18,1763701,1018404714.8218,577.42,0.5,356179445,356179000.0,193507268735.52,203691820000.0
2025-01-31,ISRG,580.18,581.24,584.42,577.35,572.71,1940197,1127918567.0311,581.34,0.54,356179445,356179000.0,196315760577.87,206648190000.0
2025-01-30,ISRG,572.71,571.11,578.41,569.49,574.14,1588449,911708078.2943,573.96,0.45,356179445,356179000.0,193788143297.54,203987500000.0
2025-01-29,ISRG,574.14,566.6,584.48,563.85,573.48,2311886,1326007738.5214,573.56,0.65,356179445,356179000.0,194271989387.64,204496820000.0
2025-01-28,ISRG,573.48,574.68,579.34,563.35,584.05,2417466,1385974112.9754,573.32,0.68,356179445,356179000.0,194048695328.97,204261750000.0
2025-01-25,ISRG,584.05,581.9,591.91,573.32,608.66,4184340,2437174774.7628,582.45,1.17,356179445,356179000.0,197625291528.16,208026630000.0
2025-01-24,ISRG,608.66,612.0,616.0,602.0,610.45,2241930,1362259285.1049,607.63,0.63,356179445,356179000.0,205952544874.38,216792130000.0
2025-01-23,ISRG,610.45,608.02,614.72,602.45,604.12,2032672,1241661370.3363,610.85,0.57,356179445,356179000.0,206558241555.42,217429750000.0
2025-01-22,ISRG,604.12,598.11,606.27,593.81,592.64,1816756,1091414840.7681,600.75,0.51,356179445,356179000.0,204416410602.19,215175190000.0
2025-01-18,ISRG,592.64,597.68,597.68,583.24,584.08,2628110,1557045477.6886,592.46,0.74,356179445,356179000.0,200531843133.51,211086130000.0
2025-01-17,ISRG,584.08,582.6,585.5,573.0,580.11,2115202,1228940124.7913,581.0,0.59,356179445,356179000.0,197635452793.46,208037320000.0
2025-01-16,ISRG,580.11,555.05,584.6,549.17,538.88,3541663,2039170413.8567,575.77,0.99,356179445,356179000.0,196292132167.75,206623320000.0
2025-01-15,ISRG,538.88,539.28,544.55,535.59,539.75,1349776,728048293.3653,539.38,0.38,356179445,356179000.0,182341043134.77,191937940000.0
2025-01-14,ISRG,539.75,543.4,543.75,530.25,547.47,1433191,770297138.1062,537.47,0.4,356179445,356179000.0,182635462666.81,192247880000.0
2025-01-11,ISRG,547.47,540.56,550.18,537.17,544.02,1707509,932705122.9608,546.24,0.48,356179445,356179000.0,185247675949.03,194997570000.0
2025-01-09,ISRG,544.02,533.33,547.47,532.0,531.88,1320404,715764705.9523,542.08,0.37,356179445,356179000.0,184080311352.86,193768750000.0
2025-01-08,ISRG,531.88,547.68,550.0,530.45,542.37,1478563,791708401.6396,535.46,0.42,356179445,356179000.0,179972449825.52,189444690000.0
2025-01-07,ISRG,542.37,535.29,543.74,532.15,535.29,1190272,643902288.9331,540.97,,356179445,,183522033909.87,
2025-01-04,ISRG,535.29,527.61,536.65,525.35,524.03,1178778,629124132.9075,533.71,0.33,356179445,356179000.0,181127998524.78,190661000000.0
2025-01-03,ISRG,524.03,521.19,528.89,520.92,521.96,887286,465144530.6551,524.23,0.25,356179445,356179000.0,177316288986.3,186648690000.0
2025-01-01,ISRG,521.96,527.77,529.81,520.01,526.96,876486,458170224.745,522.74,0.25,356179445,356179000.0,176615841805.48,185911380000.0
2024-12-31,ISRG,526.96,528.43,529.02,520.56,534.88,860896,452898135.9654,526.08,0.24,356179445,356179000.0,178307694169.23,187692320000.0
2024-12-28,ISRG,534.88,536.01,537.34,529.31,538.83,1002218,534898378.9828,533.71,0.28,356179445,356179000.0,180987561243.77,190513190000.0
2024-12-27,ISRG,538.83,534.86,540.13,533.99,537.02,757632,407724585.408,538.16,0.21,356179445,356179000.0,182324188901.52,191920190000.0
