dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,KDP,32.8,32.82,33.22,32.71,32.82,11215954,369343686.9225,32.93,0.83,1358193926,1358194000.0,37866451274.74,44548750000.0
2025-06-04,KDP,32.82,33.05,33.15,32.69,33.25,14761774,485650569.9426,32.9,1.09,1358193926,1358194000.0,37889545189.34,44575907000.0
2025-06-03,KDP,33.25,33.44,33.54,32.74,33.67,12124231,401016311.8574,33.08,0.89,1358193926,1358194000.0,38385955833.58,45159915000.0
2025-05-31,KDP,33.67,33.55,33.82,33.33,33.45,18639227,626717857.0395,33.62,1.37,1358193926,1358194000.0,38870829910.69,45730364000.0
2025-05-30,KDP,33.45,32.8,33.5,32.66,32.73,12300973,409301296.3008,33.27,0.91,1358193926,1358194000.0,38616845337.6,45431559000.0
2025-05-29,KDP,32.73,32.88,33.05,32.63,32.87,7292133,238974136.6095,32.77,0.54,1358193926,1358194000.0,37785629500.42,44453641000.0
2025-05-28,KDP,32.87,33.11,33.15,32.75,32.92,11803633,387910983.0003,32.86,0.87,1358193926,1358194000.0,37947254577.62,44643817000.0
2025-05-24,KDP,32.92,32.95,33.06,32.67,33.01,8765496,288418074.6918,32.9,0.65,1358193926,1358194000.0,38004981282.87,44711731000.0
2025-05-23,KDP,33.01,33.53,33.71,32.97,33.59,8868703,293879586.1749,33.14,0.65,1358193926,1358194000.0,38108878500.35,44833950000.0
2025-05-22,KDP,33.59,33.94,33.96,33.43,33.87,8959945,301398195.9681,33.64,0.66,1358193926,1358194000.0,38778470414.79,45621700000.0
2025-05-21,KDP,33.87,33.81,33.94,33.76,33.83,7344824,248741249.1695,33.87,0.54,1358193926,1358194000.0,39101719414.72,46002010000.0
2025-05-20,KDP,33.83,33.81,33.94,33.74,33.82,8217102,277945964.9319,33.83,0.61,1358193926,1358194000.0,39055547748.02,45947700000.0
2025-05-17,KDP,33.82,33.54,33.83,33.45,33.54,8741848,294722707.1812,33.71,0.64,1358193926,1358194000.0,39044010026.44,45934098000.0
2025-05-16,KDP,33.54,32.89,33.57,32.85,32.72,8322047,277521909.0143,33.35,0.61,1358193926,1358194000.0,38720743709.54,45553786000.0
2025-05-15,KDP,32.72,33.0,33.01,32.43,33.08,10418723,340646430.975,32.7,0.77,1358193926,1358194000.0,37774091778.84,44440083000.0
2025-05-14,KDP,33.08,33.53,33.76,33.06,33.51,11835493,394491278.9655,33.33,0.87,1358193926,1358194000.0,38189699120.2,44929024000.0
2025-05-13,KDP,33.51,33.7,33.87,33.15,33.54,12199954,407245517.6783,33.38,0.9,1358193926,1358194000.0,39141241635.59,45513030000.0
2025-05-10,KDP,33.54,34.05,34.12,33.51,34.14,10315668,347706146.5871,33.71,0.76,1358193926,1358194000.0,39176281870.83,45553786000.0
2025-05-09,KDP,34.14,34.12,34.31,34.0,34.04,8249031,281694542.8089,34.15,0.61,1358193926,1358194000.0,39877116944.93,46368727000.0
