dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,KHC,26.7,26.86,26.98,26.68,26.79,14246934,381948974.2275,26.81,1.2,1183542101,1183542000.0,22752410793.17,31600567000.0
2025-06-04,KHC,26.79,26.5,26.92,26.22,26.63,13357083,357400826.0213,26.76,1.13,1183542101,1183542000.0,22829101764.87,31707083000.0
2025-06-03,KHC,26.63,26.65,26.74,26.33,26.73,10484188,278690695.9002,26.58,0.89,1183542101,1183542000.0,22692767088.49,31517727000.0
2025-05-31,KHC,26.73,26.57,26.89,26.51,26.62,17519469,467808277.5345,26.7,1.48,1183542101,1183542000.0,22777974450.4,31636070000.0
2025-05-30,KHC,26.62,26.16,26.63,26.15,26.15,12549836,337209060.8358,26.47,1.06,1183542101,1183542000.0,23025105710.45,31979309000.0
2025-05-29,KHC,26.54,26.83,26.88,26.46,26.83,9098192,242204797.9686,26.62,0.77,1183542101,1183542000.0,22616064186.69,31411200000.0
2025-05-28,KHC,26.83,26.48,26.84,26.38,26.3,11200907,299041803.8851,26.7,0.95,1183542101,1183542000.0,22863194594.58,31754434000.0
2025-05-24,KHC,26.3,26.49,26.52,26.01,26.5,10300137,270139705.1726,26.23,0.87,1183542101,1183542000.0,22411556633.14,31127157000.0
2025-05-23,KHC,26.5,26.64,26.64,26.18,26.63,16284446,430282255.6445,26.42,1.38,1183542101,1183542000.0,22581983287.08,31363860000.0
2025-05-22,KHC,26.63,28.11,28.11,26.62,27.9,21072922,570235481.9768,27.06,1.78,1183542101,1183542000.0,22692767088.49,31517730000.0
2025-05-21,KHC,27.9,27.88,28.12,27.82,27.88,9569789,267110955.3099,27.91,0.81,1183542101,1183542000.0,23774988611.99,33020810000.0
2025-05-20,KHC,27.88,27.8,27.9,27.55,27.74,9664254,268558939.6593,27.79,0.82,1183542101,1183542000.0,23757954979.39,32997160000.0
2025-05-17,KHC,27.74,27.47,27.78,27.34,27.49,8897074,245786153.3753,27.63,0.75,1183542101,1183542000.0,23638654787.75,32831460000.0
2025-05-16,KHC,27.49,27.33,27.51,27.16,27.17,9242879,253199408.8402,27.39,0.78,1183542101,1183542000.0,23425617209.57,32535570000.0
2025-05-15,KHC,27.17,27.56,27.56,27.14,27.59,12003836,326989330.1859,27.24,1.01,1183542101,1183542000.0,23152923144.45,32156833000.0
2025-05-14,KHC,27.59,28.15,28.19,27.41,28.15,14980297,415318323.0186,27.72,1.27,1183542101,1183542000.0,23510824571.49,32653920000.0
2025-05-13,KHC,28.15,28.12,28.47,27.8,28.07,16321641,456971590.9457,28.0,1.38,1183542101,1183542000.0,23988026190.17,33316700000.0
2025-05-10,KHC,28.07,28.32,28.36,28.03,28.49,6662383,187602058.792,28.16,0.56,1183542101,1183542000.0,23919866095.25,33222030000.0
2025-05-09,KHC,28.49,28.26,28.59,28.2,28.23,8218551,233846598.4084,28.45,0.69,1183542101,1183542000.0,24277767522.29,33719120000.0
2025-05-08,KHC,28.23,28.45,28.47,28.05,28.4,8767777,247465210.0877,28.22,0.74,1183542101,1183542000.0,24056199919.48,33411390000.0
2025-05-07,KHC,28.4,28.56,28.73,28.35,28.59,6381527,181581883.7161,28.45,0.54,1183542101,1183542000.0,24201063768.35,33612590000.0
2025-05-06,KHC,28.59,28.6,28.66,28.36,28.64,7861149,224221957.1138,28.52,0.66,1183542101,1183542000.0,24362974884.21,33837461000.0
