dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,KLAC,782.09,781.62,786.93,773.6,775.79,839689,655796705.9493,781.0,0.63,132886746,132887000.0,97693642710.61,103929380000.0
2025-06-04,KLAC,775.79,762.05,779.59,756.34,762.44,943393,730638538.9435,774.48,0.71,132886746,132887000.0,96906681155.12,103092130000.0
2025-06-03,KLAC,762.44,752.4,764.65,751.96,756.88,864627,656171474.0427,758.91,0.65,132886746,132887000.0,95239074137.35,101318130000.0
2025-05-31,KLAC,756.88,772.78,773.55,740.44,773.97,1717705,1297458165.52,755.34,1.29,132886746,132887000.0,94544547353.24,100579300000.0
2025-05-30,KLAC,773.97,792.98,794.79,768.68,777.5,932526,724506912.2907,776.93,0.7,132886746,132887000.0,96679331015.25,102850320000.0
2025-05-29,KLAC,777.5,789.06,796.3,776.19,789.06,905670,710559365.4621,784.57,0.68,132886746,132887000.0,97120278314.1,103319400000.0
2025-05-28,KLAC,789.06,774.71,792.18,768.6,757.17,1292643,1017835810.6138,787.41,0.97,132886746,132887000.0,98564286345.65,104855570000.0
2025-05-24,KLAC,757.17,747.75,761.1,744.87,767.51,941948,709330540.9677,753.05,0.71,132886746,132887000.0,94580777276.74,100617820000.0
2025-05-23,KLAC,767.51,766.46,781.76,762.0,778.94,682541,527161776.7492,772.35,0.51,132886746,132887000.0,95872393286.25,101991800000.0
2025-05-22,KLAC,778.94,778.32,799.72,775.18,790.29,1236816,968435697.0254,783.01,0.93,132886746,132887000.0,97300147567.81,103510800000.0
2025-05-21,KLAC,790.29,779.63,790.86,777.18,787.01,949268,744162150.3222,783.93,0.71,132886746,132887000.0,98717927503.1,105019100000.0
2025-05-20,KLAC,787.01,780.69,789.57,775.02,789.27,1142004,897039128.6024,785.5,0.86,132886746,132887000.0,98308207340.43,104583100000.0
2025-05-17,KLAC,791.17,807.13,807.13,784.08,806.0,1132031,895948368.8166,791.45,0.85,132886746,132887000.0,98827837678.9,105135900000.0
2025-05-16,KLAC,806.0,797.27,810.61,795.57,805.0,1129781,907668427.9401,803.4,0.85,132886746,132887000.0,100680314239.44,107106700000.0
2025-05-15,KLAC,805.0,786.75,805.39,786.75,795.9,1171626,937218715.8824,799.93,0.88,132886746,132887000.0,100555400698.2,106973750000.0
2025-05-14,KLAC,795.9,760.0,798.02,755.65,760.47,1805186,1425500650.9605,789.67,1.36,132886746,132887000.0,99418676230.7,105764500000.0
2025-05-13,KLAC,760.47,745.0,762.79,741.61,701.2,2110538,1594666562.4376,755.57,1.59,132886746,132887000.0,94992998208.51,101056300000.0
2025-05-10,KLAC,701.2,706.14,711.3,696.73,703.33,955138,670274863.4284,701.76,0.72,132886746,132887000.0,87589370120.95,93180125000.0
2025-05-09,KLAC,703.33,703.32,710.5,692.8,694.35,906968,637867546.9875,703.3,0.68,132886746,132887000.0,87855450953.41,93463190000.0
2025-05-08,KLAC,694.35,680.49,696.46,675.27,679.42,962896,662546735.4264,688.08,0.72,132886746,132887000.0,86733729851.35,92269880000.0
