dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,LIN,473.77,471.14,475.48,468.97,470.32,2092877,991109613.0415,473.56,0.44,470724467,470724000.0,223015140145.08,223015070000.0
2025-06-04,LIN,470.32,460.84,470.78,460.53,463.09,2606559,1221153185.914,467.0,0.55,470724467,470724000.0,222097250970.65,222097200000.0
2025-06-03,LIN,464.57,465.17,466.35,461.32,467.58,1865696,866096997.9133,464.22,0.4,470724467,470724000.0,218684498584.9,218684440000.0
2025-05-31,LIN,467.58,466.55,469.1,460.62,464.08,4344891,2027768928.4418,466.7,0.92,470724467,470724000.0,220101383937.82,220101380000.0
2025-05-30,LIN,464.08,463.95,464.96,461.14,462.51,1306844,605844710.625,463.59,0.28,470724467,470724000.0,218453848303.32,218453820000.0
2025-05-29,LIN,462.51,466.11,467.04,462.1,467.95,2692904,1248389146.8269,463.58,0.57,470724467,470724000.0,217714777939.41,217714750000.0
2025-05-28,LIN,467.95,463.26,468.13,462.51,458.9,3330804,1554120138.1324,466.59,0.71,470724467,470724000.0,220275495503.67,220275440000.0
2025-05-24,LIN,458.9,453.57,460.47,453.57,459.0,1627136,745769750.0467,458.33,0.35,470724467,470724000.0,216015415541.1,216015380000.0
2025-05-23,LIN,459.0,456.08,459.11,453.63,455.5,1654382,756560287.292,457.31,0.35,470724467,470724000.0,216062530353.0,216062500000.0
2025-05-22,LIN,455.5,456.72,459.09,453.79,459.85,1867558,851614665.2552,456.0,0.4,470724467,470724000.0,214414994718.5,214414900000.0
2025-05-21,LIN,459.85,461.36,461.71,457.86,460.33,1329671,610791008.9083,459.36,0.28,470724467,470724000.0,216462693222.4,216462600000.0
2025-05-20,LIN,460.33,457.77,461.65,455.3,457.77,1640507,753717653.0433,459.44,0.35,470724467,470724000.0,216688631552.07,216688600000.0
2025-05-17,LIN,457.77,455.76,458.36,451.96,454.22,1850524,845537669.5163,456.92,0.39,470724467,470724000.0,215483548673.08,215483500000.0
