dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,LRCX,84.77,84.21,85.04,83.49,83.66,7992219,676057025.863,84.59,0.62,1279118000,1279118000.0,101924988900.25,108430820000.0
2025-06-04,LRCX,83.66,82.07,84.01,81.95,82.48,8920692,744324734.7788,83.44,0.7,1279118000,1279118000.0,100590355976.68,107010940000.0
2025-06-03,LRCX,82.48,80.59,82.53,80.43,80.79,8246254,675774709.9372,81.95,0.64,1279118000,1279118000.0,99171548672.12,105501570000.0
2025-05-31,LRCX,80.79,83.67,83.81,79.49,84.16,19191606,1552493337.2568,80.89,1.5,1279118000,1279118000.0,97139539412.57,103339900000.0
2025-05-30,LRCX,84.16,85.85,86.26,83.61,84.0,8239828,695077324.0015,84.36,0.64,1279118000,1279118000.0,101191541436.68,107650570000.0
2025-05-29,LRCX,84.0,83.98,85.03,83.58,83.94,9464090,796872601.8281,84.2,0.74,1279118000,1279118000.0,100999157280.0,107445900000.0
2025-05-28,LRCX,83.94,83.04,84.12,82.31,81.06,9530219,798141593.5726,83.75,0.75,1279118000,1279118000.0,100927018631.91,107369130000.0
2025-05-24,LRCX,81.06,80.12,81.39,79.78,82.56,8276672,668263471.5599,80.74,0.65,1279118000,1279118000.0,97464184370.46,103685250000.0
2025-05-23,LRCX,82.56,82.64,83.82,82.05,82.79,6241633,518116114.0483,83.01,0.49,1279118000,1279118000.0,99267740750.46,105603900000.0
2025-05-22,LRCX,82.79,83.21,84.78,82.23,84.29,8082652,672676295.9871,83.22,0.63,1279118000,1279118000.0,99544281252.57,105898100000.0
2025-05-21,LRCX,84.29,83.53,84.35,83.05,83.82,6913293,580477370.5824,83.97,0.54,1279118000,1279118000.0,101347837632.57,107816800000.0
2025-05-20,LRCX,83.82,82.7,84.45,82.54,84.43,9222317,771917201.3286,83.7,0.72,1279118000,1279118000.0,100782740133.37,107215600000.0
2025-05-17,LRCX,84.43,84.41,84.46,82.53,84.79,10100368,847611772.1552,83.92,0.79,1279118000,1279118000.0,101516168359.0,107995900000.0
