dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,LULU,335.19,333.53,339.15,333.39,334.91,2293724,771489273.5168,336.35,1.91,115034563,120151000.0,31617912124.6,40273250000.0
2025-06-04,LULU,334.91,328.55,340.25,324.71,322.95,3248131,1087861403.5339,334.92,2.7,115034563,120151000.0,31591497359.08,40239610000.0
2025-06-03,LULU,322.95,315.13,323.5,313.14,316.67,1809724,578252332.5586,319.53,1.51,115034563,120151000.0,30463334165.96,38802614000.0
2025-05-31,LULU,316.67,314.37,317.74,311.32,317.09,3652690,1150196978.6491,314.89,3.04,115034563,120151000.0,29870949350.49,38048060000.0
2025-05-30,LULU,317.09,321.32,322.94,316.05,315.75,2601988,829810583.1712,318.91,2.17,115034563,120151000.0,29910582346.52,38098547000.0
2025-05-29,LULU,315.75,321.2,321.34,315.68,321.2,1940900,617672016.0,318.24,1.62,115034563,120151000.0,29783713556.84,37936950000.0
2025-05-28,LULU,321.2,315.0,322.0,312.77,310.76,2193366,700786863.5624,319.5,1.83,115034563,120151000.0,30298259568.06,38592352000.0
2025-05-24,LULU,310.76,312.53,315.4,309.79,320.46,1990074,620533849.67,311.81,1.66,115034563,120151000.0,29313476397.55,37337985000.0
2025-05-23,LULU,320.46,320.5,321.83,317.23,317.56,1344798,430574707.148,320.18,1.12,115034563,120151000.0,30228457538.51,38503440000.0
2025-05-22,LULU,317.56,322.11,326.43,317.36,327.17,1323310,425092018.9759,321.23,1.1,115034563,120151000.0,29954913837.25,38155020000.0
2025-05-21,LULU,327.17,323.2,330.49,322.51,323.7,1378840,451345238.7728,327.34,1.15,115034563,120151000.0,30861396937.92,39309650000.0
2025-05-20,LULU,323.7,316.26,326.73,316.0,321.44,1701501,551059513.9167,323.87,1.42,115034563,120151000.0,30534080422.21,38892720000.0
2025-05-17,LULU,321.44,320.0,325.44,317.33,318.96,1277499,412192104.1445,322.66,1.06,115034563,120151000.0,30320897426.77,38621180000.0
2025-05-16,LULU,318.96,313.86,319.41,312.35,315.84,1176278,373053297.6472,317.15,0.98,115034563,120151000.0,30086965026.02,38323210000.0
2025-05-15,LULU,315.84,310.78,319.07,309.81,310.61,1574299,498292538.2699,316.52,1.31,115034563,120151000.0,29792671919.45,37948360000.0
2025-05-14,LULU,310.61,308.72,311.84,304.87,304.2,1643690,509561158.745,310.01,1.37,115034563,120151000.0,29299336579.13,37319970000.0
2025-05-13,LULU,304.2,297.98,309.82,297.98,279.77,2531655,767750961.1275,303.26,2.11,115034563,120151000.0,28694677759.84,36549790000.0
2025-05-10,LULU,279.77,283.26,284.0,279.58,282.43,1680324,472190737.3973,281.01,1.4,115034563,120151000.0,26712074252.7,33614520000.0
2025-05-09,LULU,282.43,279.8,286.26,277.38,275.69,1483869,419878050.3012,282.96,1.24,115034563,120151000.0,26966039922.59,33934110000.0
2025-05-08,LULU,275.69,273.52,277.13,271.92,270.8,1120818,308201424.0302,274.98,0.93,115034563,120151000.0,26322514525.05,33124290000.0
2025-05-07,LULU,270.8,274.2,275.05,269.57,278.55,1141672,310664124.0209,272.11,0.95,115034563,120151000.0,25855633292.07,32536770000.0
2025-05-06,LULU,278.55,276.42,281.44,276.15,277.36,1330101,371113767.7837,279.01,1.11,115034563,120151000.0,26595593118.56,33467938000.0
2025-05-03,LULU,277.36,273.93,279.44,272.81,268.6,1811383,500725348.5135,276.43,1.51,115034563,120151000.0,26481979209.41,33324969000.0
2025-05-02,LULU,268.6,271.34,274.34,268.36,270.77,1227779,332418475.414,270.75,1.02,115034563,120151000.0,25645584953.96,32272450000.0
2025-05-01,LULU,270.77,265.71,271.26,259.33,271.27,2015598,537858597.4437,266.85,1.68,115034563,120151000.0,25852766067.09,32533160000.0
2025-04-30,LULU,271.27,267.96,272.0,266.06,268.52,1533760,414888077.0016,270.5,1.27,115521231,120637000.0,26010080714.35,32725260000.0
2025-04-29,LULU,268.52,268.34,270.71,265.85,267.9,1411896,378426051.5266,268.03,1.17,115521231,120637000.0,25746403504.59,32393504000.0
2025-04-26,LULU,267.9,267.95,269.63,265.48,270.64,1422951,381253609.2991,267.93,1.18,115521231,120637000.0,25686945732.03,32318700000.0
2025-04-25,LULU,270.64,267.82,272.0,261.26,265.85,1273161,342041730.4987,268.66,1.06,115521231,120637000.0,25949663156.75,32649240000.0
2025-04-24,LULU,265.85,271.8,277.3,263.68,261.71,1799561,483083728.5045,268.45,,115521231,,25490404575.18,
