dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MAR,261.93,264.22,265.28,261.93,264.4,926347,243664777.144,263.04,0.34,273896119,273896000.0,63132602733.99,71741563000.0
2025-06-04,MAR,264.4,260.16,265.57,260.16,261.21,1358220,358537265.4048,263.98,0.5,273896119,273896000.0,63727936107.4,72418063000.0
2025-06-03,MAR,261.21,262.12,262.74,258.79,263.83,1339626,349265616.1875,260.72,0.49,273896119,273896000.0,62959069383.85,71544375000.0
2025-05-31,MAR,263.83,263.57,265.12,262.1,263.61,1245336,328629761.8625,263.89,0.45,273896119,273896000.0,63590590788.96,72262000000.0
2025-05-30,MAR,263.61,265.56,266.18,261.0,264.53,949722,250057680.8065,263.3,0.35,273896119,273896000.0,63537571731.18,72201750000.0
2025-05-29,MAR,264.53,266.59,266.89,264.18,266.1,1340577,355450264.7459,265.15,0.49,273896119,273896000.0,63759298746.84,72453690000.0
2025-05-28,MAR,266.1,260.08,266.35,260.08,257.7,1338943,354563621.3098,264.81,0.49,273896119,273896000.0,64137730496.85,72883750000.0
2025-05-24,MAR,257.7,255.69,258.97,255.53,260.02,1270776,327569200.296,257.77,0.46,273896119,273896000.0,62113056641.2,70583000000.0
2025-05-23,MAR,260.02,260.5,261.43,258.54,260.02,1083009,282541084.5473,260.21,0.4,273896119,273896000.0,62833729699.23,71401940000.0
2025-05-22,MAR,260.69,263.89,264.59,260.14,267.34,1271790,333267049.9314,262.05,0.46,273896119,273896000.0,62833729699.23,71401940000.0
2025-05-21,MAR,267.34,271.64,271.64,266.92,273.19,1500733,402864015.0604,268.44,0.55,273896119,273896000.0,64436603531.62,73223380000.0
2025-05-20,MAR,273.19,269.61,273.76,269.45,273.23,1099182,299629340.9096,272.59,0.4,273896119,273896000.0,65846587008.23,74825630000.0
2025-05-17,MAR,273.23,271.54,273.32,269.33,271.47,1235055,336181612.834,272.2,0.45,273896119,273896000.0,65856237792.76,74836560000.0
2025-05-16,MAR,271.47,271.99,272.95,270.73,272.59,1483535,403091962.4407,271.71,0.54,273896119,273896000.0,65432025073.37,74354560000.0
2025-05-15,MAR,272.59,272.4,275.62,272.09,274.14,1520773,415551222.25,273.25,0.56,273896119,273896000.0,65702003601.4,74661313000.0
2025-05-14,MAR,274.14,272.0,276.02,271.21,271.96,1690372,463875890.4216,274.42,0.62,273896119,273896000.0,66075552112.28,75085810000.0
2025-05-13,MAR,271.96,269.4,273.42,268.63,257.97,2551069,691936368.5284,271.23,0.93,273896119,273896000.0,65550126669.59,74488750000.0
2025-05-10,MAR,257.97,259.11,259.99,255.69,259.3,1489136,383311096.7541,257.41,0.54,273896119,273896000.0,62178139179.65,70656940000.0
2025-05-09,MAR,259.3,256.87,263.12,255.99,255.99,1787666,465186839.8065,260.22,0.65,273896119,273896000.0,62498724069.33,71021250000.0
2025-05-08,MAR,255.99,251.78,258.1,250.79,251.96,1866604,477342534.3912,255.73,0.68,273896119,273896000.0,61700909812.76,70114630000.0
2025-05-07,MAR,251.96,256.14,258.59,250.01,247.27,2527732,638845083.154,252.73,0.92,275372787,275373000.0,61056978546.3,69382880000.0
2025-05-06,MAR,247.27,248.0,250.84,246.5,249.47,1894389,470640885.4705,248.44,0.69,275372787,275373000.0,59920459979.79,68091375000.0
2025-05-03,MAR,249.47,247.57,250.54,247.13,243.95,1302164,324244044.656,249.0,0.47,275372787,275373000.0,60453581695.42,68697250000.0
2025-05-02,MAR,243.95,241.26,246.24,240.36,238.58,1818154,443571413.2535,243.97,0.66,275372787,275373000.0,59115928422.01,67177125000.0
2025-05-01,MAR,238.58,234.53,239.05,231.21,239.67,2246386,531228506.2204,236.48,0.82,275372787,275373000.0,57814629203.05,65698380000.0
2025-04-30,MAR,239.67,235.33,240.85,235.13,236.93,2255183,538682280.1821,238.86,0.82,275372787,275373000.0,58078764357.06,65998500000.0
2025-04-29,MAR,236.93,238.29,240.83,234.07,236.2,2418157,573198266.7517,237.04,0.88,275372787,275373000.0,57414785493.04,65244036000.0
2025-04-26,MAR,236.2,236.52,238.02,232.82,236.26,1989937,468307793.706,235.34,0.72,275372787,275373000.0,57237886014.67,65043040000.0
2025-04-25,MAR,236.26,228.48,237.35,227.55,229.79,2318907,545229553.2036,235.12,0.84,275372787,275373000.0,57252425697.83,65059550000.0
2025-04-24,MAR,229.79,228.88,236.44,228.36,220.59,3492377,809032880.2136,231.66,,275372787,,55684563197.76,
2025-04-23,MAR,220.59,217.53,221.37,216.98,215.69,1476546,324333960.0312,219.66,0.54,275372787,275373000.0,53455145114.21,60744458000.0
2025-04-22,MAR,215.69,218.3,218.99,212.53,220.41,1543023,331454301.7932,214.81,0.56,275372787,275373000.0,52267740079.95,59395153000.0
2025-04-18,MAR,220.41,221.27,222.42,218.46,218.79,1523469,336125555.3673,220.63,0.55,275372787,275373000.0,53411528488.03,60694890000.0
2025-04-17,MAR,218.79,219.94,223.98,216.68,222.58,1671307,366949156.5674,219.56,0.61,275372787,275373000.0,53018954619.6,60248800000.0
2025-04-16,MAR,222.58,224.63,225.49,221.43,223.49,1205378,268872460.4446,223.06,0.44,275372787,275373000.0,53937380362.09,61292460000.0
2025-04-15,MAR,223.49,224.93,225.47,220.0,225.22,1875711,418572600.0651,223.15,0.68,275372787,275373000.0,54157898889.91,61543050000.0
2025-04-12,MAR,225.22,222.95,227.75,219.01,222.92,2013997,450853992.7591,223.86,0.73,275372787,275373000.0,54577126420.84,62019460000.0
2025-04-11,MAR,222.92,228.45,230.22,217.27,233.39,3603193,804453193.0116,223.26,1.31,275372787,275373000.0,54019769476.68,61386090000.0
2025-04-10,MAR,233.39,210.62,235.29,208.16,211.12,4482469,1004888461.9358,224.18,1.63,275372787,275373000.0,56556944186.98,64269230000.0
