dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MCHP,64.67,64.35,65.28,63.05,63.84,9193258,593736390.9934,64.58,1.7,539399446,539399000.0,32441154319.08,34882961000.0
2025-06-04,MCHP,63.84,60.42,64.08,59.89,60.0,16322954,1030828823.3034,63.15,3.03,539399446,539399000.0,32024790883.43,34435258000.0
2025-06-03,MCHP,60.0,57.69,60.29,57.43,58.04,9310238,554543899.8078,59.56,1.73,539399446,539399000.0,30098489086.8,32363969000.0
2025-05-31,MCHP,58.04,58.24,58.63,56.62,58.11,10845641,627116729.8215,57.82,2.01,539399446,539399000.0,29115268766.78,31306740000.0
2025-05-30,MCHP,58.11,59.04,59.59,57.38,57.46,6574856,381255471.3624,57.99,1.22,539399446,539399000.0,29150387182.21,31344504000.0
2025-05-29,MCHP,57.46,58.86,59.09,57.4,58.68,8292902,480786740.4311,57.98,1.54,539399446,539399000.0,28824323226.95,30993899000.0
2025-05-28,MCHP,58.68,57.42,59.52,56.75,56.19,11214258,657747654.0509,58.65,2.08,539399446,539399000.0,29436318815.4,31651958000.0
2025-05-24,MCHP,56.19,55.99,56.32,54.54,58.05,10093907,562186236.9909,55.7,1.88,537818969,537819000.0,28104646017.86,30220051000.0
2025-05-23,MCHP,58.05,59.25,59.78,57.56,58.8,11530575,673284168.5929,58.39,2.14,537818969,537819000.0,29034965770.61,31220390000.0
2025-05-22,MCHP,58.8,59.36,60.94,58.43,60.33,7244242,433402678.7612,59.37,1.35,537818969,537819000.0,29635169739.32,31865770000.0
2025-05-21,MCHP,60.8,60.0,60.92,59.79,60.57,6145535,372318652.6626,60.58,1.14,537818969,537819000.0,30410437783.82,32699390000.0
2025-05-20,MCHP,60.57,59.63,61.05,59.39,61.21,8220223,497856203.0515,60.56,1.53,537818969,537819000.0,30295400307.04,32575700000.0
2025-05-17,MCHP,61.21,60.67,61.22,60.13,60.8,6589289,400683488.6559,60.81,1.23,537818969,537819000.0,30615509657.22,32919900000.0
2025-05-16,MCHP,60.8,60.32,61.36,59.3,60.65,8416680,508832081.1527,60.46,1.56,537818969,537819000.0,30410437783.82,32699390000.0
2025-05-15,MCHP,60.65,62.0,62.08,60.26,62.3,10608075,645609555.5069,60.86,1.97,537818969,537819000.0,30335407035.93,32618720000.0
2025-05-14,MCHP,62.3,60.95,63.12,60.6,60.96,10992813,684516980.0963,62.27,2.04,537818969,537819000.0,31160695245.58,33506130000.0
2025-05-13,MCHP,60.96,59.99,62.49,59.34,55.33,20947309,1278690730.8542,61.04,3.89,537818969,537819000.0,30490466746.92,32785450000.0
2025-05-10,MCHP,55.33,55.75,58.06,53.83,49.14,21360895,1179191745.4272,55.2,3.97,537818969,537819000.0,27674497906.28,29757520000.0
2025-05-09,MCHP,49.14,48.93,50.26,48.56,48.08,11279063,556855213.096,49.37,2.1,537818969,537819000.0,24578434447.09,26428430000.0
2025-05-08,MCHP,48.08,47.66,48.4,46.92,47.24,9566090,457635001.5066,47.84,1.78,537818969,537819000.0,24048253507.8,25858340000.0
2025-05-07,MCHP,47.24,47.0,47.7,46.68,47.78,6499340,306979472.1114,47.23,1.21,537818969,537819000.0,23628111329.9,25406570000.0
2025-05-06,MCHP,47.78,47.23,48.33,46.84,47.91,8196285,391707787.6288,47.79,1.52,537818969,537819000.0,23898200514.93,25696989000.0
2025-05-03,MCHP,47.91,47.16,48.53,47.11,45.98,9444031,452182130.8623,47.88,1.76,537818969,537819000.0,23963225329.14,25766911000.0
2025-05-02,MCHP,45.98,47.03,47.2,45.6,46.08,8677152,401602022.8704,46.28,1.61,537818969,537819000.0,22997890060.31,24728915000.0
2025-05-01,MCHP,46.08,44.54,46.24,44.17,45.92,10848348,495617680.9697,45.69,2.02,537818969,537819000.0,23047910225.46,24782700000.0
2025-04-30,MCHP,45.92,45.81,46.72,45.5,47.01,8287469,382568572.2064,46.16,1.54,537818969,537819000.0,22967881262.35,24696640000.0
2025-04-29,MCHP,47.01,46.66,47.85,45.9,46.89,7064824,330924092.1423,46.84,1.31,537818969,537819000.0,23513066350.54,25282868000.0
2025-04-26,MCHP,46.89,46.27,47.5,46.07,47.12,7677828,359070494.6081,46.77,1.43,537818969,537819000.0,23453048254.46,25218330000.0
2025-04-25,MCHP,47.12,44.12,47.33,44.12,41.93,20396043,946606890.8819,46.41,3.79,537818969,537819000.0,23568085731.24,25342030000.0
2025-04-24,MCHP,41.93,42.77,43.37,41.63,40.29,9990176,423194844.5536,42.36,,537818969,,20972193413.06,
2025-04-23,MCHP,40.29,40.15,41.05,39.58,39.43,11719641,472855941.6371,40.35,2.18,537818969,537819000.0,20151912421.71,21668723000.0
2025-04-22,MCHP,39.43,37.6,39.53,37.41,38.56,16395602,634952577.0276,38.73,3.05,537818969,537819000.0,19721764310.13,21206200000.0
2025-04-18,MCHP,38.56,38.68,38.71,37.58,37.95,7777926,298333240.8264,38.36,1.45,537818969,537819000.0,19286617483.17,20738300000.0
2025-04-17,MCHP,37.95,37.25,38.4,36.32,38.73,14564704,548063883.6855,37.63,2.71,537818969,537819000.0,18981512281.89,20410230000.0
2025-04-16,MCHP,38.73,39.09,39.61,38.31,38.88,6704902,259787435.5822,38.75,1.25,537818969,537819000.0,19371645661.83,20829730000.0
2025-04-15,MCHP,38.88,39.93,40.31,38.25,38.71,9921387,388750758.488,39.18,1.84,537818969,537819000.0,19446675909.55,20910400000.0
2025-04-12,MCHP,38.71,36.92,38.92,35.48,38.81,20661981,774871913.3662,37.5,3.84,537818969,537819000.0,19361647730.89,20818980000.0
2025-04-11,MCHP,38.81,41.37,41.6,37.4,44.9,24354352,950810852.709,39.04,4.53,537818969,537819000.0,19411660393.46,20872750000.0
2025-04-10,MCHP,44.9,35.5,45.58,35.1,35.34,29897809,1257600329.9228,42.06,5.56,537818969,537819000.0,22457703687.5,24148070000.0
2025-04-09,MCHP,35.34,39.76,39.97,34.14,38.09,17281735,632694618.2641,36.61,3.21,537818969,537819000.0,17676064298.43,19006520000.0
2025-04-08,MCHP,38.09,35.59,40.0,34.13,36.22,24856461,936332992.9985,37.67,4.62,537818969,537819000.0,19051536311.65,20485520000.0
2025-04-05,MCHP,36.22,38.93,40.18,36.1,40.71,26407653,991454337.8009,37.54,4.91,537818969,537819000.0,18116217843.52,19479800000.0
2025-04-04,MCHP,40.71,46.8,46.8,39.57,48.93,29179137,1204739600.6106,41.29,5.43,537818969,537819000.0,20361991013.23,21894610000.0
2025-04-03,MCHP,48.93,47.64,49.47,47.48,48.5,6408309,312000731.4936,48.69,1.19,537818969,537819000.0,24473394901.25,26315480000.0
2025-04-02,MCHP,48.5,48.42,48.71,47.21,48.41,10219665,491143824.5552,48.06,1.9,537818969,537819000.0,24258324596.75,26084220000.0
2025-04-01,MCHP,48.41,48.18,48.84,47.44,48.7,14064969,678185997.3491,48.22,2.62,537818969,537819000.0,24213311149.73,26035820000.0
2025-03-29,MCHP,48.7,50.34,50.47,48.27,50.79,12054641,590116952.576,48.95,2.24,537818969,537819000.0,24358357424.46,26191782000.0
2025-03-28,MCHP,50.79,51.77,51.89,50.19,52.17,5492793,279596879.2041,50.9,1.02,537818969,537819000.0,25403714653.99,27315825000.0
2025-03-27,MCHP,52.17,52.42,53.13,51.58,52.36,6085367,317795518.3897,52.22,1.13,537818969,537819000.0,26093954019.67,28058016000.0
2025-03-26,MCHP,52.36,53.5,54.08,52.28,53.89,8675598,459575038.1822,52.97,1.61,537818969,537819000.0,26188987631.83,28160204000.0
2025-03-25,MCHP,53.89,53.11,54.48,52.81,51.72,12889415,694039624.8232,53.85,2.4,537818969,537819000.0,26954249742.65,28983063000.0
2025-03-22,MCHP,51.72,50.62,52.37,49.92,51.0,29770547,1537502757.7875,51.65,5.54,537818969,537819000.0,25868878281.66,27816000000.0
2025-03-21,MCHP,51.0,52.28,52.42,50.96,54.57,13866114,713655692.1031,51.47,2.58,537818969,537819000.0,25508753699.67,27428770000.0
2025-03-20,MCHP,54.57,53.97,55.37,53.91,54.2,6044742,330048395.781,54.6,1.12,537818969,537819000.0,27294370460.02,29348786000.0
2025-03-19,MCHP,54.2,54.81,54.93,53.68,55.26,3810976,206870066.9152,54.28,0.71,537818969,537819000.0,27109301450.9,29149786000.0
2025-03-18,MCHP,55.26,53.64,55.71,53.62,53.5,6181899,339514881.8725,54.92,1.15,537818969,537819000.0,27639482390.2,29719875000.0
2025-03-15,MCHP,53.5,52.72,53.62,52.28,51.89,7349297,391061193.7821,53.21,1.37,537818969,537819000.0,26759182802.6,28773317000.0
2025-03-14,MCHP,51.89,51.54,53.51,51.32,51.9,6002770,313192165.6614,52.17,1.12,537818969,537819000.0,25953906460.31,27907426000.0
2025-03-13,MCHP,51.9,52.58,53.34,51.64,52.24,7237910,377550397.2527,52.16,1.35,537818969,537819000.0,25958905175.69,27912801000.0
2025-03-12,MCHP,52.24,54.19,54.4,51.07,53.45,9121684,477864984.4203,52.39,1.7,537818969,537819000.0,26128969535.75,28095665000.0
2025-03-11,MCHP,53.45,57.96,58.06,52.8,59.77,16124360,873180757.8978,54.15,3.0,537818969,537819000.0,26734172720.02,28746422000.0
2025-03-08,MCHP,59.77,58.14,60.03,57.83,58.26,8112774,480444925.9353,59.22,1.51,537818969,537819000.0,29895261493.59,32145442000.0
2025-03-07,MCHP,58.26,58.43,60.03,57.78,59.64,10487415,615070183.2979,58.65,,537818969,,29139997313.71,
2025-03-06,MCHP,59.64,58.7,59.83,56.9,58.14,8303223,489816299.8314,58.99,1.54,537818969,537819000.0,29830236679.38,32075524000.0
2025-03-05,MCHP,58.14,58.64,60.29,57.98,57.95,13808106,809660346.8553,58.64,2.57,537818969,537819000.0,29079979217.62,31268797000.0
