dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MDB,199.73,194.19,201.79,193.87,193.75,6495234,1294624844.6928,199.32,7.29,81714313,89157000.0,16320799735.49,17807391000.0
2025-06-04,MDB,193.75,193.68,195.29,190.36,193.0,2828551,546396599.2024,193.17,3.17,81714127,89157000.0,15832112106.25,17274196000.0
2025-06-03,MDB,193.0,188.42,193.18,183.64,188.83,2416460,459733230.6866,190.25,2.71,81714127,89157000.0,15770826511.0,17207329000.0
2025-05-31,MDB,188.83,188.04,189.12,182.43,189.36,2628236,490787066.1668,186.74,2.95,81714127,89157000.0,15430079418.55,16835540000.0
2025-05-30,MDB,189.36,190.57,191.73,186.2,188.45,1642578,310739965.8254,189.18,1.84,81714127,89157000.0,15473387905.86,16882797000.0
2025-05-29,MDB,188.45,188.4,190.26,186.85,188.95,1895502,357627414.0982,188.67,2.13,81714127,89157000.0,15399027233.15,16801660000.0
2025-05-28,MDB,188.95,189.89,189.89,187.48,185.85,1979914,373696115.8495,188.74,2.22,81714127,89157000.0,15439884296.65,16846239000.0
2025-05-24,MDB,185.85,184.5,186.9,182.9,188.58,1248769,231232557.6996,185.17,1.4,81714127,89157000.0,15186571320.09,16569852000.0
2025-05-23,MDB,188.58,187.47,191.74,186.55,185.01,2199268,415220698.766,188.8,2.47,81714127,89157000.0,15409650886.8,16813250000.0
2025-05-22,MDB,185.01,188.0,190.37,184.14,188.94,2005918,375020210.9342,186.96,2.25,81714127,89157000.0,15117930636.27,16494960000.0
2025-05-21,MDB,188.94,184.25,189.69,183.13,189.01,2501957,470764476.1845,188.16,2.82,81187663,88631000.0,15339597859.1,16745880000.0
2025-05-20,MDB,189.01,187.25,191.55,186.83,191.29,1743682,330630703.5848,189.62,1.97,81187663,88631000.0,15345280183.63,16752080000.0
2025-05-17,MDB,191.29,190.71,193.19,188.2,190.5,7861160,1504816264.072,191.42,8.87,81187663,88631000.0,15530388055.27,16954160000.0
2025-05-16,MDB,190.5,191.48,192.31,186.11,193.74,1805329,342256275.7352,189.58,2.04,81187663,88631000.0,15466249801.5,16884140000.0
2025-05-15,MDB,193.74,196.2,198.58,192.61,195.9,2007343,390219048.3594,194.4,2.26,81187663,88631000.0,15729298641.5,17171305000.0
2025-05-14,MDB,195.9,192.89,197.55,190.91,191.61,2189667,428058023.7267,195.49,2.47,81187663,88631000.0,15904663181.7,17362750000.0
2025-05-13,MDB,191.61,187.22,191.67,186.0,178.54,2659550,503615845.415,189.36,3.0,81187663,88631000.0,15556368919.31,16982520000.0
2025-05-10,MDB,178.54,181.91,184.0,177.44,179.26,1598913,287137129.5942,179.58,1.8,81187663,88631000.0,14495245352.02,15824120000.0
2025-05-09,MDB,179.26,176.82,181.29,175.25,174.33,1743080,312088538.444,179.04,1.97,81187663,88631000.0,14553700469.38,15887930000.0
2025-05-08,MDB,174.33,172.22,175.53,170.89,172.22,1216638,210838754.342,173.3,1.37,81187663,88631000.0,14153446102.67,15450980000.0
2025-05-07,MDB,172.22,170.45,175.28,169.26,172.96,1278841,220252368.4205,172.23,1.44,81187663,88631000.0,13982140133.74,15263970000.0
2025-05-06,MDB,172.96,170.23,175.91,169.65,171.64,1255043,218402595.4104,174.02,1.42,81187663,88631000.0,14042219004.36,15329559000.0
2025-05-03,MDB,171.64,174.9,176.27,170.85,172.19,1906275,329868517.0253,173.04,2.15,81187663,88631000.0,13935050477.32,15212567000.0
2025-05-02,MDB,172.19,178.2,179.04,172.0,172.17,1970260,344046801.2,174.62,2.22,81187663,88631000.0,13979704503.85,15261313000.0
2025-05-01,MDB,172.17,169.4,172.55,167.19,174.69,1443749,246655435.4688,170.84,1.63,81187663,88631000.0,13978079938.71,15259540000.0
2025-04-30,MDB,174.69,174.49,177.01,173.83,174.51,1489367,260859815.1464,175.15,1.68,81187663,88631000.0,14182673661.35,15482890000.0
2025-04-29,MDB,174.51,172.98,175.96,170.57,173.5,1834916,318951337.8344,173.82,2.07,81187663,88631000.0,14168059070.13,15466934000.0
2025-04-26,MDB,173.5,171.38,175.08,168.41,173.21,2105878,362792659.5036,172.28,2.38,81187663,88631000.0,14086059530.5,15377420000.0
2025-04-25,MDB,173.21,162.92,175.43,162.26,162.66,3309049,568750076.7828,171.88,3.73,81187663,88631000.0,14062515920.11,15351710000.0
2025-04-23,MDB,152.15,150.23,155.24,148.88,151.67,3142423,478687181.0438,152.33,3.55,81187663,88631000.0,12352702925.45,13485153000.0
2025-04-22,MDB,151.67,157.25,158.12,150.76,159.26,2292880,349089833.56,152.25,2.59,81187663,88631000.0,12313732847.21,13442614000.0
2025-04-18,MDB,159.26,161.68,162.62,155.88,160.04,1549832,246462669.2311,159.03,1.75,81187663,88631000.0,12929947209.38,14115320000.0
2025-04-17,MDB,160.04,156.1,160.59,155.41,158.58,2040158,324036663.0136,158.83,2.3,81187663,88631000.0,12993273586.52,14184450000.0
2025-04-16,MDB,158.58,159.03,162.49,157.01,158.04,1537904,244458453.0624,158.96,1.74,81187663,88631000.0,12874740410.42,14055050000.0
2025-04-15,MDB,158.04,167.0,168.64,157.36,162.24,1866527,298437154.1683,159.89,2.11,81187663,88631000.0,12830898260.52,14007190000.0
2025-04-12,MDB,162.24,160.72,164.0,157.11,161.1,1678024,270195592.2824,161.02,1.89,81187663,88631000.0,13171887257.0,14379440000.0
2025-04-11,MDB,161.1,167.41,169.13,157.85,171.34,2349969,381526420.5319,162.35,2.65,81187663,88631000.0,13079333321.18,14278400000.0
2025-04-10,MDB,171.34,145.26,174.03,144.2,145.85,3614365,591162286.4715,163.56,4.08,81187663,88631000.0,13910694178.42,15185980000.0
2025-04-09,MDB,145.85,156.0,156.25,143.15,147.38,2975713,445572254.4819,149.74,3.36,81187663,88631000.0,11841221460.43,12926778000.0
2025-04-08,MDB,147.38,146.5,159.44,140.78,154.39,5429324,799149257.6812,147.19,6.13,81187663,88631000.0,11965438584.82,13062390000.0
2025-04-05,MDB,154.39,158.05,159.85,151.52,163.34,3891854,607146776.2615,156.0,4.39,81187663,88631000.0,12534563290.57,13683680000.0
2025-04-04,MDB,163.34,170.42,173.2,160.29,180.19,3345076,549363169.5104,164.23,3.77,81187663,88631000.0,13261192874.42,14476930000.0
2025-04-03,MDB,180.19,173.2,183.0,173.2,176.61,2359366,424136147.722,179.77,2.66,81187663,88631000.0,14629205807.85,15970360000.0
2025-04-02,MDB,176.61,174.69,178.15,170.66,175.4,1321319,231957154.0543,175.55,1.49,81187663,88631000.0,14338553974.31,15653060000.0
2025-04-01,MDB,175.4,175.22,176.6,170.85,178.03,2807927,490216319.441,174.58,3.17,81187663,88631000.0,14240316090.2,15545820000.0
