dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MDLZ,66.63,67.14,67.28,66.19,67.04,5978039,399292982.2289,66.79,0.46,1294815373,1294815000.0,81959877038.21,86273500000.0
2025-06-04,MDLZ,67.04,67.19,67.29,66.83,67.51,5156137,345862352.2393,67.08,0.4,1294815373,1294815000.0,82464194095.18,86804375000.0
2025-06-03,MDLZ,67.51,67.17,67.57,66.66,67.49,5004766,336888811.6128,67.31,0.39,1294815373,1294815000.0,83042330389.3,87412938000.0
2025-05-31,MDLZ,67.49,67.7,68.0,67.31,67.47,12140762,820124268.2314,67.55,0.94,1294815373,1294815000.0,83017742428.03,87387060000.0
2025-05-30,MDLZ,67.47,66.6,67.62,66.46,66.62,6967484,468825262.4634,67.29,0.54,1294815373,1294815000.0,82993136015.64,87361125000.0
2025-05-29,MDLZ,66.62,67.01,67.16,66.48,66.9,4550211,303552315.7189,66.71,0.35,1294815373,1294815000.0,81947565221.5,86260560000.0
2025-05-28,MDLZ,66.9,66.25,66.99,66.03,66.14,6600524,439757297.6925,66.62,0.51,1294815373,1294815000.0,82291983650.57,86623063000.0
2025-05-24,MDLZ,66.14,65.58,66.43,65.12,65.49,6737551,444509974.3879,65.98,0.52,1294815373,1294815000.0,81357134331.71,85639063000.0
2025-05-23,MDLZ,65.49,65.0,65.8,64.94,65.26,6956906,455422045.4205,65.46,0.54,1294815373,1294815000.0,80557593219.33,84797440000.0
2025-05-22,MDLZ,65.26,65.97,65.97,65.02,65.87,6250402,408703773.636,65.39,0.48,1294815373,1294815000.0,80274662529.51,84499560000.0
2025-05-21,MDLZ,65.87,65.81,66.3,65.66,65.72,6235652,410766728.7541,65.87,0.48,1294815373,1294815000.0,81025009268.24,85289440000.0
2025-05-20,MDLZ,65.72,65.24,65.82,65.0,65.32,6356238,416758789.541,65.57,0.49,1294815373,1294815000.0,80840505458.03,85095250000.0
2025-05-17,MDLZ,65.32,65.34,65.39,64.33,65.14,8015152,521092267.0065,65.01,0.62,1294815373,1294815000.0,80348482996.74,84577310000.0
2025-05-16,MDLZ,65.14,63.96,65.18,63.8,63.54,7310129,474135756.4339,64.86,0.56,1294815373,1294815000.0,80127059727.36,84344250000.0
2025-05-15,MDLZ,63.54,63.89,64.07,63.43,64.14,7455551,474682295.0111,63.67,0.58,1294815373,1294815000.0,78158932979.95,82272500000.0
2025-05-14,MDLZ,64.14,65.38,65.44,63.46,65.83,10361723,664325332.8351,64.11,0.8,1294815373,1294815000.0,78896985123.01,83049380000.0
2025-05-13,MDLZ,65.83,66.2,66.66,65.36,66.37,7069945,465291511.7966,65.81,0.55,1294815373,1294815000.0,80975813664.51,85237630000.0
2025-05-10,MDLZ,66.37,66.86,67.11,66.31,67.22,5136309,342202986.5724,66.62,0.4,1294815373,1294815000.0,81640046570.41,85936810000.0
2025-05-09,MDLZ,67.22,67.02,67.6,66.73,67.18,7143949,480408445.4399,67.25,0.55,1294815373,1294815000.0,82685617364.56,87037440000.0
2025-05-08,MDLZ,67.18,67.58,67.68,66.91,67.51,6841637,459991313.0633,67.23,0.53,1294815373,1294815000.0,82636403309.71,86985630000.0
2025-05-07,MDLZ,67.51,67.75,67.94,67.16,67.8,5436102,366890107.3423,67.49,0.42,1294815373,1294815000.0,83042330389.3,87412940000.0
