dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MELI,2573.96,2601.07,2616.45,2569.0,2602.26,293082,758961835.3734,2589.59,0.58,50697375,50697000.0,112223993205.3,130492940000.0
2025-06-04,MELI,2602.26,2606.0,2627.82,2582.0,2593.44,268820,700482069.884,2605.77,0.53,50697375,50697000.0,113457870278.02,131927690000.0
2025-06-03,MELI,2593.44,2563.0,2595.0,2535.0,2563.29,260686,670354700.715,2571.5,0.51,50697375,50697000.0,113073316189.2,131480570000.0
2025-05-31,MELI,2563.29,2538.68,2572.71,2525.0,2545.49,405933,1037960979.2013,2556.98,0.8,50697375,50697000.0,111758788312.8,129952100000.0
2025-05-30,MELI,2545.49,2578.19,2578.19,2527.05,2550.71,200088,508925588.7744,2543.51,0.39,50697375,50697000.0,110982708536.33,129049630000.0
2025-05-29,MELI,2550.71,2558.79,2584.69,2530.33,2555.17,267667,683519858.0734,2553.62,0.53,50697375,50697000.0,111210299192.18,129314300000.0
2025-05-28,MELI,2555.17,2521.39,2560.02,2504.11,2507.83,266222,677039550.858,2543.14,0.53,50697375,50697000.0,111404754043.73,129540380000.0
2025-05-24,MELI,2507.83,2550.25,2575.0,2501.1,2606.01,502617,1273840114.3167,2534.42,0.99,50697375,50697000.0,109340746593.75,127140380000.0
2025-05-23,MELI,2606.01,2563.0,2635.88,2561.0,2601.97,282366,737177462.2926,2610.72,0.56,50697375,50697000.0,113621369312.4,132117800000.0
2025-05-22,MELI,2601.97,2549.32,2625.11,2549.32,2579.21,344617,894519245.347,2595.69,0.68,50697375,50697000.0,113445221992.73,131913000000.0
2025-05-21,MELI,2579.21,2562.81,2584.24,2545.51,2578.35,256132,657420330.8604,2566.72,0.51,50697375,50697000.0,112452891853.43,130759100000.0
2025-05-20,MELI,2578.35,2574.52,2604.7,2536.4,2584.92,367743,948119856.8076,2578.21,0.73,50697375,50697000.0,112415400434.85,130715600000.0
2025-05-17,MELI,2584.92,2590.5,2608.01,2573.34,2586.49,280198,725711671.1882,2590.0,0.55,50697375,50697000.0,112701846383.1,131048600000.0
2025-05-16,MELI,2586.49,2569.78,2610.3,2547.8,2564.0,403553,1041599590.9478,2581.07,0.8,50697375,50697000.0,112770297978.83,131128200000.0
2025-05-15,MELI,2564.0,2516.25,2564.03,2509.4,2515.12,317408,807747591.4144,2544.82,0.63,50697375,50697000.0,111789739770.0,129988070000.0
2025-05-14,MELI,2515.12,2504.61,2561.68,2491.28,2504.61,361396,914845568.2744,2531.42,0.71,50697375,50697000.0,109658593076.55,127509900000.0
2025-05-13,MELI,2504.61,2500.0,2520.0,2443.62,2450.0,550360,1366508546.888,2482.94,1.09,50697375,50697000.0,109200359782.87,126977100000.0
2025-05-10,MELI,2450.0,2424.89,2469.61,2413.86,2410.0,382880,936155843.136,2445.04,0.76,50697375,50697000.0,106819369125.0,124208600000.0
2025-05-09,MELI,2410.0,2470.07,2501.0,2380.41,2262.09,906096,2199744481.6128,2427.72,1.79,50697375,50697000.0,105075379425.0,122180600000.0
2025-05-08,MELI,2262.09,2222.84,2277.6,2217.46,2229.0,711878,1604199204.8622,2253.47,1.4,50697375,50697000.0,98626545871.8,114682000000.0
