dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,META,687.95,669.32,689.0,668.57,666.85,14031930,9581797274.1117,682.86,0.56,2171148098,2514148000.0,1404022772342.79,1729606000000.0
2025-06-04,META,666.85,671.45,675.58,665.03,670.9,11585032,7742998748.9439,668.36,0.46,2171148098,2514148000.0,1360960506690.14,1676558000000.0
2025-06-03,META,670.9,644.39,673.26,644.26,647.49,15766258,10459287943.1008,663.4,0.63,2171148098,2514148000.0,1369225679732.18,1686740000000.0
2025-05-31,META,647.49,642.5,649.41,632.78,645.05,16240950,10451047427.172,643.5,0.65,2171148098,2514148000.0,1321448881055.58,1627884000000.0
2025-05-30,META,645.05,651.65,653.32,639.5,643.58,8883438,5735393555.1982,645.63,0.35,2171148098,2514148000.0,1316469237821.97,1621751000000.0
2025-05-29,META,643.58,642.6,650.88,642.55,642.32,9042875,5840326259.7212,645.85,0.36,2171148098,2514148000.0,1313469206606.53,1618054000000.0
2025-05-28,META,642.32,635.41,643.08,632.75,627.06,9508367,6078458081.0802,639.27,0.38,2171148098,2514148000.0,1310897678390.46,1614887000000.0
2025-05-24,META,627.06,624.0,632.45,622.65,636.57,8454067,5312433746.752,628.39,0.34,2171148098,2514148000.0,1279753841204.72,1576521000000.0
2025-05-23,META,636.57,634.05,643.25,630.71,635.5,8228442,5250402954.8093,638.08,0.33,2171148098,2514148000.0,1299162622920.77,1600430000000.0
2025-05-22,META,635.5,631.79,646.61,630.17,637.1,11464571,7316299646.0774,638.17,0.46,2171148098,2514148000.0,1296978739302.26,1597740000000.0
2025-05-21,META,637.1,636.01,639.35,632.26,640.43,6743473,4293634805.6576,636.71,0.27,2171148098,2514148000.0,1300244350129.57,1601763000000.0
2025-05-20,META,640.43,628.25,643.0,627.8,640.34,9592375,6126176432.87,638.65,0.38,2171148098,2514148000.0,1307040151365.26,1610135000000.0
2025-05-17,META,640.34,637.96,640.44,626.15,643.88,18518973,11770842021.0635,635.61,0.74,2171148098,2514148000.0,1306856778368.05,1609908000000.0
2025-05-16,META,643.88,654.27,657.31,638.58,659.36,14341836,9299381705.9135,648.41,0.57,2171148098,2514148000.0,1314081082603.11,1618808000000.0
2025-05-15,META,659.36,661.21,662.67,654.31,656.03,12348180,8128081067.9796,658.24,0.49,2171148098,2514148000.0,1345674341800.16,1657728000000.0
2025-05-14,META,656.03,645.54,660.92,642.83,639.43,18570821,12173563152.741,655.52,0.74,2171148098,2514148000.0,1338878050753.46,1649355000000.0
2025-05-13,META,639.43,630.92,640.39,621.03,592.49,21965086,13908484649.7025,633.21,0.87,2171148098,2514148000.0,1304999272153.14,1607620000000.0
2025-05-10,META,592.49,603.72,606.97,591.71,598.01,10427286,6219621568.9487,596.48,0.41,2171148098,2514148000.0,1209200524388.98,1489606000000.0
2025-05-09,META,598.01,606.28,611.3,596.62,596.81,14622805,8828986302.2819,603.78,0.58,2171148098,2514148000.0,1220466198048.67,1503484000000.0
2025-05-08,META,596.81,590.36,603.08,586.67,587.31,13160977,7826045205.8168,594.64,0.52,2171148098,2514148000.0,1218017245038.09,1500467000000.0
2025-05-07,META,587.31,592.52,596.03,586.58,599.27,10600649,6258306422.2079,590.37,0.42,2171148098,2514148000.0,1198628892522.95,1476583000000.0
2025-05-06,META,599.27,591.22,603.21,588.05,597.02,13887723,8315948950.7106,598.8,0.55,2171148098,2514148000.0,1223037726264.74,1506652000000.0
2025-05-03,META,597.02,583.46,604.34,578.33,572.21,24739262,14732387615.3137,595.51,0.98,2171148098,2514909000.0,1218445748037.47,1501450000000.0
2025-05-02,META,572.21,592.08,592.95,570.5,549.0,31159032,18013617826.7371,578.12,1.23,2181270402,2525270000.0,1173255991012.89,1444984000000.0
2025-05-01,META,549.0,538.4,549.1,529.5,554.44,29243973,15816848446.4232,540.86,1.16,2181270402,2525270000.0,1125666403656.12,1386372000000.0
2025-04-30,META,554.44,546.0,556.57,544.12,549.74,11835036,6536424579.9998,552.29,0.47,2181270402,2525270000.0,1136820445464.08,1400109000000.0
