dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MNST,63.16,64.01,64.02,62.93,63.99,4908024,311060774.5201,63.38,0.5,975246159,975246000.0,44349516938.47,61596508000.0
2025-06-04,MNST,63.99,63.49,64.03,63.12,63.83,6015371,383810704.5474,63.81,0.62,975246159,975246000.0,44932325447.44,62406000000.0
2025-06-03,MNST,63.83,63.61,63.86,62.7,63.95,5070406,321806530.268,63.47,0.52,975246159,975246000.0,44819974281.21,62249942000.0
2025-05-31,MNST,63.95,63.74,64.14,63.25,63.64,13500829,862785301.1552,63.91,1.38,975246159,975246000.0,44904232038.46,62366960000.0
2025-05-30,MNST,63.64,63.91,64.18,62.88,63.77,4146359,263229519.6428,63.48,0.43,975246159,975246000.0,44686559202.31,62064637000.0
2025-05-29,MNST,63.77,64.28,64.45,63.69,64.24,3326946,212822050.7746,63.97,0.34,975246159,975246000.0,44777845753.68,62191410000.0
2025-05-28,MNST,64.24,63.56,64.31,63.49,63.36,5266356,337563971.7573,64.1,0.54,975246159,975246000.0,45107869756.06,62649793000.0
2025-05-24,MNST,63.36,62.68,63.47,62.42,62.87,3508984,221730621.6415,63.19,0.36,975246159,975246000.0,44489950278.83,61791559000.0
2025-05-23,MNST,62.87,63.02,63.22,62.48,63.1,3812501,239825024.6549,62.9,0.39,975246159,975246000.0,44145879923.05,61313680000.0
2025-05-22,MNST,63.1,62.9,63.49,62.81,62.99,6278285,396571664.1091,63.17,0.64,975246159,975246000.0,44307388410.93,61538020000.0
2025-05-21,MNST,62.99,62.76,63.17,62.58,62.9,5400809,339526750.918,62.87,0.55,975246159,975246000.0,44230148212.96,61430740000.0
2025-05-20,MNST,62.9,62.85,62.96,62.47,62.86,4009972,251865110.2586,62.81,0.41,975246159,975246000.0,44166943835.73,61342960000.0
2025-05-17,MNST,62.86,62.48,62.92,62.01,62.33,8603676,538215892.1087,62.56,0.88,975246159,975246000.0,44138861661.59,61303930000.0
2025-05-16,MNST,62.33,61.02,62.34,61.02,61.0,6753871,418434031.3821,61.95,0.69,975246159,975246000.0,43766708429.49,60787050000.0
2025-05-15,MNST,61.0,60.23,61.27,60.03,60.23,5066215,308096312.6534,60.81,0.52,975246159,975246000.0,42832811303.28,59489970000.0
2025-05-14,MNST,60.23,61.23,61.26,60.15,61.36,5384457,325200219.5711,60.4,0.55,975246159,975246000.0,42292132024.02,58739050000.0
